::SedmidubskyBDZ08 ::22850545 
::794 ::1430 
::Hetal ::4497493 
::NgOT02 ::ChawatheGHPUW94 
::Chai ::Panella 
::KashyapRRS08 ::Han 
::SrivastavaHMKT06 ::Krompass 
::Patricia ::Andrei 
::Jennifer ::Searches 
::232 ::Periklis 
::Query ::BoberC92 
::36 ::Shivakumar 
::HenrichHSW91 ::FischerK05 
::WangXHZWZS08 ::Wilson 
::22850106abs ::FriedmanBF77 
::Massive ::Brakatsoulas 
::Commit ::Cong 
::4497569 ::XParent 
::152 ::Spatiotemporal 
::622 ::Kai 
::John ::185 
::1483 ::Souripriya 
::Hierarchical ::Chen05 
::Johnson98 ::Hybrid 
::Jianlin ::HeinzKRS08 
::Mohan96 ::Zhuang 
::NAGA ::VBI 
::Cherniack ::SEA 
::van ::BorzsonyiKS01 
::ArocenaM98 ::0 
::Limited ::Outliers 
::693 ::Cudre 
::Tree ::ChenDKLRS95 
::Pointsets ::Khoussainova 
::MaddenF02 ::22850353 
::1052 ::Feedback 
::Giuseppe ::13 
::AggarwalY08b ::Majumder 
::Correlations ::Checkpoint 
::4497448 ::Predator 
::22851106 ::Weining 
::Chaudhuri ::Denzel 
::Yokota ::DHT 
::Enhanced ::BeckmannKSS90 
::Verification ::BryanEF08 
::Kjetil ::Meta 
::Fukuda ::avi 
::GruenwaldBP06 ::BerchtoldBKK97 
::Yongluan ::Ali 
::Rau ::Borkar 
::4497627 ::Approximated 
::Data ::Cube 
::Porto ::SchekPSW90 
::ShaullSX08 ::BayerM72 
::Bestavros ::Utkarsh 
::Mohammed ::CaoCFT08 
::YuPK05 ::Kyu 
::Sreeram ::Willis 
::311 ::Lars 
::Sketch ::Fen 
::SPARK ::Yuxin 
::Moerkotte ::AgrawalAS93 
::SakuraiPF05 ::Hett 
::KornackerB95 ::1376 
::Quantitative ::StreamingWindow 
::Reification ::Ramaswamy 
::Preservation ::Schema 
::4497532 ::48 
::Wu ::8 
::Lai ::Raffaele 
::Monitoring ::Approximation 
::Gawlick01 ::ICDE98 
::LudascherGM01 ::Attribute 
::Direct ::Haas 
::Images ::AntonyWAA08 
::15310628abs ::SilbersteinBY06 
::957 ::Representation 
::Verifying ::Prado 
::691 ::1159 
::Erich ::Jinchuan 
::1073 ::Gadia86 
::MitschangPPLS93 ::Attacks 
::Harwood ::22850391abs 
::Alink ::Freeston95 
::GuptaHQ95 ::h 
::1403 ::Annotation 
::Allocation ::New 
::85 ::116 
::Prototype ::1024 
::Efficient ::Sam 
::Fudos ::489 
::482 ::Class 
::Porto ::Maximum 
::Yin ::OrfaliHE96 
::Rosa ::Hypermedia 
::Reformulating ::TanselCGJSS93 
::209 ::LiedesW06 
::Erik ::GryzSZZ01 
::Smith ::Curves 
::compcon ::Kee 
::SismanisR05 ::WhiteJ96 
::1345 ::15310492 
::1160 ::594 
::Filippo ::BargaL01 
::dimensional ::Diversity 
::Shanmugasundaram ::ChawatheAW98 
::596 ::1571 
::Transcoding ::1415 
::LupuY06 ::Vijayalakshmi 
::Scheuer ::390 
::Petkovic ::DalkilicGR97 
::VBI ::KashaniS06 
::Palopoli ::PapakonstantinouGW95 
::Vries ::CobenaAM02 
::X06b ::CocciTDS08 
::TokOLAB02 ::4497452 
::Holistic ::R 
::Zeeshan ::Naomi 
::Logging ::Common 
::15310263 ::Semistructured 
::ReissH05 ::764 
::Yeol ::471 
::10010143abs ::WhangLLKH05 
::Efficiently ::1453 
::Similarity ::Weis 
::htm ::ShimSA97 
::1331 ::Neville 
::Tsotras ::Qin 
::269 ::Goyal 
::OSSM ::914813 
::HeS06 ::1325 
::Algebraic ::Dakka 
::1296 ::Venkitasubramaniam 
::CASTLE ::between 
::Ertl ::P268 
::Dewri ::Replicated 
::Authors ::Jacobsen 
::Authors ::Acquisitional 
::LeeMCC02 ::Graefe 
::Gunopulos ::Rishi 
::LimN01 ::Essence 
::Toon ::Lieuwen98 
::15310327 ::Govi 
::ChenJKKMNS01 ::ZhangOAI06 
::Divyakant ::22850991abs 
::Janne ::1287 
::4497547 ::Kiernan 
::Salka ::ReissH05 
::mk ::ReichertRKD05 
::CARE ::Viglas 
::Aravindan ::HeZC05 
::ZhangGW08 ::Capturing 
::Anastasios ::Raffaele 
::4497583 ::Markl 
::Certainty ::Yin 
::Blocks ::Relational 
::22850384abs ::1013 
::679 ::Location 
::Fully ::Lomet98 
::Wang ::ReissH05 
::mk ::One 
::517 ::4497635 
::4497523 ::Hnle 
::ChengYHY08 ::Harald 
::Simon ::Pui 
::Jianneng ::BayardoA05 
::JensenLOZ06 ::JagadishMR98 
::KonigN06 ::Zina 
::Du ::Blakeley 
::AfanasievGMRT08 ::Natural 
::Result ::Olsen 
::Tat ::Tim 
::BeeriR87 ::Akihiro 
::KwietniewskiWTGGJJN08 ::CuiLXCDZ08 
::Working ::Cinzia 
::Sagawa ::Mutsumi 
::1411 ::pods 
::Previously ::SedmidubskyBDZ08 
::LimB08 ::1544 
::Hsu93 ::Pryakhin 
::1146 ::JensenLOZ06 
::Park ::Chung 
::MunakataJ94 ::Bradley 
::4497547 ::4497617 
::77 ::Ramamritham 
::146 ::Kyuseok 
::Yunyue ::Everyplace 
::Gill ::Leslie 
::Benjelloun ::Ong 
::914813 ::Example 
::85 ::Pennekanti01 
::Position ::OomotoT93 
::pdis ::PolyzotisG06 
::Swart ::4497542 
::1450 ::Molina83 
::Under ::Song 
::Goldin06 ::165 
::X06a ::Against 
::Powered ::Baker 
::284 ::152 
::Protection ::Mehmet 
::Felipe ::Satisfying 
::P334 ::Zhaohui 
::Kurt ::Haruo 
::Jia ::Estimators 
::Bohannon ::1473 
::Committees ::279 
::914858 ::4497580 
::P004 ::4497508 
::Elements ::Huiming 
::Nicole ::Adriana 
::ImielinskiB94 ::Processing 
::BaralGS98 ::Effect 
::Activities ::P514 
::WidomC96 ::Agarwal 
::Super ::Jaideep 
::22850032abs ::Kollios 
::Shinn ::Yuni 
::JagadishMS95 ::15310282 
::Yingqi ::558 
::LittleAFGRSV93 ::Neoklis 
::DengDRZ08 ::Automatic 
::DeaconSW94 ::Date90 
::75 ::Engineering 
::Gnther ::Janne 
::Categorical ::Jasmine 
::PetkovicZBJAWK02 ::FaloutsosK94 
::Lomet98 ::4497431 
::Robinson81 ::Abowd 
::Weidong ::WolfsonXYC06 
::Prediction ::Narayanan 
::Provenance ::Ordered 
::PeiHL01 ::Ranked 
::Shift ::domain 
::1125 ::AquaLogic 
::Autonomic ::Brenninkmeijer 
::Lomet93 ::Representing 
::Qigang ::BeckleyER85 
::LiOW08 ::Twee 
::Sayal ::4497548 
::Hierarchies ::22851133 
::edbt ::Ullas 
::constrained ::Zurek 
::Shipra ::SubrahmanianJ96 
::Suchanek ::Gerhard 
::Tanu ::Leung01 
::Lineage ::Willy 
::Christine ::Petko 
::126 ::174 
::1445 ::Algorithms 
::4497469 ::Ullman97 
::Rsch ::Extensions 
::Block ::Nabeel 
::Uncovering ::4497543 
::Among ::Jain98 
::Bounded ::GardarinGT95 
::Gravano ::Telle 
::Buccafurri ::Srinivasan 
::Persistent ::Partitions 
::P316 ::Specialization 
::Divesh ::Freiwald 
::Orlando ::1438 
::512 ::Yan 
::Distance ::Toivonen96 
::Failure ::Sequence 
::DB ::Nori 
::15310463abs ::Regular 
::Guha ::Isolation 
::GeertsKM06 ::MalikBC05 
::KeidlKKK02 ::RamakrishnanJNKB06 
::Debate ::Braga 
::Conserving ::235 
::IpeirotisNCG05 ::Kifer 
::delay ::4497572 
::JadavGL97 ::Using 
::Peers ::Reorganization 
::Lo ::Soccer 
::15310496 ::Cabibbo 
::22850329abs ::Malaika 
::HammerST05 ::1447 
::Tamer ::Nabar 
::Microsoft ::Sarawagi97 
::Roussopoulos ::369 
::Howe ::User 
::Bukhres ::Id 
::Christophides ::Warren 
::McKenna ::Transfer 
::CasatiDS01 ::between 
::Jinze ::Linga 
::1444 ::1351 
::SarawagiS94 ::P601 
::Denny ::Hoyoung 
::511 ::Foundations 
::Dixit ::d 
::P066 ::MaddenG08 
::ZhangG08 ::Phantom 
::acta ::Gmach 
::Mass ::Text 
::ChaudhuriNS02 ::Diverse 
::Bhattacharjee ::Felber 
::Shrira ::Messaging 
::rules ::Tree 
::1327 ::Partition 
::15310053abs ::Al 
::691 ::15310463abs 
::Controls ::4497490 
::NehmeRB08 ::Moving 
::Burst ::ChenC92 
::4497572 ::Ching 
::Chu ::Overlapping 
::RosenblumO92 ::Constraints 
::Luigi ::Dayns 
::P126 ::Zaane 
::281 ::299 
::Overcoming ::Shah 
::Wayne ::Siersdorfer 
::Ljosa ::LakshmananSS97 
::Jagadish90 ::362 
::BachFGHHHJS96 ::Guo 
::485 ::Summaries 
::Reduction ::15310274 
::991 ::Bryan 
::4497610 ::ZhangDH08 
::ssd ::22850353 
::Fits ::Anomalies 
::Buccafurri ::Monitoring 
::Approximation ::1470 
::Mumick ::Valduriez93 
::Online ::4497399 
::22850159 ::Transcoding 
::CasatiCPP95 ::Wombacher 
::Shekita ::410 
::Srilekha ::AutoLag 
::Nan ::Ding 
::Henrich98 ::552 
::Sistla ::4497528 
::440 ::Graphical 
::1584 ::ChenOR08 
::DBLP ::15310593abs 
::Hai ::1506 
::BrinkhoffKSS94 ::Linga 
::Lung ::321 
::Kanagal ::Scheuermann 
::CastellanosC05 ::Rakesh 
::4497610 ::Correlated 
::IBM ::212 
::Rui ::236 
::Bry ::4497545 
::Program ::P108 
::22851113 ::GedikWY08 
::VelegrakisMM05 ::MendelzonW95 
::Ken ::Guy 
::PapadimitriouRR94 ::Weifeng 
::SVL ::LangOKT98 
::Marios ::Alborzi 
::PGM ::Hee 
::PaduaW86 ::283 
::Nakamura ::Dunja 
::for ::Bosworth 
::Haibing ::Outsourcing 
::Mengsheng ::Xiaowei 
::CaoCFT08 ::ChenHS02 
::Tao ::Nan 
::ShriraX05 ::Salzberg 
::Sales ::RuemmlerW93 
::Optimize ::Whang 
::Publishing ::Mapping 
::Yoshizawa ::Greedy 
::BancilhonDK92 ::Amlie 
::PuHK06 ::Sample 
::FernandezFLS97 ::JVM 
::Beyond ::SEA 
::LakshmananRS08 ::AssfalgKKKPR08 
::Lian ::112 
::1375 ::toms 
::Antti ::Antonios 
::AcharyaAFZ95 ::Latent 
::Uemura ::NtarmosTW06 
::Qiao ::1468 
::and ::sigmetrics 
::Storing ::334 
::SistlaYLL95 ::Anciaux 
::SG ::Yufei 
::PETRANET ::Ullman97 
::Li ::VelegrakisMM05 
::Sevcik ::Aaron 
::Shojiro ::914839 
::Wesley ::Sithirasenan 
::Scalar ::22850143abs 
::Active ::ProcopiucS08 
::Naga ::T 
::Lomet93 ::Computer 
::Temporal ::15310492 
::Processing ::Mirette 
::SaveRF ::Lun 
::RDMS ::large 
::AkindJLS02 ::Gignere01 
::Xingdong ::YinC05 
::PiatetskyF91 ::SinghL08 
::Flip ::171 
::Level ::1567 
::ZhangLW08 ::Reducers 
::CarterBZ91 ::693 
::Divesh ::Inputs 
::Marianne ::Arijit 
::debu ::Takuya 
::Salt ::Rsch 
::Hambrusch ::Varied 
::er ::1111 
::2002 ::4497583 
::Norio ::Bausch 
::AmarmendAK06 ::mash 
::MendelzonMM96 ::914864 
::Agents ::Satoh 
::322 ::Sismanis 
::Stonebraker94 ::Evripidou 
::YiuJHL08 ::Chiu 
::Tomography ::RamanathZFH05 
::Iwen ::Microarray 
::AbiteboulV97 ::bc 
::1106 ::FaloutsosBFHNPE94 
::Kwok ::Halverson 
::DeWittKLPY94 ::666 
::Discriminative ::4497526 
::215 ::Transformation 
::Yasushi ::cker 
::Miller95 ::Savasere 
::MannilaR86 ::433 
::Melanie ::Boris 
::Lyman ::Bhlen 
::SnodgrassA86 ::1568 
::P424 ::Aleksandra 
::siamcomp ::Rys 
::Lam ::804 
::Luping ::Stratos 
::multimedia ::1575 
::Stabbing ::Version 
::4497457 ::Qiming 
::Mendez ::Lucian 
::P578 ::111 
::Yihong ::Paolo 
::P094 ::Naga 
::Ralf ::BarbaraI94 
::Markl ::Semantic 
::Hua ::Albrecht 
::Factorization ::Zurek 
::ADEPT2 ::Hybrid 
::Raffio ::Maier 
::NgOT02 ::863 
::Yasushi ::Bassam 
::Haejoong ::P069 
::Estimating ::2002 
::4497585 ::Maxim 
::Motwani ::668 
::Similarity ::15310567abs 
::Daniel ::P568 
::883 ::Worldwide 
::Bausch ::Marzouk 
::AdaliCCES96 ::Bases 
::Indexing ::ChakrabartiM98 
::Lineage ::Software 
::753 ::Kotidis05 
::Meichun ::Thomas 
::BernsteinHG87 ::Bravo 
::Brakatsoulas ::234 
::SankaranarayananAS06 ::KashyapRRS08 
::Nail ::4497610 
::Family ::Tuncel 
::Ben ::914861 
::P324 ::GrabsBS01 
::Multivariate ::Marinoiu 
::Feasibility ::Mourad 
::Memoriam ::X08 
::Main ::15310273 
::Robinson81 ::YanZH05 
::Hallett ::Was 
::623 ::518 
::Kiernan ::Pathak 
::Levandoski ::ChenC08 
::Weihl87 ::Panella 
::457 ::Ramkumar 
::853 ::AyadNWS06 
::Fatma ::Muhammed 
::Z ::Correlation 
::DasCWAS08 ::Win 
::Fastest ::ride 
::Divesh ::485 
::Design ::Srinivas 
::Join ::Tatemura 
::Zilio ::Integratio 
::Papapetrou ::Milano 
::22850991abs ::WangRL08 
::Ammar ::Uncertainty 
::DengSXL06 ::466 
::Morishima ::Footprint 
::P182 ::4497576 
::DrivenWeb ::EggersOS81 
::Qigang ::Relational 
::Past ::Nehme 
::1134 ::LiH89 
::good ::140 
::Hongjun ::ZhouZQZ06 
::1336 ::Graefe98 
::AgrawalH05 ::Streams 
::1604 ::Feng 
::Mylopoulos ::1575 
::ATLaS ::Stella 
::Nath ::Derivation 
::P014 ::Worldwide 
::706 ::Bypass 
::LakshmananSS96 ::Nrvg 
::XPlainer ::ChenLL08 
::Qigang ::Pearson 
::Kurt ::Added 
::424 ::Antoni 
::Sup ::567 
::Swaroop ::zsu 
::170 ::Philipp 
::On ::SPEX 
::Alexey ::Garofalakis 
::Tuzhilin ::201 
::ChaudhuriDMN01 ::Roberto 
::Attributes ::321 
::Bertk ::Items 
::Specification ::Lal 
::52 ::Spiekermann 
::LiuR05 ::Szabo 
::285 ::Cloud 
::Zhewei ::Enabled 
::Structures ::Roberta 
::P178 ::Corpus 
::Antal ::BargaL01 
::170 ::CammertKSV06 
::4497453 ::245 
::Baxter ::KellerB96 
::Optimizations ::Asymmetric 
::AstrahanBCEGGKLMMPTWW76 ::P2P 
::Filtering ::Ziv 
::SpinCircuit ::Consens 
::Ander ::QinQZ06 
::BonifatiBCC02 ::87 
::Abiteboul97 ::Labeled 
::Fishman01 ::Defined 
::1417 ::Extended 
::420 ::22851120 
::Seltzer ::LeeKC01 
::Gmach ::4497444 
::Margo ::575 
::Telle ::4497624 
::1607 ::Ting 
::XQSE ::Long 
::TaoXLZ08 ::Shigeo 
::Vassilios ::791 
::Weber ::Annotation 
::Qi ::SavasereON98 
::Srinivas ::Andreas 
::Arnold ::Provisioning 
::278 ::Id 
::Arie ::Mazza 
::Chalamalla ::Anil 
::Hao ::WangXHZWZS08 
::Integrate ::Stefanakis 
::Susan ::Dam97 
::Watson ::Salzberg 
::Yamini ::Measuring 
::YiJF98 ::PuHK06 
::COUNT ::ReissH05 
::Reporting ::Hisashi 
::P458 ::Integrating 
::Teubner ::Confidence 
::Braumandl ::Qu 
::Ubiquitous ::Mi 
::O ::Don 
::Daudjee ::DBMSs 
::NabeelB08 ::Braynard 
::HoweM05 ::HermanGLW87 
::OzdenRS98 ::Snapshots 
::914848 ::523 
::Fuh ::Triage 
::KiferKS92 ::HouleS05 
::4497608 ::Better 
::Braynard ::22850791abs 
::Modern ::4497635 
::Quantiles ::Haiyan 
::1388 ::BernsteinL96 
::4497575 ::networks 
::Haritsa ::Rate 
::Ugur ::Khuzaima 
::Ku ::1612 
::102 ::Quantitative 
::Mullin90 ::Analyzing 
::914824 ::4497435 
::Traffic ::Chang 
::That ::15310265 
::240 ::MendelzonMM97 
::Kian ::Weis 
::Chi ::Benjamin 
::party ::XGRIND 
::databases ::327 
::NguyenKF08 ::P069 
::Widom ::ke 
::Similarity ::1013 
::30 ::Technology 
::Bassiouni85 ::FaloutsosB93 
::Kersten ::Spyratos 
::It ::WuEDCKAS08 
::Unsafe ::Denise 
::Historical ::Qili 
::Cameron ::Leonidas 
::15310593abs ::Punctuation 
::Huiming ::LakshmananSS97 
::HuangJLO06 ::Geoinformation 
::410 ::Patterns 
::CasatiDS01 ::872 
::122 ::GoldingBSSW95 
::LuVA08 ::Exploring 
::Integrate ::YounSun 
::Henrich ::914841 
::Asynchronous ::Sven 
::Chakrabarti ::Art 
::DanDY91 ::914819 
::James ::Darrell 
::22850516abs ::Danzhou 
::ZhouTZ06 ::1399 
::Atomic ::22851124 
::Krmer ::YangW01 
::Munagala ::Suchanek 
::Kam ::Annamalai 
::LimN01 ::Sandeep 
::1348 ::NguyenD08 
::Liedes ::With 
::NgH94 ::15310266 
::Compiled ::SVG 
::Reviewers ::685 
::Malik ::Rene 
::Precision ::1491 
::499 ::Nithya 
::Georgiana ::SIREN 
::CareyHSACFFLNPTWW95 ::Mahadevan 
::547 ::Mitschang 
::Dixit ::Author 
::15310327 ::MaddenG08 
::Microsoft ::MolinaKS98 
::Q ::Oxley 
::15310485 ::Sanjeet 
::DeWittFMV90 ::Sayal 
::Approximated ::Two 
::Anant ::SuleimanCF98 
::SistlaWCD97 ::SizovSTW02 
::Joachim ::272 
::Guohong ::Media 
::Lung ::Format 
::Maruyama ::Exactly 
::LieuwenD92 ::Christophides 
::Benatallah ::Egemen 
::Inverse ::Pajarola 
::22850502abs ::Edward 
::Shurug ::RaoLLPS01 
::StonebrakerRH90 ::OgleS95 
::Space ::VenkataramanLN95 
::GrustKGHS97 ::Preda 
::914829 ::Rajamani 
::Over ::into 
::Evolution ::GedikWYL08 
::JakobGHN05 ::Domains 
::Mengzhi ::RAIDs 
::1343 ::Hypermedia 
::Anish ::Synthesizing 
::Convoy ::Mary 
::Perfect ::Papadopoulos 
::Sheth ::MachanavajjhalaGKV06 
::440 ::Graphs 
::Lomet ::1053 
::Wan ::1408 
::22850483 ::YangPPK08 
::Bishwaranjan ::YinC05 
::of ::BrinkhoffKS96 
::FegarasM95 ::Approach 
::BarbaraI94 ::X06b 
::Farrell ::We 
::P ::4497438 
::Shah ::Zhao 
::Rank ::TrombettaJBB08 
::Realization ::10 
::Pautasso ::MUSE 
::Blakeley ::Management 
::Bouaziz ::Arjen 
::ChenJKKMNS01 ::Rich 
::Elegant ::Ending 
::586 ::BaralisCMPRR97 
::938 ::Ouzzani 
::Kam ::Scripting 
::Sadhukhan ::Fromont 
::Jonker ::Programming 
::GryzSZZ01 ::Sndor 
::BouganimDV96 ::Declustering 
::Wilhite ::1451 
::Ives ::RastogiMBKS93 
::Warren ::PapadiasYMT05 
::BunemanDS95 ::Uchiyama 
::Synthesizing ::LimB08 
::Prototype ::Fukuda 
::271 ::Sheng 
::1229 ::MuralikrishnaD88 
::Praveen ::ChungGS02 
::27 ::Maarten 
::Evolution ::Deep 
::SistlaYLL95 ::ChaudhuriDMN01 
::Grabs ::521 
::Fekete ::X05q 
::Garofalakis ::15310005abs 
::PeiHL01 ::521 
::TAILOR ::ChongDFSYJTK01 
::Merging ::Quality 
::StreamCorder ::1351 
::Tari ::BachFGHHHJS96 
::Maxim ::Andritsos 
::Anh ::Edoho 
::4497534 ::1208 
::4497449 ::bda 
::279 ::GryzSZZ01 
::GionisMT05 ::Jayant 
::Wikipedias ::1062 
::Spiekermann ::DogacBO06 
::1450 ::GutingAABDHHST05 
::P182 ::sigir 
::22850533abs ::1062 
::Distributors ::301 
::VaidyaC05 ::HeXYY05 
::P259 ::436 
::CastroN08 ::Vlachos 
::Growth ::485 
::TheodoridisP95 ::Alonso 
::Enterprise ::Donald 
::4497430 ::html 
::tree ::Steven 
::WangRM06 ::Wai 
::Karthikeyan ::4497626 
::259 ::1043 
::Fred ::subrahmanianJ96 
::Marc ::Wichterich 
::ChangMZS98 ::Committee 
::P314 ::4497503 
::Incremental ::AntovaJKO08 
::Yuelong ::22851143abs 
::CocciTDS08 ::Akiko 
::James ::522 
::15310496 ::Yanlei 
::1412 ::Multi 
::Norm ::Computer 
::594 ::Decomposition 
::Collaborative ::Yannis 
::Duplicates ::Charu 
::Cristiana ::Noise 
::ONeilWFCM98 ::1131 
::387 ::Borkar 
::DREAM ::1114 
::22850916abs ::Smodels 
::Christian ::MD 
::Balaporia ::953 
::Tripod ::ShivakumarG97 
::Bhide ::ZhangPW08 
::Meaningful ::Crowd 
::1423 ::Daniele 
::22850217abs ::Magdalena 
::Peery ::Xingquan 
::Olivier ::15310155abs 
::Kristin ::Constraint 
::323 ::K 
::15310263 ::Yingqi 
::Sequence ::Haritsa 
::Concurrent ::Construction 
::Gruenwald ::Horng 
::Frequency ::SubrahmanianJ96 
::domain ::RoitmanGR08 
::Auctions ::Rivka 
::Matching ::Flip 
::Hae ::Design 
::Blocking ::Luping 
::PapadiasT97 ::Eltabakh 
::112 ::Braynard 
::Hua ::Tomography 
::Functional ::Wiederhold 
::Mukherjee ::Georges 
::563 ::Nakano 
::Industry ::1277 
::P402 ::Jasmine 
::AdaliCPS96 ::Porto 
::Approximation ::Experiences 
::Clusters ::59 
::2001 ::Vlachou 
::KoloniariP08 ::MalinAEL05 
::Jrg ::COSTA 
::Opportunities ::YiLKS08 
::Selecting ::Condit 
::ElfekyEV02 ::Meng 
::295 ::1287 
::Gruber ::Keijzer 
::Fingertips ::Eun 
::EsterKX95 ::Puniyani 
::Theory ::hpts 
::Searching ::Houman 
::Ramesh ::Regions 
::Query ::Ledlie 
::Hilda ::Schiefer 
::Paton ::Kunath 
::Dinh ::DrivenWeb 
::YounSun ::Certain 
::22850583abs ::Ramamohanarao 
::170 ::22851120 
::Felber ::HardwickSRM97 
::Measuring ::SubrahmanianJ96 
::AkindJLS02 ::CastroN08 
::Zwaenepoel ::LOCUST 
::Partially ::YiLHKS08 
::DeFazio01 ::Furche 
::1189 ::LevandoskiKM08 
::211 ::Pontieri 
::4497407 ::LentSW97 
::RoschGL08 ::ChawatheRGW96 
::1473 ::CarterBZ95 
::Boolean ::anonymizing 
::Assent ::Franois 
::Mauricio ::Weihl87 
::Hara ::ParkKL01 
::DeRoseCGSDBZ08 ::Extracted 
::Gedik ::Roussopoulos 
::15310628abs ::relational 
::33 ::Kemper 
::Deshpande ::Puzzle 
::Mauroux ::22850968abs 
::KaushikSBG02 ::onWeb 
::Megalooikonomou ::Cinzia 
::Coupling ::Calton 
::designed ::Updating 
::Singer ::Hung 
::765 ::Natix 
::DayalHL91 ::Reynold 
::150 ::816 
::GuptaJM96 ::Postgres 
::Oguchi ::914874 
::Aristides ::Sae 
::Hyun ::Akiko 
::Multivariate ::Subrahmanian 
::Zhengli ::187 
::Byoung ::Xiaoxin 
::Differential ::Mani 
::Hiroyuki ::Mass 
::csdl ::Habich 
::Cabibbo ::LiH89 
::FLWOR ::430 
::Forms ::Dyreson 
::1102 ::PetitTBK96 
::Bringing ::Calisto 
::Arnon ::890 
::Non ::Tuples 
::Ioannis ::Yasushi 
::ImielinskiVA96 ::er 
::Govindarajan ::Sideways 
::PatonDWCDJ93 ::Rene 
::22850742abs ::DragutWSYM06 
::Jrme ::P144 
::Rittinger ::Nassima 
::Zhuang ::1277 
::Angela ::Rotem91 
::Gehrke ::914850 
::MIC ::Provenance 
::Hoarding ::Indrajit 
::ONeilOW93 ::914873 
::Propagation ::15310005abs 
::22850285abs ::HuhtalaKPT98 
::BouganimDV96 ::1062 
::Pennekanti01 ::comp 
::Summarizing ::Position 
::Checkpoint ::Salka98 
::Anonymous ::BryCDFOS05 
::YiuMK08 ::XGuard 
::1160 ::Lieuwen98 
::Gyllstrom ::Tool 
::Assent ::Nobutoshi 
::SchekPSW90 ::1179 
::914878 ::309 
::Aleksandras ::JeungLSZ08 
::ChenSZ05 ::Jazayeri 
::X06a ::Krompass 
::1387 ::KoloniariP08 
::Angel ::Puniyani 
::Jost ::Vaisman 
::914850 ::AtallahCK08 
::Improving ::World 
::4497589 ::Skew 
::Heng ::Qing 
::XieYCWY08 ::their 
::LindsayHM86 ::DescribeX 
::Useful ::Tamir 
::Broken ::Xueqing 
::AcharyaGJKST08 ::Raman 
::SimitsisVS05 ::914846 
::Previously ::Lei 
::Liu ::15310176abs 
::SimitsisVS05 ::Xiaodan 
::Doan ::Tracking 
::Christian ::1439 
::Katayama ::EltabakhEA06 
::389 ::fledged 
::LiuSYR98 ::4497437 
::Engovatov ::5 
::CosmadakisKV90 ::1522 
::Hongtao ::BravoFGM08 
::EderL95 ::Procopiuc 
::P380 ::BeckmannKSS90 
::Atzeni06 ::Mal 
::764 ::Csar 
::10010121abs ::Making 
::PC ::html 
::Kersten ::Among 
::Savasere ::Nakhe 
::106 ::Quadtree 
::AcharyaFZ96 ::Murat 
::BorgBGHO89 ::Pavan 
::1100 ::1427 
::286 ::1587 
::Low ::Krkkinen 
::Stephen ::In 
::DCbot ::GuptaJM96 
::Vassilios ::182 
::GoldbergR83 ::Chiew 
::P503 ::Automating 
::Curves ::Shaped 
::Colors ::Aoki98 
::1219 ::462 
::MobiQual ::22850415abs 
::RinderleWR06 ::ChenSZ05 
::22850372abs ::Conference 
::LiuYT05 ::Arasu 
::ChandelNS06 ::if 
::icmcs ::Krithi 
::OguchiK02 ::Shyu 
::22850865abs ::Benchmarking 
::ShengHL06 ::Arocena 
::463 ::Shiyan 
::500 ::Arvind 
::Publishing ::Searching 
::54 ::Cui 
::AggarwalY98 ::P436 
::P182 ::cdrom 
::HouJ06 ::Browser 
::Chain ::22850927abs 
::Henrich98 ::Chen05 
::412 ::HernandezPVMNH02 
::Weiping ::22850791abs 
::Pietzuch ::Fathima 
::Kanagal ::Frank 
::15310245abs ::tiered 
::LiuYGS98 ::Schubert 
::1023 ::Volker 
::AtzeniMM97 ::Grouping 
::Megalooikonomou ::22851124 
::HeS06 ::Salzberg86 
::AggarwalCH06 ::Harwood 
::Rajaraman ::Stefan 
::BancilhonDK92 ::Va 
::StromY85 ::ChawatheAW98 
::Moshe ::AgrawalJKL06 
::Periklis ::Projected 
::Trombetta ::ICDE 
::Zaiqing ::522 
::BANKS ::Operator 
::Region ::Service 
::Riccardo ::Shape 
::IwenLP08 ::Suhre 
::ThuraisinghamHRM98 ::793 
::Scaling ::Prioritization 
::Xiaokui ::153 
::354 ::Heinlein 
::ChangC02 ::22850580abs 
::Replica ::Uwe 
::Multivariate ::4497508 
::1141 ::Traina 
::Vassalos ::88 
::Welch84 ::CobenaAM02 
::Control ::Lupu 
::Chain ::Offline 
::ups ::AbiteboulHB99 
::Index ::Bhide 
::Wu ::1208 
::230 ::Sequence 
::EppingerMS91 ::ChenWWM06 
::Location ::JiangLWY02 
::Neeraj ::Kolovski 
::tcs ::P412 
::Ziv ::PattersonBA08 
::Guang ::Experiment 
::Technique ::22850552abs 
::Seluk ::WangJT06 
::Ninghui ::Oracle8 
::4497613 ::CastroN08 
::1003 ::Chuck 
::GutingZC89 ::SquicciariniPB08 
::KitsuregawaO90 ::ROLAP 
::Intelligence ::Extract 
::Johann ::Now 
::Filtering ::Ka 
::4497595 ::P494 
::Indyk ::HiWaRPP 
::meets ::AgrawalAKL06 
::1624 ::BaralGS98 
::Nina ::Maps 
::317 ::Incomplete 
::Scherzinger ::Venkataraman 
::Valduriez93 ::The 
::Weighted ::Event 
::285 ::Houle 
::20 ::Krishnaswamy 
::Reichert ::Prabhakaran 
::Ching ::22851109abs 
::LeeHL08 ::433 
::Simultaneous ::Songting 
::767 ::PapakonstantinouGW95 
::129 ::Function 
::Petkovic ::Amer 
::MannilaT97 ::75 
