dl::XingZH05 4497591::Shrivastava ::Syntactic ::Lipyeow ::designed 
Etoh::Volker 1316::Ryvkina ::Labrinidis ::ht ::granularity 
dimensional::WangRM06 1352::656 ::22850256abs ::Alan ::Modern 
Vassiliadis::Jing StockerKBK01::Naidu ::Nasi ::Preemptive ::Megiddo 
1136::P294 Lomet98::Widmayer ::PermJoin ::Synthesizing ::BitonBDH08 
Javeed::914840 Categorical::MansuriS06 ::LinAGD08 ::Billing ::Koustuv 
1266::Pu Durmaz::329 ::Puzzle ::524 ::Xiaochun 
Galindo::640 Legaria::Luo ::JermaineOY02 ::1497 ::JadavSCB95 
604::137 Roberto::Maximum ::SenR05 ::Antti ::Vaisman 
Jeffrey::QuassRSUW95 Vinayak::Compiled ::Lee ::Discovering ::ChawatheGHPUW94 
22850324abs::LegariaGGHSWYZZ08 Barzan::Dieter ::Relationships ::AssfalgKKKPR08 ::Classification 
230::167 Alexey::Environmental ::LiZBSZN06 ::Mikkel ::882 
AkindeCJK01::XGuard Papakonstantinou::Pfeifle ::Moon ::185 ::Brakatsoulas 
Vazirgiannis::FegarasM95 393::Pattern ::Flip ::Tanu ::Herlihy90 
49::Hidden Xiao::SayedRM06 ::VelegrakisMM05 ::Ioannis ::Yidong 
316::DelisR94 ReissH05::level ::Goyal ::4497629 ::Goldin06 
927::Method 4497443::AgrawalAS93 ::783 ::FudosPP02 ::McWherterSAH05 
22850631abs::Fayyad P074::Chong ::Gerhard ::AdaliCPS96 ::Michail 
Jarek::Gabber HjaltasonS95::RelaxImage ::Spatial ::LakshmananSGK98 ::tit 
1287::JensenSS94 Product::Ghosal ::Lucchese ::Hiroaki ::Johnson 
GutingZC89::ChakravarthyL98 Relationship::Composition ::Xiaodan ::NFMi ::Bakalov 
StreamingWindow::Distinctiveness 411::623 ::Smalheiser ::Carsten ::Harchol 
Warehousing::152 Queuing::BryCDFOS05 ::Bhowmick ::Obermeier ::Prediction 
Bootstrapping::KoutrikaI05 Pryakhin::4497542 ::Lizhu ::Ranking ::Mingzhe 
Underprovisioned::Herlihy90 ChenDZ05::TheodoridisSS98 ::Hmmer ::MogiK95 ::Douglas 
15310337::Bolin Simple::tois ::Toivonen ::Self ::GhaffarA97 
1110::15310583abs FlajoletGPR93::Stack ::Trajectory ::Sashikanth ::117 
1061::Joachim 4497612::299 ::Dan ::Kenneth ::Ramon 
1426::books Philipp::Reza ::291 ::ChristophidesCM96 ::Korth 
4497572::based Shafiq::Zimmermann ::Agma ::15310498 ::4497406 
Ordered::P174 Interpretation::WuAA02 ::Leveraging ::ChawatheGHPUW94 ::Lomet98 
Common::BentleyF79 1406::Twig ::Blockeel ::Kun ::Shoshani 
acr::Karl 365::TaninHS05 ::Pablo ::Kai ::263 
Sagawa::tit 265::Zheng ::Hoa ::Concurrency ::625 
Kanaya::WachterR92 HungDS05::Heerde ::List ::BreitenederGT92 ::Paradigms 
Specialization::22850564abs RyvkinaMCZ06::29 ::Jayavel ::322 ::Kanagal 
Items::Pilania Miller::KochSS08 ::Eavis ::Work ::Zhou 
GuptaCG08::Jason NguyenS96::Balachander ::Edison ::1148 ::4497636 
Push::Puzzle Fully::ChaAHS05 ::Timothy ::00 ::Davood 
675::SilbersteinHYY05 1495::He ::BernsteinGLL98 ::4497545 ::1415 
Subbu::1411 Chung::Yoji ::Fernandes ::673 ::WangLFY02 
Algebraic::Shojiro Hae::Sunita ::Pipelining ::cdrom ::BinnigKLS08 
Hull::Xiaohui 463::555 ::ONeilWFCM98 ::Dimitrios ::605 
Chiu::1482 Made::1083 ::4497512 ::XDS ::4497412 
Manocha::892 HungDS05::P599 ::SmithC96 ::932 ::TanizakiMS05 
LevyMSS95::Dayns Integrity::436 ::4497397 ::ShethR93 ::22850032abs 
22850754abs::StonebrakerADNR93 145::606 ::Song ::Yanif ::Cecilia 
Smoothing::Dam97 Thomas::Andrea ::XDS ::NakamuraE02 ::Fractal 
LeongS97::HuaYL06 ZEBRA::BancilhonR86 ::Itemset ::IshikawaK93 ::Jiang 
Party::SmithC96 214::Vinayak ::4497620 ::Renato ::Parking 
4497497::Bhavani FernandezFLS97::MANETs ::Sankaranarayanan ::MohanHLPS92 ::Asynchronous 
P456::568 Methods::Peiya ::Heikki ::Burke ::4497488 
Terabyte::Version Yoji::Alan ::Clifton ::Yuhui ::Folding 
Doulkeridis::Fits Characterizing::New ::476 ::Gaurav ::Leymann95 
Cleaning::Feida Rahul::Zhaohui ::Networks ::542 ::Curtis 
ThomsenPL08::Common Hyong::FLWOR ::IvesT08 ::Vladimir ::4497621 
Sonny::DebLRS08 Super::Jianping ::SMART ::1479 ::Norman 
22850341abs::PeiHPCDH01 YouPL05::Stephanie ::Lewis ::MittalHH01 ::1072 
95::365 Graefe::ADT ::P402 ::XStream ::Intersection 
Mamadou::processing Directly::Business ::Industry ::22850693abs ::PudiH02 
LiH89::StreamingWindow Huahai::Media ::Prefiltering ::Supratim ::Bassam 
421::Knowledge TangYOCW08::Miner ::SeshadriLR94 ::CopelandK85 ::Extracted 
1445::Processes Chong::Long ::OSS ::372 ::Style 
sac::4497591 4497491::Operation ::MiahDHM08 ::Garcia ::LjosaBS06 
Lim::Expression P598::NussbaumerPSS95 ::Skeen ::391 ::324 
Heterogeneous::AliZTK08 Chih::638 ::ONeil87 ::Norm ::Correlated 
Cliques::BohmPS06 Vasilis::Bosworth01 ::Chang ::Asynchronous ::1141 
4497439::Mason Modern::Copy ::NievergeltHS84 ::Knuth73a ::MarcusS96 
15310166abs::BaralisCMPRR97 Recommendation::914850 ::30 ::Star ::GanesanSG05 
Pasi::Reasoning Sae::LiOW08 ::Jianmin ::Anastassia ::Friedman 
leeuwen90::Validating YangWWY02::SherkatR06 ::Schlimmer93 ::Elghandour ::bdbms 
Balakrishnan::735 419::Updating ::Fan ::Crime ::Profiles 
Curtis::1375 1361::4497565 ::XQuery ::Quantitative ::4497485 
4497508::KeijzerK08 Ian::Surna ::BernsteinHM90 ::Hsu95 ::Knowledge 
Dikaiakos::1343 Kazuhito::driven ::RosenblumO92 ::Kai ::Hibino 
Added::15310271 Gummadi::Selecting ::Naacke ::Granular ::Soloviev93 
Soo91::Mohania Leymann95::WuDY06 ::Chafle ::Ahn ::Text 
4497498::Davood 483::Process ::Energy ::ConsensRV08 ::RX 
P342::Schwarzkopf 914876::Pervasive ::Committees ::1325 ::Jagan 
Wichterich::Malik Annita::Optimizations ::515 ::Heerde ::Sreeram 
delay::Silvia Sedmidubsk::MED ::178 ::SirbuT95 ::Kyu 
421::ACT Ting::1427 ::Liangzhong ::1497 ::Siberski 
734::212 AntovaJKO08::Provenance ::Scripting ::System ::Nectaria 
Products::DeWittG92 575::Berners ::22850576 ::Vaithyanathan ::Column 
TRMeister::SistlaYLL95 Ajay::Nehme ::AgrawalFS93 ::JayapandianJ06 ::25 
icde98::329 Datar::Mutsumi ::Blocks ::ride ::Coverage 
914823::Jarek Wilfred::Pathak ::HellersteinNP95 ::1616 ::Supporting 
Growth::Sundaresan 59::Wloka ::Sridhar ::977 ::Samuel 
914808::BernsteinN96 Yufei::Chatziantoniou ::Encoded ::RDF ::Terzis 
XML::Neighborhood Ghaffar::Perego ::Links ::Cole ::Major 
Sujeet::1333 Mark::Astoria ::15310555abs ::Bing ::LiL08 
Links::AgrawalBGKLR05 Congjun::X08 ::Neel ::Carmem ::BrantnerHKM05 
22850791abs::Dongwon Michalis::PagelSTW93 ::PapaemmanouilC05 ::4497453 ::AgrawalFS93 
922::Clusters Adjourn::GuptaCG08 ::DaynesC01 ::url ::Osmar 
Protocols::Olsen 725::Renz ::Prototype ::Chun ::Felber 
Monica::Brown rtdb::Useful ::Jain ::Nabar ::Bootstrapping 
P476::22850949abs 22850217abs::247 ::22850878abs ::Mauroux ::Bhavani 
PageChaser::P296 Oguzhan::KanoulasDXZ06 ::Expressivity ::1349 ::Qi 
Shinn::Victor Cruz92::244 ::322 ::VrhovnikSRM08 ::FukudaMMT96 
Miller95::mm 1336::Lorenzo ::914834 ::22851129abs ::zsu 
Networks::Guttman84 Mukhopadhyay::Atluri ::Rishi ::15310187 ::Freire 
Sequencing::SrikantA95 Crawling::Ravada ::Interaction ::Sugimoto ::Isoline 
Anna::Exploiting Henk::Corpus ::269 ::356 ::Theodore 
Curtis::Kai Back::Jagadish ::15310327 ::ShrivastavaMR08 ::Jhingran 
Paolo::1276 SEA::129 ::BergD95 ::Cabibbo ::Flip 
Lapped::Jaffar Bolin::Mirco ::Torsten ::dke ::1100 
ZhangWL08::1408 Monitoring::Gemulla ::Digital ::1146 ::csdl 
Morzy93::StreamCorder Dessloch::Swaroop ::124 ::Kanthi ::15 
Tilo::Almeida 1099::WeissDG95 ::Bookmarks ::El ::Qiang 
Park::278 AndresO98::Puniyani ::P302 ::Loops ::Balazinska 
61::Complete Understanding::AtzeniCB05 ::Dilys ::Moshchuk ::LieuwenD91 
Actionable::28 JagadishMR98::tree ::Raffio ::ChakrabartiM98 ::Injector 
763::CormenLR89 292::Fixed ::pdis ::jsac ::4497404 
Manuel::Reduction Effect::Stocker ::161 ::Xiaojin ::BestR85 
Cubes::ColbyCHJJMSW98 Young::GuPYC08 ::Suciu ::KarsentyB93 ::94 
Bertk::Chafle 15310287abs::Bossi ::KatayamaS97 ::LiuLG08 ::Shrira 
Girish::Luca Larson02::4497603 ::Andrs ::Raffaele ::Changing 
Representing::Zadrozny Injector::Netz ::mit ::Brent ::OptRR 
Clark::Latent 23::1043 ::von ::1116 ::Extremely 
Michael::4497592 Hannu::SirbuT95 ::1572 ::ZukowskiHNB06 ::BancilhonKK85 
LiuP95::AgrawalCD02 366::Luis ::Automatic ::22850174abs ::Administration 
Arora::ngc sigmetrics::Grust ::4497425 ::Qiming ::WangR91 
Vladimir::NagarajNRS08 Wiederhold::15310117abs ::Muhammed ::Beyond ::Streams 
Jiong::680 Bingsheng::DoanH02 ::1005 ::Xiong ::Chrysanthis 
Shubha::4497557 Snodgrass::datamine ::Mourad ::Zhiping ::P231 
Jeffery::Management Whang::Mohan96 ::Cochrane ::Doulkeridis ::Yoon 
Bryan::Information Kanthi::Margaret ::KoudasS98 ::Unity ::4497605 
ZouC08::SellentinM98 Outliers::Timely ::412 ::Warehousing ::Extensions 
Mema::Ullman97 CormenLR89::Kanne ::BentleyM80 ::P466 ::Sharoes 
Soo91::HaskinMSC88 Nicholas::ProcessingWindow ::RDMS ::party ::Kuwabara 
266::HuangG01 Random::Kossmann ::HwangCZ08 ::Khaled ::Kwang 
ChenDN02::1403 MolinaKS98::Cattell94 ::1544 ::Signal ::ONeilG95 
crossref::Orenstein91 Forms::enough ::KivinenM95 ::Iwen ::AntonyWAA08 
22850949abs::Dayal 552::198 ::Gunther93 ::Crawling ::Directory 
Klaus::Burke 15310463abs::Reformulating ::324 ::1467 ::Settings 
Vassiliadis::Optimizing 4497629::AggarwalCH06 ::Goel ::Similarity ::Mudumbai 
Arvind::Arno MolinaGS96::Aranyak ::22850256abs ::Spannagel ::1372 
AbiteboulCCMMS97::Wei Michalis::Set ::Rezgui ::Aoying ::78 
GeorgakopoulosHKM94::914835 Shyam::Baile ::1998 ::MannilaT97 ::SiL96 
57::avi Erik::Convoy ::Information ::Committees ::Tomkins 
BernsteinHG87::Phan 547::Kahveci ::22851135 ::Balanced ::Chita 
LeungNM02::4497490 1390::Sergej ::WangRM06 ::Suresh ::Batched 
Jarek::Synchronization 593::Lun ::AgrawalCD02 ::aaai ::190 
Eike::FayyadPS96 1432::Todd ::KreplinZ01 ::Lavelle ::P578 
Outstanding::15 705::WachterR92 ::Lin ::Shared ::Yuni 
2005::Mangold 1483::Ninghui ::548 ::1296 ::1435 
Ln::Gawlick98 914833::ieeecomputersociety ::22850958abs ::Tightly ::Rule 
Avoiding::Anish 22851109abs::1378 ::Ji ::Ouzzani ::Nicklas 
Wilhite::Rewriting 15310503::AgesenBPT01 ::Item ::Skeen02 ::BernsteinHM90 
Mohan90::346 Levy::Khuzaima ::Govindarajan ::Haibo ::Al 
Woong::1150 Rastogi::ZhangWL08 ::cikm ::Yang ::1591 
601::Omran Neoklis::Deductive ::Arai ::Dependent ::Ontology 
Five::57 107::943 ::455 ::195 ::4497599 
371::4497561 4497598::Management ::P578 ::Hanson87 ::Foundations 
4497604::4497420 Underprovisioned::Implementation ::Abdelmounaam ::JagadishMR98 ::Kashani 
Pierre::1139 Anonymization::KimP88 ::Graefe98 ::22851137abs ::Natural 
Chrysanthis::Pandis Sobulo::383 ::Bentley75 ::Reformulating ::Virtual 
P144::Burke 22850403abs::22850131abs ::Korolova ::1612 ::Sources 
4497456::top by::Bamieh ::P542 ::Tomkins ::RantzauM06 
LinD98::Jianyong Bishwaranjan::418 ::Parking ::Rosa ::Devarakonda 
356::4497539 173::4497524 ::Raghav ::Coverage ::Powerful 
ride::Activities Schoning01::359 ::Walk ::Amol ::LiHYX05 
4497579::Clement 10010143abs::Konrad ::Sotiris ::KamelF93 ::Nicola 
Stonebraker::Cho 1525::Modeling ::1107 ::Robust ::ChonAA02 
Takahide::on Shweta::Riccardo ::336 ::SQL ::Algorithms 
Maier83::Mukesh sigmetrics::Leymann97 ::Philipp ::Reporting ::Bianca 
KashyapRRS08::Density PathakCG08::P182 ::110 ::Advancement ::Service 
KivinenM95::Hiraoka PudiH02::Three ::GuhaKSY06 ::Internet ::TataFS06 
NFMi::FranklinCL92 Predator::Qun ::15310567abs ::4497492 ::P412 
Greco::XiongA06 mash::GedikWY08 ::411 ::SunAA02 ::FarfanHRB08 
Bosworth::36 BernsteinGWRR81::Gukal ::Jeffery ::Syntactic ::Ontology 
Sequencing::Brakatsoulas 1497::Koh ::Aggregate ::1150 ::X06b 
Linkage::2005 Thakkar::DakkaI08 ::Brent ::Accuracy ::4497617 
XiongMA05::Access dbpl::10 ::Sikka ::Specific ::Probabilistic 
P370::KhalifaJPWKS02 355::AbiteboulQMWW97 ::Jos ::Scherzinger ::X05o 
Group87::Arijit 87::Manikutty ::DanK95 ::ChenDZ05 ::1595 
Renner::66 Systematic::CarterBZ95 ::Bausch ::1516 ::Ming 
How::270 FLAME::Leslie ::967 ::Dissemination ::Motion 
Agarwal::DozierSF94 Navathe::Yaping ::Nehme ::Ailamaki05 ::Vebjorn 
1144::Siersdorfer Kumar05::compcon ::doi ::HarinarayanRU96 ::LiCKB06 
Han::bncod 153::deSign ::DeRose ::22850106abs ::Graph 
2006::Participants FischerK05::Verifiers ::LeeKC01 ::ShethR93 ::Moss 
JermaineO02::BryanEF08 Tetsuya::Ordering ::Qi ::Noise ::P259 
Inderpal::KornackerB95 Aravind::843 ::coopis ::Mariano ::GuhaKSY06 
376::SpaceTwist 4497485::1400 ::4497563 ::369 ::Did 
Overcoming::430 Gardarin::ZhangRL96 ::Mohan ::Haejoong ::Statistical 
HacigumusMI02::15310277 Evaluating::80 ::BonczKK96 ::RotemZ95 ::Grel 
Interactive::ChengYDYW08 Qingchun::IP ::Order ::790 ::Lp 
Martin::Committee AssfalgKKKPR06::1533 ::Pattern ::Madhavan ::Yingqi 
AdaliCPS96::Lamport78 Bootstrapping::PfahringerK95 ::conf ::On ::1081 
1286::Major For::Dasgupta ::Schlatter ::Agrawal ::WilschutFA95 
Trajectories::ChenOR08 Ahmad::PeiJZ05 ::BurnsDILP08 ::15310617abs ::FaradjianGB02 
348::22851073abs Definitions::Are ::BohmHLW08 ::1208 ::22850853abs 
ParkCY95::549 10010131abs::JainMTC95 ::1144 ::Kim95 ::Lomet93 
4497499::Row kdd::Aggregation ::KochSS08 ::HungDS05 ::Mitschang 
MalkemusPBC05::1471 Mortazavi::P094 ::Xuegang ::Anomalies ::Balakrishna 
546::Shafiq cs::Zhuang ::Decade ::ShanADDK95 ::Rinku 
4497559::HaskinMSC88 Stefanie::Bhide ::FLWOR ::655 ::RoschGL08 
Xiaopeng::tods Willis::Mlivoncic ::Barzan ::Lars ::Balter 
Planning::Gsta DeeringC90::bit ::640 ::Parasuraman ::Tata 
LiLH06::Cheong Ka::Shin ::Uncovering ::Yoshinari ::552 
RafieiM97::22850594abs BargaLW02::15310264 ::286 ::Check ::1518 
Zhiping::22850606abs LB::Linga ::at ::22850487 ::333 
660::Engines Operator::MolinaLV84 ::EsterKX95 ::PuHK06 ::Hyong 
Box::1286 SellentinM97::1199 ::Designing ::YangL01 ::914836 
Kumar05::Binnig Kou::Wenning ::Dehne ::SardarK06 ::QuassRSUW95 
Meichun::1619 CopelandK85::22850273abs ::Strategies ::Leskovec ::KaushikSBG02 
Concurrency::MoerkotteN08 Milano::Coverage ::KarrasM08 ::1352 ::914869 
914853::ChenRDEGS06 Procedures::Buffering ::Gill ::MahajanDNAM98 ::Annotation 
Daudjee::Extraction Complexity::Ilyas ::4497458 ::34 ::96 
Stolte::ArbitraryWindows JainMTC95::Qing ::Deligiannakis ::Now ::Brent 
Zeller::Mauroux YanZHY06::15310129abs ::RDFS ::4497617 ::4497510 
15310639abs::IWill Vaupel::granularity ::1442 ::Divyakant ::NAPA 
HoweM05::244 bdbms::Rudra ::Flexible ::Porkka ::1148 
Hongjun::GrayBLP96 1103::1527 ::Shinn ::Engine ::AdaliCPS96 
Markus::Sithirasenan Aggarwal02::Microsoft ::Xueyan ::Abbadi ::Timothy 
Clark::22850360abs X08::NagarajNRS08 ::EswarranGLT76 ::ChoR02 ::Enterprise 
Govi::53 Adaikkalavan::Function ::Aoying ::357 ::coopis 
111::FernandezS98 Sarma::Digital ::Consens ::Syeda ::KitsuregawaTM83 
Guy::4497460 4497411::22850549 ::Probabilistic ::Tarik ::MegalooikonomouWLF05 
State::ObermeierBHCS08 clustering::Friedman ::is ::Dogac ::967 
CaliM08::SMART 1209::Similar ::Computing ::Foundations ::188 
ReissRKZV08::Chuck 15310431abs::Optimized ::Mariano ::FaloutsosRM94 ::Ira 
15310212abs::865 On::220 ::Eavis ::Problems ::bda 
GuptaCG08::Lists Rasin::AgrawalH05 ::Directions ::Kumar ::Duplicates 
DeWittKOSSW84::1267 MachanavajjhalaGKV06::1189 ::104 ::Doulkeridis ::KohLHA08 
Kashani::Frdric JakobGHN05::HolsheimerKMT95 ::Franklin ::pods ::Private 
Precision::Halpern Freiwald::GuptaCG08 ::Members ::LangOS97 ::P259 
Jeung::Sachindra Document::Porto ::882 ::Dirty ::Cattell91 
Now::Shrivastava 477::IwenLP08 ::Klabjan ::ADT ::Made 
Bayardo::Hambrusch 4497526::Wright ::P254 ::Jerry ::Tarik 
Overcoming::Zhiyong Algorithms::DayalHL91 ::473 ::1127 ::523 
Representing::Mishra Aranyak::Scheduling ::Fabian ::ChongDES06 ::Activities 
Balanced::Kementsietsidis Chiticariu::1378 ::FerlezFLMG08 ::DakkaI08 ::intensive 
Metadata::VLEI Availability::1396 ::Made ::RaoM06 ::ChengYHY08 
Son::ChenL02 csdl::MoonWL01 ::Schneider05 ::KornSFSP96 ::3D 
Malik::4497500 Rajan::Xiao ::DayDIKG95 ::914845 ::RFID 
TAR::Conscious WuB97::Sachin ::Raman ::Progress ::GraefeM93 
WangXLW08::Oxley NakamuraAOS93::Graefe98 ::Serge ::Compressor ::640 
Dependency::P598 WebOQL::YiN05 ::22850143abs ::DesslochHWRZ08 ::Chu 
Frequent::Injector Good::1208 ::Platform ::Jialie ::Riemenschneider 
BerchtoldEKKS98::WiwatwattanaJLS06 Trombetta::Order ::22850564abs ::partite ::Leung01 
SimitsisVS05::RDF Molina83::Calisto ::Kazumi ::15310280 ::600 
PapakonstantinouAG96::Multilingual JagadishMS95::PfahringerK95 ::Series ::4497484 ::Ho 
1624::182 Uchiyama::Indrakshi ::SegevF90 ::123 ::Algebra 
Collections::15310543abs Phrase::Among ::Doan ::Proxies ::4497542 
Scheduling::Shirani KreveldO91::Distinctiveness ::773 ::Cui ::Yanjiang 
dimensional::ChangC02 P094::Tolani ::DeshpandeH02 ::Capturing ::Netz 
Reference::4497589 Summary::395 ::Ghafoor ::Terzis ::Ganti 
Eavis::Generalizing Lars::LiH89 ::MeltonS93 ::1503 ::4497474 
KrishnamurthyKN05::Maximal D::Aravindan ::Progressive ::AbiteboulV97 ::435 
Xiao::Rasin Skeen::15310500 ::376 ::Item ::1518 
Replica::Gao Wenjie::Maintaining ::bda ::Govindan ::FranklinCL92 
Franois::LittleAFGRSV93 JinZLWS06::Interacting ::Constraint ::Kotidis05 ::22850606abs 
Cristiana::Cao Muthukrishnan::144 ::Liedes ::CormodeKT08 ::Torvik 
P036::29 Kinji::914834 ::Jin ::Widmayer ::Astoria 
Chaudhuri::AdibaL80 icde::XGuard ::150 ::M ::Shubha 
Indriyati::DengDRZ08 Krompass::15310041abs ::Shalem ::Qian96 ::Imprecise 
Intensive::Matches Alborzi::989 ::Cattell91 ::824 ::8i 
FriedmanBF77::Estimation Maher::914866 ::15310685abs ::AmmannJR97 ::GoelSYZ02 
David::DahlinWAP94 Cox::Mariano ::Green ::Erdem ::ChorLRS86 
icde::Shawn Maintenance::Satoh ::4497539 ::Sovereign ::ChengDNPKWAAFSSS97 
1346::Mazza KistlerS92::MaH01 ::be ::2000 ::633 
1092::Ansorge LiebermanSS08::P402 ::WhangLLKH05 ::Very ::Stanley 
Rost::Green 1348::constrained ::642 ::QiaoIAA06 ::Su 
Recycling::1468 Kiernan::22 ::Shimada ::Detect ::DeeringC90 
Ravishankar::Fred Certainty::Representing ::Christoph ::P558 ::Ziarko91 
KlemettinenMRTV94::Liqin MohanN91::SizovSTW02 ::Russakovsky ::XDS ::Hisashi 
Xiaopeng::MaddenG08 Gruenwald::465 ::Synopses ::Kristen ::111 
Christopher::4497550 Ravishankar::Monica ::mk ::115 ::4497419 
LinVM06::Tool LiuHXS06::DennyF06 ::Conference ::Cardinality ::Kishiko 
277::SardarK06 ICDE::P446 ::Uncertain ::KramerP96 ::Muthukrishnan 
Gencai::Davidson Michle::Networks ::Donald ::WilkinsonN90 ::Ontology 
Experience::Tryfona Wouter::15310278 ::17 ::Dadam ::Fabio 
Houtan::Hope Jigsaw::P324 ::XM ::Minos ::within 
107::Nicoleta Yokota::1327 ::730 ::Lizhu ::GeorgakopoulosHS95 
Halpern::FranklinCL93 Indices::128 ::Manjhi ::Imperatives ::Yiu 
Bootstrapping::Conscious Chamberlain::Expressivity ::Junglee ::Theobald ::Nigel 
XDS::Angel Documents::Aoki98 ::Jagannathan ::Raghavan ::Hett 
Sponsored::15310265 Dominance::SQL ::Management ::Olteanu ::Y 
4497548::Supply linear::Fegaras08 ::FarragO89 ::Future ::Dominance 
Procedures::Message Cammert::Rotem91 ::dx ::GaoZCLLC08 ::Cohen 
DeFazio01::Bloom EROCS::ShimSA97 ::Made ::Fjording ::Lupu 
Focused::Brent Come::Egemen ::Helmer ::Sergey ::BaralisCMPRR97 
Loops::Supratim Proces::InstantDB ::LevyMSS95 ::LinJF94 ::4497522 
22851149::Brenninkmeijer 743::4497577 ::Shamkant ::Gupta ::HuangJLO06 
Atluri::Yasushi Hoarding::Practical ::4497575 ::Curtis ::Reducing 
Meets::Amr External::StreamCorder ::Margo ::Bressan ::Atzeni06 
Telematics::Palios Exponentially::Francesco ::471 ::914844 ::1160 
HinterbergerMG94::Batra Tuzhilin::Bohannon ::relational ::Vladimir ::Tuan 
SchekPSW90::Lang 15310280::Information ::Matt ::Tsukamoto ::BINGO 
245::Lynch83 15310276::Balaporia ::Abiteboul ::Stavros ::BabuMWM05 
ShafiqSBG06::IshikawaKOYKK98 Scheduling::ISOMER ::Routing ::Hacigms ::15310529abs 
GalAX02::Jialie WangHYYY06::RantzauM06 ::Consistent ::Hasan ::Jasiobedzki 
Morse::Spreadsheets Sensor::Oracle8 ::Revisited ::1533 ::107 
Sanghyun::ShaullSX08 501::Toolsuite ::365 ::Masaaki ::Kenneth 
HuhtalaKPT98::Cerquitelli 115::1141 ::AbiteboulHV95 ::Byron ::Similar 
Gauss::Nigel Feltes::Rosy ::CormodeKT08 ::301 ::MiniCount 
Platform::Knig Kramnik::Duan ::BerchtoldBKK97 ::P116 ::Joshi 
Relational::Lived 1330::360 ::10010651abs ::Jae ::Ledlie 
Liu98::1091 Wu::Stoumpos ::WangXHZWZS08 ::Edward ::Torsten 
NET96::PermJoin SellentinM98::Spyros ::Multivariate ::Approach ::CaiHH08 
Aoying::Prashant 977::Koki ::Come ::Presence ::DennyF06 
Jagrati::P302 Domains::Choi ::Provable ::Cattell91 ::Bedell 
Legacy::Li 4497582::Random ::773 ::Gupta ::108 
914816::2005 HoutsmaS95::1059 ::Hazem ::4497610 ::Ahmed 
Yoshinori::22850298abs 22850298abs::Hoare69 ::Miller95 ::LowTLL02 ::155 
sigmod::Monitoring JiangVBCB05::Atzeni06 ::TheodoridisSS98 ::Wong ::Kasneci 
Lomet::PapakonstantinouGGU95 An::Platform ::Kjetil ::Streams ::380 
Runtime::Ntarmos Jennie::4497423 ::Michal ::1563 ::144 
AraiDGK06::1190 Subspace::Authoritative ::502 ::493 ::RantzauM06 
Bowman::Govindan NAPA::sigmetrics ::511 ::Dale ::4497509 
Ken::Histories Vilhuber::db ::Jayant ::Ihab ::Inverse 
533::GuptaCG08 Lasse::Vehicle ::914865 ::ZouC08 ::4497404 
FegarasM95::Flooding 4497490::Edoho ::LiBRHCN05 ::Miss ::602 
String::22851147 Ixent::LiSDKG01 ::284 ::GanesanSG05 ::Freire 
KatayamaS97::Qun Expiration::Sndor ::Cole ::Tirthapura ::Bitmap 
4497537::22850217abs JayapandianJ06::R ::865 ::4497548 ::627 
177::Stahl 4497637::cite ::Coverage ::DeshpandeH08 ::WangXLW08 
SPEX::COSTA Graphitti::1348 ::DuschkaL97 ::Constantly ::ChaudhuriGK06 
Gawlick98::55 Wenliang::One ::498 ::Consens ::ChenRDEGS06 
134::137 Schema::db ::1132 ::Alone ::Quanqing 
MED::Hoa 640::Threshold ::Junyi ::Tears ::Thakkar 
Chiueh::Bouganim Azar::KapitskaiaTV97 ::Telematics ::Marcelo ::Banaei 
Xueyan::4497536 1588::15310593abs ::Tang ::WilschutFA95 ::Ivan 
SaltonG83::BryCDFOS05 F::15310262 ::Ordering ::22850545 ::Distinctiveness 
Benjelloun::654 544::Online ::15310064abs ::10010121abs ::Zhao 
Trial::Grtner Coordinated::Selinger ::Loading ::Narayanan ::NagarajNRS08 
DBXplorer::Mixing Dominant::Lai ::Khoussainova ::425 ::LiSR92 
Attacks::WangXHZWZS08 Bhowmick::Garcia ::4497454 ::Probability ::LiBRHCN05 
903::Evaluating Gabriel::1084 ::Amer ::YangL01 ::Padmanabhan 
DeligiannakisSKVD08::914867 dbpl::137 ::Very ::Imperatives ::AikenCSW96 
Petko::Cammert 1115::Henrich94 ::Sizes ::Padmanabhan ::Anish 
LiebermanSS08::Extension Disclosure::286 ::X06b ::Unsafe ::Whitley 
Optimizing::Hellerstein Bryan::ZhouOTY06 ::646 ::Random ::KhalifaJPWKS02 
Grouping::369 BernsteinHM90::Pedersen ::Adriana ::LudascherGM01 ::Vebjorn 
Committee::Reiss 286::Bootstrapping ::Ferri ::Molina ::conf 
Teixeira::GuoSBS05 Xiaofeng::icde98 ::Compact ::tois ::Ixent 
Commit::579 WangHLS06::sigmod ::FaloutsosB93 ::CarminatiFB05 ::WangXLW08 
etintemel::Laurent McCannSD08::FernandezFKLS97 ::Snapshot ::Tolerant ::NodineZ90 
1453::or Principled::Gang ::Exploiting ::Sarah ::Potamias 
Sarvjeet::617 Balakrishnan::914868 ::EswarranGLT76 ::Wolfgang ::295 
Dirk::Be Sean::Based ::198 ::YangPPK08 ::Han 
52::MolinaKS98 Chen05::Images ::NehmeRB08 ::P550 ::P036 
Liangzhong::Edoho 1599::212 ::SegevP89 ::15310005abs ::Mappings 
4497616::Business Sevcik::FerlezFLMG08 ::Recommendation ::Tears ::269 
