::Kitagawa ::Taube 
::Hughes ::CAD 
::Nulls ::Sagalowicz 
::Into ::Haritsa 
::Rules ::382 
::Burger ::Linkage 
::Synthetic ::Tannen 
::Nolan ::Bennet 
::Hadzilacos ::Optimal 
::Decision ::46 
::531 ::Power 
::Publication ::Jeffrey 
::Jan ::Kolodner 
::175 ::Component 
::ARTDB ::Rosenthal 
::attribute ::Optimization 
::Yuri ::Jeffers 
::Copeland ::Cherniack 
::Keitel ::Tom 
::Schang ::Sun 
::Colby ::Gnauer 
::or ::Free 
::Hsiao ::Ulusoy 
::Lueder ::Erich 
::Hashing ::Lip 
::Profiles ::by 
::Curry ::Response 
::Approximations ::Must 
::Lueder ::Piatetsky 
::Engine ::556 
::Korth ::Ion 
::Erhard ::Jensen 
::Gives ::Walt 
::Hard ::Safe 
::Tryfona ::Xian 
::166 ::Christodoulakis 
::Hierarchy ::158 
::DIPS ::Cercone 
::Eick ::Shaul 
::Aggregate ::Gnter 
::Rajendran ::196 
::Maier ::Semantics 
::GlOSS ::Semi 
::Schuble ::Technologies 
::Solutions ::Gerhard 
::403 ::Manipulating 
::Flix ::VideoAnywhere 
::Georges ::Yasushi 
::Cube ::Weinberger 
::Next ::Liam 
::Theory ::Tony 
::Kaizhong ::Jack 
::Ravi ::Vertical 
::Fixing ::Ugur 
::576 ::Zdonik 
::196 ::Multiple 
::Hubert ::Usage 
::Metrics ::Querying 
::Samet ::Koudas 
::Workstations ::Harris 
::Jaime ::Cercone 
::Terranova ::129 
::Adya ::Carrie 
::Dyson ::Soumitra 
::Approximations ::Mohan 
::Gruber ::Air 
::Werner ::Borras 
::LORE ::Gelernter 
::Servers ::Betty 
::Rafiei ::165 
::Fragments ::Read 
::Hayama ::Recent 
::Krll ::Engine 
::174 ::Wong 
::Chih ::Rational 
::Cubes ::Reconciliation 
::Unix ::Quantitative 
::Hubert ::506 
::Wildcards ::Prefetching 
::Alfonso ::Cart 
::Jyh ::Quantified 
::Geophysical ::Converting 
::Ptool ::Overview 
::Eliot ::Shian 
::Myllymaki ::470 
::BeSS ::Ward 
::Singh ::405 
::143 ::Baclawski 
::4th ::Rajaraman 
::NTHU ::Consistency 
::Xiong ::SIM 
::Tom ::Enhancing 
::515 ::Discovery 
::348 ::228 
::Raschid ::Into 
::Facility ::Khedkar 
::Ait ::Kiyoki 
::Multidatabase ::Differential 
::Interaction ::PREDATOR 
::Bernstein ::Jumping 
::313 ::423 
::326 ::Workshop 
::Monitoring ::9 
::DBSim ::483 
::Madhu ::Goyal 
::Policy ::Abraham 
::Swarup ::Modules 
::OLTP ::NII 
::Viewpoint ::wide 
::Paraboschi ::TSIMMIS 
::Elmasri ::470 
::Sharad ::is 
::Self ::Kriegel 
::of ::Donko 
::Gaffney ::Neuhold 
::Joakim ::5 
::Colette ::Morpain 
::Generating ::419 
::Grained ::Chirn 
::Surajit ::Wrappers 
::Retrieval ::Symmetric 
::Match ::Stefano 
::Lorie ::Dataflow 
::Toolkit ::Merz 
::Hypertext ::Gadi 
::Robertson ::Garbage 
::Kwei ::Retention 
::Simon ::Dittrich 
::Juergen ::Perspective 
::Yannis ::Extended 
::146 ::Representing 
::Effectiveness ::Message 
::Lomet ::Souza 
::Kasi ::Walter 
::Garnett ::Orientation 
::441 ::Cole 
::Specifications ::Message 
::92 ::109 
::Luther ::Control 
::Kerry ::ETH 
::Matthew ::Neighbor 
::422 ::Influential 
::Aberer ::Costa 
::Unpacking ::Brick 
::Wars ::Wen 
::Multidimensional ::Gordon 
::Tompa ::Tim 
::Catherine ::Billion 
::Pernici ::356 
::Shing ::a 
::318 ::Koch 
::Extendible ::through 
::Executive ::Relations 
::163 ::wish 
::Sophie ::MMDBS 
::Roland ::East 
::Kang ::335 
::issues ::Yu 
::It ::Buffer 
::Project ::Srivastava 
::Aggregates ::Lausen 
::Standard ::Imielinski 
::SIM ::Inter 
::Joakim ::SigmodRecord 
::Thinksheet ::Bohrer 
::Weinberger ::Globally 
::Waramahaputi ::Kosch 
::458 ::Stemple 
::Strategy ::Dimitrios 
::379 ::73 
::273 ::Ashish 
::Computers ::Katayama 
::Cubetree ::Academic 
::158 ::Machiavelli 
::243 ::Christodoulakis 
::Deppe ::Better 
::Rashid ::Francine 
::Search ::End 
::Fundamental ::Novak 
::Jennifer ::Anita 
::Later ::Earl 
::Hwang ::416 
::Bernstein ::Access 
::Infomaster ::Vassalos 
::Search ::Beyond 
::Kao ::SEQUOIA 
::Jeffrey ::Angelika 
::Tryfona ::Itemset 
::Jain ::Hampapur 
::Definition ::Leung 
::Rafiei ::Jianguo 
::Extended ::Oriented 
::Widmayer ::Seligman 
::Cart ::Applying 
::Halici ::Abdelsalam 
::134 ::OnLine 
::101 ::Out 
::Fault ::Alon 
::Hypertabular ::Science 
::Fetches ::Barry 
::34 ::Piyush 
::Enhancing ::Praveen 
::Lotus ::Differential 
::Castano ::Cox 
::461 ::Takeshi 
::Er ::Lim 
::Yves ::Ion 
::Algebras ::Musukula 
::Akira ::112 
::94 ::556 
::Stepwise ::DBS 
::Bengt ::Schiefer 
::STARTS ::ODMG 
::1999 ::Dayns 
::Roddick ::387 
::Future ::Singh 
::RAID5 ::External 
::Peng ::Ceri 
::Lam ::Yun 
::491 ::Sequence 
::Pistor ::Kambayashi 
::286 ::Going 
::Yih ::Some 
::Klaus ::Erik 
::Reasoning ::Characterization 
::Resolution ::Lightweight 
::Telecommunications ::160 
::Gucht ::Young 
::Laurent ::Kabiria 
::250 ::Studies 
::Science ::Fagin 
::Christophides ::A 
::Atzeni ::Per 
::98 ::Kornacker 
::Christophides ::Jorge 
::Keng ::Khn 
::N ::Visualization 
::Main ::Answering 
::Omiecinski ::Breitbart 
::434 ::Matching 
::database ::462 
::Ricardo ::REpository 
::314 ::88 
::Jonathan ::194 
::Displays ::Control 
::CSA ::Tansel 
::339 ::Terrance 
::Federation ::Establishing 
::Kfer ::Rakesh 
::Satish ::Loeffen 
::Ghemawat ::Trickey 
::Mitch ::First 
::Aloysius ::Range 
::28 ::Venky 
::325 ::SPARC 
::Christine ::Cvetanovic 
::545 ::86 
::Piero ::74 
::Ries ::Enforce 
::Issues ::Fine 
::165 ::Is 
::Benchmarks ::466 
::Groupware ::Bargmeyer 
::Wells ::Saxton 
::Bifocal ::261 
::OLTP ::Radek 
::there ::Scaleable 
::Heap ::Modify 
::Andersen ::Distributing 
::Complexity ::Infinite 
::Department ::NII 
::Korn ::Anonymous 
::Norrie ::Protocol 
::Satish ::Processor 
::Edwin ::Component 
::Kristin ::Kabra 
::Warehouses ::Closure 
::Ptool ::Vingralek 
::Resource ::Dayns 
::Administration ::Desktop 
::Said ::Pull 
::Honeyman ::Manish 
::Giansalvatore ::tolerant 
::Differential ::Globally 
::DB2 ::Ulm 
::Goodman ::Group 
::Shapiro ::Shasha 
::Network ::Satish 
::503 ::Manager 
::64 ::There 
::136 ::Procedures 
::lun ::Benny 
::Accociation ::Based 
::297 ::Gehani 
::Strssler ::Panel 
::Tufte ::Usability 
::Hugh ::Rewrite 
::Semistructured ::Conflict 
::Tomasz ::Tertiary 
::Wenger ::Roger 
::Optimization ::Chendong 
::Karl ::Divyakant 
::532 ::178 
::Optimality ::Take 
::Center ::Discovery 
::Praveen ::Index 
::Mackay ::280 
::503 ::Quantifier 
::Krithi ::66 
::Winds ::Abraham 
::Arpaci ::Note 
::Kiernan ::Dewan 
::458 ::Much 
::Art ::509 
::Prasad ::Colette 
::Transient ::Volker 
::Nesting ::or 
::populated ::Caching 
::Visual ::Codes 
::118 ::359 
::Curt ::V 
::Concerning ::Asit 
::ZOO ::S3 
::Range ::Walch 
::Carrie ::Relly 
::Hot ::Jean 
::Differential ::Leonardo 
::Davidson ::Interoperable 
::Four ::Mechanism 
::Sullivan ::Term 
::Liskov ::Schneider 
::Linda ::94 
::A ::Rowe 
::Gottfried ::Entity 
::Strategies ::106 
::V ::95 
::Maintaining ::Massachusetts 
::Global ::Distributor 
::Qingshan ::Bhm 
::230 ::Characterization 
::55 ::Programs 
::Earl ::Standardization 
::Brief ::Weienfels 
::Boon ::Cattell 
::GEM ::Databases 
::93 ::35 
::SEQUOIA ::Degradations 
::Johannes ::Sullivan 
::Geospatial ::Measurement 
::Traversal ::Multiversion 
::Warkentyne ::Gawlick 
::Term ::549 
::Ju ::Hierarchy 
::Cartesian ::Kapitskaia 
::Mackay ::Tradeoffs 
::Hector ::B 
::Prashant ::ARIADNE 
::Young ::Starburst 
::Centre ::Kumar 
::517 ::Mohammed 
::Earl ::Motakis 
::Sophie ::Client 
::Knowles ::Update 
::re ::512 
::Answer ::Ensuring 
::Hoppenbrouwers ::Antonia 
::Decision ::Pistor 
::63 ::Monash 
::Sumit ::Roland 
::430 ::48 
::Kifer ::Reiner 
::Agent ::Between 
::Salvatore ::Obrst 
::meet ::Gucht 
::Perform ::Semistructured 
::Standardization ::206 
::Indices ::Cook 
::Evolution ::Strengthen 
::Continuous ::DART 
::Deduction ::Gouin 
::Rajeev ::Faloutsos 
::Wrapper ::IDEA 
::Oki ::Subramanian 
::MDM ::ACM 
::Terry ::Distribution 
::Donald ::Subramanian 
::Sripada ::Paris 
::OLE ::Independence 
::Musukula ::121 
::Polyzois ::501 
::Ramanathan ::Convent 
::Goel ::Tei 
::MDM ::Summary 
::Atomicity ::529 
::Challenges ::Algebra 
::Kambayashi ::Pratap 
::Panel ::439 
::Exploration ::Gook 
::Pessimistic ::Ozkan 
::Dina ::ACT 
::Multiprocessor ::389 
::Goh ::OODBMS 
::Franois ::Kitsuregawa 
::RDBMS ::240 
::Technology ::186 
::Roth ::Refresh 
::Mick ::Technical 
::Metadata ::260 
::Policies ::B+trees 
::360 ::Hirata 
::Banu ::196 
::Dayal ::Yu 
::Art ::77 
::What ::Activity 
::White ::Marvin 
::Bhashyam ::355 
::Moira ::Kennedy 
::224 ::128 
::James ::55 
::Servers ::Mohan 
::Gordon ::Desktop 
::Ahn ::Imielinski 
::McClatchey ::Alberto 
::Transitive ::Erhard 
::Combinatorial ::Sheung 
::Wentland ::Christodoulakis 
::Darling ::Daz 
::Stephen ::Marc 
::Organization ::Fishman 
::Lifestreams ::STanford 
::170 ::Hara 
::Bohrer ::172 
::Philippe ::Geyer 
::Trusted ::It 
::V ::Delaunay 
::Johnson ::Builders 
::Status ::Don 
::Fraternali ::231 
::Ahead ::Philip 
::353 ::Flynn 
::Goldberg ::Porter 
::Karl ::Bernhard 
::Rafael ::Augusto 
::Amy ::Its 
::Lists ::255 
::relational ::Sheldon 
::Self ::Sullivan 
::Structures ::Mohammad 
::line ::49 
::473 ::423 
::structured ::New 
::Tobin ::Maintenance 
::Kooi ::Compatible 
::Kulkarni ::Behavior 
::Right ::Research 
::Solutions ::Monash 
::Requirements ::Gunter 
::ITASCA ::Active 
::Nick ::214 
::Esther ::Natarajan 
::Static ::207 
::zsoyoglu ::Challenges 
::Amihai ::Agrawal 
::Leonard ::DB2 
::Flaws ::Scans 
::Beliefs ::Decompositions 
::Gerald ::DIRECT 
::Kenneth ::529 
::Sushil ::Fishman 
::Lip ::Marr 
::Through ::Carter 
::Without ::Suzanne 
::through ::over 
::Viswanath ::3D 
::Glavitsch ::518 
::Web ::sets 
::281 ::Grandi 
::Rupawalla ::Brief 
::Zorn ::351 
::F ::Ching 
::Visualisation ::Geo 
::Catriel ::6 
::Servers ::398 
::Ken ::Shah 
::Reordering ::Gad 
::Lifestreams ::Yates 
::Associative ::Application 
::Maryanski ::Stamos 
::402 ::Garlic 
::Pedagogic ::zsoyoglu 
::Representing ::Chen 
::SENTINEL ::Vertical 
::Pessimistic ::Advanced 
::Toolkit ::510 
::Galindo ::Dangers 
::Presentation ::Marc 
::360 ::21st 
::Navarro ::Detection 
::Ross ::XSB 
::134 ::Panagos 
::Data ::115 
::Spyros ::Marcus 
::Append ::Assisted 
::73 ::GESTALT 
::240 ::Expensive 
::Devor ::Commercial 
::Kaplan ::Jensen 
::Cache ::Determinism 
::Solutions ::Qaimari 
::WORM ::USL 
::Madhu ::Compiled 
::507 ::S 
::Bayardo ::Christos 
::Infrastructure ::Optimized 
::131 ::Quass 
::Feedback ::Christodoulakis 
::Jumping ::Inderpal 
::Spaces ::Iakovos 
::Barinderpal ::Gorelik 
::136 ::Budak 
::Toolbox ::Paul 
::Out ::Path 
::Kuntz ::Terrance 
::Vertical ::ANSI 
::434 ::Obrst 
::Akira ::Clements 
::Year ::Influential 
::Martin ::Merz 
::Images ::489 
::Mechanisms ::Ibrahim 
::H ::Tagg 
::Tsong ::Gnauer 
::Recovery ::543 
::Celis ::Edwin 
::292 ::Distributed 
::Andersen ::123 
::Dietterich ::Erbe 
::Harald ::Declustering 
::Agenda ::Yue 
::Paper ::Principles 
::Lueder ::Barinderpal 
::Vassalos ::Strategies 
::26 ::175 
::Funding ::Reich 
::Application ::Stored 
::Generating ::Displays 
::based ::Ilker 
::Stoltzfus ::Icons 
::Korn ::relations 
::Yeung ::Principles 
::Locking ::Schmidt 
::Naughton ::Implementing 
::Amy ::McClatchey 
::Scholl ::Doppelhammer 
::SONAR ::Building 
::Andrew ::EOS 
::Don ::Wedekind 
::Karypis ::Dan 
::Lazowska ::To 
::Conrad ::Wenger 
::Approach ::Jeffrey 
::sets ::442 
::Bjrn ::Atkinson 
::Stphane ::Mehrotra 
::Agents ::Gerlhof 
::Barinderpal ::Already 
::575 ::Budak 
::Ganesh ::Barry 
::SEMCOG ::Dr 
::Beach ::Lynn 
::Funkhouser ::Methods 
::371 ::253 
::Papoulis ::Recursive 
::Tang ::Versioning 
::Informal ::BIRCH 
::Change ::Lin 
::Sou ::level 
::Records ::Daniela 
::Ronald ::Papoulis 
::Davidson ::Silvio 
::Donald ::Testing 
::CODASYL ::by 
::Suryanarayana ::572 
::Arguable ::COntext 
::Fu ::Pat 
::Convent ::Hadzilacos 
::308 ::Krzysztof 
::Sullivan ::Reminiscences 
::Finally ::Didier 
::Eliminating ::Structure 
::Hallmark ::Matthew 
::Life ::Coherency 
::MENTOR ::355 
::Hughes ::Georges 
::Transformation ::Path 
::Naveen ::Disco 
::Discovery ::579 
::Syntax ::Review 
::110 ::Workstations 
::Jenny ::Sophie 
::Lee ::Melling 
::Problems ::NASA 
::STRUDEL ::Technology 
::Gadi ::MINOS 
::Updates ::Tsatalos 
::Davidson ::392 
::Network ::Wars 
::Knoblock ::Diagram 
::Opportunities ::378 
::Louiqa ::II 
::Barclay ::Yongjian 
::Okay ::54 
::Gerard ::Vardi 
::trees ::Marti 
::in ::RISC 
::Hypertabular ::SEQUOIA 
::Dangers ::Anindya 
::92 ::Papoulis 
::Kiran ::Lazowska 
::Omiecinski ::ODMG 
::Braunmller ::Csar 
::Consistent ::Franois 
::Graphs ::Level 
::Walker ::Ilsoo 
::Pozzi ::Schrefl 
::Andrea ::Ellis 
::Naveen ::516 
::Au ::Kossmann 
::Val ::Yih 
::Update ::Dense 
::Arnold ::Languages 
::356 ::Odysseas 
::Frank ::Golshani 
::Jnsson ::Tsong 
::559 ::Rahm 
::Ptool ::Krll 
::Kwei ::442 
::Commentary ::Libkin 
::Shasha ::Recurrent 
::Restrictions ::Terry 
::HyperStorM ::Gray 
::Gnter ::van 
::Case ::Li 
::Windows ::Preliminary 
::Radzyminski ::Writes 
::Souza ::Ulrike 
::204 ::Leonardo 
::SENTINEL ::View 
::Tailoring ::Compatible 
::Navin ::Outerjoins 
::Executions ::Facility 
::Neighbor ::Commitment 
::Manola ::407 
::Woelk ::Outerjoins 
::Expert ::Mohammed 
::SAP ::350 
::Web ::tree 
::Breiteneder ::486 
::sets ::Ado 
::Gottfried ::Stephan 
::Bruce ::Deshpande 
::DOODLE ::Case 
::Furtado ::Processing 
::K ::Moshe 
::Oscar ::Gale 
::Sheldon ::Sensed 
::Sampaio ::Sun 
::Curry ::Alain 
::Silberschatz ::16 
::yiu ::Daniela 
::Middle ::Jaime 
::Facilities ::Phil 
::Kennedy ::414 
::541 ::87 
::Office ::Transactions 
::Andries ::AssociationRules 
::54 ::Motakis 
::External ::Acharya 
::Priti ::Optimized 
::Uz ::Right 
::483 ::METU 
::Bayardo ::Query 
::Establishing ::Broadcast 
::Quantified ::System 
::Leonardo ::115 
::Salvatore ::Optimization 
::Mecca ::282 
::Allen ::III 
::Sang ::Alex 
::Assurance ::Sagalowicz 
::Extensible ::Lessons 
::580 ::Delcambre 
::Hellerstein ::Bandwagon 
::Malcolm ::Stuart 
::79 ::Neighbor 
::Number ::Cubes 
::HG ::Consens 
::387 ::492 
::Notions ::Quasi 
::Kasi ::Mario 
::George ::Inverted 
::Search ::Goh 
::Marianne ::Goel 
::Pramanik ::Woolf 
::McGuinness ::Gerald 
::Zoerntlein ::234 
::Jumping ::93 
::522 ::Knowledgeable 
::Paton ::Sakti 
::Sang ::Programming 
::Carrie ::Christian 
::Radek ::Gilles 
::Dataflow ::Davood 
::Arbee ::ARIADNE 
::583 ::Efficiently 
::329 ::Center 
::Theory ::line 
::Boral ::Manolopoulos 
::Merialdo ::97 
::Biswadeep ::Imielinski 
::Seluk ::4th 
::First ::Alistair 
::137 ::518 
::Budet ::Warehouses 
::3D ::Goyal 
::Unstructured ::Function 
::Woelk ::Timos 
::24 ::Wells 
::Lipski ::Tradeoffs 
::Achyutuni ::Sergey 
::Daniels ::245 
::SBBD ::San 
::Karlapalem ::Updates 
::Kennedy ::Issue 
::EUG ::Chih 
::86 ::Table 
::Meeting ::Technical 
::Strategy ::Schrefl 
::using ::Harald 
::65 ::Stolfo 
::SE ::Modules 
::Anonymous ::Lakshmanan 
::Kfer ::Tryfona 
::Gadi ::Nori 
::Flaws ::416 
::Metrics ::Spotfire 
::Helal ::Support 
::Level ::Yixiu 
::Maxine ::Bennet 
::Soumitra ::292 
::Mario ::Hugh 
::Types ::Status 
::416 ::Andreas 
::Techniques ::Stochastic 
::Lukas ::150 
::Images ::Subrahmanian 
::Store ::Semistructured 
::Extraction ::Chair 
::eva ::Retrieval 
::Personal ::Kfer 
::Dogac ::automatic 
::WORM ::207 
::Yasushi ::Zaharioudakis 
::Document ::231 
::Kupsch ::Oded 
::Roland ::Lamersdorf 
::Quest ::Patterson 
::Trueblood ::Concerning 
::418 ::Ohori 
::Beat ::Sean 
::Problems ::Publication 
::Mackay ::Bill 
::276 ::Guidelines 
::Joachim ::STARTS 
::Range ::Sudhir 
::Max ::Programs 
::Breaking ::Scalable 
::Structural ::Zdonik 
::Safe ::Kemper 
::King ::353 
::112 ::Krithi 
::line ::Stefano 
::Summary ::Schrefl 
::Kang ::294 
::Zou ::Claire 
::273 ::King 
::Predicates ::Reich 
::Fishman ::Ashish 
::Eliot ::Ecklund 
::DBA ::Features 
::Codes ::Vijay 
::Processing ::Alonso 
::Quasi ::Jeffrey 
::Processibility ::Date 
::Bernhard ::Hall 
::Gilles ::Peng 
::D ::282 
::ETH ::353 
::Vervaet ::Gerlinde 
::Goldman ::Strengthen 
::Nag ::Prolog 
::Annotating ::FaceKit 
::Schwarz ::Barinderpal 
::32 ::235 
::Ee ::Indexing 
::Yu ::No 
::50 ::Prototype 
::From ::Servers 
::Policy ::Ensuring 
::Curry ::262 
::Xiaoyang ::Market 
::Shane ::Web 
::Ambuj ::Fowler 
::366 ::Koch 
::Fabret ::attribute 
::Evaluation ::UDK 
::Jenny ::Prototyping 
::Jones ::CSA 
::Darrell ::Expensive 
::Hashing ::Troyer 
::Prospector ::With 
::Pages ::Natural 
::Metric ::462 
::Zat ::BIRCH 
::Niki ::Baldeo 
::Brodsky ::UIS 
::576 ::Kemper 
::Stefano ::36 
::Pozzi ::486 
::Partitioning ::Sagonas 
::David ::112 
::Harumi ::Dewan 
::Yezdi ::Swami 
::Gerd ::Fragments 
::Rakesh ::Franz 
::337 ::Content 
::Displays ::Interoperable 
::line ::551 
::or ::Dong 
::Energy ::Graphical 
::Scaleable ::Leonard 
::Hierarchical ::SPARC 
::IMPRESS ::Negotiation 
::Borgida ::Abiteboul 
::Extension ::Yang 
::Seluk ::Klauser 
::Historical ::Bushy 
::Ada ::Trees 
::Restrictions ::551 
::Ward ::Andrea 
::Buchmann ::Wolf 
::Stuart ::Vervaet 
::64 ::470 
::were ::Doan 
::Reconstructed ::87 
::REpository ::Disc 
::Distributor ::Steven 
::Paolo ::26 
::Leonid ::Marcel 
::Neptune ::Up 
::Sarda ::Ad 
::Queensland ::Perspective 
::Effective ::Toward 
::The ::Merialdo 
::Tsatalos ::Sten 
::Libraries ::Donovan 
::Jukic ::Kowarschick 
::Celentano ::Thinksheet 
::Ramamohanarao ::512 
::219 ::113 
::How ::Nori 
::Panagos ::Robertson 
::Eric ::Jerry 
::Plateau ::Strengthen 
::Tannen ::Tryfona 
::450 ::Interface 
::Fry ::470 
::OLAP ::Ross 
::543 ::Barber 
::400 ::307 
::Ling ::Abstraction 
::Hasselbring ::Tomlinson 
::Sten ::Best 
::article ::81 
::Leo ::Tsangaris 
::Vincent ::75 
::Acitivities ::Bitton 
::Altintas ::Use 
::Years ::Centre 
::Kumar ::Tetelbaum 
::Function ::Differential 
::Vipul ::Hypothetical 
::Leonardo ::Report 
::Forms ::Interface 
::Contextualizing ::Jason 
::Gary ::Impact 
::0 ::Plateau 
::Inapplicable ::Hierarchy 
::an ::yiu 
::Daniels ::8 
::Residues ::Reuter 
::Yihong ::Generalized 
::Graefe ::Compensation 
::Pernici ::93 
::Time ::Tamer 
::Bertram ::Beat 
::Valery ::228 
::Interfacing ::Rao 
::Souza ::Wechsler 
::Duri ::Infinite 
::Availability ::Navarro 
::Wilson ::Easy 
::Rakesh ::Office 
::Dozier ::Perry 
::398 ::Min 
::Adali ::Volker 
::Machiavelli ::Rex 
::Fred ::through 
::Swami ::Morpain 
::Hppler ::Parallel 
::Hot ::Sang 
::Mehdi ::Stonebraker 
::Enhanced ::Extension 
::Jean ::Vardi 
::Daniela ::David 
::McAuliffe ::Didier 
::160 ::For 
::Federation ::Rapid 
::Lakshmanan ::Dietrich 
::Grandi ::Wiederhold 
::Naveen ::Hallmark 
::Qaimari ::GESTALT 
::Salza ::Souder 
::Mishra ::Gibbs 
::Interpreted ::Ashish 
::Nesting ::Walters 
::41 ::Delayed 
::96 ::Amouroux 
::DeeDS ::Agents 
::Display ::Marian 
::Chaudhary ::498 
::Stable ::Kosmas 
::Finally ::Optimization 
::Angelika ::262 
::Shapiro ::Kam 
::Everthing ::Warehousing 
::Leonard ::Integration 
::Snapshot ::Modelling 
::Visualisation ::Sten 
::225 ::Klas 
::Chair ::576 
::Gregory ::Moscarini 
::Tarantino ::Paris 
::Joosten ::Andrzej 
::Scacchi ::Commercial 
::Klusch ::Interval 
::Sources ::Values 
::Haradhvala ::Experimental 
::Choo ::OR 
::Gonzalo ::Iterative 
::Infrastructure ::Concepts 
::Compiled ::214 
::Braunmller ::Lawrence 
::Shoring ::Mapping 
::Mark ::Take 
::Erich ::Development 
::174 ::Explanation 
::51 ::The 
::Hashing ::Distributor 
::Wolfson ::Allen 
::Davison ::Upon 
::Ming ::Karvelis 
::Hirata ::Stavros 
::473 ::Keim 
::To ::Tsong 
::Hara ::Plans 
::Cvetanovic ::Freeman 
::ITASCA ::Tolerance 
::Mohammad ::71 
::Yeung ::Counting 
::Laver ::Hector 
::Wade ::Sleepers 
::Biswadeep ::Exploiting 
::Panel ::There 
::CICS ::Pedro 
::Vossen ::Earl 
::Case ::429 
::Abel ::Alon 
::104 ::Johann 
::LRU ::Abbadi 
::zsoyoglu ::Networks 
::Natarajan ::Wiest 
::389 ::Alon 
::Braunmller ::DBMiner 
::Tool ::Altinel 
::Mobile ::Siegel 
::Nikos ::Khn 
::Consistent ::Berchtold 
::Hasanat ::ADBMS 
::Wimmers ::T 
::memory ::Hoc 
::351 ::ONTOS 
::M ::Bill 
::VLDB ::Abdelsalam 
::Striping ::Persistence 
::Separation ::Transitive 
::Sizes ::r 
::Conversion ::Leonard 
::133 ::Budet 
::Step ::Bukhres 
::Zirm ::Fernandez 
::245 ::Machine 
::Yu ::Kerry 
::Funding ::Visualization 
::Thyssens ::Shamkant 
::Koperski ::Kawaguchi 
::Gerlinde ::Inegration 
::Trickey ::Kosmas 
::26 ::zsu 
::Teradata ::Symmetric 
::Gultekin ::Amihai 
::Cammarata ::Benchmark 
::Swift ::Pierangela 
::NASA ::Srikant 
::Processors ::Experience 
::Safe ::401 
::Interoperability ::Nikhil 
::Event ::85 
::Forte ::Dataflow 
::Matthew ::Nikolai 
::authors ::150 
::Wang ::Latha 
::Levine ::184 
::Jignesh ::Into 
::521 ::Features 
::Yixiu ::they 
::Atri ::Narain 
::Recovery ::Wesley 
::Jean ::7 
::Self ::Garcia 
::232 ::Study 
::Ensuring ::325 
::Gnauer ::Laurent 
::Jos ::Stolfo 
::Larouche ::Kenneth 
::Processing ::Itemset 
::Davidson ::Pattern 
::Hugh ::TODS 
::Arun ::PRIMA 
::ETH ::Eich 
::George ::User 
::GOOD ::Determinism 
::Recurrent ::Complex 
::Heterogeneous ::323 
::Zirm ::Prolog 
::Convent ::367 
::Warehouse ::Announcement 
::Kabiria ::Shasha 
::Jianguo ::Connell 
::Overview ::206 
::Identity ::Vijay 
::Moshe ::Shapiro 
::Widoff ::Per 
::Wedekind ::268 
::Complexity ::Linkage 
::Merge ::Antonia 
::109 ::Quest 
::Sagonas ::Vance 
::Chaudhuri ::Executions 
::Solutions ::Spaces 
::Cubetree ::252 
::Web ::Gadia 
::Simple ::Ballinger 
::Ouri ::Klonk 
::Hellerstein ::Dynamics 
::Maheshwari ::XSB 
::Livny ::Milo 
::122 ::Franklin 
::Moira ::Bauyer 
::Repository ::491 
::Shenoy ::Interaction 
::CODASYL ::466 
::Terms ::Institute 
::Z ::Geographic 
::Shared ::Multiattribute 
::109 ::GIS 
::Viewpoint ::Hanan 
::Visualisation ::Codes 
::547 ::Exploiting 
::Role ::Mikael 
::483 ::Proposal 
::Forms ::Poosala 
::Tsur ::Advanced 
::535 ::Gray 
::Semantics ::Protocols 
::Schiefer ::Amouroux 
::Hellerstein ::43 
::Practice ::McLeod 
::68 ::1994 
::Barinderpal ::Wolfgang 
::Croft ::Walker 
::419 ::Subsequence 
::Clustering ::Dependence 
::Goel ::Brachman 
::Wildcards ::OODBMS 
::Mapping ::Basket 
::Marcel ::Keller 
::Transient ::461 
::Ptool ::Annie 
::Carter ::Khn 
::Haritsa ::Industrial 
::Dusseau ::Magic 
::Dirk ::Versus 
::Val ::50 
::Goetz ::490 
::Selfridge ::Hong 
::During ::148 
::29 ::Dependencies 
::193 ::Kitagawa 
::Mixed ::Girish 
::Mostly ::SE 
::Gnther ::Zat 
::DBLearn ::QuickStore 
::Forms ::Guest 
::505 ::Guest 
::Auwera ::Brin 
::311 ::Testbed 
::Vander ::Exploration 
::Pierangela ::issues 
::Bhide ::zsoyoglu 
::Achievements ::Space 
::Schuble ::111 
::Ashish ::Step 
::Rewrite ::data 
::OGDI ::Bruce 
::On ::124 
::Thatte ::Segev 
::Ilker ::Darrell 
::Papakonstantinou ::Chaudhary 
::Machiavelli ::Ibrahim 
::163 ::Federation 
::Autonomous ::Kawaguchi 
::Integrating ::Mitschang 
::Nori ::Enhanced 
::Process ::469 
::Beach ::Kim 
::Sellis ::Index 
::Networks ::Optimizing 
::Kennedy ::Rolland 
::Mariagrazia ::Ksiezyk 
::Already ::Mark 
::Karvelis ::Woodruff 
::Survey ::235 
::Salzberg ::Maxine 
::Vista ::Edwin 
::Seeded ::Realizing 
::Quantified ::Jorge 
::Nag ::Lipski 
::Sylvia ::Behavior 
::406 ::SR 
::AssociationRules ::Policies 
::Pratt ::Syntax 
::NTHU ::Sylvia 
::Main ::Birgitta 
::Reply ::Back 
::Er ::Disjunctive 
::549 ::Reconciliation 
::Hui ::GESTALT 
::Characterization ::21st 
