::Neel ::412 
::Outstanding ::245 
::HuhtalaKPT98 ::Colby 
::22851146 ::15310345abs 
::ChrysanthisR94 ::KashaniS08 
::1628 ::Match 
::Search ::Intersection 
::22850353 ::Davood 
::Jae ::Elements 
::Uncertainty ::KoudasS05 
::Duan ::Georges 
::Automatic ::Image 
::Kapantaidakis ::Representation 
::HuangJLO06 ::er 
::Colors ::KashaniS06 
::Attribute ::547 
::Mohan94 ::Ammar 
::Lapped ::Brenninkmeijer 
::Clio ::Ramasamy 
::4497580 ::Harizopoulos 
::P182 ::Vanitha 
::Trends ::Rezgui 
::Column ::Eun 
::Elmagarmid92 ::Chen 
::P014 ::Eavis 
::1459 ::1436 
::615 ::Rakesh 
::Tanaka ::Shyu 
::Rewriting ::Yi 
::HasanM95 ::MozafariTZ08 
::4497581 ::Ioannidis 
::PatonDWCDJ93 ::Series 
::Murat ::Lot 
::567 ::Unified 
::Redo ::mss 
::Krmer ::Kasthurirangan 
::952 ::Mukesh 
::Shah ::Yiheng 
::Sergej ::coopis 
::column ::1131 
::1248 ::Jakob 
::I ::15310453 
::Expressions ::Fernandes 
::1473 ::Moshe 
::Dongwon ::Nahum 
::Shunsuke ::Nested 
::OLTP ::Murthy 
::Qiang ::MUSE 
::Vasilis ::Ponnekanti 
::GoelSYZ02 ::22850656abs 
::Simple ::SilberschatzSU91 
::33 ::1144 
::Supply ::Sudarshan 
::4497557 ::PanZW08 
::KiferKS92 ::Guarantees 
::Enterprise ::OzdenRS98 
::Ryo ::Sanjeet 
::DarFJST96 ::Xiaojin 
::BlakeleyCERW05 ::Horibe 
::914873 ::Vladislav 
::GravanoGT94 ::Improving 
::Postgres ::Jos 
::4497523 ::Rajamani 
::22850471abs ::Grahne 
::Grtner ::AggarwalCH06 
::CORBA ::Recycling 
::Sudipto ::DanielsSHLMWW82 
::Shivnath ::10010473abs 
::22850193abs ::Scalable 
::P164 ::DCbot 
::35 ::Middleware 
::Ihab ::Hannu 
::Crowd ::Marko 
::Vassiliadis ::CopelandK85 
::BargaP95 ::732 
::stoc ::Indriyati 
::SeegerK90 ::Jagadish91 
::WiwatwattanaJ08 ::HarrisonD92 
::MullerDEF01 ::Pervasive 
::Regulation ::Hailong 
::KwietniewskiWTGGJJN08 ::Regions 
::1364 ::Tufte 
::Maya ::nwosuTB96 
::914866 ::Baker 
::4497575 ::1998 
::Sugimoto ::Bingsheng 
::Accurate ::Skippy 
::Prasan ::Cunningham 
::Efficiently ::952 
::Realization ::HowardKMNSSW88 
::Tetsuya ::35 
::306 ::Sengar 
::Indicators ::22850242abs 
::Cattell96 ::Goh 
::Elizabeth ::4497416 
::Yufei ::Ka 
::M ::SAP 
::Identification ::1023 
::Inventing ::ObermeierBHCS08 
::CandanHS98 ::ShiZ05 
::1497 ::Korolova 
::BouganimFPV01 ::h 
::CORBA ::4497624 
::Three ::Diagnosing 
::JayapandianJ06 ::Industrial 
::253 ::Yan 
::1361 ::Byoung 
::22851115 ::15310383abs 
::CormenLR89 ::Vlachos 
::Autonomic ::Basit 
::15310053abs ::SubrahmanianJ96 
::CruzALRZ97 ::Rasin 
::Kanaya ::JohnsonK84 
::osdi ::Dam97 
::HuangG01 ::Anti 
::1052 ::AcharyaAFZ95 
::Masayoshi ::157 
::Importance ::Diego 
::Maximum ::Duan 
::Anirban ::ZhouP08 
::Selinger ::AITVS 
::Hmmer ::AndritsosFM06 
::ACT ::KeulenKA05 
::Yokota ::ContinuouslyMoving 
::15310017abs ::Sarawagi95 
::MishraE92 ::Gionis 
::914834 ::Wichterich 
::IkedaMITHHO05 ::1334 
::Xuqing ::Vries 
::Weihl87 ::70 
::15310029abs ::Robinson81 
::Damdinsuren ::StodolskyGH93 
::309 ::Nguyen 
::Lasse ::Lyman 
::Loading ::Hee 
::Approach ::Scannapieco 
::Anup ::KumaranCH06 
::Lieberman ::v8 
::GrustKGHS97 ::Yaping 
::kim95 ::TianP08 
::Christos ::Salzberg88 
::GeZ08 ::DelisR94 
::15310453 ::Bossi 
::4497537 ::Huang 
::22850357 ::Yufei 
::P144 ::Administration 
::4497581 ::15310697abs 
::4497487 ::Krger 
::KimCD05 ::Reiss 
::GaoHPSA06 ::Shan 
::AnYS01 ::Boat 
::Krmer ::Tears 
::Anant ::Facet 
::ChenLL08 ::Down 
::Device ::22850828abs 
::Architecture ::1418 
::toms ::521 
::473 ::Shahabi 
::ColbyGLMT96 ::1498 
::947 ::Knig 
::Vlachos ::581 
::FLWOR ::Shishir 
::Terracina ::Constant 
::Das ::4497406 
::4497635 ::Theodore 
::AdibaL80 ::KeCN06 
::QianW91 ::1583 
::Andreas ::MIC 
::LiuYT05 ::15310335 
::Stella ::N 
::Luc ::Cyclic 
::Click ::Lipyeow 
::Oriented ::Amit 
::Zhuge ::Sylvia 
::Skylining ::Assuring 
::4497604 ::Sunita 
::Khatchadourian ::Yee 
::ZhangLXKW06 ::Filters 
::Michal ::4497424 
::Binnig ::Certain 
::Tears ::YiuM06 
::Sylvia ::Bringing 
::Terzis ::693 
::Porkka ::4497398 
::Selecting ::Sotiris 
::Rewriting ::Ashraf 
::P209 ::Hee 
::Feltes ::AssfalgKKKPR08 
::1544 ::Cong 
::NguyenS96 ::695 
::Azer ::Melnik 
::914816 ::Watzke 
::274 ::Concept 
::SchallehnSS02 ::Topol 
::Gamper ::IpeirotisNCG05 
::ChuK89 ::22850032abs 
::WolskiKP96 ::1134 
::Choreographies ::Hendrik 
::4497442 ::ChonAA02 
::352 ::acm 
::Mover ::1584 
::Rimma ::10010215abs 
::ChenWWM06 ::LimB08 
::Ferrari ::BakalovT08 
::Annotating ::Burns 
::484 ::1229 
::Knuth73 ::Carlos 
::Construction ::914811 
::Kemper ::4497434 
::Clean ::1334 
::DimitrovaG94 ::Nan 
::1339 ::Atallah 
::LudascherGM01 ::10010143abs 
::ZhouTZ06 ::BlottRS96 
::Yao ::Sridhar 
::Definitions ::4497537 
::Dunja ::66 
::Disparate ::Lavelle 
::Yuhui ::X05o 
::Sinha ::Dik 
::Hiroomi ::BernsteinN96 
::Practical ::Minghua 
::Glimcher ::DakkaI08 
::993 ::481 
::PapadiasT97 ::DohertyHR96 
::Berchtold ::iandc 
::Jeong ::FerhatosmanogluTAA01 
::668 ::697 
::270 ::53 
::22850285abs ::tit 
::Leutenegger ::Community 
::StolteA02 ::GardarinST96 
::852 ::Ntarmos 
::1112 ::SismanisR05 
::Lag ::OGormanAA02 
::Dennis ::165 
::Effect ::BlakeleyLT86 
::193 ::312 
::Eket ::Xing 
::Multicast ::Nora 
::Weiyi ::1005 
::Perfect ::Papakonstantinou 
::841 ::ONeilQ97 
::Cyrus ::Zipf49 
::Ramamohanarao ::Zhuge 
::Holistic ::WilkinsonN90 
::ChiS05 ::IHE 
::P380 ::Marx 
::15310273 ::Nambiar 
::639 ::Winslett 
::Raman ::X08 
::4497420 ::Albrecht 
::ZhouYGCD08 ::Laboratories 
::driven ::ZhangWL08 
::Jimeng ::and 
::ZhangLXKW06 ::KitsuregawaO90 
::Streaming ::DaiKSTV08 
::crossref ::1137 
::914845 ::Convoy 
::Bravo ::Patterns 
::X06 ::CruzALRZ97 
::Cube ::Importance 
::Common ::75 
::15310264 ::626 
::Ziv ::957 
::952 ::OLE 
::Phrase ::Ilyas 
::Nejdl ::Chon 
::Xiaolei ::298 
::4497555 ::Zhang 
::1111 ::Aranyak 
::Bakalov ::Disease 
::Wierman ::Mehrotra 
::BargaLW02 ::581 
::208 ::Overlay 
::Kashyap ::416 
::Degradation ::NieWWM06 
::Alexe ::4497628 
::Effective ::Response 
::587 ::15310331 
::Alexandros ::873 
::Haibing ::1624 
::828 ::1229 
::Execution ::MohanN91 
::Pontieri ::MIC 
::Isaac93 ::Did 
::914847 ::High 
::SayalCDS02 ::Voronkov 
::Telecommunications ::214 
::Pucheral ::Green 
::Roitman ::Clustered 
::Ngu ::Air 
::Prabhakaran ::Composition 
::Sashikanth ::ChenRDEGS06 
::Directed ::Improved 
::Naomi ::Semi 
::RinderleWR06 ::122 
::SedmidubskyBDZ08 ::Semantics 
::Bedell98 ::Towards 
::Modern ::Lynch83 
::Dragut ::Yao 
::1366 ::Jim 
::Wan ::Lieuwen 
::1239 ::Wilson 
::NAPA ::AbiteboulCM95 
::Arshad ::SNAP 
::QPipe ::Valduriez93 
::Industry ::Qin 
::FranklinCL93 ::NAPA 
::Amza ::Duplicates 
::bda ::Terzis 
::BerchtoldBK98 ::Charging 
::KoblerBCH95 ::KanoulasDXZ06 
::csur ::ONeil87 
::Mladenic ::Poulsen 
::Fred ::1459 
::Weiyi ::4497622 
::Jagan ::KanagalD08 
::Wolski02 ::GyssensLS96 
::914840 ::Avoiding 
::Bases ::Heerde 
::designed ::116 
::Olivier ::Ioannis 
::enough ::Conditional 
::Early ::Gting 
::BonczKK96 ::Dam97 
::Yanif ::Watanabe 
::Lin ::Complex 
::Semistructured ::Anomalies 
::Ioannis ::Bilke 
::Anton ::YounSun 
::Susanne ::GoelSYZ02 
::Synthesizing ::512 
::Yao ::Temporal 
::LjosaS08 ::WeissDG95 
::AslandoganTYLN95 ::LuoNEW05 
::SquicciariniPB08 ::Korolova 
::Kifer ::15310498 
::KochSS08 ::15310001 
::Maryann ::Hallett 
::Alexe ::Consistent 
::Cattell91 ::Leslie 
::Application ::Warner 
::NeT ::BernsteinGWRR81 
::Importance ::Filippo 
::Multiple ::149 
::1510 ::KlemettinenMRTV94 
::522 ::135 
::Margaret ::15310275 
::Transparent ::Silberstein 
::76 ::Renner 
::Shigeru ::AITVS 
::Specialization ::avi 
::SunAA02 ::Tabular 
::Idea ::Compliance 
::Ravada ::Schning 
::GukalOR96 ::ChenR05 
::ChenH01 ::15310485 
::Tat ::Coordinated 
::sigmod ::Ravishankar 
::581 ::Mary 
::Load ::Pandey 
::Malin ::C 
::Bernhard ::Models 
::Airoldi ::LiebermanSS08 
::Characterization ::ReissRKZV08 
::175 ::Demand 
::Decomposition ::String 
::SPOT ::Invariant 
::Architectures ::Scaling 
::Kalogeraki ::ACT 
::Xifeng ::Preemptive 
::HjelsvoldM94 ::Roy 
::GardarinGT95 ::STAG 
::Fung ::HanFWCGKLLRSXZ96 
::ChangYDA88 ::10010131abs 
::503 ::Krithi 
::22850791abs ::Prodromos 
::Ledlie ::QiaoRNPCFRCYL08 
::Gedik ::DarFJST96 
::144 ::bit 
::Lohman ::KohLHA08 
::Batched ::ShalemB08 
::Samples ::Bakalov 
::Decayed ::Reviewers 
::Ahmet ::Klaus 
::Il ::Souripriya 
::1101 ::489 
::Classification ::Carl 
::876 ::175 
::Robinson81 ::P412 
::Alomari ::22850298abs 
::GyssensLS96 ::914832 
::914835 ::Menzo 
::492 ::lisa 
::4497476 ::Hash 
::641 ::LieuwenD91 
::DeshpandeH08 ::Molina83 
::WRAP ::914872 
::Pathak01 ::Satoh 
::22850580abs ::Zou 
::Speeds ::1459 
::Characterizing ::Kasneci 
::Nahum ::Lan 
::Ying ::Kubota 
::496 ::Wright 
::AslandoganTYZR97 ::WhiteJ96 
::4497483 ::Shoshani 
::Johannes ::Feifei 
::Watanabe ::ChenR94a 
::1385 ::CarminatiFB05 
::Jaffar ::Mourad 
::1424 ::Practice 
::Nogayama ::4497518 
::Optimizations ::Hartmut 
::Weld ::1121 
::Wolski02 ::What 
::992 ::Sashikanth 
::Stavros ::Sashikanth 
::Dam97 ::Koutrika 
::DeWittKOSSW84 ::Back 
::AkindJLS02 ::GruenwaldBP06 
::Hope ::Cristiana 
::LiL08 ::285 
::22850384abs ::4497576 
::Manocha ::bncod 
::1111 ::P294 
::957 ::22850502abs 
::Bates ::927 
::Goetz ::Interfaces 
::From ::1360 
::1048 ::AugstenBDG08 
::Architecture ::949 
::MD ::Panella 
::Seluk ::Padmanabhan 
::4497473 ::Shurug 
::360 ::Explaining 
::Jrme ::P220 
::1534 ::Constant 
::Molina08 ::1249 
::Syeda ::1081 
::Metric ::Barga 
::774 ::306 
::BanerjeeC96 ::Silva 
::190 ::Marx 
::Methodical ::About 
::JaffarYZ06 ::1372 
::15310496 ::63 
::100 ::Campi 
::Ozcan ::4497429 
::BanerjeeC98 ::Hypermedia 
::4497435 ::Wavelets 
::Ramakrishnan08 ::Rafiei 
::Michalis ::Zina 
::processing ::Oguzhan 
::Abdelmounaam ::Hardware 
::Ramasamy ::Tuan 
::52 ::Paloscia 
::Carlo ::Lightweight 
::Hoffmann ::Procedures 
::JadavGL97 ::Authentication 
::Papadopoulos ::KoblerBCH95 
::icdcs ::4497593 
::BurnsDILP08 ::323 
::QuassWGHLMNRRAUW96 ::4497398 
::GhinitaTK08 ::Kimutai 
::MartinGH08 ::Reiss 
::Reporting ::Kossmann 
::WatanabeY05 ::Proxies 
::Exponentially ::Freeston87 
::4497500 ::Area 
::Ahn ::Saake 
::dke ::Composition 
::Krkkinen ::icdt 
::398 ::Lag 
::Leveraging ::Structured 
::Nicholas ::Load 
::Constant ::1537 
::Mining ::Structures 
::e ::Pham 
::Anthony ::ShafiqSBG06 
::Cost ::Generalized 
::462 ::P209 
::15310263 ::453 
::Sharad ::RoitmanGR08 
::Mudumbai ::4497475 
::Spreadsheet ::Postgres 
::4 ::TelegraphCQ 
::Restructuring ::262 
::Yafei ::4497414 
::Andrei ::Management 
::AbiteboulHB99 ::BerchtoldKK96 
::1388 ::992 
::4497602 ::ShethR93 
::ZouSL98 ::Monitoring 
::Amarnath ::AugstenBDG08 
::Anup ::Clemens 
::Weddell92 ::660 
::KriegelHS91 ::Warehouse 
::Puzzle ::4497589 
::4497605 ::498 
::Burns ::Knuth73a 
::Govindaraju ::Chi 
::UDB ::mm 
::41 ::Aoki 
::Gerhard ::4497567 
::Pinto ::LuoWL08 
::MOOLAP ::Zukowski 
::SeshadriLR96 ::Andrea 
::Ryvkina ::Advanced 
::Bohannon ::4497442 
::PalopoliTU01 ::136 
::GibbsBT94 ::CareyDFHMNSSTTWZ94 
::Arijit ::992 
::LiC98 ::Sakurai 
::pdis ::Alkis 
::Sentiment ::Partnership 
::Qingchun ::Change 
::4497438 ::684 
::KeCN06 ::Mortazavi 
::MiahDHM08 ::Activities 
::370 ::with 
::Shaull ::AtzeniCB05 
::TaoPZ02 ::Exploiting 
::AmzaCZ05 ::CPU 
::Terms ::IvanovaKN08 
::OLAP ::15310503 
::876 ::David 
::Active ::Ehud 
::Selection ::FaradjianGB02 
::Forecast ::Jerry 
::Intelligence ::DeshpandeH08 
::Leonid ::630 
::633 ::GionisMT08 
::BrakatsoulasPT05 ::471 
::Provable ::292 
::Moon ::4497608 
::Arocena ::JadavSCB95 
::Tight ::Michal 
::DeWittFMV90 ::914869 
::625 ::VaidyaC05 
::1115 ::Vana 
::Hull ::IshikawaIKH92 
::Resolution ::Human 
::Jhingran ::Principled 
::HoweM05 ::165 
::Jensen ::Hadjieleftheriou 
::s ::1604 
::Vishal ::Vaithyanathan 
::SmythG91 ::Castro 
::AbiteboulHB99 ::Greene89 
::Randomized ::YuHC05 
::once ::FranklinC92 
::Thanh ::Takuya 
::Chalamalla ::85 
::CammertKSV06 ::Sadhukhan 
::Oracle ::Filtering 
::Lakshmanan ::Teamwork 
::Multimodal ::ChiuehB08 
::Arnon ::593 
::Anurag ::592 
::MalikBC05 ::ADT 
::Re ::1082 
::with ::Martinenghi 
::Yoshizawa ::4497550 
::Blocking ::eBusiness 
::1239 ::Congjun 
::WangRM06 ::Refresh 
::Function ::Li 
::Harwood ::656 
::Tassa ::57 
::Peery ::20 
::Specification ::Optimal 
::Dogac ::SistlaY96 
::DuschkaL97 ::261 
::4497454 ::Match 
::Kumar05 ::EsterKSX96 
::SilbersteinHYY05 ::Tiancheng 
::JoshiJ08 ::KreveldO91 
::Kitagawa ::PolyviouSE05 
::SegevF90 ::15310235abs 
::Suppression ::Tran 
::LakshmananRS08 ::Banerjee 
::4497503 ::Planning 
::Based ::SavasereON95 
::LiCHH97 ::Pervasive 
::OWL ::Sean 
::Juchang ::313 
::Sizov ::Expensive 
::Cube ::LiCKB06 
::In ::McKenna 
::KornSFSP96 ::22850865abs 
::Philip ::1500 
::ZhangRL96 ::Protocols 
::Dunn ::Griffiths 
::BernsteinGWRR81 ::Folding 
::Alomari ::Represented 
::Powerful ::Complex 
::Doan ::Manjhi 
::Laurent ::ROL 
::Vazirgiannis ::Byron 
::AmzaCZ05 ::Cahill 
::Swaroop ::Shiyan 
::Puzzle ::LeeMCC02 
::Needs ::68 
::Guting94 ::728 
::1390 ::1596 
::Legacy ::RoussopoulosL85 
::Elfeky ::Cattell94 
::LuoNEW05 ::AbiteboulCM95 
::Tomkins ::Sweeney 
::914831 ::Elmagarmid92 
::Swart ::Traffic 
::Krithi ::Jiangchuan 
::1615 ::Toivonen 
::Manjhi ::PagelSTW93 
::1503 ::XM 
::Sheu ::Shouxu 
::890 ::22850471abs 
::Untrusted ::Kien 
::Prefetching ::Rene 
::277 ::Subarna 
::484 ::Andrey 
::Lal ::tit 
::RoussopoulosL85 ::619 
::Oracle8 ::Increasing 
::Nrvg ::ChenRDEGS06 
::Wayfinder ::Fathima 
::Enabled ::Locality 
::4497439 ::von 
::Datasets ::914849 
::Ferlez ::Bulut 
::MengLWG02 ::Reza 
::PajarolaOSSW98 ::Useful 
::ONeilG95 ::272 
::PfahringerK95 ::Wen 
::Sacc ::Takahide 
::Flood ::Meisen 
::Nested ::277 
::AfanasievGMRT08 ::Actionable 
::ShrivastavaMR08 ::Automatic 
::RAIDs ::h 
::Yongqiang ::Jos 
::Dragut ::P 
::633 ::AkindJLS02 
::Metadata ::Engine 
::McWherterSAH05 ::Measuring 
::Neal ::Rainer 
::Conference ::Multiple 
::Storing ::Imprecision 
::Signature ::Simulation 
::532 ::4497461 
::Ordering ::903 
::Mendez ::GriffinL95 
::156 ::Balaji 
::Gupta ::Brantner 
::Fatih ::1482 
::FLAME ::Networking 
::Davide ::Hman 
::CareyL91 ::Gonzalez 
::ProcopiucS08 ::FilhoTTF01 
::KoudasS05 ::Seltzsam 
::Declustering ::1180 
::Terlecki ::LiBRHCN05 
::Cruz92 ::396 
::59 ::Direct 
::Parasuraman ::1417 
::Lp ::Selinger05 
::MohanLO86 ::Elisa 
::Loading ::Pietzuch 
::Gmach ::Discovering 
::Dohnal ::zsu 
::1091 ::Inside 
::Freksa92 ::Taming 
::AutoGlobe ::MAN 
::Xing ::GoldingBSSW95 
::BrownH06 ::biased 
::PeiHL01 ::Bringing 
::WangLPAM06 ::Leakage 
::Teixeira ::AfanasievGMRT08 
::Xiaodan ::Alomari 
::Bry ::Coupled 
::Relevance ::PHASME 
::AbererH02 ::270 
::1473 ::compcon 
::Interpretation ::Winter 
::Dunja ::Hibino 
::Pathak01 ::Lal 
::Approximately ::Evaggelia 
::Shuqing ::Kyuseok 
::Earl ::Wombacher 
::GounarisYSD08 ::Doan 
::1588 ::22850422abs 
::P284 ::949 
::Cal ::Kahveci 
::802 ::ChangC02 
::741 ::Sridhar 
::Solutions ::PapakonstantinouAG96 
::Raymond ::285 
::icde98 ::Monotonicity 
::Constructs ::Milan 
::Indices ::Maher 
::XPath ::Hee 
::Pandey ::15310053abs 
::Ling ::Multi 
::Parasuraman ::Kapantaidakis 
::RoussopoulosKV95 ::Subarna 
::Koloniari ::Perrin90 
::Pratik ::AnciauxBHPA08 
::Estimation ::1388 
::Takahiro ::Flow 
::22850816abs ::Kreher 
::Prioritization ::Harold 
::Eberhardt ::Display 
::Hartmut ::1121 
::ebXML ::OGormanAA02 
::914845 ::Willem 
::Felber ::Browser 
::EROCS ::Gionis 
::Compressing ::Yuqing 
::507 ::Nguyen 
::NgOT02 ::Local 
::NagarajNRS08 ::Experiences 
::Fernandes ::GuPYC08 
::Tomography ::211 
::Isoline ::Miah 
::Thanh ::MD 
::Pautasso ::OrfaliHE96 
::IshikawaKOYKK98 ::Jakob 
::4497535 ::Improving 
::Hanyu ::Maxim 
::BravoFGM08 ::BrinkhoffKS93 
::Hoffmann ::22850890abs 
::Coordinate ::P296 
::LiuYT05 ::Common 
::Balakrishnan ::Revision 
::LentSW97 ::SEA 
::BeckmannHKN06 ::1169 
::NakamuraE02 ::ChungGS02 
::csur ::Eenjun 
::Bar ::Eng 
::Rys01 ::MetaQuerier 
::Meisen ::icde98 
::Sayal ::P036 
::What ::81 
::MoerkotteN08 ::Handling 
::Alejandro ::Gyu 
::Vlachou ::KahveciS01 
::15310341 ::Reza 
::BreitenederGT92 ::ArefS94 
::22851118abs ::Communication 
::BrinDG95 ::Rost 
::Neoklis ::1139 
::CLAN ::YanZH05 
::Mason ::YangLYX05 
::Servers ::LometBMS06 
::StearnsR81 ::Guido 
::MegalooikonomouWLF05 ::Quang 
::Haiyan ::Arocena 
::Iyengar ::39 
::Salt ::914812 
::1394 ::Georges 
::1328 ::WangXHZWZS08 
::Grouping ::Zachary 
::4497439 ::Wilson 
::SpinCircuit ::Halevy 
::WiwatwattanaJ08 ::Musicant 
::LoR94 ::mg 
::Rishi ::Eng 
::Skyt ::BerchtoldKK96 
::Huajun ::Creation 
::1199 ::Complex 
::Agrawal ::15310191abs 
::4497458 ::Copy 
::952 ::242 
::Suleiman ::PhanL08 
::Jimeng ::Larson02 
::Gnther ::Lp 
::Engineering ::LiuSYR98 
::Pandey ::Tilo 
::Wilfred ::XPaths 
::Esther ::15310261 
::456 ::MittalHH01 
::Stefanakis ::SPP 
::Sunbir ::Profiles 
::1627 ::KohLHA08 
::356 ::Concurrent 
::TheodoridisSS98 ::Songting 
::ONeil87 ::323 
::62 ::Stacie 
::128 ::Dewri 
::Floris ::Jayant 
::Arbitrary ::Huaiyu 
::CuiLXCDZ08 ::Sandra 
::StreamCorder ::Lomet98 
::Outerjoin ::HuaYL06 
::Shuang ::LometBMS06 
::Experience ::914862 
::Sergej ::Krishnaprasad 
::Density ::521 
::NetzCFB01 ::Kou 
::P486 ::Summary 
::DB ::ReissH05 
::1512 ::Kahn 
::445 ::426 
::Theory ::1364 
::fm ::Queuing 
::15310266 ::Process 
::262 ::From 
::WongA85 ::Gerstl 
::Graphs ::DahlinWAP94 
::title ::4497472 
::BodenCFKSSS95 ::mk 
::22850174abs ::Buffering 
::Soloviev93 ::integration 
::Chaudhary ::BrunoC08 
::Lars ::502 
::4497453 ::Abiteboul97 
::1147 ::Members 
::1393 ::Detect 
::UDB ::Calimlim 
::Elhadji ::815 
::301 ::hpts 
::Output ::914817 
::Cunningham ::DayalHL91 
::Shaped ::Needs 
::Balazinska ::1379 
::ArefCEFGHIMPRTTTVZ02 ::AbiteboulQMWW97 
::Padmanabhan ::Morse 
::Counts ::Ranganathan 
::Christos ::Convertible 
::4497512 ::An 
::DelisR94 ::15310617abs 
::103 ::TomasicRV96 
::Grel ::Kramnik 
::Subhash ::GukalOR96 
::1415 ::JagadishMM95 
::Participants ::4497436 
::1061 ::Boulakia 
::Snodgrass87 ::AmzaCDKLRYZ96 
::Shepherd ::Volker 
::StockerKBK01 ::Aoying 
::Internet ::FlajoletGPR93 
::KivinenM95 ::Kim95 
::4497624 ::Quadtree 
::Benchmarking ::TsatalosSI94 
::Csar ::1950 
::Uri ::AggarwalY08 
::237 ::813 
::430 ::Environmental 
::1317 ::1462 
::Mining ::Experience 
::Konrad ::Herlihy90 
::ChonAA02 ::Analysis 
::ChenJOT08 ::Summaries 
::HasanM95 ::StonebrakerRH90 
::4497580 ::Maskey 
::AssentWMS08 ::Interval 
::622 ::Cooperative 
::126 ::YipCN05 
::Barbara ::Active 
::Kashima ::Achieving 
::148 ::Devices 
::1399 ::Mappings 
::Two ::Smriti 
::Akinde ::QShuffler 
::Aoki ::4497485 
::Haggai ::Stonebraker 
::Sarbanes ::Has 
::Ravi ::MDL 
::ZhangWL08 ::NaackeGT98 
::1003 ::Rights 
::914840 ::22850446abs 
::Fei ::Molina08 
::YangSRG06 ::Calton 
::4497520 ::Strength 
::Rotem91 ::Andrzej 
::Untrusted ::Shoshani 
::with ::GohMS94 
::Gail ::Committees 
::Ramasamy ::Akrivi 
::PaduaW86 ::15310309abs 
::MishraE92 ::654 
::914818 ::Rastogi 
::Towards ::Result 
::icde2008 ::Communities 
::Sheth ::Rhm 
::Walid ::Workflows 
::Roberta ::FayyadPS96 
::Composite ::Graphical 
::LiC98 ::Has 
::Richard ::Object 
::Alvaro ::4497626 
::VlachouDNV08 ::Rajaraman 
::BertinoOYD05 ::Ouzzani 
::4497472 ::Syan 
::SirbuT95 ::Patterson 
::Matt ::Kendig 
::Syeda ::Arbitrary 
::DoanH02 ::Jiying 
::Markus ::William 
::Mauricio ::BeckmannHKN06 
::Stonebraker94 ::Deletes 
::McKenna ::839 
::Practice ::Sequential 
::Cudre ::Zeng 
::22850583abs ::BohannonPRSSS96 
::Automating ::Donghui 
::349 ::IHE 
::Margo ::Methods 
::BernsteinGLL98 ::914875 
::679 ::P134 
::Shiyan ::Zhuge 
::tree ::Visualizing 
::Telcordia ::Asonov 
::P503 ::Samet90 
::Display ::BayerHR80 
::640 ::Hwang 
::SheuW06 ::VenkataramanNL98 
::893 ::AutoLag 
::Koch ::AlonsoBC08 
::Nora ::Chiu 
::Alexander ::SistlaYH94 
::Eadon ::XuLTW06 
::Exploration ::Queries 
::Popivanov ::1145 
::YipCN05 ::Tania 
::driven ::Ashish 
::Oguchi ::543 
::P458 ::Dewri 
::Dayns ::Ives 
::Bhlen ::Roller 
::Verify ::420 
::Evaluation ::Reordering 
::ddb ::949 
::DeWittNS91 ::Computer 
::ZhouW08 ::Topol 
::Tier ::Gravano 
::Edison ::Rajasekar 
::JensenSS94 ::Panel 
::Vasileios ::PopivanovM02 
::Everyplace ::Mehr 
::ChorLRS86 ::4497619 
::Gjergji ::Skew 
::Lutz ::Haifeng 
::ParkCY95 ::Lindsay 
::ChaudhuriGK06 ::Rafiei 
::Anirban ::LupuY06 
::Datasets ::Schneider05 
::Milano ::Footprint 
::SquicciariniPB08 ::4497504 
::Ln ::Tirthapura 
::Srinivas ::OWL 
::Mengsheng ::1507 
::Eun ::Schlatter 
::497 ::XiongMA05 
::Sponsored ::350 
::Miss ::Subramanian 
::CormodeIKM02 ::Tamer 
::Matrix ::4497599 
::Bhavani ::Goldin 
::Footprint ::dblp 
::Malkemus ::PrabhakarAAA98 
::Heinlein ::Vasilis 
::Lal ::Technique 
::Kyun ::Decayed 
::Lucian ::AbiteboulK92 
::Gryz98 ::Filho 
::P108 ::DSI 
::Simple ::Filippo 
::Working ::Srilekha 
::Shen ::22850656abs 
::Designing ::Menzo 
::tm ::1560 
::Raffaele ::Mishra 
::url ::555 
::Text ::NievergeltHS84 
::Kou ::KeidlKKK02 
::4497603 ::Items 
::Daniele ::Relevance 
::Nina ::Elghandour 
::Traceability ::Enderle 
::Vana ::Automation 
::Xiaochun ::Amarjeet 
::ChenDYR08 ::Sujata 
::Transfer ::Onizuka 
::Marianne ::Wierman 
::FLWOR ::914873 
::Cox ::Group87 
::MannilaTV94 ::Policies 
::164 ::Zurek 
::Theoni ::P550 
::DuKS92 ::1082 
::779 ::BouganimFPV01 
::Approximate ::Joon 
::Pudi ::NN 
::1035 ::1533 
::217 ::420 
::Siberski ::html 
::Aleksandras ::WangHYYY06 
::1584 ::4497492 
::ChenCRM06 ::865 
::FLAME ::ShenOT06 
::1409 ::Column 
::XDS ::Achieving 
::AthitsosPPK08 ::B+ 
::isci ::Middleware 
::1450 ::Protecting 
::Service ::Provide 
::Bertk ::Informative 
::IshikawaYIK96 ::Hope 
::Dadam ::15310029abs 
::Lag ::939 
::2007 ::Blok 
::ZhouZVQ08 ::Reynold 
::1296 ::Alessandro 
::U ::1482 
::elmagarmid92 ::Schneider05 
::1453 ::426 
::ZhangPW08 ::145 
::KistlerS92 ::QPipe 
::EvangelidisLS95 ::693 
::914818 ::1364 
