Tyrone::LiuC08 HanYY06::Collections Wayne::256 ::4497503 ::Simon 
Satisfying::Aggarwal08 AstrahanBCEGGKLMMPTWW76::Topol Redmond::352 ::Erich ::Pudi 
1456::2000 NAGA::Zina ShiZ05::AgrawalS95 ::Methods ::Arijit 
Klemens::Generation Tirthapura::SiL96 P351::GrayC89 ::Seidl ::Mller 
LeeE01::22850578abs StonebrakerK91::Goh Specification::Nogayama ::614 ::4497532 
JermaineO02::MotwaniNT08 15310176abs::Generic Anna::Terminological ::201 ::AggarwalY08b 
Felix::Thomas KemperM90::Panayiotis 4497507::Jrme ::EsterKSX96 ::Jiangchuan 
BohmMW01::Yuanyuan 22850816abs::Zhengli Jagadish91::1071 ::Minghua ::967 
bancilhonDK92::Teamwork 842::Hnle Subset::Sichun ::Gupta98 ::15310431abs 
1513::558 Naumann::Bajpai Tobias::Recommendation ::acta ::AlomariCFR08 
190::391 118::Relevance 15310287abs::Ruoming ::KemperM90 ::635 
CareyDFHMNSSTTWZ94::Expression Liu98::1277 22850779abs::Saake ::Gone ::Berchtold 
Available::Qili Level::22850991abs Wlodek::Everyplace ::463 ::Uri 
Pathak::K P296::WongA85 Archival::4497465 ::CobenaAM02 ::Change 
VaradarajanHR08::AgrawalLSS95 DeaconSW94::77 AlexeCMT08::Papadopoulos ::1331 ::Quanqing 
Kun::1467 stoc::Giannotti 188::After ::Ip ::MohanHLPS92 
1403::Tightly Heikki::Folding Chakravarthy::4497523 ::Tatemura ::Scheuermann 
DBXplorer::Outerjoin 4497602::Kumar DREAM::data ::Lei ::1465 
Singer::Lieberman Visualization::DeWittKOSSW84 Carlos::KatayamaS01 ::Govindaraju ::Tracking 
Nejdl::Multi Koh::4 Shishir::BargaLW02 ::Images ::Kahveci 
Detection::1544 Fuzzy::Content 30::Markl ::Simplicity ::Associative 
GeZ08::4497507 Redbrick::531 QuassRSUW95::Hsiao92 ::Wenfei ::Flexible 
Schenkel::Earl Strong::Salzberg88 GaoHPSA06::MetaQuerier ::XiaZT08 ::Mahesh 
22850256abs::Scheme Nehme::Durmaz Flexible::4497627 ::Georgiadis ::22850583abs 
Scalar::172 Device::Anonymity Ontology::Automated ::1474 ::Cormode 
MuralikrishnaD88::HornickZ87 Patterns::Zhewei 326::Numeric ::Jennie ::PuL91 
DunnDDS02::JadavGL97 Dirty::Reordering SellisRF87::436 ::LinD98 ::Fung 
Ferhatosmanoglu::245 SarawagiS96::171 NN::Asymmetric ::Controls ::Database 
295::784 Serializability::Low Gorman::Campen ::YuHC05 ::Shweta 
1219::Arasu 521::Distribution Sample::4 ::Deletes ::RoussopoulosKV95 
Rewriting::LakshmananSS96 Relative::NodineZ90 Byron::ATM ::Keyword ::Rainer 
443::Banaei Evaggelia::AkindJLS02 WilschutFA95::Loops ::Bonnet ::by 
ijcai::biased LiLL08::LakshmananSS97 741::DIPBench ::137 ::Shepherd 
Marinoiu::ROL Multilingual::763 BohmHLW08::Isaac93 ::Cache ::Henrich94 
Laura::Gulbeden JiangVBCB05::Michail Self::Campen ::784 ::Elmasri 
395::22850388abs ChenDN02::Khoussainova 28::Languages ::477 ::31 
KashimaTINHEF05::P600 1456::Graefe Distinctiveness::526 ::StreamCorder ::Nicklas 
Rabinovich::Sven James::Environments Blocks::121 ::4497436 ::Updates 
A::Shmueli 1140::Datasets Calimlim::Cammert ::TangYOW08 ::cp 
Centric::SchroederHIN06 1316::hpts Big::1536 ::Joins ::tkde 
Transactions::Leonid ife::Heerde Peer::339 ::CeriW91 ::Piotr 
Delis::Clark Sougata::AggarwalY08a Stanislav::Faradjian ::BunemanDS95 ::Rau 
Kasneci::Venkatesh 100::Jayavel Yin::Mayfield ::Johnson ::298 
Weber::158 is::491 Opportunities::Domain ::Zeeshan ::Infrasturucture 
Documents::MartinGH08 540::Salka Re::Earth ::Roitman ::AssfalgKKKPR08 
Rotem91::spieSR Zukowski::LiuP95 Planning::Haejoong ::1393 ::Khoussainova 
Christophides::JVM MolinaGS96::DBMS 1414::SametA95 ::1100 ::Raghavan 
Sergei::Liangzhong tse::914870 P252::M ::Sugata ::SellentinM97 
326::Mover html::Harold Detect::Martin05 ::QinQZ06 ::4497473 
P550::4497434 Dependencies::Hyong BunemanDHS96::Jiangchuan ::Minh ::HuaPZL08 
tse::Managed Vakali::Renz James::15310507abs ::lisa ::Xiaoyong 
Thanh::1417 Seltzsam::2006 Saltenis::Fuzzy ::434 ::Dependency 
Molina::Implicated Sueda::BrantnerKMH06 Accessible::15310235abs ::Warren ::Omran 
Carminati::Anomalies FranklinCL92::Gao Gautam::Exemplar ::Kementsietsidis ::bancilhonDK92 
Sky::Long Baxter::Carminati Approach::Okcan ::On ::Mehrotra 
1375::Certainty FaloutsosBFHNPE94::Burns Equation::1297 ::95 ::Kiernan 
Records::Yi ChonAA02::914856 Malin::Hector ::Boncz ::Geometric 
P324::Ninghui Anand::Schoning01 Provide::Harold ::Shedding ::Rosaci 
SistlaY96::DeligiannakisSKVD08 Ouri::Lot BeckmannHKN06::XingZH05 ::OrjiS93 ::Atsuyuki 
Vilhuber::4497466 WilschutFA95::DeWittFMV90 Davide::519 ::452 ::81 
22850717abs::author ZhangLKW06::Gawlick Shekita::110 ::Jeung ::onWeb 
CasanovaFP84::576 4497580::SheuW06 Very::4497521 ::380 ::Hector 
705::Sketch Subsequence::SinghL08 Mohammad::779 ::732 ::832 
Kornel::PapadiasYMT05 Vclav::1950 Gail::YiuM06 ::1563 ::Roitman 
914811::Barker Kotidis05::Guestrin Archival::QiaoIAA05 ::WuDY06 ::22850118abs 
Samet90::FaloutsosBFHNPE94 Valduriez::Sullivan96 Gauss::Papadias ::325 ::WeisN06 
Sengupta::1611 15310053abs::Hanan Gill::KhaYU01 ::DescribeX ::CeriW91 
Flood::Monitoring Karlsson::1399 Papadopoulos::RoussopoulosKV95 ::Bloom ::Sequential 
Centric::15310419abs Sobulo::TaoPZL05 22850730abs::Samet90 ::763 ::241 
ChenHY96::Hwanjo Prefetching::P074 Client::dimensional ::169 ::1357 
Pinar::inproceedings ichi::JinXDW02 Assuring::317 ::Tears ::Metric 
25::Flood Blocks::Jr JagadishMR97::Warping ::Piatetsky91 ::Hybrid 
large::Maier Keyword::Blok EggersOS81::Bitemporal ::Guoyu ::Vasileios 
ConsensRV08::Quickly Theoretic::P351 914842::P116 ::1530 ::705 
Di::Gregory Opportunities::Reviewers Be::Itoh ::jcss ::Algebraic 
BohmHLW08::8 Renner::Agents JadavGL97::376 ::elmagarmid92 ::Towards 
Hristidis::Industrial Orenstein89::Twig Streams::Servers ::HSI ::1099 
SistlaYV97::Multicast Chamberlain::BohannonFRS02 Anomalies::Du ::Maged ::Real 
914832::KoutrikaSI06 440::Moshchuk ProcopiucS08::Transparent ::1480 ::QoS 
Interaction::MannilaR94 Validating::Zurek 4497596::Wolfson ::Kristian ::System 
Nick::AbiteboulK92 HuangSW94::296 22850285abs::Malkani ::Video ::Kiernan 
Distributed::89 WuCL08::1567 15310141abs::OptRR ::MetaQuerier ::Dmitri 
Sandeep::Provide Locality::Cattell91 CuiLXCDZ08::Erich ::KhaYU01 ::Yee 
614::15310716abs Klabjan::VelegrakisMM05 Characterizing::15310494 ::578 ::OLTP 
522::Images Engine::From Study::RinardD96 ::Accuracy ::Recommendation 
World::DrapeauK93 266::Lomet92 22850159::GeorgiadisKCNS08 ::MAFIA ::Rajan 
Injector::Lijiang VenkataramanLN95::WangHYYY06 Clusterin::1403 ::Multilingual ::Akitsugu 
Ihab::Gregory Ramesh::BonifatiBCC02 Yeol::4497605 ::Laboratories ::246 
Geoinformation::Harizopoulos Mourad96::toms Hernndez::Clustering ::Cahill ::Roy 
Meng::LjosaBS06 Torlone::443 22851143abs::HuaPZL08 ::Batched ::Asonov 
4497519::728 MDL::Zhou 543::15310441abs ::903 ::Du 
Gignere01::Oracle BargaLW02::Standard Schoning01::Jonas ::22850143abs ::Human 
116::Bhavani 93::1148 Jun::515 ::Resolution ::22850391abs 
Kun::Furfaro Verify::Rajan DeWittFMV90::COUNT ::BentleyM80 ::892 
DaWaII::FukudaMMT96 Vijayalakshmi::Reinhard Anti::DUP ::Tripod ::564 
Sudipto::Hoarding 15310297abs::Availability 962::1333 ::Jiawei ::Propagation 
KamathAGM96::Jiawei Wierman::Tsumura Labeling::OwickiG76 ::Matchings ::636 
Lag::764 Xiaohui::business Candan::Naomi ::Browser ::PolyviouSE05 
22850583abs::Consens Dialani::party 457::bc ::42 ::Advancement 
Kuwabara::Functions 4497562::Seshadri Intelligence::Language ::tois ::Scripting 
Hierarchies::Anant Samuel::Congjun 1432::KumarLMT08 ::Kshitij ::OntoWebber 
Graefe98::Gignere01 ConsensLO06::Srinivasan OzdenRS98::Alfons ::Compiled ::Bulut 
Ramamohanarao::Marc Klemens::Leskovec Navathe::1035 ::22850353 ::VaradarajanHR08 
t::Fernandes Philippe::Main MalkemusPBC05::Fast ::Vasilis ::Aravind 
Akinde::15310277 Lipyeow::author 1385::WebOQL ::DeWitt ::Pedersen 
1627::Lawrence Hamid::Isaac93 Ahmet::4497558 ::Hett ::170 
166::2006 Digital::Division 313::15310245abs ::15310567abs ::1132 
DaWaII::Ramamritham ai::Luca 4497413::Malkemus ::OSS ::Petko 
Multidimensional::4497467 BilkeN05::Nagaraj WidomC96::MAPLE ::LangOS97 ::Rajagopalan 
Speed::Pascal adl::at P108::Objective ::6 ::Recently 
1399::Lychagin Huhtala::QuLM06 PC::4497602 ::as ::Nabar 
GoyalHKMS96::Ntoulas Sarawagi::MorishimaNISK08 Johann::Descour ::AggarwalCH06 ::Zhe 
Ernst::NeT Graph::Was Mong::P046 ::Robust ::Yongluan 
Length::Oriented 586::Good KriegelKPS08::PostgreSQL ::Elmagarmid92 ::IlyasA05 
1616::e Cox::Isaac93 SakuraiPF05::P231 ::BatiniL86 ::Balazinska 
PermJoin::He Disclosure::Harold Popa::Nectaria ::Patel ::345 
via::15310041abs Shuigeng::AhmadABM08 Hyong::Traffic ::833 ::Decoupled 
Ippokratis::Prodromos Haritsa::1345 RaoPML06::Response ::FriedmanBF77 ::22850417abs 
LambLOW91::Closure Crawling::389 395::Study ::232 ::476 
ChenD97::Il Prashant::Panagiotis 977::based ::LeeCLNS94 ::4497591 
Intersection::DuKS92 constrained::122 Diagnosis::DayalHL90 ::Viglas ::LinVM06 
Satkin::Arumugam Maximum::Business Voronkov::Kumaran ::Kai ::4497512 
Demo::4497602 Ippokratis::Are Vladimir::1001 ::Oliver ::Resilient 
icde2006::YuHC05 Join::595 TolaniH02::Khalefa ::4497505 ::22851013abs 
Novel::15310673abs Soo91::FarfanHRB08 Kiernan::Rabinovich ::MannilaR94 ::Officers 
Kotidis::1631 4497546::YangL01 Kashyap::Annotating ::KeulenKA05 ::Gryz98 
Dikaiakos::22850357 Characterizing::MannilaT97 914871::WuXTL06 ::Gadia88 ::Tam 
AndresO98::Alfons Adaptation::Junyi 989::Bee ::DeFazio ::Valduriez87 
KrauthgamerMRR08::Cahill Virtualization::Descour Signature::536 ::Castellanos ::Kashani 
QianW91::Peters LakshmananSS96::Quang Jennifer::1393 ::Fast ::Statistics 
4497575::In Aristides::Distributors Major::Brett ::BeckerHF93 ::1345 
Pontieri::15310383abs LianC08::Unsafe 4497512::Assuring ::Benatallah ::Identifiers 
Hao::OgleS95 MansuriS06::Intra Atri::Delta ::22850516abs ::Hardware 
Apers::KilgerM94 Planning::4497413 TataP08::Arno ::1144 ::SilbersteinBEMY06 
BohlenBJ98::Nigel EderL95::Keith 22850355abs::Flesca ::KumarLMT08 ::Threshold 
LudascherGM01::Banu Shouke::Chowdary QuLM06::Condit ::529 ::Based 
Extremely::Volatile 22850057abs::Objective Qiong::Anton ::BalminOST08 ::Their 
AssfalgKKKPR06::widomC96 LinYWL05::Implementation StockerKBK01::Inverted ::Vijay ::Distribution 
Yunyue::Saake 484::P066 Silberschatz::HanMWS01 ::Dilys ::Optimizing 
toplas::486 MiniCount::NguyenKF08 Juha::Fukuda ::Xuegang ::1583 
Veli::Thiagarajan GrayCBLRVPP97::Results Sheu::CastellanosCSD05 ::WWW ::Tryfona 
ADEPT2::Feida Provenance::22851106 4497456::Radeschutz ::126 ::Piatetsky91 
Jim::BertinoK89 1352::Mangold Georgiana::Mehmet ::Murali ::Baralis 
Air::1150 Range::Liedes Processors::914809 ::Kedar ::Sharing 
245::Ashraf Merging::Kenneth Schneider05::Vaidya ::Progressive ::Pushpraj 
William::4497462 Sam::PuL91 22850273abs::SegevF90 ::Radwan ::Rau 
Rsch::SheuW06 412::SarmaBHW06 KeulenKA05::Signatures ::Ada ::Ramez 
15310201abs::Giannotti 127::4497498 BonczQK96::Ishikawa ::Future ::40 
Maarten::Zhewei Snapshots::Papakonstantinou Savage::Xiaoxin ::1147 ::893 
XinSHL06::dpds ChenLL08::GuptaCG08 Rahul::Raffaele ::Kleene ::Experiment 
ZukowskiHNB06::JinGJA06 22850118abs::Sikkupparbathyam ChaudhuriDK06::49 ::Ash ::Kolovski 
Synchronization::Junglee Magesh::Chris BoberC92::Filling ::Abstract ::Richard 
Lamport78::4497573 107::Orphan 4497624::Ketchpel ::Curt ::BurnsDILP08 
Heerde::1616 Masatoshi::178 Cochinwala::mta ::Moerkotte ::Trajectory 
Tiong::Leonidas GoldbergR83::Service AgrawalLSS95::Juha ::driven ::JagadishOVZZ06 
Twee::Xiaochun Kanellakis95::AgrawalAS93 SeegerK90::Brent ::580 ::Suel 
Zadeh89::Ruoming Threshold::1334 Korn::144 ::Wolski ::Katsumi 
1134::Postgres Gattu::RaoLLPS01 Garcia::Sarbanes ::Pui ::1552 
BohmK01::Maged AstrahanBCEGGKLMMPTWW76::4497548 Young::4497508 ::csdl ::BestR85 
VrhovnikSES08::acta Visualizing::1518 KhalefaML08::Faster ::Krompass ::Fang 
Bajpai::Hae 160::Ganesan Prabhakar::RotemZ95 ::Gionis ::Mohamed 
Fegaras08::jsac AlexanderR06::Searches Atluri::1277 ::Blakeley ::Graefe 
22850865abs::SrikantA95 Sales::Sunita Sidle::Designer ::T ::Ellis 
Leonid::00 316::Feltes Mehr::1258 ::Multiple ::322 
Mazza::Shuai 914858::Lochovsky Nrvg::GohMS94 ::Optimal ::sigmetrics 
Effect::672 Billing::ChenLL08 ZhaoRTN98::1620 ::506 ::Tang 
kdd::Imprecise Matthew::X05o AndresO98::org ::dood ::VLEI 
Simple::Results Praveen::Gehrke06 LiuHXS06::ACT ::Improved ::Stefanie 
Conditional::AgrawalG89 Web::Nie Jiefeng::389 ::Franois ::Brzsnyi 
Afanasiev::KriegelKPS08 KeulenKA05::Yaping 22851106::22850656abs ::It ::Dilys 
Marianne::Frederick McWherter::NaumannHTHM02 66::Co ::472 ::Pilania 
SinghL08::IdreosTK06 Environments::22851001abs 4497607::22851145abs ::Yuelong ::LevandoskiKM08 
RelaxImage::972 MarianAKS05::741 Ulrich::1461 ::Tara ::Terabyte 
SistlaWCD97::TaoXLZ08 Zezula::Ladin Ewen::Ubiquitous ::153 ::Sup 
Rene::1453 I::341 Chamberlain::Emerging ::Sullivan96 ::FaloutsosBFHNPE94 
Daniele::Ivan KashyapRRS08::Cliff Georgiana::Harness ::Chasing ::410 
232::Vlachou 684::4497410 Sriram::1109 ::22850391abs ::Mehrotra 
LiCHH97::Actionable Beckmann::CocciTDS08 a::4497618 ::22850518abs ::HuWLZX05 
PostgreSQL::ElghandourAZCBBZ08 GrayR93::HaskinMSC88 DrapeauPK94::Style ::via ::Renner01 
Sensitive::Problem KrishnamurthyKN05::Shubha 832::Juchang ::Inflationary ::4497574 
Sergei::1494 Volker::Quasi CormodeIKM02::GoyalHKMS96 ::1500 ::Summary 
Kato::Sessions Cheong::4497407 Rys01::JiangVBCB05 ::AbiteboulK92 ::CNN 
Nakamura::914854 Tool::4497612 Fuh::AlexeCMT08 ::Box ::Finding 
Tracking::Gauss Engineering::Cloud isca::Relations ::Khatchadourian ::AliCKR08 
ShuklaDNR96::Recovery P074::SteenhagenBB96 1147::Rajan ::Bowers ::ride 
P164::Gio enough::1414 Annotation::Frederick ::15310270 ::QianW91 
Measuring::Bo Subspace::Sugimoto Magesh::425 ::Liu ::386 
NguyenD08::4497500 ife::Vu Intelligence::Heinlein ::Georgia ::Xie 
22851111abs::1334 CNN::MOOLAP KeijzerK08::Fei ::KashaniS08 ::IlyasA05 
555::Duan Zeng::Matchings 4497570::606 ::MannilaR86 ::GuPYC08 
1421::html Watson::4497605 MendelzonMM97::RamanSQRDKNS08 ::CaliM08 ::pe 
1531::Routing DesphandeGMH05::Statistics Natix::BargaLW02 ::P046 ::Vasileios 
376::CormodeKT08 SaltonG83::PermJoin Anirban::247 ::isci ::RAD 
large::Dual Bill::Kotidis Mahajan::QoS ::Discriminant ::Ghosal 
4497625::Language 301::Thatte Krishnapuram::Gu ::Natix ::views 
Assuring::KoudasS98 Dependency::BaralGS98 KimP88::Djafri ::Harchol ::Simoudis98 
Widmayer::Lawrence Heng::Markov 146::GoelSYZ02 ::Pudi ::DengSXL06 
1580::Batched Zipf49::LometT95 P424::PatelD96 ::22850656abs ::1491 
Gabriel::FlicknerSAHDGHLPSY95 Ramamirtham::SuleimanCF98 Brzsnyi::Mover ::HershbergerSS06 ::PolyzotisG06 
Optimizing::335 Commerce::Desmarais Wang::914837 ::Jiying ::Anna 
Marlon::Process their::1136 1258::Hoel ::Biton ::1363 
BravoFGM08::Erik Christophides::CaliM08 1287::1113 ::Wikipedias ::4497584 
279::4497497 Majumder::Deshpande Manikutty::Oguchi ::Lucchese ::724 
Ning::Component Dohnal::939 Designing::Mumtaz ::WangPY05 ::Commit 
Servers::1471 Fred::Bishwaranjan DuS82::Keulen ::Join ::Sagawa 
1072::BrinkhoffKS96 LieuwenD92::HasanM94 127::rules ::Knuth73 ::LB 
Terms::v8 Giannotti::Juha 455::Uncertainty ::4497537 ::Riedewald 
Structures::Visualizing Diverse::Ning Maged::McCann ::195 ::1135 
Hua::LawrenceB02 Development::240 1580::TataFS06 ::Defined ::Freksa92 
Labels::HutfleszSW88 1363::Norm Nicolas::229 ::HwangC05 ::IR 
Ji::Space Chengyu::Reza Mehrotra::BrantnerHKM05 ::1190 ::Yokota 
1534::Taniguchi Bursty::Exactly Girod::753 ::Kemme ::Ajay 
628::its IshikawaKOYKK98::Upendra 4497509::Balachander ::Haiyan ::ETL 
Duplicate::Qun 440::Preda DBMSs::RDBMS ::502 ::ride 
Mukherjea::Tok Mylopoulos::914838 498::Holger ::Guttman84 ::Joachim 
4497428::Iwen Mehrotra::Guido OGormanAA02::263 ::Evolving ::Fatih 
Lossy::P351 Choreographies::MorsePG06 Ayad::Ramakrishnan08 ::ColbyGLMT96 ::Okcan 
Balaji::AgrawalIS93 Bonnet::Sagawa RajaramanSU95::Presentations ::Buccafurri ::443 
47::Fayyad Orenstein89::GedikWYL08 Hoare69::Quanqing ::CNN ::Optimizations 
1101::Bhattacharjee PapakonstantinouGGU95::457 1385::DaiKSTV08 ::debu ::Bestavros 
Zeldin::Maruyama KoutrikaSI06::GrayBLP96 KaF02::Martinenghi ::Fernando ::10010173abs 
IMPrECISE::Martone Wynne::4497618 JeungSZ08::1337 ::Tag ::Blocking 
ChuaR95::author Frederick::Kiernan ManolescuP05::Jin ::28 ::Weihl87 
Leo::Mingzhe Pull::TaniguchiS05 DengDRZ08::22851084abs ::22850853abs ::15310274 
Hongtao::Neighborhood YanZHY06::Scherzinger Govindaraju::Alexe ::P ::OzdenRS98 
Huahai::JaffarYZ06 Supervised::Feifei Weihl88::4497474 ::Mix ::Convertible 
BronczWK98::Zadeh65 Defined::based 4497457::Topsakal ::Designer ::Partitions 
Xiaofang::Tari BayardoA05::4497442 Nasi::Jrme ::Keim ::Georgia 
1427::PapadiasT97 Luping::ride Simplicity::WangHYYY06 ::1107 ::FungWY05 
Terms::Automating Subarna::Counts 914823::914855 ::443 ::WangY02 
Salt::639 BargaLW02::AgrawalIS93 4497588::Beckmann ::Khalifa ::22850155abs 
Kasthurirangan::Marios 4497518::Marc Method::600 ::22850217abs ::Niblack 
Zaharioudakis::Experiences Anurag::Controlled Region::QiaoIAA06 ::853 ::4497549 
KwietniewskiWTGGJJN08::Trial 942::120 Torvik::party ::Chengyu ::Huan 
Zhiping::Importance Larson02::15310441abs Bases::NakamuraE02 ::Computations ::Prasanna 
John::Salt 227::MyllymakiL95 Shu::Li ::based ::Mapping 
GawlickK85::Mittal Kazuhito::Understanding CormodeKMS05::if ::Morishima ::863 
Rogers::LiebermanSS08 Utkarsh::914832 Streams::Make ::216 ::Hanson87 
Clio::Davidson Vista::Changes Schneider05::NgOT02 ::Leymann97 ::Hon 
Duplicates::Push Loredana::436 Ge::Suchanek ::Tiong ::Vaisman 
Indexes::4497444 Molina83::AlonsoC05 LiuSYR98::BrantnerHKM05 ::Rajkumar ::Miner 
1433::Telematics 301::Halpern Jianping::551 ::Potamias ::Nuwee 
Aggarwal02::1406 Asuman::Volker DayDIKG95::Dense ::Bakalov ::914818 
BoberC92::Grahne Outliers::Murthy LeeSZ05::1527 ::Curves ::Prediction 
PermJoin::CarterBZ91 Molina02::Marianne Oxley::FaloutsosBFHNPE94 ::Madhavan ::Sreenivas 
112::JoshiJ06 Melanie::Hidden Arvind::286 ::Chris ::Shmueli 
Decade::4497606 KimP88::Norman Partially::Cho ::MudumbaiSSPB98 ::Zloof77 
Laks::4497556 Schlatter::22851111abs Brent::MudumbaiSSPB98 ::Cappellari ::Inferring 
CQ::Livny 472::GawlickK85 Level::BhideDD93 ::Path ::Barton 
MED::Ikeda Francesco::4497464 Moshe::Aleksandra ::Kanoulas ::Chambliss 
271::CaoCFT08 Rundensteiner::ChengYHY08 Gnther::BlottRS96 ::Notification ::Kurul 
1190::SPEX 22850816abs::Xifeng Mason::Ramon ::91 ::Ertem 
RajaramanSU95::1102 Xiaoxin::Qing 4497614::Enabling ::Mukesh ::Committee 
SistlaWCD97::4497595 Damianos::WiwatwattanaJLS06 F::Fayyad ::Gupta ::340 
Souripriya::Baile I::Nisheeth Tamino::Hibino ::4497482 ::4497421 
1052::Shamkant Deb::968 Stefanie::412 ::Hector ::Id 
Pierre::22850742abs Hadjieleftheriou::under BaralisCC05::FaradjianGB02 ::BOXes ::Pipelined 
4497531::Lyublena Badillos::Horibe Afanasiev::StockmeyerM73 ::Erich ::GUI 
tc::Jeffery SAP::Xiaoxin Jialie::Advancement ::Improved ::Detect 
22850514::Braga tse::Rajagopalan Zeng::FarragO89 ::Gong ::L 
Industrial::ONeilWFCM98 Michalis::Sup Hsu93::Georges ::Bookmarks ::AtallahCK08 
Technology::Qi Kimutai::ZouC08 1547::Zhu ::Interactive ::KrauthgamerMRR08 
Xiaohui::1583 15310201abs::446 4497576::Tang ::Profiles ::22850355abs 
JiangLWY02::Stefanakis Ferlez::YouPL05 Rizzolo::Operators ::Active ::Hetal 
rules::Potamias Columns::4497438 Raghu::Suciu ::141 ::Mariano 
Helmer::Vazirgiannis Customer::AbiteboulMPPS08 914832::Jenkin ::Vaupel ::1612 
Duality::Coordinate wi::Charuta XieYCWY08::Confidence ::Mller ::1524 
Brantner::Mehr 482::Cooperative Offline::LakshmananSS97 ::Tomography ::Sachin 
Khaitan::1219 Kee::CastellanosBR08 55::Henrich96 ::IdreosTK06 ::support 
deductive::Unsafe SampleCFHSC02::Atzeni Thomas::ThomsenPL08 ::1367 ::iandc 
418::XPaths Alon::4497466 4497550::Paton ::Panayiotis ::Prabhakar 
Aggregation::Bringing X06::Damianos TORPEDO::914810 ::Mladenic ::1120 
Ahmet::Algebraic Valduriez87::Koki Expressivity::Baxter ::General ::Aware 
13::Jian NaackeGT98::22851124 GuptaCG08::Kunath ::Edmunds ::AHYDS 
Dou::Bloom Hnle::Inter 593::308 ::Cristiana ::GhandeharizadehHJ96 
Maher::Griffiths Edoho::1391 626::Roelof ::Djafri ::ZaianeELL05 
Integrate::Lam Reza::icmcs P164::ADT ::HorwitzT86 ::170 
Ailamaki05::Rate Srinivasan::JohnsonK84 Lomet::Jrg ::Low ::Nguer 
SECONDO::Sobulo 4497520::Haixun Kramnik::Against ::SilberschatzKS97 ::Annamalai 
HasanM94::KramerP96 779::Yuhui Gone::Extract ::Scale ::656 
Massive::EffelsbergH84 GounarisPSFSW06::4497595 Click::22850916abs ::22850705abs ::J 
Bayardo::Xie Ramamritham::Equation Jarek::sac ::Rishi ::Detect 
KilgerM94::Assertional 15310266::ArocenaM98 Decker::Signatures ::Hallett ::ChrysanthisR94 
5::LiLHC06 Jing::94 914852::4497499 ::Bishwaranjan ::1147 
Wayne::Emerging MD::IwenLP08 643::764 ::902 ::Document 
Potamias::ReissH06 XPaths::Prototype Seluk::4497544 ::22851137abs ::Malik 
544::Substructures CastellanosBR08::Nimble MannilaR86::MED ::XGRIND ::Zoupanos 
486::Specification 654::Enforcing Carey::AbiteboulQMWW97 ::Peter ::WangZZ06 
Seung::Cruz92 Annita::Al WidomC96::X08 ::22850326abs ::EdmundsMSS05 
Rimma::Assessment 1132::Ertl Pajarola::MukhopadhyayP02 ::Tadashi ::Robinson81 
Pessimist::OptRR Myoung::Principled Experiment::8i ::FaloutsosL95 ::Kleene 
sac::Visualizing Mikkel::MogiK94 10010215abs::15310309abs ::Down ::Xiaohong 
Conditional::Settings MIC::Sensor 914861::Meng ::Environmental ::tois 
Huiming::ChangMZS98 Rosenthal::224 Barton::XCut ::EROCS ::353 
Kumar05::Markov HaraHTN98::ZouC08 Fernandes::247 ::96 ::Adlib 
P220::Monica Path::Configurable driven::BorgBG83 ::VaidyaC05 ::Scheme 
MohanKSW06::PetitTBK96 Sheu::1218 Mirco::Norm ::Juchang ::Relative 
Dense::GoldingBSSW95 CareyHL93::Hari 668::Loh ::Ning ::542 
Social::over HTML::kl 176::1189 ::Christian ::280 
174::594 Sliding::P456 BorgBG83::1322 ::193 ::1620 
Inference::AggarwalCH06 4497403::Annita Siong::Natix ::Sergio ::JohnsonMSS08 
BeckmannHKN06::CastellanosBR08 Rakesh::165 497::Graciela ::ContinuouslyMoving ::Lomet93 
Hwanjo::Vehicle BargaL01::Chung Cheung::170 ::Assessment ::P076 
Ihab::ChenDZ06 Pei::Histories Markus::Danzhou ::Christine ::P494 
icde2001::Relative Rudra::SAN Manikutty::Donald ::4497421 ::Attribute 
Sergei::SQL 754::Hirade Ghinita::22850285abs ::LiuSYR98 ::ArumugamJ06 
P069::22851106 Informative::Standing on::167 ::1504 ::MullerDEF01 
Scalar::Inventing Ordered::668 564::Boulakia ::Milan ::Muralidhar 
Sparse::BINGO Shawn::P220 Simultaneous::Elegant ::Pan ::Sengupta 
Sheth::title Deepak::Roller KistlerS92::Amarjeet ::Revision ::bit 
142::WongA85 Aggarwal08::Kristal 21::Quasi ::Sardar ::Bonchi 
AlonsoC05::1405 172::DeRose Jayant::Reasoning ::Jinping ::cp 
Auditing::Reordering 22850357::Tari Reduction::Anna ::Rafiei ::ReissH05 
1048::pods Ghaffar::TRMeister 65::EswarranGLT76 ::Klemens ::15310187 
22851126abs::GreifSW86 Guttman84::Explicit GreifSW86::Wireless ::Opportunities ::804 
1448::X05o Tok::Stefano Nogayama::TaoPZL05 ::MeoPC96 ::er 
P486::Alessandro InstantDB::DeshpandeH02 PreparataS85::Jennifer ::201 ::1423 
Efficient::Yunyue Apers::Linfeng DeWittKLPY94::Scheme ::Yihong ::455 
4497531::Zeeshan BernsteinHM90::FaradjianGB02 Banerjee::SismanisR05 ::internet ::Discovery 
FungYLY05::WolfsonCDJM98 AgrawalJKL06::Gerhard AutoGlobe::914854 ::Guided ::4497429 
10010071abs::Trade Superimposed::MamoulisCYC06 McWherterSAH05::Hoarding ::BINGO ::HeS06 
