::Bentley80 ::81 
::Vikas ::Specific 
::KramerP96 ::Reducing 
::VaradarajanHR08 ::P599 
::Marcel ::Jun 
::Yoshinari ::Stonebraker91 
::1331 ::636 
::ChakrabartiM98 ::Milan 
::Chamberlain ::Standard 
::Schroeder ::AlomariCFR08 
::Rishi ::Boedihardjo 
::DaWaII ::Id 
::1199 ::1259 
::Banaei ::LentSW97 
::KhaitanRJC08 ::86 
::Erhard ::KonopnickiS95 
::Interaction ::Nithya 
::iBOM ::Communication 
::531 ::Erik 
::Simoudis ::325 
::Tari ::Gadia86 
::Reviewers ::ArocenaM98 
::Haslam ::Lian 
::Usage ::Items 
::Cloaked ::Optimizer 
::10010651abs ::15310383abs 
::BeeriR87 ::Soccer 
::BargaL01 ::Snodgrass95 
::Documents ::Salt 
::Stabbing ::1119 
::DeWitt ::Entity 
::Warehousing ::Midflight 
::KoutrikaI05 ::Third 
::PattersonBA08 ::StodolskyGH93 
::Change ::sub 
::146 ::BunemanDS95 
::tkde ::Xiaopeng 
::PagelSTW93 ::Mao 
::1516 ::Mengzhi 
::Levy ::Navathe 
::PictureBook ::External 
::Orenstein89 ::Clark 
::Pascal ::842 
::BlossomTree ::AssfalgKKKPR06 
::PanZW08 ::Kurul 
::Dinh ::Indexed 
::GounarisPSFSW06 ::Dialect 
::MohanLO86 ::icdcs 
::Dissemination ::1524 
::Krithi ::Amr 
::Graphical ::Tyrone 
::730 ::482 
::Vlastislav ::190 
::FungWY05 ::as 
::Guido ::BerchtoldBK98 
::1471 ::Art 
::1515 ::LeeKC01 
::Hajj ::networks 
::WuAA02 ::852 
::22851106 ::Yahia 
::Sean ::Mukhopadhyay 
::Papakonstantinou ::kim95 
::RabinovichBGLMM98 ::Bouganim 
::FranklinZTCD92 ::Orchid 
::VlachouDNV08 ::Expressions 
::Ramaswamy ::AlomariCFR08 
::Environmental ::ChangMZS98 
::Functional ::Cox 
::Decker ::Zhu 
::MendelzonMM96 ::914810 
::Wenxin ::Sovereign 
::22850487 ::842 
::Son ::Shouke 
::Panayiotis ::Kwang 
::Schlimmer93 ::of 
::22851137abs ::Refresh 
::Cal ::PermJoin 
::767 ::523 
::Fault ::4497475 
::Upendra ::Snodgrass87 
::Dragut ::SellentinM98 
::Periodic ::P164 
::Xiaoming ::Iyengar 
::Redmond ::4497437 
::1588 ::csdl 
::Diagnosing ::KoblerBCH95 
::Flavio ::Migrating 
::Zhen ::4497553 
::22850680abs ::Arjen 
::Mylopoulos ::Maged 
::Knuth73a ::Takegawa 
::MotwaniNT08 ::gis 
::StonebrakerC05 ::Kemper 
::Techniques ::Sistla 
::Format ::Glimcher 
::Chowdary ::Shuyu 
::Matchings ::VenkataramanNL98 
::Sensor ::576 
::GraefeM93 ::Laura 
::ShkapenyukS02 ::1506 
::Eugene ::ZhangLKW06 
::AmzaCZ05 ::H 
::Scalability ::fayyadPSU96 
::154 ::DewriRRW08 
::WebIQ ::Mirette 
::Science ::KhaYU01 
::Error ::Regions 
::Standard ::182 
::Freire ::Samet90 
::1462 ::Elisa 
::1501 ::P380 
::Compressor ::Badillos 
::LOCUST ::Philip 
::Mahadevan ::Gunopulos 
::BunemanDHS96 ::Management 
::ArumugamJ06 ::Samuel 
::4497478 ::Malik 
::1345 ::Shunsuke 
::Aberer ::Adaikkalavan 
::NgR95 ::679 
::192 ::Tamir 
::783 ::Reviewers 
::MAFIA ::usenix 
::15310617abs ::VBI 
::Zahir ::LB 
::Damdinsuren ::Yuan 
::Verykios ::Kang 
::Majumder ::Networks 
::15310593abs ::Bicer 
::Pucheral ::P362 
::Load ::83 
::4497553 ::Durmaz 
::Chuan ::Muntz 
::WangY02 ::253 
::Gupta98 ::Steven 
::Roelof ::Fekete 
::NaackeGT98 ::10 
::SkytJP02 ::415 
::Transportation ::MOOLAP 
::RajaramanSU95 ::779 
::Assessment ::Shukla 
::HaraHTN98 ::Carey 
::Mumtaz ::SarawagiS96 
::1147 ::862 
::be ::1355 
::Shifting ::Jakob 
::LeongS97 ::Pan 
::359 ::4497431 
::476 ::Presence 
::Czajkowski ::pdis 
::Yongqiang ::22851102abs 
::Vries ::BachFGHHHJS96 
::SardarK06 ::Pan 
::Portal ::ONeilOW93 
::AhmadABM08 ::InstantDB 
::Diverse ::Manuel 
::Harold ::Ashwin 
::4497581 ::MorsePG06 
::Mukherjee ::Milena 
::html ::Top 
::ZhangLXKW06 ::GalAX02 
::WuB97 ::Suri 
::SinhaWWSS08 ::Elizabeth 
::CasanovaFP84 ::XPaths 
::Miss ::Sentiment 
::1507 ::List 
::Charu ::SAP 
::enough ::69 
::604 ::Visual 
::Use ::Knig 
::LiuHXS06 ::1112 
::273 ::DiaoFFT02 
::Fuh ::Intuitive 
::1527 ::Fishman01 
::Cooperative ::Queries 
::Uncovering ::Chandel 
::Reviewers ::Chakrabarti 
::Evaluation ::VenkataramanNL98 
::Xueyan ::ChenD97 
::Conscious ::Jin 
::PapakonstantinouGGU95 ::ShenOT06 
::Idea ::debu 
::Workloads ::Generalization 
::Transfer ::Decayed 
::Copy ::4497502 
::1476 ::1082 
::Sparse ::4497452 
::Moshe ::4497463 
::KornackerB95 ::Reordering 
::Kimeli ::1348 
::1400 ::WhangKW94 
::Shiroh ::Inferring 
::KumarLMT08 ::Generalization 
::Lot ::Explicit 
::1048 ::Paton 
::DanK95 ::Bianca 
::Hibino ::Methodical 
::Simultaneous ::4497555 
::82 ::Geoinformation 
::Friendly ::Paradigm 
::Diagnosis ::433 
::615 ::Peters 
::Hideo ::Midflight 
::4497466 ::Server 
::Association ::Leonidas 
::Pavan ::Rost 
::Stored ::Engine 
::Stahl ::75 
::networks ::csur 
::Committee ::Munir 
::AgrawalIS93 ::Rizzolo 
::1522 ::Afalg 
::ChaudhuriGKLLM98 ::FernandezS98 
::Dense ::Matthias 
::957 ::Vehicle 
::Xiaoyong ::Topol 
::Archival ::YangP08 
::22850516abs ::Gaurav 
::RinardD96 ::1414 
::Carson ::granularity 
::Michal ::Tissues 
::Uri ::Weiyi 
::Hoarding ::Fuxman 
::LiuR05 ::139 
::Olga ::KoudasS05 
::into ::22850310abs 
::BohlenSS96 ::Obermeier 
::Lyman ::1296 
::Jasiobedzki ::Inderpal 
::Mohammad ::Exploiting 
::P054 ::Chen05 
::Your ::Size 
::744 ::Xuemin 
::OomotoT93 ::van 
::Huahai ::Attributes 
::Werner ::Analyzing 
::Automation ::Luigi 
::Diverse ::Unity 
::ChanFGR02 ::Wiederhold93 
::Strict ::IWill 
::Boedihardjo ::Bhalotia 
::15310490 ::Chowdary 
::Automatically ::ssdbm 
::Kolovski ::914873 
::Y ::Moerkotte 
::Evaluating ::Renato 
::Cyrus ::Jinchuan 
::BergD95 ::ChiS05 
::Cattell91 ::EvangelidisLS95 
::502 ::4497497 
::872 ::Lola 
::AugstenBDG08 ::Graciela 
::Integrate ::Mohan 
::PapadopoulosM97 ::Gadia86 
::Jaffar ::Pajarola 
::BanerjeeC98 ::Tuan 
::SrivastavaHMKT06 ::FlajoletGPR93 
::Wisnesky ::Aranyak 
::Xiaopeng ::DrapeauK93 
::4497596 ::Elmagarmid92 
::536 ::Choreographies 
::Tsukamoto ::Perego 
::55 ::15310685abs 
::gis ::1071 
::CarminatiFB05 ::15310494 
::CammertKSV06 ::914864 
::Trees ::Shrivastava 
::Author ::Sengar 
::431 ::Wesley 
::csdl ::DasCWAS08 
::Jagrati ::Uncertainty 
::btw ::253 
::330 ::Carlos 
::DragutWSYM06 ::Sheng 
::McWherter ::1385 
::Sistla ::Na 
::56 ::22850329abs 
::Gruber ::1258 
::Teubner ::Clients 
::22850388abs ::188 
::ChenC92 ::Anti 
::22851048abs ::Frederick 
::Latanya ::914832 
::Sullivan96 ::Mario 
::SavasereON95 ::Klemens 
::Sean ::22851013abs 
::Kristin ::Vectors 
::Collection ::470 
::Tata ::meets 
::Reynold ::Lizhu 
::WangRM06 ::Guo 
::P164 ::4497505 
::22850415abs ::Correction 
::Weikum ::Opportunities 
::784 ::LSD 
::Mostafa ::Kit 
::Lutz ::497 
::Wook ::Paths 
::Cyrus ::227 
::Maxim ::Suciu96 
::Mirco ::Atzeni 
::P231 ::GartnerKKZ01 
::cover ::Gupta98 
::914840 ::Arbee 
::119 ::Eberhardt 
::Rudra ::Zimmermann 
::ShethL90 ::KorthKB88 
::DayalHL91 ::51 
::AtzeniCB05 ::PETRANET 
::Ramon ::Jain98 
::Bugra ::Path 
::4497436 ::dx 
::multimedia ::4497426 
::Beyer ::JiangMCS08 
::111 ::Five 
::4497595 ::Fai 
::Nagesh ::VenkataramanNL98 
::dl ::912 
::iBOM ::Fault 
::40 ::MyllymakiL95 
::Naomi ::How 
::NakanoIK98 ::Spyros 
::DrivenWeb ::Long 
::CarminatiFB05 ::PeeryWMN08 
::Kubota ::McCannKSVSD05 
::Lewis ::Papadopoulos 
::Dmitri ::U 
::Rys ::77 
::64 ::1141 
::351 ::Zaki 
::AlonsoBC08 ::Alexander 
::Skylines ::4497563 
::Marlow ::Indrajit 
::Charu ::GionisMT05 
::263 ::Panos 
::TAILOR ::KrauthgamerMRR08 
::Store ::Shrivastava 
::AggarwalY08a ::Rinku 
::Amrish ::1199 
::Shan ::ChoR02 
::Alessandro ::B+ 
::Rahm ::PhotoSpread 
::Mediator ::Shegalov 
::Matthias ::Aliekber 
::Miner ::Adaptive 
::Auctions ::Vasilis 
::600 ::1107 
::McWherter ::over 
::Inflationary ::ChenCRM06 
::Werner ::Cha 
::EsterKX95 ::22850459abs 
::75 ::ColbyCHJJMSW98 
::Samuel ::Novak 
::Neville ::Usage 
::Itoh ::Brzsnyi 
::StonebrakerADNR93 ::914864 
::Euthimios ::crossref 
::Kundu ::Ben 
::Auditing ::DengSXL06 
::Mlivoncic ::Thakkar 
::Anirban ::Xiaoyong 
::Medical ::Strategies 
::Triage ::HwangPS98 
::Experiment ::159 
::P402 ::Abul 
::Chambliss ::Cart 
::1564 ::Sharma 
::Bundles ::ZhangWL08 
::PapakonstantinouGU96 ::1084 
::Sergei ::ZhouOT05 
::Suciu ::Xueqing 
::Chai ::Tamer 
::Akiyoshi ::GaoZCLLC08 
::8i ::DescribeX 
::WangM05 ::Datar 
::Kanaya ::LynchS88 
::X05q ::Rinku 
::Balanced ::CastroN08 
::Pseudo ::WilschutFA95 
::Rabsch ::Sunita 
::Searching ::15310176abs 
::Telcordia ::P486 
::Raffio ::Ellmann 
::Juchang ::244 
::Arjmand ::Terzi 
::Nested ::Ntarmos 
::Hammer ::Wei 
::Schmidt ::Byoung 
::W ::Aduri 
::391 ::567 
::Si ::3D 
::793 ::15310339 
::92 ::Annotation 
::Madlmayr ::SchekPSW90 
::Replication ::Tears 
::Ben ::MegalooikonomouWLF05 
::Toshinari ::Dominance 
::Skyline ::Expensive 
::4497590 ::Oguchi 
::353 ::1540 
::Kendig ::Paraskevas 
::1497 ::coopis 
::World ::Krompass 
::Hon ::265 
::KorolovaMNX08 ::Nagavamsi 
::Make ::GeZ08 
::IoannidisP95 ::957 
::KashaniS08 ::Jasiobedzki 
::Lopez ::Browsing 
::Mann ::Sedmidubsk 
::Wright ::Rabinovich 
::BergD95 ::Autonomic 
::Summary ::Broken 
::4497453 ::Flip 
::CormodeMZ06 ::Sihem 
::641 ::Pankaj 
::Bassiouni85 ::22850459abs 
::Prototyping ::Chong 
::4497438 ::Carmem 
::Jialie ::24 
::Cudr ::Caetano 
::Comparative ::Aameek 
::Bloom70 ::767 
::Nectaria ::122 
::4497468 ::Hull 
::SinghKG02 ::568 
::Klemens ::Bundles 
::Yi ::Its 
::19 ::scale 
::Serap ::LeymannR97 
::to ::TomasicRV96 
::Concurrent ::ArocenaM98 
::Rau ::1412 
::22850422abs ::Filters 
::Fischmann ::Elfeky 
::ZhouW08 ::Efficiently 
::KarrasM08 ::Closure 
::Optimized ::526 
::151 ::Moss 
::Computations ::KonigN06 
::Pontieri ::LuccheseVRY08 
::Method ::Duplicate 
::CastellanosBR08 ::Raffaele 
::Schemas ::Grzegorz 
::102 ::Adam 
::the ::Anne 
::Kulik ::AssfalgKKKPR08 
::Vectors ::Rene 
::BilirisO93 ::Boncz 
::StockerKBK01 ::DBMSs 
::Wong ::22851104abs 
::Ping ::615 
::efficient ::1022 
::Towards ::Pu 
::BodenCFKSSS95 ::636 
::Air ::0002 
::Snodgrass ::Zahir 
::Bei ::Arora 
::BonifatiBCC02 ::GrustKGHS97 
::22850131abs ::15310327 
::Gamper ::Five 
::jcss ::HuaYL06 
::MED ::After 
::Spatio ::Cheng 
::Roitman ::Rebecca 
::Biton ::GoyalHKMS96 
::4497584 ::Willy 
::4497623 ::15310496 
::Histograms ::Westmann 
::aware ::Ting 
::ConsensLO06 ::BouganimFV96 
::ChuK89 ::97 
::Background ::P334 
::Pablo ::285 
::GhinitaTK08 ::Overlapping 
::865 ::Anja 
::tse ::Shmueli 
::Copy ::402 
::Salt ::Sashikanth 
::Philip ::LimB08 
::4497601 ::744 
::Heinlein ::MohanKSW06 
::4497573 ::LimN01 
::938 ::914851 
::Trees ::4497455 
::Badillos ::Tanveer 
::SelingerACLP79 ::122 
::15310191abs ::IBM 
::4497516 ::Independent 
::1357 ::Hacigms 
::AgrawalLSS95 ::914850 
::Migrating ::Naumann 
::22850388abs ::Derivation 
::Jure ::KhalefaML08 
::Fernandez ::CARE 
::Merging ::Shigeo 
::Cohen ::Billing 
::aware ::Segmentation 
::1390 ::Development 
::Hsu95 ::15310263 
::Associative ::Fan 
::Wee ::Inputs 
::Lijiang ::4497448 
::asplos ::Kanne 
::Yan ::Made 
::BrakatsoulasPT05 ::P412 
::Liadan ::Pradeep 
::Stefanie ::SchekPSW90 
::Reality ::914874 
::22850518abs ::4497475 
::ZhangLW08 ::Alexe 
::Environments ::LinD98 
::Shrivastava ::22850217abs 
::JeungSZ08 ::GantiCM05 
::359 ::4497472 
::MarcusS96 ::Weining 
::Silberschatz ::1116 
::Nagesh ::Ramasamy 
::O ::Hu 
::198 ::4497508 
::Campen ::Labels 
::25 ::Jasiobedzki 
::Castellanos ::Features 
::15310543abs ::tiered 
::600 ::224 
::Kimeli ::Yiu 
::Hartmut ::Columns 
::Webs ::Telematics 
::YuHC05 ::Georgiana 
::Closure ::Faloutsos 
::Picture ::usenix 
::22850386abs ::Multiple 
::ChangYDA88 ::Barker 
::RamakrishnanJNKB06 ::GhaffarA97 
::Lizhu ::Settings 
::KasneciSIRW08 ::Implementing 
::BeckmannKSS90 ::SlidingWindow 
::15310029abs ::Snapshot 
::593 ::Paton 
::Bhavani ::Carlo 
::74 ::Ester 
::4497533 ::Perfect 
::JinA06 ::AgrawalH05 
::607 ::Sreenivas 
::Rajagopalan ::Adjourn 
::Quan ::Has 
::Algorithm ::BerchtoldKK96 
::BANKS ::GawlickK85 
::Martin05 ::XQSE 
::22850324abs ::4497572 
::914851 ::Jure 
::Alberto ::Zhuang 
::Comparative ::Anup 
::Join ::Jeong 
::952 ::108 
::Collaboration ::Beng 
::Kuwabara ::Limitations 
::323 ::wi 
::AITVS ::Lars 
::Venn ::Kossmann 
::Inference ::Twee 
::602 ::1612 
::1355 ::Prodromos 
::Rich ::Qili 
::1022 ::295 
::DengDRZ08 ::AtallahCK08 
::Andrew ::4497633 
::71 ::284 
::4497559 ::ks 
::WhangLLKH05 ::Gromann 
::579 ::SrikantA95 
::Judice ::Suciu 
::Djafri ::Dmitry 
::Vladimir ::Probability 
::Gabber ::SchallehnSS02 
::Alfons ::LometBMS06 
::Freiwald ::HorwitzT86 
::209 ::1415 
::Client ::Alessandro 
::RDBMSs ::4497449 
::4497443 ::Grust 
::YangW01 ::Pfoser 
::Kramnik ::Bootstrapping 
::SaveRF ::FungYLY05 
::Easy ::Braynard 
::Gang ::Liu96 
::Ursino ::Kyun 
::Cao ::SametA95 
::Aduri ::Psaila 
::P268 ::Nested 
::Yanjiang ::Hasan 
::22851143abs ::Rivka 
::Miyuki ::Hypermedia 
::Rajamani ::15310673abs 
::Zaiqing ::4497572 
::Sergey ::22850157abs 
::RX ::Marian 
::Matrix ::4497508 
::SunAA02 ::22850580abs 
::1451 ::Debate 
::Partnership ::258 
::4497498 ::acr 
::Praveen ::TAR 
::178 ::763 
::bncod ::Laurent 
::600 ::978 
::XStream ::914873 
::4497541 ::BohmHLW08 
::Houtan ::RamakrishnanJNKB06 
::1400 ::4497486 
::Distribution ::Bamieh 
::Jonker ::LuoWL08 
::Ramakrishnan08 ::Stop 
::52 ::Workflow 
::Abstract ::BohmK01 
::Lead ::edbt 
::4497417 ::Xiong 
::Selecting ::Gehrke 
::Filtering ::ChrysanthisR90 
::742 ::22850353 
::ssd ::SteenhagenABB94 
::Kristal ::Towards 
::1370 ::Postgres 
::Warner ::MendelzonW95 
::724 ::4497612 
::X06b ::Zilio 
::Ku ::SellentinM98 
::526 ::Copy 
::delay ::Network 
::4497602 ::sigmod 
::Kamath ::1059 
::Theobald ::593 
::mg ::Ashutosh 
::RoussopoulosKV95 ::4497535 
::Gerstl ::Muthuramakrishnan 
::Visual ::4497450 
::TaoXP06 ::to 
::Brakatsoulas ::ChangYDA88 
::XuLXM06 ::Dohnal 
::1351 ::914863 
::Gisela ::Darrell 
::Ka ::Carmem 
::914836 ::Gerstl 
::4497610 ::Quadtree 
::Crowley ::Joan 
::Shawn ::Knowledge 
::ChiuehP05 ::933 
::176 ::22850578abs 
::42 ::Rakesh 
::Krishnan ::ShatdalN93 
::4497574 ::Versatile 
::Khaitan ::Gertz 
::34 ::Naomi 
::Tomasic ::RoitmanGR08a 
::Okcan ::SardarK06 
::LiedesW06 ::Kenneth 
::GryzSZZ01 ::495 
::AITVS ::1453 
::Asuman ::517 
::without ::Platform 
::e ::Cochrane 
::Ge ::4497567 
::GhandeharizadehHJ96 ::Browsing 
::Packets ::Liqin 
::Constraints ::903 
::Lin ::Zoupanos 
::4497611 ::Memos 
::Gulbeden ::Badillos 
::Dual ::Manolescu 
::Programming ::Systems 
::BouganimDV96 ::Developed 
::CormodeMZ06 ::N 
::YipCN05 ::1600 
::Vassiliadis ::Palakal 
::Zina ::Search 
::Guestrin ::GrustKGHS97 
::BeckmannHKN06 ::ipsj 
::Chawathe ::4497538 
::Secure ::KrauthgamerMRR08 
::Cattell91 ::Alink 
::1441 ::1516 
::anonymizing ::22850143abs 
::Frequency ::LometBMS06 
::Organization ::9 
::driven ::Ramanath 
::Welch84 ::Halevy 
::CarterBZ95 ::Oliver 
::J ::Scannapieco 
::790 ::2001 
::MohanAGK95 ::GhandeharizadehHJ92 
::ChenJKKMNS01 ::Hetal 
::GhandeharizadehHJ96 ::Koki 
::JiangVBCB05 ::Pajarola 
::Chamberlain ::FlicknerSAHDGHLPSY95 
::HanF95 ::Manolescu 
::ONeilG95 ::KatayamaS01 
::Master ::RaoPML06 
::231 ::Guan 
::Zwol ::Assurance 
::Flattening ::domain 
::Authentication ::Mendez 
::Kemme ::Production 
::Jabeen ::Gerald 
::Liangzhong ::Agma 
::Eadon ::Collaboration 
::Aravind ::AdaliCPS96 
::Surface ::22850705abs 
::301 ::StearnsR81 
::Hammer ::Marian 
::Dohnal ::Querying 
::Untrusted ::TsangarisN91 
::Inferring ::SchenkelTW05 
::DaynesC01 ::Zhiping 
::cp ::Tsaparas 
::Working ::Simon 
::Accurate ::Reification 
::Java ::Sharing 
::Zezula ::Russakovsky 
::1318 ::Approximation 
::JeungLSZ08 ::Tuning 
::P446 ::Visualization 
::Gyu ::MogiK94 
::Reality ::Nobutoshi 
::Jansen ::Tian 
::Arbitrary ::Mohammad 
::Progress ::4497570 
::10010121abs ::Client 
::551 ::15310494 
::COUNT ::Ambuj 
::SAN ::Sriram 
::Document ::4497611 
::Shantanu ::73 
::Order ::Personalized 
::Laura ::SNAP 
::Yihua ::iandc 
::HermanGLW87 ::Ip 
::Feltes ::Brett 
::Klaus ::EltabakhEA06 
::914833 ::Migrating 
::Decayed ::Process 
::4497568 ::Subramanian 
::Untrusted ::PapakonstantinouGU96 
::Martinenghi ::Schemas 
::SrikantA95 ::Dual 
::Designing ::Torp 
::Sergei ::cgmOLAP 
::Takeshi ::914831 
::Kotidis05 ::Ahmed 
::GoldbergR83 ::Henk 
::File ::Metric 
::Jignesh ::XinH08 
::1100 ::Melliyal 
::Lopez ::Campi 
::Arora ::inproceedings 
::Native ::15310005abs 
::46 ::1061 
::OwickiG76 ::Three 
::Trees ::HjaltasonS95 
::22850483 ::41 
::626 ::Neil 
::Expiration ::Trends 
::Powered ::4497507 
::Their ::Gagan 
::Ogawa ::1120 
::158 ::Channels 
::Example ::Stphane 
::Luk ::619 
::724 ::22850865abs 
::Henrich ::sebd 
::22850242abs ::ChangSZS97 
::Furfaro ::Gabriel 
::Jagannath ::Hakan 
::DuS82 ::4497436 
::Voronkov ::Chang82 
::Tamer ::Models 
::170 ::LevandoskiKM08 
::Kamesh ::269 
::OrfaliHE96 ::Lehner 
::Samuel ::DunnDDS02 
::Matt ::Watanabe 
::Kee ::Attacks 
::AggarwalCH06 ::462 
::Reification ::DrapeauPK94 
::Derivation ::852 
::Reorganize ::DanDY91 
::TuckerM02 ::Kashima 
::Zezula ::Dayal 
::Yuni ::Vassilis 
::294 ::YouPL05 
::1391 ::Dou 
::Mohania ::ChanFLNR82 
::4497604 ::Constantly 
::15310331 ::Pu 
::263 ::4497596 
::4497581 ::Gao 
::Fai ::Definition 
::Ganti ::1504 
::Message ::22850415abs 
::Employing ::Database 
::Sizes ::Onizuka 
::15310357abs ::Big 
::HouleS05 ::LehnerHS02 
::DaWaII ::643 
::JakobGHN05 ::Zuzarte 
::SolworthO91 ::ChanET05 
::Chalamalla ::307 
::Leonidas ::Fishman 
::15310335 ::187 
::Guoyu ::Gertz 
::Obstacles ::ZhangCMS97 
::Zhiyuan ::Indexing 
::Buffering ::Manolescu 
::1409 ::Satoh 
::Aggregation ::WolskiB98 
::Experiences ::586 
::22850668abs ::10010143abs 
::Kit ::Ordered 
::JinZLWS06 ::Antoni 
::Chambliss ::4497421 
::GukalOR96 ::Jr 
::StreamingWindow ::Storage 
::column ::15310261 
::22851102abs ::BargaP95 
::329 ::Gardarin 
::Houtan ::Mudumbai 
::Polynomial ::SayalCDS02 
::Ari ::Vectorizing 
::651 ::Approaches 
::4497421 ::Yingqi 
::4497636 ::Grtner 
::Bookmarks ::Vladimir 
::Hwanjo ::1393 
::Wlodek ::Finding 
::Teubner ::Speeds 
::iBOM ::Ayad 
::Mortazavi ::1200 
::453 ::To 
::Flood ::icde2001 
::KreveldO91 ::576 
::to ::BohmMW01 
::22850174abs ::Support 
::Valduriez87 ::Aritsugi 
::605 ::1160 
::1476 ::Wilschut 
::116 ::Whitley 
::Eltarras ::Mansuri 
::OMNI ::Kaname 
::GutingZC89 ::PadmanabhanAMJ01 
::914855 ::Ari 
::Annotation ::1372 
::KolliosGKB01 ::Units 
::PageChaser ::BryCDFOS05 
::BergD95 ::Hans 
::Partnership ::Vinayak 
::Yuelong ::22850020abs 
::4497618 ::Milan 
::XML ::80 
::BerchtoldBK98 ::Thomsen 
::Ludscher ::Chrysanthis 
::WachterR92 ::Timothy 
::Sizov ::Yidong 
::Refresh ::C 
::LawrenceB02 ::DanK95 
::337 ::Sougata 
::Tomography ::Sellis 
::Creation ::Ntarmos 
::Garcia ::KamathR98 
::BittonMT89 ::330 
::22850118abs ::Jermaine 
::61 ::ChenH01 
::Xiaokui ::Matching 
::Kreutz ::ZhouZVQ08 
::ChangMZS98 ::Al 
::784 ::Alpa 
::journals ::Telle 
::Felber ::Vilhuber 
::Minh ::TaniguchiS05 
::SellentinM98 ::ConsensRV08 
::1100 ::Intermittently 
::545 ::15310001 
::Wrapper ::15310341 
::Tsotras ::code 
::Jiong ::22850118abs 
::Guy ::Fishman01 
::Expression ::143 
::Andrs ::icde2005 
::Transformations ::Constrained 
::673 ::Yasin 
::129 ::Abiteboul97 
::212 ::Asynchronous 
::Jagadish ::Dissemination 
::Willy ::365 
::Alone ::15310567abs 
::CNN ::4497429 
::Sanghyun ::Ping 
::HibinoR96 ::Warehousing 
::JensenSS94 ::Krger 
::Venkitasubramaniam ::Expiration 
::Venkatesh ::Pekka 
::1560 ::79 
::Abowd ::Composition 
::SeltzsamGKK06 ::Philippe 
::Date90 ::Georgiana 
::Deepak ::KlemettinenMRTV94 
::Lightweight ::Farfn 
::Very ::Order 
::Accessible ::914852 
::Horibe ::Kwang 
::ShethR93 ::Sayed 
::240 ::Xiaojin 
::Etzard ::JaffarYZ06 
::224 ::Andrs 
::16 ::34 
::Selectivity ::22850217abs 
::Lijiang ::SIPPER 
::Gao ::84 
::HernandezPVMNH02 ::Intermittently 
::PadmanabhanAMJ01 ::Klemens 
::DanK95 ::C 
::Cart ::MaierS86 
::Miller ::Ramamurthy 
::Qiming ::YanOZ08 
::Build ::Deductive 
::Mozafari ::Batch 
::EmekciAAG06 ::22851104abs 
::Hui ::Harinarayan 
::WuB97 ::Security 
::22850419abs ::Ninghui 
::Schwarz ::765 
::71 ::Dan 
::Strategies ::Marts 
::Pipelining ::Sreeram 
::942 ::Liedes 
::DuschkaL97 ::John 
::Demand ::Devarakonda 
::Context ::CastroN08 
::15310567abs ::Redmond 
::Prodromos ::Piatetsky91 
::HinterbergerMG94 ::Lyman 
::YangW01 ::Encoded 
::Salzberg86 ::22850545 
::Abowd ::Definitions 
::RamakrishnanJNKB06 ::Kishan 
::Shaull ::23 
::22851118abs ::Nrvg 
::LiH89 ::Itemset 
::comp ::Gaurav 
::4497471 ::Huang 
::Eunus ::Fegaras08 
::Immerman ::Dimitrios 
::Sliding ::4497592 
::Mauroux ::Gill 
::355 ::future 
::Cocci ::Liao 
::Dmitri ::201 
::Rizos ::Platforms 
::HornickZ87 ::Detection 
::Salem ::Controls 
::15310605abs ::Bruno 
::Wombacher ::4497557 
::P602 ::Tran 
::Bhat ::FelipeHR08 
::CocciTDS08 ::Brent 
::Implementing ::Mi 
::Bhalotia ::Advances 
::Fan ::Interaction 
::Integratio ::Draper01 
::Aboulnaga ::Scannapieco 
::Art ::Extremely 
::Wee ::Defined 
::639 ::WuWLM06 
::651 ::Yifeng 
::BlockeelCFGP08 ::P602 
::1384 ::KornMW06 
::Balke ::1560 
::500 ::Muntz 
::978 ::BohannonFRS02 
::Niels ::Mohan90 
::BulutS05 ::YiLHKS08 
::Megalooikonomou ::ZhouOT05 
::Yalamanchi ::TataP08 
::Resources ::Yunyue 
::Defined ::Jialie 
::Pietzuch ::Torp 
::dke ::Calisto 
::1468 ::SteenhagenBB96 
::YuHC05 ::Places 
::BohmHLW08 ::22850754abs 
::DiaoFFT02 ::914847 
::15310323 ::516 
::Kaname ::4497603 
::AbiteboulCCMMS97 ::1119 
::the ::Implicated 
::Savage ::Shiroh 
::EltabakhOAELASB08 ::Documents 
::Major ::914831 
::48 ::1343 
::Cammert ::SIREN 
::Filters ::MaddenG08 
::LiuHXS06 ::914850 
::Properties ::Lawrence 
::454 ::Tiancheng 
::299 ::Pucheral 
::55 ::Density 
::SolworthO91 ::Assurance 
::1002 ::ATM 
::106 ::Yanjiang 
::7 ::Sullivan96 
::View ::LevyMSS95 
::Isolation ::Work 
::Srini ::pods 
::Microarray ::280 
::BouazizKPW97 ::YiuM06 
::Pennekanti01 ::Item 
::Ester ::Heng 
::DBMS ::4497598 
::books ::Veli 
::P054 ::For 
::4497507 ::Elke 
::Schiefer ::Imprecision 
::Marko ::Mayur 
::Krmer ::Estimators 
::KistlerS91 ::676 
::Improving ::iBOM 
::PetkovicZBJAWK02 ::Moon 
::AmzaCDKLRYZ96 ::NguGBCDB02 
::SIREN ::4497494 
::972 ::Mittal 
::Counting ::DescribeX 
::Leveraging ::P602 
::Time ::P066 
::DaiKSTV08 ::Gubanov 
::Menzo ::4497446 
