::Banich ::BatoryBGSTTW88 ::Xiao ::RaffioBCPH08 
::NieWWM06 ::Dieter ::321 ::Ken 
::Schroeder ::862 ::Bentley75 ::Filters 
::HasanM94 ::Houle ::SQL ::Networking 
::Jason ::Distributed ::1588 ::Ramamritham 
::SchekPSW90 ::Snapshot ::Conor ::Andrei 
::Porkka ::Dakka ::Employing ::Adaptation 
::Dimitrios ::Algorithm ::22850446abs ::Automata 
::Bingsheng ::1547 ::osdi ::Ntoulas 
::EggersOS81 ::Jiying ::networks ::475 
::Ashok ::15310383abs ::Disparate ::Pull 
::htm ::22850680abs ::JigyasuBBCDMT06 ::Liang 
::Reasoning ::Schemas ::Stefani ::2 
::Zhen ::cp ::1388 ::AtzeniCB05 
::914840 ::Teoh ::Paths ::Grid 
::Ailamaki05 ::549 ::Csar ::4497537 
::Spatiotemporal ::832 ::Lijiang ::Dehne 
::Amarnath ::Guha ::Zilio ::Krompass 
::Alone ::George ::Netz ::Location 
::BINGO ::Overlay ::1114 ::Creation 
::BrakatsoulasPT05 ::CormodeKMS05 ::Jae ::1390 
::AyadNWS06 ::Concurrency ::Microsoft ::AgrawalJKL06 
::Murthy ::532 ::Low ::832 
::Zadeh65 ::Split ::Nagaraj ::Information 
::1595 ::relational ::Ozcan ::Koudas 
::GrabsBS01 ::efficient ::PF91 ::Wong 
::Over ::Fudos ::1485 ::Oriented 
::TanizakiMS05 ::Rogers ::1623 ::Future 
::Fung ::Mi ::4497571 ::Fegaras08 
::22850742abs ::Khuzaima ::MeoPC96 ::Rosy 
::39 ::All ::4497623 ::ichi 
::22 ::Jialie ::SirbuT95 ::Surajit 
::Acquisitional ::Cudr ::Collaboration ::1427 
::Anh ::PopivanovM02 ::916 ::Gertz 
::SellentinM98 ::Checkpoint ::Vineel ::Sarawagi95 
::sac ::22850434abs ::Luis ::842 
::1418 ::Combining ::HOLAP ::Vehicle 
::SiL96 ::SrivastavaL88 ::Melliyal ::1572 
::Wilschut ::Directed ::1453 ::22851147 
::Mano ::Bugra ::MAPLE ::Dadam 
::1072 ::4497553 ::Mamadou ::15310309abs 
::LometBMS06 ::Markov ::Extra ::Berchtold 
::Prasanna ::Klaus ::LittleAFGRSV93 ::Jianzhong 
::Asonov ::AgrawalAS93 ::Amlie ::1527 
::475 ::Vista ::730 ::KetchpelGP97 
::Khaitan ::HwangPS98 ::icde2005 ::HacigumusMI02 
::Tamir ::Patricia ::Muhammed ::Exploring 
::Jeung ::Art ::177 ::Intersection 
::UDB ::Transformations ::20 ::HuWLZX05 
::4497515 ::79 ::Inferring ::Jiying 
::RemiasSZS97 ::P116 ::1492 ::P192 
::P458 ::Probability ::EvangelidisLS95 ::GonzalezHLK06 
::Il ::Policies ::150 ::4497508 
::Producing ::SilbersteinBEMY06 ::Peter ::256 
::Alex ::15310383abs ::System ::Ewen 
::ParkKL01 ::Madhavan ::1239 ::RabinovichBGLMM98 
::KimCD05 ::Evaluation ::389 ::Arora 
::Burst ::15310274 ::Quanqing ::eBusiness 
::Vaidya ::PhanL08 ::366 ::357 
::Analysis ::Arnold ::BertinoK89 ::Seltzer 
::Collaboration ::Ahmed ::Yongluan ::ChangSZS97 
::Ann ::SPP ::182 ::Haruo 
::1033 ::142 ::BabuDM08 ::ebXML 
::bncod ::Kristin ::Gounaris ::AbiteboulCCMMS97 
::22850159 ::Maier ::Communication ::Reachability 
::Vikas ::NussbaumerPSS95 ::Ellmann ::GhandeharizadehHJ96 
::Yee ::Gnther ::McWherterSAH05 ::under 
::Fabian ::1145 ::SavasereON95 ::Ferhatosmanoglu 
::NehmeRB08 ::Alex ::RastogiMBKS93 ::15310663abs 
::4497543 ::Carlos ::4497399 ::Containing 
::22851102abs ::Benjamin ::Takahiro ::Hee 
::914874 ::4497520 ::Top ::Prioritization 
::Kleene ::Takahiro ::MONDRIAN ::Laura 
::4497588 ::Closed ::networks ::1328 
::toms ::Theory ::Gupta98 ::Constraint 
::982 ::4497456 ::Krishnan ::Han 
::BukhresSNBAOGKCMS02 ::22850256abs ::Wiederhold92 ::1238 
::Huajun ::Czajkowski ::TanizakiMS05 ::Fung 
::Has ::UNIDOOR ::Packets ::Vaidya 
::Victor ::4497631 ::Calisto ::XiaZ06 
::books ::Anonymization ::Conditional ::KatayamaS01 
::Arnold ::P380 ::Kumaran ::TheodoridisS96 
::53 ::Lomet92 ::BeckmannHKN06 ::Engines 
::Biological ::Chi ::MANETs ::Freeston87 
::TALE ::MehrotraG93 ::4497536 ::Condit 
::KemperK93 ::LeeE01 ::Bhowmick ::Gignere 
::Magesh ::Symbolic ::Freiwald ::isca 
::SardarK06 ::Guarantees ::Andrs ::YangW01 
::Thiagarajan ::Skyt ::Bookmarks ::Vineel 
::Theodore ::15310393abs ::ShethR93 ::15310265 
::4497518 ::Rasin ::LuoJHYW06 ::Text 
::Alberto ::Abul ::Anonymous ::GADT 
::Hartmut ::Mahesh ::ROL ::Charu 
::Markl ::Zhe ::34 ::1631 
::Masaru ::949 ::COLR ::4497608 
::Stocker ::Greedy ::15310093abs ::Processors 
::1081 ::Lomet92 ::Korolova ::419 
::Counting ::Replication ::Klabjan ::1307 
::P436 ::GeorgakopoulosHM96 ::963 ::Availability 
::Compliance ::Greco ::Schema ::30 
::149 ::QiaoRNPCFRCYL08 ::Routing ::1330 
::Regions ::the ::Snake ::CareyHL93 
::4497481 ::PostgreSQL ::Smalheiser ::Cherniack 
::1001 ::Hubert ::50 ::J 
::486 ::339 ::Marian ::ChenJKKMNS01 
::Benchmarking ::243 ::P458 ::Mukherjee 
::Conference ::Mumick ::Zhuge ::Markl 
::LiZBSZN06 ::FernandezFKLS97 ::Victor ::KasneciSIRW08 
::601 ::ChenJKKMNS01 ::1369 ::IMAX 
::GonzalezHLK06 ::BanerjeeC96 ::1376 ::Giuseppe 
::Balter ::Yuhui ::zden ::HadjieleftheriouCKS08 
::Representation ::EswarranGLT76 ::Chih ::Topol 
::635 ::LiuR05 ::Inference ::Metadata 
::15310583abs ::126 ::Ganesan ::Farhana 
::NgOT02 ::Chandel ::Singh ::Nagavamsi 
::Pekka ::Archival ::Hao ::LiuYT05 
::algorithmica ::50 ::P602 ::IlyasA05 
::Replication ::Tuan ::Concept ::Tomography 
::Bosworth01 ::Jialie ::Product ::Huaiyu 
::Nilesh ::1048 ::Role ::Wisam 
::XML ::Carmem ::4497530 ::Qin 
::Incomplete ::Sampling ::Ang ::Khaled 
::Girish ::Mengchi ::Curtis ::Columns 
::978 ::Hanan ::Aziz ::Gencai 
::P086 ::ShatdalN93 ::TsatalosSI94 ::Relations 
::Generato ::LiebermanSS08 ::Jagrati ::922 
::or ::Maxim ::1461 ::4497561 
::coopis ::50 ::RiTE ::Vanitha 
::22850032abs ::Alpa ::Dependable ::Manfred 
::AgrawalG89 ::Kifer ::Balachander ::Sakuma 
::Krithi ::EstanN06 ::PeiHL01 ::Katsumi 
::Clemens ::521 ::600 ::KoutrikaSI06 
::1052 ::BerchtoldKK96 ::GoyalHKMS96 ::332 
::1358 ::310 ::Scheduling ::Nath 
::190 ::Symbolic ::QuassRSUW95 ::TungHH01 
::Kou ::FayyadPSU96 ::Optimal ::MolinaKS98 
::Wenjie ::Michal ::Hyon ::biased 
::125 ::Partitions ::Partially ::P402 
::RosenblumO92 ::Suciu96 ::1411 ::BancilhonKK85 
::4497446 ::Online ::Operations ::22851146 
::Coverage ::CLAN ::BrownH06 ::1147 
::193 ::Guestrin ::Aggregate ::AlexeCMT08 
::Learning ::ECA ::Xiaochun ::Broadcast 
::LeeSZ05 ::192 ::Simonas ::Assuring 
::icde2002 ::Column ::Joon ::1319 
::1583 ::666 ::Rajasekar ::SchroederHIN06 
::Hilda ::Bitmap ::Archival ::Prcis 
::PapakonstantinouGGU95 ::Qingchun ::Super ::BouazizKPW97 
::Guoyu ::Interactive ::Dina ::CormodeKMS05 
::Jeonghee ::LiZBSZN06 ::Meta ::InanKBS08 
::Jacobsen ::WuK05 ::1373 ::ChawatheG97 
::dx ::SUBSKY ::Stratified ::914812 
::4497409 ::967 ::1116 ::4497481 
::633 ::Columns ::GeorgakopoulosHM96 ::Trees 
::DrapeauK93 ::HacigumusMI02 ::Models ::Ledlie 
::TORPEDO ::Bulut ::Indyk ::ZhangRL96 
::Stonebraker ::Venkataraman ::LimB08 ::by 
::Storing ::Histograms ::Cal ::EderL95 
::Markos ::Simitsis ::Ji ::22850521abs 
::Ma ::Chita ::FlajoletGPR93 ::ChengYHY08 
::Xueyan ::Uncertainty ::4497554 ::Attacks 
::ShuklaDNR96 ::Cloud ::TaniguchiS05 ::Zina 
::Ullas ::15310498 ::McCann ::Bee 
::1391 ::Reporting ::Mukhopadhyay ::22851120 
::McWherterSAH05 ::TianP08 ::Krishnaprasad ::Shrira 
::Properties ::YiuMK08 ::914823 ::22851146 
::Filippo ::1110 ::Coupled ::Felber 
::DohertyHR96 ::Adaptation ::Welcome ::Tung 
::Overlapping ::Stratos ::Repairable ::Banich 
::341 ::1091 ::Benjelloun ::Object 
::15310276 ::Paul ::Etzard ::Batra 
::679 ::Yifeng ::LeungNM02 ::GonzalezHLK06 
::James ::Adaptive ::Sing ::MaurouxAF06 
::AHYDS ::HardwickSRM97 ::482 ::Hilda 
::Stahl ::P494 ::IshikawaKOYKK96 ::204 
::Victor ::Flooding ::P252 ::Messaging 
::ZhouYGCD08 ::22851048abs ::Bypass ::Tomography 
::Uncovering ::Vlastislav ::Fabret ::1411 
::Tufte ::486 ::472 ::892 
::4497418 ::TAILOR ::Roberta ::22851126abs 
::Jeung ::PietzuchLSRWS06 ::IMPrECISE ::ECA 
::Indexing ::SellisRF87 ::Rebecca ::Ono 
::TangYOW08 ::1423 ::Paul ::Hans 
::Stop ::Combining ::cacm ::295 
::Boris ::Rajan ::Jianyong ::Labeled 
::LuBZ06 ::914819 ::FaloutsosB93 ::LupuY06 
::RaffioBCPH08 ::39 ::Shah ::EggersOS81 
::GraefeL01 ::91 ::SchallehnSS02 ::1150 
::MannilaTV94 ::386 ::4497542 ::Nail 
::Smalheiser ::Graph ::Value ::Si 
::Saake ::tse ::262 ::873 
::Power ::Aameek ::Idea ::HellersteinKP97 
::MolinaS87 ::lisa ::SchenkelTW05 ::Sideways 
::Kevin ::489 ::Yanjiang ::Sugimoto 
::Signal ::OGormanAA02 ::Privacy ::Malin 
::452 ::SNAP ::XSEED ::1146 
::80 ::Incomplete ::NtarmosTW06 ::Shafiq 
::Malik ::426 ::MohanKSW06 ::311 
::Polynomial ::Surface ::22850545 ::15310283 
::Mlivoncic ::914858 ::ONeil87 ::Yihong 
::Imprecise ::4497628 ::Vana ::Butterfly 
::4497560 ::LakshmananSS96 ::22851113 ::P494 
::Behr ::WhiteDJ96 ::22850583abs ::646 
::Employing ::139 ::P086 ::Freiwald 
::Yihua ::Volumes ::4497522 ::Pavan 
::mit ::Program ::Signal ::Collaborative 
::231 ::Inter ::4497600 ::ProcessingWindow 
::914875 ::GeZ08 ::CastellanosCSD05 ::Rys01 
::Maya ::Enforcing ::75 ::534 
::Programming ::FungYLY05 ::ChenLGKP94 ::SavageW96 
::Location ::Aggregate ::LakshmananSS96 ::Labeled 
::482 ::Hung ::580 ::Aoki 
::627 ::15310543abs ::Hiraoka ::Quadtree 
::Liu ::22851036abs ::tkde ::DeWitt 
::Projected ::1409 ::Overcoming ::Eric 
::Kanoulas ::485 ::1228 ::SirbuT95 
::LuBZ06 ::BakalovHHT08 ::Narasayya ::Bei 
::HirataHTK96 ::Psaila ::4497494 ::554 
::Bogdan ::PabmanabhanG06 ::Srivastava ::Marcin 
::QoSMig ::22850878abs ::Kyu ::Pandey 
::Bhat ::Zdonik ::Snodgrass ::KaushikSBG02 
::Marinoiu ::914878 ::GraefeM93 ::Cyrus 
::Liqin ::Donald ::XingZH05 ::Kwietniewski 
::Activities ::DeWittNS91 ::147 ::BehrG05 
::10010173abs ::824 ::Cesare ::Memory 
::Annamalai ::Kemper ::Arumugam ::JagadishMM95 
::GPIVOT ::Estan ::Vu ::BOXes 
::ShriraX05 ::Renato ::Castro ::Selectivity 
::Pablo ::Ordering ::HarrisonD92 ::Systems 
::Muthuramakrishnan ::Tightly ::Choi ::P550 
::P558 ::Fegaras08 ::RaffioBCPH08 ::Mokbel 
::Snodgrass ::AlexanderR06 ::Snapshot ::Ad 
::4497555 ::1199 ::Block ::Ranganathan 
::4497541 ::Amer ::YounSun ::Optimize 
::41 ::83 ::Join ::Chun 
::15310473abs ::Nes ::Process ::Jhingran 
::4497605 ::PattersonBA08 ::T ::RDFS 
::Halevy ::asplos ::Gong ::1498 
::247 ::914827 ::VLEI ::mta 
::54 ::NodineZ90 ::AbiteboulCCMMS97 ::Mauroux 
::Ashish ::Mehmet ::Snake ::ShahR08 
::Bedell98 ::Approximating ::Goyal ::comp 
::Vaupel ::338 ::187 ::Gertz 
::Teaching ::AgrawalAS93 ::BentleyF79 ::PolyzotisG06 
::Maintenance ::CLAN ::GionisMT05 ::RDMS 
::Chuan ::Temporal ::Architecture ::Srinivasan 
::CammertHKRSSZ06 ::Stefanie ::60 ::22851146 
::Quang ::1130 ::Ammar ::Rishe 
::967 ::KoblerBCH95 ::4497551 ::Analytical 
::HanF95 ::elmagarmid92 ::15310280 ::Gisela 
::BrinkhoffKSS94 ::472 ::968 ::Mikkel 
::KornMW06 ::Chi ::Jeff ::Sponsored 
::Shivakumar ::BunemanDHS96 ::Maya ::Stucki 
::LjosaBS06 ::Sarvjeet ::Wierman ::Nagesh 
::Dakka ::Marianne ::Verykios ::processing 
::DCbot ::889 ::SinghKG02 ::Keulen 
::Underprovisioned ::Karras ::Equi ::10010215abs 
::1239 ::Rezgui ::Jasiobedzki ::Multilingual 
::684 ::Seshadri01 ::XieYCWY08 ::1061 
::Nick ::22851137abs ::Gounaris ::Predicates 
::ShalemB08 ::4497547 ::Jonathan ::JagadishOVZZ06 
::Sparse ::P456 ::Filtering ::4497517 
::Supervised ::470 ::LeFevreDR06 ::DengSXL06 
::Adlib ::1394 ::282 ::OzdenRS98 
::Milan ::22850485 ::Tam ::Rogers 
::Cochinwala01 ::Use ::MelnikGR02 ::146 
::425 ::Mediation ::Reducing ::Preaggregation 
::914824 ::Modeling ::Grobelnik ::PattersonBA08 
::Evaluation ::Transactional ::Mannila ::Mahajan 
::LiSDKG01 ::1023 ::Natix ::Aggarwal 
::ParkCY95 ::SkytJP02 ::21 ::icde2002 
::CeriW91 ::863 ::22850057abs ::Cox 
::HOPI ::Meo ::1330 ::Dalvi 
::HuangJLO06 ::Salt ::Cudre ::1141 
::DescribeX ::TungHH01 ::832 ::Welch84 
::76 ::4497541 ::DeWittG92 ::P314 
::Afanasiev ::456 ::Kjetil ::459 
::Hacigms ::Volumes ::Hjaltason ::22851145abs 
::Volker ::VrhovnikSES08 ::Kristal ::Eugene 
::MetaQuerier ::914870 ::496 ::Bruce 
::Replacement ::Labeling ::Liu96 ::Wavelets 
::2 ::Bursty ::914845 ::Wee 
::4497521 ::Pinto ::Tsuyoshi ::Terabyte 
::Scale ::1510 ::4497632 ::Hubert 
::10010473abs ::MIX ::Hutchison ::Stonebraker 
::Gupta ::Sunbir ::XPaths ::Kian 
::Rhm ::4497575 ::Has ::Pajarola 
::Down ::1399 ::Relationally ::BalkeNST05 
::WangBTD08 ::Zuzarte ::Prefix ::4497454 
::SegevP89 ::Saltenis ::Interpretation ::Arshad 
::Elmagarmid ::4497397 ::MetaQuerier ::LuoJHYW06 
::Ohler ::Faster ::27 ::Rahm92 
::4497471 ::914819 ::VlachouDNV08 ::Shuai 
::Advances ::EllisGR91 ::Khaled ::1297 
::Elhadji ::Wierman ::SteenhagenABB94 ::Alternative 
::Kanellakis95 ::Teamwork ::Server ::Iyer 
::FeeleyMPKL95 ::ZivL77 ::Available ::JiangLWY02 
::Cunningham ::temporal ::Tanveer ::Swart 
::1333 ::AggarwalY08 ::323 ::C98 
::Hongyan ::BuccafurriRPS02 ::Georgiadis ::914861 
::Campen ::741 ::Coarse ::Unknown 
::25 ::Zaharioudakis ::WangXHZWZS08 ::Pattern 
::P174 ::MyllymakiL95 ::eBusiness ::Ramaswamy 
::Oracle ::Marcin ::BernsteinGLL98 ::Rundensteiner92 
::Thanh ::SquicciariniPB08 ::SkytJP02 ::Welsh 
::Authoritative ::Onizuka ::4497471 ::Braumandl 
::244 ::943 ::Granular ::4497445 
::Bhide ::Processes ::Chun ::Kubota 
::HornickZ87 ::jlp ::HeXYY05 ::Marcelo 
::X05o ::Nearest ::Beyond ::FernandezA02 
::Telematics ::Tan ::Cruz92 ::Papadias 
::Date90 ::BouganimFPV01 ::PermJoin ::Suman 
::TaoPZL05 ::RotemZ95 ::98 ::Koch 
::Adjourn ::I ::ChengYHY08 ::BatiniL86 
::ddb ::Cheung ::Uwe ::Nie 
::Compressing ::Tryfona ::Vladimir ::Workloads 
::SmythG91 ::1559 ::PetkovicZBJAWK02 ::Arasu 
::Mobile ::1412 ::Chung ::Suciu 
::d ::Lineage ::Physical ::PapakonstantinouGU96 
::Marinoiu ::672 ::inproceedings ::Structural 
::LiuR05 ::Harizopoulos ::LakshmananSS96 ::QuassWGHLMNRRAUW96 
::22850193abs ::4497406 ::Terabyte ::Verykios 
::ebXML ::Compiled ::BukhresSNBAOGKCMS02 ::YangPPK08 
::4497429 ::Frequent ::P134 ::Peiya 
::Chih ::LOCUST ::Anand ::Schemas 
::jlp ::Mark ::Xiaokui ::4497610 
::Random ::GabberK98 ::Exploring ::235 
::Heinlein01 ::MIC ::65 ::Fishman 
::Michalis ::Jianzhong ::Tool ::HershbergerSS06 
::Fabret ::Carsten ::4497411 ::as 
::15310064abs ::172 ::882 ::MendelzonMM97 
::Lawrence ::Zuzarte ::Guttman84 ::ThuraisinghamHRM98 
::Gawlick98 ::JainDG08 ::Dhamdhere ::RohmBS01 
::gis ::Paths ::4497591 ::LangOS96 
::Chair ::ZukowskiHNB06 ::Elisa ::Matching 
::Bentley80 ::1297 ::1447 ::KilgerM94 
::LianC08 ::iBOM ::914865 ::Ge 
::Jim ::pdis ::TokOLAB02 ::580 
::Zaki ::siamcomp ::ChenDKLRS95 ::Replica 
::Their ::4497397 ::Automation ::MuralikrishnaD88 
::Kwok ::457 ::Aref ::DohertyHR96 
::AgrawalCGMM08 ::24 ::Recognition ::The 
::Cheng ::Wolfgang ::SeshadriLR94 ::Ashutosh 
::P066 ::564 ::1317 ::182 
::AbiteboulMP05 ::Ranked ::ChenRDEGS06 ::Vilhuber 
::ZhangTS02 ::P066 ::Under ::Venky 
::P568 ::Salzberg88 ::Khalefa ::Ouri 
::4497544 ::Relative ::Stoumpos ::Seltzer 
::Rajan ::Wolski ::BilkeN05 ::465 
::Convoy ::Evripidou ::22850273abs ::Problems 
::Sarawagi97 ::Engovatov ::Procedures ::WangPY05 
::Deepak ::Mansuri ::MummertES95 ::SellentinM98 
::Muralidhar ::AthitsosPPK08 ::NgR95 ::Aggregation 
::Detect ::Yuen ::Federations ::RAIDs 
::JermaineOY02 ::Qiming ::Whose ::Role 
::4497539 ::Bruce ::22850186abs ::RAM 
::Relationship ::493 ::Traina ::4497448 
::WilkinsonN90 ::4497511 ::Chai ::765 
::DuKS92 ::Dewri ::Badillos ::Private 
::LjosaS08 ::Yan ::Haritsa ::Lp 
::AnHai ::Bentley80 ::Settings ::Tolani 
::4497620 ::GriffithsFPJDM05 ::OSS ::Saenz 
::P412 ::79 ::Platforms ::Brent 
::FranklinCL92 ::SherkatR06 ::Moshe ::482 
::Association ::Dam97 ::1140 ::1375 
::430 ::Laura ::962 ::HutfleszSW88 
::Labrinidis ::Jagannathan ::to ::BonczQK96 
::RDF ::Cohe ::Polyzotis ::Hamid 
::4497617 ::ONeilWFCM98 ::ichi ::Rosaci 
::Yannis ::779 ::Example ::Through 
::P ::XiaZ06 ::Identifiers ::On 
::SmithC96 ::Narang ::1427 ::Gravano 
::Hierarchical ::MukherjeeRS05 ::DarFJST96 ::183 
::Xiaoxin ::KitsuregawaO90 ::KhalifaJPWKS02 ::KappelS91 
::Message ::Graphical ::Program ::Jia 
::LinD98 ::246 ::Palopoli ::Mumtaz 
::774 ::Fishman01 ::501 ::Graph 
::Communities ::Mengsheng ::X05o ::if 
::4497482 ::Arnab ::by ::Zaniolo 
::Xiaofang ::ICDE ::Hiroyuki ::ChaudhuriGK06 
::15310275 ::AstrahanBCEGGKLMMPTWW76 ::KatayamaS97 ::Reynold 
::Approach ::1147 ::Perfect ::Braynard 
::TrombettaB06 ::Andrei ::Subspace ::Karl 
::352 ::Sae ::15310081abs ::XStream 
::XinSHL06 ::Cesare ::1102 ::Middle 
::Unified ::4497488 ::321 ::Abowd 
::201 ::Banich ::Jimeng ::300 
::vldb ::1379 ::4497526 ::Ziarko91 
::Producing ::Puzzle ::Harumoto ::1477 
::4497531 ::Gadia88 ::LometS89 ::Eberhardt 
::Id ::Approximate ::268 ::Radeschutz 
::Publication ::P456 ::Freeston87 ::Sampling 
::Blocking ::Elmeleegy ::Wisam ::391 
::Denzel02 ::Jean ::HwangBRCSZ05 ::Badillos 
::KriegelKPS08 ::Automatically ::Takuya ::Anti 
::B+ ::Theory ::Fayyad ::1432 
::Frederick ::Cordova ::Brian ::1467 
::22850258abs ::21 ::Ixent ::SAP 
::LeungWL89 ::183 ::Hope ::Jayapandian 
::Jagrati ::388 ::ChanFLNR82 ::X05o 
::1100 ::Hyon ::Benjelloun ::Dong 
::Nrvg ::Baralis ::MeoPC96 ::mit 
::Obstacles ::Braga ::Sakurai ::773 
::22850878abs ::1073 ::Recognition ::Infrasturucture 
::Bettina ::Expiration ::Klemens ::876 
::Integrity ::Phantom ::SeshadriLR97 ::4497427 
::Authorization ::CarminatiFB05 ::Panagos ::420 
::GoelSYZ02 ::Junglee ::Mikkel ::Subscribe 
::75 ::Vasileios ::Iyengar ::Siong 
::Tim ::15310335 ::Fault ::Annita 
::Supratim ::Tree ::4497610 ::RoschGL08 
::Aranyak ::Zeeshan ::Cranston ::RinderleWR06 
::1604 ::Work ::Applications ::Yuni 
::Walk ::Young ::Reasoning ::SemCast 
::Jeff ::PapadiasTKZ02 ::Grosky ::KatayamaS97 
::Fast ::Cha ::InanKBS08 ::P456 
::Georgiadis ::1115 ::Nassima ::1125 
::Weis ::XDS ::Jennifer ::Campen 
::Schemas ::ZhangTS02 ::Joins ::KamelF94 
::814 ::GriffinL95 ::MolinaKS98 ::Ramamurthy 
::Transformation ::GuptaHR98 ::Outlier ::JagadishMR98 
::914850 ::iBOM ::Schoning01 ::Calisto 
::LinVM06 ::Dao ::606 ::Bulut 
::KashaniS08 ::Andritsos ::P046 ::Inter 
::Preference ::Conference ::Milena ::Gounaris 
::BabuDM08 ::Equi ::DayDIKG95 ::Networks 
::Cunningham ::Result ::Mehmet ::Experiment 
::a ::Bootstrapping ::22850118abs ::Davey 
::Chandel ::Tracking ::1372 ::Ruddy 
::Eenjun ::Scheduling ::Ramasamy ::Rogers 
::914857 ::Girod ::Arie ::Ng 
::Over ::Mohan94 ::22850779abs ::914863 
::MotwaniNT08 ::SpaceTwist ::Practice ::4497605 
::914873 ::Interpretation ::JeungLSZ08 ::Alexe 
::Tat ::KimPC01 ::QinQZ06 ::ChenSZ05 
::Customer ::Expiration ::Amrish ::Zhengli 
::22850693abs ::Legaria ::Dictionary ::DBXplorer 
::Georgiadis ::4497563 ::P182 ::2002 
::Structures ::Smith ::22850742abs ::15310129abs 
::LuccheseVRY08 ::Searches ::Scenarios ::Tat 
::22850516abs ::Quan ::Simple ::Locality 
::1461 ::Tuzhilin ::4497489 ::4497564 
::View ::Predicate ::78 ::Kamath 
::Indriyati ::179 ::DeshpandeH08 ::Customer 
::X06b ::Query ::Dimitrios ::SistlaWCD97 
::626 ::4497498 ::Mangold ::Structures 
::Miyuki ::EmekciAAG06 ::Fast ::GongYQZ05 
::GeorgakopoulosHS95 ::LiuYGS98 ::Jennifer ::Hse 
::Rewriting ::ONeilG95 ::Coverage ::Pattern 
::Anant ::Zadeh89 ::Pei ::Domenico 
::P494 ::deSign ::Selinger ::Retrieval 
::Ammar ::Puzzle ::DanielsSHLMWW82 ::Family 
::Anup ::Multiple ::AutoGlobe ::Bernstein 
::113 ::Ohler ::Influence ::Sumit 
::RiTE ::RFID ::GuptaHR98 ::YouPL05 
::Documents ::Prefix ::914814 ::Construction 
::Tetsuya ::BorgBGHO89 ::Haibing ::HuangJLO06 
::usenix ::ArasuCK08 ::476 ::LinYWL05 
::Lot ::T ::Laks ::267 
::232 ::Benjamin ::GuPYC08 ::4497404 
::John ::15310639abs ::Narang ::Osman 
::Kong ::Willem ::ArefCEFGHIMPRTTTVZ02 ::Trade 
::BaralGS98 ::P154 ::Takahiro ::Relevance 
::Partially ::22850518abs ::Represented ::QianW91 
::191 ::1575 ::22850434abs ::Gravano 
::Fetching ::CareyHMW96 ::Athena ::MehrLLS08 
::AbiteboulCCMMS97 ::Estimators ::Terms ::Idreos 
::Laura ::Memory ::KamelF94 ::Qixiang 
::Ngu ::1451 ::Satoh ::Kurt 
::696 ::ibmsj ::1599 ::22850391abs 
::321 ::15310327 ::22850285abs ::Kotidis 
::1115 ::Comer79 ::Mingzhe ::ijcai 
::284 ::BanerjeeC96 ::34 ::ORDBMS 
::KemperK93 ::15310271 ::Distance ::1137 
::PETRANET ::Margaret ::Yoshikawa ::Bosworth01 
::Albrecht ::Calisto ::ShaoNS05 ::Swanwa 
::Theobald ::Teubner ::15310264 ::Liu98 
::Omiecinski ::SteenhagenABB94 ::Abdelmounaam ::1507 
::Quanqing ::Anne ::4497570 ::SIREN 
::Bradley ::Shimada ::JeungSZ08 ::P294 
::Are ::1092 ::Sunita ::Bajpai 
::Masaaki ::Provide ::Bart ::4497420 
::Bakalov ::Locality ::1354 ::Hanyu 
::ZhouZQZ06 ::OSS ::4497474 ::Bryan 
::WangLPAM06 ::Eltarras ::LinD98 ::ICDE98 
::Media ::BonczQK96 ::1525 ::Lian 
::MohanKSW06 ::Synchronization ::4497570 ::Eric 
::656 ::Magdalena ::KonigN06 ::KemperM90 
::Davey ::Valduriez87 ::475 ::Design 
::Gaurav ::414 ::Ippokratis ::140 
::Dimension ::Classification ::Neighbor ::SchenkelTW05 
::Bhattacharya ::Level ::AmzaCZ05 ::Ailamaki05 
::1148 ::RamakrishnanJNKB06 ::1457 ::Hoffmann 
::22851140 ::Partially ::Koustuv ::Jeff 
::Ada ::598 ::Fingertips ::Sachin 
::P086 ::db ::Osmar ::Singer 
::Every ::Planning ::OMNI ::Rich 
::Reza ::SQL ::Tu ::F 
::TirthapuraA05 ::218 ::BernsteinGWRR81 ::toWeb 
::1471 ::Tilo ::RamanathZFH05 ::1339 
::Result ::Ouri ::Extensible ::Nassima 
::Carson ::Cyclic ::Toon ::Miah 
::Lucian ::Ifrim ::Crowley ::StonebrakerADNR93 
::NguGBCDB02 ::Zoupanos ::Rjaibi ::Molina83 
::Bates ::LuoNEW05 ::263 ::Elmeleegy 
::574 ::Conference ::Simon ::Xuqing 
::Kshitij ::Tolani ::through ::mta 
::Replicated ::685 ::KistlerS91 ::15310267 
::Iceberg ::Commerce ::Sueda ::Bukhres 
::Suciu ::BancilhonKK85 ::Panella ::TORPEDO 
::Lal ::Transformations ::Selections ::Suciu 
::Amarjeet ::Swart ::Essence ::307 
::Yasin ::914873 ::Frederick ::Associations 
::Tuan ::Roberto ::Hannu ::Vasilis 
::WhangKW94 ::22850816abs ::1379 ::Relational 
::BancilhonKK85 ::87 ::SistlaYV97 ::SQL 
::Immerman87 ::Jiying ::Nicole ::22850459abs 
::Heiler ::Radeschutz ::Zaki ::Quantitative 
::Tetsuya ::Palakal ::DebLRS08 ::KrishnaprasadLMWA05 
::Operation ::Yuen ::Orenstein91 ::Crowley 
