::Garbage ::314 ::Gyssens 
::Toward ::Zoerntlein ::Meyer 
::Extendeing ::Chopping ::Viswanath 
::Lynn ::Bing ::Hypertext 
::Atkinson ::at ::323 
::Gebhardt ::553 ::102 
::Levine ::Sycara ::Jonas 
::Agarwal ::Swarup ::Bing 
::Ada ::Secure ::Elke 
::DBMSs ::offs ::Optical 
::Wang ::Roland ::Mixed 
::Efficiently ::McLoughlin ::Qiming 
::133 ::368 ::Griffeth 
::Icons ::Shashi ::Turau 
::Hui ::27 ::Block 
::450 ::Quass ::Yandong 
::293 ::I ::De 
::Shenoy ::121 ::Faloutsos 
::Roy ::Ulrike ::Problem 
::Ford ::Inapplicable ::System 
::Presentation ::Cardenas ::Arie 
::Shea ::Between ::Kotz 
::Wilson ::253 ::George 
::Defined ::Automation ::Sean 
::Hearst ::Agigdor ::Hughes 
::Medeiros ::Symposium ::Panagos 
::Papakonstantinou ::Saying ::Jonsson 
::Record ::Spaces ::Sagiv 
::Melissa ::Lynn ::Context 
::Liuba ::Bukhres ::Yves 
::ACT ::Optimizing ::Do 
::Objectives ::Concurrency ::Carrie 
::Roddick ::Sibel ::160 
::485 ::Madnick ::Grained 
::Fetched ::Facilities ::meet 
::467 ::Griffeth ::11 
::Wilburt ::441 ::Predicting 
::Cvetanovic ::Open ::Recurrent 
::Tryfona ::Toiati ::Casanova 
::Flynn ::Uniform ::Karlsruhe 
::Alain ::oriented ::Praveen 
::Curt ::Symposium ::Sandra 
::Generation ::Reuter ::Kshitij 
::Special ::Sidell ::Classroom 
::Quiescing ::Behavior ::GEM 
::Versioning ::Zwilling ::author 
::Despina ::Automation ::Galindo 
::Paula ::Queries ::228 
::Connell ::Olkin ::572 
::Metadatabase ::Rishiyur ::Buchmann 
::Mecca ::478 ::Jacobs 
::Krishnamurthy ::Transaction ::Elsbernd 
::Stefanovic ::In ::Agents 
::253 ::Maryland ::Hanan 
::Sort ::Improving ::13th 
::Manish ::Lois ::Processors 
::Sophie ::Answer ::271 
::Useful ::Coterie ::107 
::Brad ::Sripada ::Alonso 
::364 ::Annotating ::NET 
::Thierry ::Fabret ::Beach 
::Designing ::Results ::Gebhardt 
::Gogolla ::313 ::Curry 
::Meaning ::endPage ::Georges 
::Ulrike ::Revisited ::Contextualizing 
::Megiddo ::STARTS ::Au 
::Ada ::Widoff ::Sou 
::Gist ::Silvana ::Gottfried 
::Assisted ::Moerkotte ::Tanin 
::Capability ::XPRS ::Prakash 
::ACT ::Prasad ::Geppert 
::Mukul ::131 ::vendor 
::Taylor ::109 ::175 
::Avoid ::Bernhard ::Salvatore 
::Weihl ::Zdonik ::Only 
::Bolour ::Service ::data 
::Workaholics ::Tony ::Computing 
::Function ::75 ::Separation 
::Andler ::Meeting ::Masum 
::Gal ::Tolga ::Fox 
::Kline ::Jajodia ::Gilles 
::Workaholics ::contra ::formerly 
::Udo ::Chirn ::Rates 
::Atri ::470 ::Abraham 
::Achitecture ::Improved ::Malkemus 
::Hoc ::Match ::zhan 
::Doherty ::Desktop ::Rafael 
::Christophides ::El ::Jakobisiak 
::Hierarchies ::158 ::Indexes 
::Esther ::Trade ::Joins 
::Experience ::Hierarchically ::Symposium 
::Batory ::Case ::Bertino 
::Cercone ::Ohori ::Databases 
::Pena ::Configuration ::Normal 
::Kam ::Khedkar ::Entity 
::Hierarchical ::meet ::Conflict 
::versionControl ::Barinderpal ::Duschka 
::Low ::Dynamics ::Written 
::Taube ::430 ::395 
::Waheed ::Inegration ::offs 
::Shea ::Rajaraman ::77 
::Consens ::Banu ::Sciore 
::Unified ::Ilsoo ::Zaharioudakis 
::to ::Sandra ::Kashyap 
::Pessimistic ::Catarci ::Kline 
::MultiView ::memory ::306 
::392 ::Integration ::1988 
::Geo ::Doo ::Guangshun 
::Konrad ::557 ::Decision 
::Prolog ::Mackert ::Toiati 
::Jint ::397 ::Deduction 
::Hypertabular ::7 ::Tomasz 
::Chomicki ::98 ::Tuning 
::University ::Template ::Separation 
::Ralf ::Forms ::AMS 
::Kifer ::Kornacker ::Hugh 
::Breiteneder ::King ::Erik 
::zsoyoglu ::Keith ::Searching 
::Shekar ::Eliminating ::Prospector 
::13th ::Buchmann ::Klein 
::520 ::Charles ::Timeliness 
::Finkelstein ::Ambuj ::Technology 
::Improving ::Wrttemberg ::Bruce 
::Hui ::Ibrahim ::546 
::Vijay ::Tien ::Quest 
::Materialization ::Tsur ::Larson 
::320 ::Unnikrishnan ::Ilsoo 
::Revisted ::Llirbat ::Timos 
::Reduction ::Atzeni ::Nathan 
::Asit ::Industry ::Assigning 
::193 ::Michael ::Its 
::Carey ::Outer ::136 
::13 ::22 ::Disco 
::Nodine ::Yang ::SMP 
::data ::Final ::Markus 
::Burger ::Cox ::284 
::Completeness ::Recursive ::532 
::Tutorial ::Haas ::Wen 
::Milo ::Dhaval ::Benson 
::Into ::Ulusoy ::Kramer 
::Udo ::Schlageter ::Hoc 
::Klaus ::166 ::Lehman 
::Mosfeq ::Manfred ::Prototyping 
::Paton ::Wilburt ::Extendeing 
::Making ::195 ::Eriksson 
::OR ::Gnauer ::Bhide 
::Bhm ::Gunter ::Chang 
::Century ::Picture ::Content 
::Guozhu ::Margulies ::Kocharekar 
::1951 ::452 ::Mixed 
::Repositories ::LORE ::Requirements 
::1993 ::Enhanced ::Read 
::Tsangaris ::Gupta ::Z 
::127 ::548 ::offs 
::Hong ::Tryfona ::Datalog 
::SIM ::Shapiro ::127 
::Xiong ::Viswanathan ::538 
::Concurrent ::194 ::Writes 
::Petterson ::Lomet ::Tobin 
::Trade ::EDUCE ::Cost 
::Degradations ::Amihai ::197 
::434 ::Local ::6 
::Kapitskaia ::Inheritance ::Modelling 
::Mehmet ::VMS ::Testbed 
::Effect ::Shalom ::Paredaens 
::Tryfona ::versionControl ::Ramirez 
::Shoshani ::Tsangaris ::Ohori 
::Kn ::ichi ::Selectivity 
::Celentano ::Hot ::Recent 
::Residues ::Link ::issue 
::Hoppenbrouwers ::Brachman ::Objectivity 
::Simon ::Narasimhalu ::416 
::Daz ::zden ::Chief 
::Experience ::Neighbor ::98 
::NII ::Jenkins ::Retrospective 
::Koudas ::Gkhan ::Marr 
::Lessons ::News ::Budget 
::Kang ::Claudia ::Closure 
::Experiencing ::Ozcan ::ODBMS 
::Howard ::Levy ::Nguyen 
::Counting ::Tim ::Shneiderman 
::Hoppenbrouwers ::by ::454 
::Expert ::DOODLE ::Reordering 
::Hide ::Mike ::Mining 
::Loeffen ::Avoid ::Note 
::Ingres ::325 ::Raymond 
::Min ::Has ::Infrastructure 
::Piatko ::FZI ::Shneiderman 
::Hector ::300 ::Papazoglou 
::Tsur ::Pedersen ::Kucera 
::Zoerntlein ::Krzysztof ::Houtsma 
::Security ::Mirroring ::Alternative 
::513 ::Schuh ::4 
::Zwilling ::Jon ::Strengthen 
::Resnick ::Dependence ::Building 
::International ::Arvola ::Meyer 
::Larry ::149 ::yiu 
::89 ::Frasson ::271 
::153 ::Barinderpal ::Richard 
::153 ::Oki ::Devolution 
::Baclawski ::Overview ::60 
::Hayama ::57 ::Camps 
::Bauyer ::Fu ::Nutt 
::Wilcox ::Earth ::Concepts 
::Mohan ::Taneja ::Hampapur 
::Niki ::Annie ::Vrbsky 
::Scientist ::Ozkan ::Tamer 
::Penalty ::Tokuyama ::Unifying 
::Christoph ::Relaxed ::DeeDS 
::339 ::90 ::Example 
::Postgres ::Simulation ::Tobin 
::Zloof ::Segment ::120 
::Low ::Restrictions ::Philip 
::article ::Wesley ::Walters 
::Modelling ::Development ::Arjan 
::Anupam ::Venky ::Why 
::X ::Schuh ::Hasanat 
::Keishi ::Visualizing ::Qaimari 
::281 ::Mecca ::PREDATOR 
::Mayer ::Hbel ::den 
::Usability ::Kwei ::Indices 
::Watson ::Scholl ::453 
::Simple ::Chungmin ::IDEA 
::Wileden ::Processing ::Betty 
::SPARC ::Anant ::Devor 
::Strssler ::Arnon ::30 
::183 ::Bezenchek ::Disjunction 
::366 ::Transaction ::Garlic 
::42 ::Random ::Klonk 
::zden ::RIDE ::Carlo 
::Ahmed ::Melton ::Qingshan 
::Peng ::Gad ::Justin 
::Sheldon ::Energy ::Karypis 
::Curry ::Gruber ::Environment 
::Mohammed ::Activities ::Large 
::Optimizing ::Jain ::Gingras 
::Sarathy ::Buffers ::Representing 
::Alain ::Descollonges ::453 
::511 ::Nikolai ::Mick 
::Procedures ::Lodge ::176 
::Llirbat ::Davis ::Security 
::Francine ::Masses ::Mamou 
::Megiddo ::Durusoy ::Kawaguchi 
::348 ::Paredaens ::536 
::Form ::Datenbases ::184 
::Kuo ::Furtado ::563 
::273 ::300 ::Keim 
::Ramirez ::516 ::Recursive 
::Metrics ::86 ::Sandeep 
::OASIS ::Alexander ::Updating 
::language ::453 ::Truszkowski 
::Bukhres ::17 ::Aidong 
::Distributed ::Goel ::Value 
::Science ::Catriel ::Gnther 
::Serge ::Aggregation ::Seluk 
::Aberdeen ::Predicting ::Commentary 
::Schuble ::Costly ::Lim 
::Nan ::Aris ::Zaniolo 
::Graphs ::473 ::383 
::Xian ::Principles ::13 
::Dadam ::Shahram ::Paula 
::CITRI ::242 ::Pang 
::SEMCOG ::AI ::Fishman 
::Opportunities ::Effect ::Hendrikx 
::Stefanovic ::Krishna ::204 
::Networked ::Called ::Turau 
::Morpain ::Hasan ::Prasad 
::Industry ::Funkhouser ::Latha 
::Upgrade ::Section ::Grosky 
::Push ::529 ::Architecture 
::Morishita ::Labio ::Chairman 
::Urban ::Closure ::Alistair 
::Paredaens ::Robert ::26 
::DIPS ::Implications ::Imielinski 
::Critical ::Jeusfeld ::Cart 
::Alan ::Interaction ::Forte 
::Programs ::556 ::Objectivity 
::Furtado ::Separation ::X3 
::Contextualizing ::Vipul ::Applying 
::Altintas ::RISC ::474 
::Eugene ::89 ::Abraham 
::Principles ::Hierarchy ::Ballinger 
::501 ::DBSim ::Market 
::Luis ::Roark ::91 
::Petterson ::Ksiezyk ::Wilhelm 
::Carrie ::Ioannidis ::Air 
::Agenda ::Hartmut ::Kon 
::Delobel ::30 ::Berg 
::Meltzer ::W ::Alain 
::Charles ::Zloof ::Optimization 
::Ptool ::Machlin ::Zaniolo 
::over ::Goetz ::Michele 
::Webb ::Paolo ::Alfons 
::Bressan ::Christophides ::Rakow 
::Cai ::Doughty ::Object 
::Silberschatz ::Fatma ::Tailoring 
::Inge ::68 ::479 
::152 ::Barbara ::Srikant 
::Karim ::Melissa ::Prasad 
::Inge ::Umesh ::Changing 
::468 ::Years ::Kirby 
::Ebru ::312 ::Reply 
::Borras ::Strategies ::Chaudhary 
::Upgrade ::Progress ::Very 
::Cody ::Testing ::Partial 
::Jeusfeld ::MDM ::Umeshwar 
::Katz ::Differential ::Compiling 
::Survey ::Plaisant ::Datenbases 
::508 ::Chan ::100 
::GUI ::Van ::Extending 
::Laurent ::Jon ::Temporal 
::DBA ::Action ::Moerkotte 
::Multiversioning ::Case ::One 
::Multiple ::Hendrikx ::Malkemus 
::364 ::DIPS ::Cardenas 
::Markowitz ::HG ::Eric 
::Jeff ::Qin ::28 
::Stolfo ::Venky ::Klonk 
::Halici ::Indexes ::Coherency 
::ZOO ::Ohori ::Scientist 
::Okay ::Jint ::Mellin 
::484 ::Aziz ::Neil 
::Federated ::attribute ::Andersen 
::Merge ::Ilker ::Knoblock 
::Rudolf ::196 ::Market 
::Jerrold ::Globally ::Some 
::Nolan ::Mandy ::Myers 
::Temporal ::Rupawalla ::Reconciliation 
::Konrad ::Indian ::Experience 
::251 ::Daniel ::Berson 
::Bancilhon ::yiu ::Lotus 
::Has ::Vertical ::Lock 
::a ::March ::Pernul 
::Rates ::Amy ::Bussche 
::Marcus ::Mok ::Warehousing 
::Gal ::Deshpande ::Medical 
::Massively ::SEMCOG ::Consumer 
::Resistant ::Reformulated ::Discovery 
::Gerald ::Artur ::Mobile 
::Case ::oriented ::68 
::DBMS ::Hierarchies ::Third 
::Hayama ::Omran ::Alexandros 
::Lockemann ::Multisafe ::159 
::GeoMiner ::Levy ::Hierarchies 
::Starburst ::Standards ::Jean 
::Arie ::Chih ::Panel 
::International ::Large ::Disjunctions 
::TSQL2 ::Recovery ::Tutorial 
::Novak ::Combinatorial ::Ilsoo 
::439 ::Huffman ::Results 
::Moore ::Goldman ::Opportunities 
::Supporting ::147 ::Widom 
::Davison ::Ronald ::Buneman 
::186 ::Huang ::351 
::McLeod ::zgr ::Christophides 
::Alfons ::Ingres ::191 
::Media ::Swarup ::B 
::Hussein ::Marc ::Yates 
::Trigger ::Only ::3 
::Desai ::Multiprocessor ::Upgrade 
::Visual ::Gardels ::Strengthen 
::Programming ::Systems ::B+trees 
::379 ::Kifer ::zsu 
::Agent ::2000 ::Stefano 
::Libraries ::Sidell ::DARPA 
::Orthogonal ::Chris ::Art 
::Algebras ::Bauyer ::Kamel 
::Ksiezyk ::407 ::559 
::Amy ::Machlin ::Mehrotra 
::Y ::Hwang ::DEVise 
::Walker ::volume ::Teradata 
::350 ::Converting ::Yuping 
::I ::Evolving ::Fll 
::515 ::Rahimi ::Buffers 
::Kocharekar ::Kenneth ::Kosmas 
::Already ::the ::Toolkit 
::Su ::Informix ::Department 
::Inserting ::Making ::Cox 
::zden ::Pedersen ::Of 
::459 ::Montage ::Fatima 
::Alex ::Collection ::Kazuhiko 
::Behavior ::Bifocal ::Everthing 
::Easy ::518 ::Alfonso 
::Concurrency ::481 ::Merrett 
::About ::Domain ::Mamou 
::Martin ::Gkhan ::Patel 
::Language ::555 ::Krishnan 
::Service ::Kocharekar ::Raghu 
::T ::Jutta ::Earth 
::Rafanelli ::235 ::Workaholics 
::Into ::N ::Compiled 
::Darwen ::Separately ::Caching 
::Yun ::Liuba ::Formal 
::X ::Schek ::215 
::Hull ::De ::Hbel 
::Comprehension ::Zurek ::Solomon 
::Divyakant ::Fll ::Report 
::70 ::Influencing ::Han 
::Shan ::Berchtold ::Street 
::Boon ::Sparsely ::Semistructured 
::Michle ::Priti ::Mrcio 
::Narang ::Bhashyam ::Services 
::276 ::Comments ::Taosong 
::Arpinar ::Yates ::Thatte 
::Guest ::Unpacking ::Gerlhof 
::Schemas ::Stefan ::21st 
::Zou ::Interoperability ::137 
::Media ::Poyet ::Stanley 
::Jarke ::BUSINESS ::Itemset 
::Jordan ::567 ::Kilov 
::Panagos ::NSF ::Consistent 
::350 ::Interfaces ::Donjerkovic 
::259 ::Craig ::Files 
::Castro ::Statistical ::PRIMA 
::Group ::EUG ::Baeza 
::Intensive ::Louis ::Hara 
::Devor ::529 ::Inderpal 
::216 ::Skew ::367 
::Hans ::14 ::Optimality 
::Yuksel ::Fugini ::Carsten 
::Sethi ::Goel ::481 
::zgr ::Very ::Nulls 
::Support ::Chris ::Recovery 
::87 ::Manola ::Compensation 
::Sushil ::Iterative ::134 
::San ::412 ::Rafael 
::Sheung ::El ::Beverly 
::Alan ::Catherine ::Mohammed 
::DIRECT ::Yoshinori ::Elizabeth 
::Amr ::Multimedia ::Genesereth 
::Sinha ::Mike ::Jie 
::Office ::Yuping ::Kornacker 
::tolerant ::Pirotte ::Walker 
::Janet ::Eaglestone ::Kolodner 
::Nulls ::Domain ::193 
::Krishna ::trees ::Manager 
::Motro ::175 ::Arpaci 
::Timothy ::Eich ::Network 
::Visualisation ::Procedures ::Henry 
::Tobin ::Availability ::Rules 
::Brick ::Systems ::62 
::Stefan ::Pernici ::Kenneth 
::Anthony ::Gkhan ::Nimrod 
::Extracting ::On ::Salzberg 
::Castano ::Invitational ::Interpreted 
::Meltzer ::Source ::80 
::Helal ::Notes ::Lipski 
::McIver ::Agigdor ::Relations 
::Perspectives ::Elke ::Cox 
::Advanced ::Large ::Day 
::Rajiv ::Tiziana ::Gerard 
::Auwera ::Worst ::Erratum 
::Internal ::Event ::Study 
::GIS ::Objectivity ::Sharad 
::504 ::Nural ::Module 
::323 ::Ilker ::Alejandro 
::Jos ::Enhancement ::Task 
::Aggregation ::Douglas ::Ulusoy 
::Hull ::Mancuhan ::Kerschberg 
::Duri ::White ::Enhancing 
::Administering ::Griffin ::Chou 
::Proteus ::Commit ::Upgrade 
::Benjamin ::Atri ::Are 
::43 ::148 ::Uniform 
::Simmen ::MLR ::Fabio 
::Roussopoulos ::Babis ::Barclay 
::Tomasic ::Utilization ::Kang 
::Ahead ::Modeling ::Starburst 
::87 ::Cai ::Machlin 
::Unstructured ::Barber ::452 
::Documents ::Wm ::453 
::Efficiently ::58 ::579 
::Transfers ::Schlageter ::Benjamin 
::Gallagher ::Hoc ::SBBD 
::512 ::Rakow ::Extension 
::Reformulated ::Class ::AI 
::386 ::Bhargava ::Editor 
::SEQUOIA ::Products ::311 
::Brodie ::Bases ::351 
::550 ::Religious ::Seeger 
::Saygin ::Horizontal ::El 
::Sagiv ::158 ::171 
::De ::ODE ::Mitchell 
::MDM ::Huffman ::Cem 
::Chawathe ::482 ::were 
::Masum ::Relations ::94 
::Lore ::Wesley ::Iakovos 
::Haber ::Expressive ::Gives 
::Peng ::Spatial ::Valduriez 
::GESTALT ::Adaptive ::Wiest 
::Partitioning ::Transition ::End 
::Sibel ::10 ::Codes 
::Elliot ::Niki ::Extensible 
::Achitecture ::Satoh ::Shiri 
::Evolution ::Services ::Scholl 
::Processing ::Tetelbaum ::Toward 
::He ::Scientist ::radi 
::253 ::Open ::Achievements 
::Common ::Huang ::DBMS 
::228 ::Alain ::Dhaval 
::331 ::Carter ::Won 
::Tannen ::Extending ::Optimized 
::Christine ::Between ::Safe 
::366 ::Camps ::Administering 
::Ado ::Quiescing ::Alternative 
::Robert ::Soparkar ::Wilburt 
::Building ::into ::Wenger 
::Lockemann ::Fagin ::Atzeni 
::Budak ::Divesh ::Goldman 
::383 ::Mixed ::Active 
::Kulkarni ::re ::STRUDEL 
::Weinberger ::50 ::Intensive 
::Schek ::Berchtold ::Reasoning 
::85 ::Thompson ::Real 
::Inserting ::Srinivasan ::Daniels 
::Properties ::Gogolla ::Ling 
::From ::HweeHwa ::Objects 
::Multidimensional ::time ::Juergen 
::Asit ::Outerjoins ::419 
::Juergen ::Fotouhi ::Achitecture 
::Frasson ::Seligman ::Third 
::313 ::Farias ::Structures 
::Flix ::Jint ::284 
::115 ::Inserting ::et 
::Heiler ::Ranganathan ::Manolis 
::Engine ::Page ::Interoperability 
::196 ::Observable ::zden 
::Krishnamurthy ::Smith ::I 
::Nancy ::Expert ::Raschid 
::Stenoien ::Bussche ::Sandra 
::Rowland ::Arie ::Starburst 
::166 ::Called ::Bussche 
::ZOO ::Mamou ::Garbage 
::Karim ::104 ::Been 
::Spaces ::Gregory ::Graphical 
::Wang ::Steven ::Rona 
::183 ::Constructing ::Petterson 
::Chen ::Christodoulakis ::Doherty 
::initPage ::Nearest ::Alex 
::Pedro ::Rdb ::13th 
::Gives ::Optimization ::Lori 
::Juergen ::McCarthy ::Jakobisiak 
::Leonid ::Hamid ::Maintaining 
::Eftring ::Rewrite ::Boral 
::23 ::Loops ::DBSim 
::Multiattribute ::Lockemann ::Goetz 
::author ::Dynamic ::Report 
::Relationship ::Bauzer ::Maindreville 
::Gruber ::215 ::Inderpal 
::Universal ::Life ::Salzberg 
::238 ::System ::204 
::260 ::Dimensional ::Consens 
::Aziz ::Interfaces ::Shahram 
::170 ::Perry ::COntext 
::Baader ::Philip ::Erich 
::Site ::Miguel ::459 
::364 ::133 ::Kamalakar 
::Cody ::Characterization ::Lehman 
::4 ::Celis ::Plaisant 
::Davis ::STanford ::Raghu 
::Takanari ::Koksal ::Into 
::Annie ::Prospector ::Load 
::Ouksel ::Said ::Fugini 
::Divyakant ::Cohen ::Thanasis 
::351 ::Prototype ::254 
::207 ::525 ::Biskup 
::Ozkan ::Very ::Walker 
::Dogac ::Z ::Stefano 
::127 ::Generating ::Bernard 
::Jie ::Approaches ::Saltor 
::Tan ::Allan ::EXODUS 
::Matthias ::478 ::393 
::Asgarian ::Stphane ::484 
::Masum ::Shan ::ACT 
::Vermeer ::Muth ::Metric 
::Tam ::Nolan ::Musukula 
::IPSI ::Peithner ::Wells 
::Problem ::478 ::Warehousing 
::dimensional ::Behavior ::Displays 
::Monitoring ::Tam ::Willie 
::Performance ::Order ::Alonso 
::et ::Infering ::Pattern 
::164 ::Status ::Restrictions 
::Willard ::Cowley ::Inc 
::Ozkan ::Ramachandra ::Jason 
::Scholl ::Ron ::Wechsler 
::Katayama ::Parallelism ::Shea 
::Compiling ::Sumit ::Souza 
::Rakow ::341 ::Gemis 
::281 ::Wiest ::Nguyen 
::516 ::Willie ::Gawlick 
::Hongjun ::Taube ::447 
::CapBasED ::Chair ::Representing 
::Eisenberg ::McKay ::OGDI 
::Cvetanovic ::Tolga ::Tagg 
::Jacek ::Disjunctive ::Dusseau 
::Penalty ::Ricardo ::Semantic 
::166 ::235 ::Lam 
::Atsushi ::Semistructured ::Concepts 
::James ::Mayford ::Hayama 
::428 ::Miller ::Limsoon 
::II ::Beng ::Jianguo 
::Content ::192 ::Random 
::Vingralek ::Tininini ::Alonso 
::Merz ::Problem ::Acitivities 
::Technology ::Algebras ::Klug 
::Its ::Framework ::Siegel 
::Berchtold ::Stephanie ::Roberto 
::MOSAICO ::Symposium ::Dadam 
::164 ::Selection ::Buchmann 
::Tetelbaum ::Hallmark ::Nolan 
::Internal ::PREDATOR ::Kon 
::Cube ::Han ::author 
::Erik ::Defense ::Function 
::Dependence ::Implications ::During 
::Method ::Compiling ::Shapiro 
::521 ::Crisis ::503 
::Yihong ::Lists ::Ugur 
::Bohrer ::Atzeni ::Ibrahim 
::Box ::Stefanovic ::Terrance 
::Size ::18 ::Announcements 
::Marianne ::Ariav ::Nodine 
::Scale ::tree ::Grasnickel 
::Mohan ::Summaries ::83 
::287 ::51 ::Kossmann 
::118 ::Availability ::Implications 
::Mariposa ::Y ::Phatak 
::Brown ::Yu ::Dallan 
::Inheritance ::Pixel ::Sampling 
::Written ::Barbar ::Souza 
::Modeling ::Commitment ::Going 
::96 ::Closing ::Chakravarthy 
::DBLearn ::Birgitta ::Simple 
::Among ::440 ::Shectman 
::DBLearn ::Mlle ::Y 
::Albert ::Thyssens ::Kshitij 
::Giansalvatore ::Rapid ::Dallan 
::Enforcing ::Poyet ::Combinatorial 
::Wide ::media ::423 
::SMP ::MDM ::DART 
::A ::Vingralek ::Non 
::Melling ::Bob ::Relationships 
::55 ::Marcus ::Limsoon 
::Inc ::Site ::Weienfels 
::Utilization ::Shane ::Convent 
::242 ::Reich ::383 
::355 ::Sumit ::Fowler 
::Gravano ::Top ::Jaime 
::Ashish ::Validation ::McLeod 
::486 ::Assigning ::Brice 
::Shan ::Jonathan ::Stoltzfus 
::Klonk ::Croft ::196 
::350 ::zsoyoglu ::Lodge 
::Frasson ::Zaniolo ::Vitter 
::Jie ::215 ::Replication 
::Vinek ::Critical ::REpository 
::Trobe ::Bltzingsloewen ::Presence 
::Transitive ::El ::Terms 
::level ::Orientation ::Sensed 
::Joosten ::Wisconsin ::Infrastructure 
::Memory ::DBSim ::Back 
::Chinya ::Unix ::und 
::Position ::131 ::Evolving 
::552 ::Toby ::Gravano 
::Must ::Term ::Is 
::Bargmeyer ::MLS ::Sites 
::Lam ::Area ::101 
::Ee ::Christos ::Biliris 
::267 ::Susanne ::Acitivities 
::469 ::Spyros ::272 
::Interfaces ::Behaviour ::Sandra 
::by ::Jaime ::242 
::Postgres ::Computer ::Keim 
::Availability ::Laks ::402 
::Hierarchies ::Nematollaah ::Testbed 
::Hall ::Bhateja ::Assisted 
::Frew ::DIRECT ::Inheritance 
::Clements ::Anil ::355 
::Pat ::Wolfgang ::Patel 
::Processors ::Priti ::Annie 
::27 ::Dirk ::Heap 
::Scheme ::relations ::DBSim 
::Continuous ::Unifying ::Industrial 
::Marek ::Yossi ::Abdullah 
::Melton ::Meets ::Generation 
::196 ::Shinichi ::Ray 
::relations ::Versus ::Proteus 
::Recursive ::Expressive ::Workbench 
::Franois ::Performance ::Merge 
::Guidance ::Sidell ::135 
::Goldfine ::Hillebrand ::Manola 
::Shutdown ::Miller ::36 
::Array ::Patel ::35 
::547 ::Arbee ::Comprehension 
::Garza ::Inserting ::Bing 
::Tamer ::Colliat ::Meaningful 
::Intelligent ::Craig ::Ferri 
::Its ::into ::Penalty 
::Preface ::Omran ::Cherniack 
::Bozkaya ::417 ::Closure 
::Ghandeharizadeh ::Jumping ::CAD 
::automatic ::Roth ::Sycara 
::268 ::is ::Plateau 
::557 ::Srivastava ::184 
::Views ::Predicate ::Meral 
::341 ::Navin ::with 
::Celis ::Concepts ::18 
::Farshad ::Haritsa ::Amit 
::Stephen ::Mikael ::Dietterich 
::Jonsson ::ZOO ::Achitecture 
::Hoel ::Wolfson ::Yasuhiko 
::We ::Log ::Joosten 
::CoopWARE ::Nan ::Objects 
::128 ::Mark ::Incremental 
::Upgrade ::Their ::43 
::Timothy ::452 ::La 
::38 ::Er ::Grammar 
::Markus ::Viewpoint ::Miron 
::226 ::568 ::Marti 
::Taylor ::22 ::Execution 
::Popova ::Spaces ::Luo 
::Kieling ::Svetlozar ::Introduction 
::305 ::Mayford ::Venky 
::Summaries ::Elsbernd ::Table 
::Sandeep ::510 ::Labio 
::250 ::Clemens ::Contents 
::Suciu ::Ko ::Pessimistic 
::Firm ::Hare ::Acharya 
::Hernndez ::Raghu ::Retrospective 
::Final ::ONTOS ::El 
::T ::Algorithms ::190 
::Ganguly ::Do ::Solving 
::Lindsay ::Matthew ::Sakti 
::Heiler ::Larry ::Ranganathan 
::520 ::253 ::Eaglestone 
::Chou ::458 ::Separation 
::Hans ::Mannino ::Wisconsin 
::Services ::Visualization ::Shin 
::Outer ::Krll ::Farias 
::Predicates ::Bhashyam ::Garza 
::Gawlick ::EUG ::Abdullah 
::Strategy ::Marian ::GESTALT 
::Synthetic ::Sakti ::Module 
::Billion ::507 ::123 
::Jianwen ::521 ::Anastasia 
::Fernandez ::Hodges ::Pull 
::Rolland ::Heuristic ::Interoperable 
::Achitecture ::Tony ::a 
::Case ::Witold ::Atkinson 
::Nural ::Machiavelli ::96 
::Updates ::Poyet ::Mendelzon 
::Anita ::Enterprise ::Roantree 
::Bezenchek ::545 ::Swami 
::287 ::Confluence ::Knowles 
::Shian ::Jianwen ::Inegration 
::Zhao ::Duri ::Jeffrey 
::Quantified ::Approximations ::Agarwal 
::Simillion ::108 ::554 
::Section ::Integration ::Jonsson 
::Hayama ::417 ::563 
::Lim ::Nested ::Testbed 
::McLoughlin ::Ouri ::Werner 
::Halici ::Are ::Pinar 
::Julian ::Keishi ::Sinha 
::Klug ::Wang ::66 
::Recovery ::Classroom ::Tang 
::Eftring ::Kurt ::Nebojsa 
::driven ::Stored ::Quantified 
::Linkage ::Kosch ::492 
::Box ::Buffer ::Schlageter 
::459 ::Haim ::Abiteboul 
::IPSI ::Ozcan ::Prashant 
::Newmann ::192 ::Chakravarthy 
::TPC ::380 ::Response 
::Polymorphic ::Scientist ::Keishi 
::Gnauer ::M ::Berson 
::Pierangela ::Pramanik ::NII 
::Geo ::IM ::Ooi 
::Alfons ::Acharya ::Chomicki 
::Mobile ::Connell ::Indexing 
::DDT ::Jerrold ::Generalizing 
::Treasurer ::Yannis ::NonStop 
::Improved ::Document ::Nolan 
::Atul ::82 ::Loading 
::Integrating ::Goyal ::Korn 
::Icons ::McCarthy ::Culler 
::Buneman ::Rules ::Chawathe 
::Sensed ::Fynn ::359 
::Ozcan ::Jr ::Programs 
::224 ::Block ::Lim 
::Krzysztof ::Goodman ::Multidatabase 
::Billion ::Requirements ::RAID5 
::Sean ::Administering ::Garnett 
::Ellman ::Florescu ::Charles 
::Gnauer ::Winfried ::Federation 
::Ford ::Consensus ::Kincade 
::13 ::Lee ::Hierarchies 
::82 ::Between ::Rolland 
