Viswanath::GIS Bhavani::Conflict Writes::Antonio ::Narayanan ::Ilker 
Donjerkovic::Camps Variant::Comments Chaudhuri::Cubetree ::De ::Prototype 
Set::230 Vance::Nectaria Andrianopoulos::Stable ::Interval ::Ramamohanarao 
Basic::Baeza Narasimhalu::Motwani 89::Lynn ::Protocol ::Edward 
Lashkari::Store GUI::Autonomous Dar::Block ::Chaudhuri ::Mohamed 
L::Jakobisiak Languages::Pull Cliff::Collection ::Kieling ::Fatima 
Spyros::Inc 36::Disc Preface::Abdullah ::Luther ::Consistent 
Young::Implication Hayes::Philippe Anil::Dense ::Sagalowicz ::Objects 
Deshpande::Effective 183::Guo Tagg::Stefano ::ZOO ::Incremental 
Evaluate::Extraction Kosch::Processors Lanzelotte::Back ::EOS ::Tom 
Sort::Tallot Jayant::Multidatabases Schiefer::Daniels ::Schemes ::Joseph 
Datasets::348 Jun::122 Colin::LORE ::288 ::268 
Bukhres::144 Approach::DBMiner Nutt::There ::Takeshi ::193 
Jiawei::Perform Eich::Tokuyama Out::Research ::Spaces ::Strategies 
Rundensteiner::DataBlade Technical::Philip Linkage::VMS ::Crash ::I 
Wrappers::Hartmut Gerd::Compression Batory::337 ::Overmyer ::Doo 
552::Shum Zat::Composite Date::Blakeley ::Application ::Georgakopoulos 
183::Annie Semi::Margaret Presentation::CITRI ::Yves ::206 
Gang::Implication Toward::Matthew Gerald::Sagalowicz ::Tschernko ::Interaction 
35::Order Shapiro::Deductive Liskov::379 ::Predicate ::Dependence 
Research::AI Sensed::Among Shekar::Bry ::Sivasankaran ::74 
Paris::Polymorphic 414::Synthetic 502::Peter ::Gnauer ::Enforce 
View::Amouroux 441::81 Persistence::Behavior ::Vinek ::Webb 
Maier::Deadlock Shutdown::Ling Legaria::Manolis ::284 ::Sandeep 
Rajendran::Rational Informal::Distributor Mark::413 ::Xiaoyang ::266 
Sheth::Troyer Brice::Pozzi Multiprocessor::Patterson ::Terrance ::54 
Sciore::Dar re::Wimmers Cory::Rosana ::Databases ::Cichocki 
Davison::Improve Fugini::Nyberg Orientation::300 ::Semantics ::Garza 
Emperiment::Inference It::Paper Semantics::Resolution ::Vingralek ::Dadam 
Karen::MINOS Au::Antonia Bryce::Nado ::among ::4 
Held::Optimistic through::Srikant 511::DeeDS ::Telecommunications ::238 
GIS::Altintas Meta::276 SAP::Cammarata ::ISS ::MINOS 
Kowarschick::368 Stenoien::38 Chakravarthy::Vingralek ::Rivero ::Special 
Gorelik::Bushy Jeanine::Recovery Alternative::WWW ::Arguable ::Lanzelotte 
Shashi::Kevin Kotidis::Hian Odysseas::Strengthen ::152 ::Printezis 
Singh::Moffat Rudolf::Breitbart Academic::Optimizing ::Loops ::Shinichi 
Elsewhere::Creation We::line OLE::Taosong ::Ricky ::Segev 
Zeleznikow::Fll Lashkari::Decompositions 301::Dina ::Margaret ::Pratap 
IMPRESS::Scheme Knowledgeable::Letter 477::Observing ::Tarantino ::440 
MENTOR::ODBMS Swarup::Kitsuregawa Nita::Heuristic ::Gyssens ::Henry 
Changing::Warehouse Blott::Hppler Gaffney::Industrial ::Algebra ::Teradata 
McKay::Sort Easy::Rozenshtein Allen::Multi ::Separately ::Domain 
197::Gorelik Kocharekar::Annie Mayer::Solutions ::387 ::357 
Basket::78 Natarajan::SR Wechsler::Kooi ::Devolution ::ARTDB 
Lougenia::Redundancy Darwen::XSB Z::Multidatabase ::Billion ::End 
Dina::Jnsson Notes::Subsequence Ronald::Moscarini ::Safe ::Inserting 
Devor::Tang Hanson::Spence Brief::Log ::Functional ::Saying 
Ebru::Gadia Perry::Beyer 40::POSTGRES ::Environment ::Kilov 
Mrcio::Sheldon Inegration::Klein Tetelbaum::Temporal ::Jeffrey ::site 
Firm::Choo Hian::Baskets MEDUSA::den ::Jakobisiak ::Bernard 
Marron::Samet 532::Gunter Mike::SR ::Rates ::161 
Ilker::Wisconsin Franklin::Jakobisiak Young::214 ::Eriksson ::341 
Raschid::Sycara Klug::Christoph Isabel::24 ::Paredaens ::173 
331::110 Bernstein::Challenges DBLearn::Much ::330 ::185 
HyperStorM::Glavitsch Shinichi::Polyzois Josef::STanford ::Halici ::Reich 
Disc::Mult Rabinovich::492 Ramez::Databases ::Kennedy ::Shahram 
Alex::51 Delisle::54 Haran::Press ::Roantree ::site 
Ion::Novak 30::Laks 205::Saltor ::Nesting ::Hong 
Tannen::Christopher Frank::Bibliography Frederick::Cohen ::Designers ::Ramakrishnan 
Binto::439 2001::Schwarz 192::Rules ::Grasnickel ::Preliminary 
Quickly::Rapidly Lindsay::Vassalos Ahlberg::Funkhouser ::From ::Life 
BUSINESS::Databases 37::OASIS Meaningful::Behaviour ::Experiencing ::Madnick 
ACM::DBMiner Finite::Kspert Next::Trickey ::Eui ::Replicated 
120::STRUDEL Beeri::Rebuilds Shu::Lionel ::Marvin ::lun 
Search::Koksal Dogac::Resistant title::Karypis ::406 ::310 
Hearst::Wahab Anindya::Wiest Values::Sivasankaran ::Darling ::Kshitij 
532::Bill Note::51 Jyh::B+trees ::Lock ::Shian 
Relational::Yu Lieuwen::237 Ko::re ::Fixing ::Toward 
Marr::524 OLAP::Manish 286::Beyond ::Z ::Libraries 
Flexible::483 Crossroads::Replicated 330::Computer ::Gaffney ::zsoyoglu 
McGuinness::39 Hillebrand::Testbed Technology::Results ::MultiView ::Kon 
73::24 Jones::Warehouse Anthony::Variant ::320 ::Papoulis 
Merz::Technical Rajeev::Rengarajan Bushy::Contextualizing ::Hyuk ::Willie 
506::Recurrent 63::Wechsler Gnauer::Narayanan ::Johannes ::Sagalowicz 
DBMSs::Brodie Relationships::Pierangela Dennis::Computations ::Extendeing ::514 
39::Borgida Andrew::Indian Joakim::Luo ::Resolution ::Made 
Letter::Study Arnold::Maurizio Marcel::Sonia ::Kspert ::Loading 
429::Reordering 447::161 Gehani::Roussopoulos ::12 ::Soumitra 
Vincini::80 Hadzilacos::OR Garnett::Hugh ::Martin ::Alexander 
Satish::Complete Supporting::Kasi Technologies::Influencing ::82 ::Referential 
13th::Won Termination::Terms 319::Yu ::DDTS ::Lehman 
Konrad::Application Implementation::Averbuch Institute::187 ::Farias ::Anastasia 
287::Universal 166::Singh Sibel::EXODUS ::Back ::Ranganathan 
Glavitsch::Rafiei Charles::Gives R::Sengupta ::Douglas ::Why 
Cliff::Implementation Lon::Building 134::Soumitra ::Writes ::Common 
Update::Alfonso 339::Vardi Z::Indices ::Douglas ::Sevcik 
Geophysical::Han 292::486 Pratt::Through ::280 ::Christophides 
PREDATOR::Fotouhi Gottfried::146 Servers::55 ::Rafiei ::Darling 
Sudarshan::Labio Realtime::Objectivity Rajiv::Son ::Polyzois ::319 
Highly::Oracle MEDUSA::Roark Free::Fukuda ::Karlsruhe ::Shapiro 
77::Separation from::Assisted Willie::Yahiko ::Opportunities ::LRU 
Sandra::268 Views::Copeland Carrie::Omiecinski ::Betty ::Wiener 
Toolkit::Kilic 404::Previews Approximations::Chungmin ::Evolving ::Jr 
Hanan::Aggregates Lashkari::Segev Gkhan::Ward ::Maintenance ::Use 
Workflow::Special 341::Algorithm 153::Proteus ::X3 ::Rasikan 
101::Clark Franklin::Has Jochen::Super ::Janet ::Ray 
Semantic::21 Hypothetical::Dyson Qureshi::Takashi ::446 ::Dina 
Relihan::Dengi Sang::Hong 271::473 ::Strengthen ::Identity 
Garnett::Peng Gio::Inter Jrg::Bestavros ::N ::Confluence 
Gardarin::Theodoridou Haas::Improve Alperin::112 ::Rupawalla ::Freeman 
Fast::M Toby::Pistor Fernandez::Closing ::Scalable ::Garnett 
Geographic::Chinya 109::170 technology::Klas ::Time ::MQSeries 
Roberto::Yehoshua Watson::3 Bertram::Maurice ::Warkentyne ::Separately 
555::361 Margulies::Fraternali Picture::number ::SigmodRecord ::Roy 
Datenbases::Managing 22::Computers 98::Orientation ::Step ::Prasadram 
Mobile::Relational NP::Melling Ford::Vander ::Hampapur ::Woelk 
Morishita::Sagiv Deshpande::AI McGuinness::Aidong ::Denotational ::Asit 
Larouche::Stamos 259::Skeen Dekeyser::481 ::Ahmed ::Suzanne 
Susanne::297 TODS::CSA Spaces::549 ::261 ::Vipin 
Vipin::Carey Approach::87 389::Legat ::Grosky ::Hernndez 
DBMiner::Easy Albert::Oki Stuart::Yang ::Werner ::Liuba 
Processing::Constructing Extracting::Revisted Markos::Models ::Sort ::Merge 
AI::Among 355::Celis ARPA::Tim ::Variant ::Compiling 
Kapitskaia::Chaudhuri Analysis::187 Datalog::447 ::Sou ::Colette 
al::Cichocki Life::Zat Janus::Nick ::Finkelstein ::Liuba 
Libkin::Ten Versioning::Borgida Handling::Street ::Overview ::Mauricio 
442::Stephanie Earl::121 Jyh::317 ::Simple ::Imielinski 
Manfred::Programming Expressions::Normal Degradations::Retrieval ::Rivero ::IDEA 
Kspert::Unix Eliot::Richard Radek::Kamalakar ::W ::Tamer 
182::contra Arizona::Huffman Globally::Organization ::initPage ::36 
Scientist::Views Trickey::Technology Chaudhary::Practical ::tree ::INterchange 
Forte::Extension Time::Space Practice::USD ::Srivastava ::Davidson 
for::Jason 270::Nag ARCS::Tool ::Problem ::Koch 
253::Berchtold Brodie::Connell Analyti::Predicting ::Commitment ::Polymorphic 
Concurrent::Ho Feedback::Tufte Radzyminski::Brunie ::Moore ::Grammar 
Prasadram::NTHU Lohman::Paris 268::Rosenthal ::Novel ::Behavior 
Referential::Willard Concepts::ONTOS Guidance::Birgitta ::Ariav ::ARIADNE 
Sudhir::Krishnamurthy Expressive::ANSI Aloysius::Ravi ::Marvin ::Deborah 
Cyclic::Integration ACT::Paredaens 509::Kasi ::Computers ::Shan 
Abbadi::Hughes Leonard::Unruh Shalom::Reasoning ::Jain ::Qu 
Plaisant::Agrawal Ad::Set Lam::Vander ::Chakravarthy ::123 
Standardization::Datalog Bussche::Sibley Sidell::Wrappers ::Rengarajan ::Wilburt 
Kotz::Fast Penalty::the Anthony::Sinha ::Daniels ::Inegration 
OLAP::Disjunctive Inderpal::Multidatabase ISS::Marcus ::Norrie ::Frederick 
Using::Degradations 273::RIDE Taosong::Kosmas ::Garcia ::Beyond 
Roland::Naveen Lori::Arne Placement::Theo ::18 ::Saying 
File::Generalizing Indexes::395 ADS::Theodoridou ::Jakobisiak ::Jochen 
Labio::Tian Thanisch::Erratum Per::193 ::Bengt ::Koudas 
Asit::Kaizhong Multiple::Internal Participants::We ::Machine ::Andrea 
Dozier::Persistent STanford::Laura Response::308 ::532 ::Deadlock 
PREDATOR::270 439::84 145::Bancilhon ::Multidatabases ::450 
Rajendran::Selectivity Navin::Mitchell Bamford::CapBasED ::Outs ::Continuous 
George::49 Shan::Building Recursive::Madnick ::543 ::Conflict 
183::97 Betty::J 379::Kitagawa ::Burrows ::Cory 
Hong::Activity Broadcast::Quantifier Ramachandra::Zhou ::NASA ::structured 
Commit::Roantree Transformation::OR 399::Ricardo ::Scalar ::Viswanathan 
Practical::Going Century::Sripada Update::Position ::site ::Taneja 
42::Rmy Special::Zarka Hierarchy::Curt ::Validation ::Morishita 
Svetlozar::Dieter 191::Modelling Subramanian::Faloutsos ::SigmodRecord ::147 
356::Qingshan Sarathy::Choo Thumb::McIver ::Gunter ::325 
Expensive::489 non::RAID5 Nado::93 ::High ::Moira 
Sacks::ARIADNE there::Antonia 356::Passing ::DIPS ::Bargmeyer 
Remote::Marco Wide::Nikos Distributing::Ugur ::Seth ::McGuinness 
Gallagher::Karlapalem Au::Fowler Unruh::555 ::Ellis ::McClatchey 
Reclustering::Johnson Precise::Calculus Self::InfoSleuth ::Carrie ::Olga 
Issue::539 Garbage::177 Sengupta::Chen ::title ::Mary 
Wedekind::Replicated Geospatial::Intelligent CITRI::Models ::Improving ::Fatima 
3::Lon US::Saltor Wiener::Fowler ::Benchmark ::Local 
X::Nita Thompson::295 Procedures::Shu ::Kiran ::Chi 
R::Brown Nita::265 Schemes::Son ::Shea ::442 
ORES::Farshad Wolfson::Display Access::Retention ::536 ::Lightweight 
K::Models Sripada::Costly Tang::Datta ::Chief ::Join 
439::Schmidt Prasadram::Laver Englert::Gives ::AI ::Main 
ACT::Group Marcel::478 Forte::Dietrich ::Queens ::Elliot 
300::Mirroring Warehouse::Goldberg 337::Mike ::Deppe ::Konrad 
OODB::Editorial Knowledgeable::382 Dimitrios::Simmen ::OLE ::Kshitij 
Bryce::458 VideoAnywhere::McKenzie Hypertext::Opportunities ::Juergen ::Stefanovic 
SONAR::HPCC Gook::Orenstein Kapitskaia::Improving ::Sean ::Zhuge 
132::Beng 355::Forth Bukhres::Comprehension ::Flynn ::Activity 
Not::Tobin Effectiveness::Susanne Van::Patel ::Higher ::Reference 
Merz::Management 220::Missikoff Marek::Rewiew ::Solomon ::Resource 
214::Philip Sullivan::Use Ronald::External ::Crestana ::Capability 
Doughty::Mumick 406::Hypertext Atzeni::Enterprise ::Going ::Sheth 
Durusoy::Agigdor Tai::Hierarchically Garlic::I ::Norio ::Gouin 
Standards::Lo Eaglestone::275 Executions::Kerschberg ::from ::Marina 
Anita::Ghassan Already::Nandlal 538::402 ::Transfers ::Lausen 
Lazowska::Subrahmanian Shectman::Project Nandlal::De ::Applicable ::Buffering 
N::Super Keller::Anderson Erhard::Garlic ::Meaningful ::509 
Remotely::Reformulated Marco::Chim Megiddo::442 ::Jie ::Piero 
Shivakumar::Meaningful Specifications::Semistructured 452::Yasushi ::Completeness ::Kline 
Delayed::Julian 102::wide site::Complexity ::Norman ::Strategy 
221::Krithi Report::Project 125::ARIADNE ::Kuan ::Stefanovic 
Plateau::Beng Dimensional::54 514::Prototype ::Margulies ::34 
Article::Dynamics Gupta::oriented Rengarajan::Unified ::Latha ::ichi 
23::21 78::519 Cercone::F ::POSTGRES ::Nita 
Kitsuregawa::Sylvia ZOO::Eriksson Stavros::Castro ::Temporal ::Wolfson 
Dimitra::Hasanat Guo::Saxton Enforcing::Correlations ::227 ::Novak 
Indexes::Knoblock Consistent::Hara 0::Ibrahim ::435 ::Nikhil 
den::Wenger Ross::LORE Euthimios::Petterson ::Yahiko ::Firm 
Approaches::Breitbart From::Douglas Annie::Correlations ::Chim ::White 
Merging::Hans ODE::Ramamritham Warren::formerly ::Bhateja ::Gingras 
Flokstra::number Estimation::Artur Pistor::Shashi ::351 ::Jae 
AssociationRules::Tokens Networks::Object Malcolm::Kwei ::126 ::Garnett 
Shutdown::Environment Frederick::Environments Dean::Therber ::Iakovos ::Chih 
about::Nguyen ADBMS::from MOSAICO::Terrance ::Margulies ::22 
Zou::Mema Do::III 192::382 ::Buneman ::Manipulating 
Elizabeth::Products 68::Jaewoo Sudhir::Kline ::Internet ::Attribute 
Ganguly::301 Amouroux::Kohler Adali::Asit ::Yongjian ::Missing 
Repositories::ARIES There::Rosana Chou::Beigel ::Bertram ::Ross 
Birgitta::Rosana Lee::Michle Schemes::Kenneth ::143 ::Luis 
Gouin::Lehman Motwani::Breiteneder Adding::McKenzie ::Sorting ::Previews 
Control::Chou Geophysical::Consistency Knoblock::Executions ::Aggregate ::Partitioning 
Iyer::Security Digital::29 Mariposa::Ford ::DBA ::Roantree 
Rates::Scale language::Ward Infomaster::Thanisch ::Example ::Baeza 
Lukas::Budak 441::Peter Fry::Hammer ::209 ::there 
Expert::Parallel Spatial::Heiler relations::Guozhu ::Ho ::Networked 
Building::Legat B::About Alfons::Masum ::Agent ::Images 
DB::Procedures Only::EFDBS Syan::108 ::145 ::152 
Valery::USL Right::Jrg Antonia::Achievements ::Functional ::Gang 
31::Remzi over::Self Maheshwari::Representing ::Vander ::Pages 
Heiler::Moerkotte 54::276 Umeshwar::Bengt ::Java ::Won 
Sacks::Middle Meckler::Stanford 406::Made ::MOSAICO ::Years 
Doo::Luis Delayed::Optimizer Complete::Take ::Range ::54 
Nguyen::James Ricardo::Fukuda 297::Johann ::Claire ::Update 
Knowledge::Jain Camps::Gardarin Nicolas::Lu ::Wiener ::404 
Lionel::SEQUOIA Mackay::Tan 546::known ::Riccardo ::Mixed 
Improved::Solutions Free::RIDE DeeDS::Their ::Qureshi ::Speech 
225::Paredaens 105::DEC Path::OGDI ::Klemens ::San 
161::Nguyen Aloysius::Spaces Mohamed::124 ::Push ::Beat 
Secure::Massively Souder::Abbadi Highly::Bamford ::Bressan ::Angelika 
479::Maintenance Date::Gallagher Version::Data ::Agrawal ::Mayer 
Kim::319 Xiong::Konrad TCP::483 ::Nandit ::Languages 
Hash::Norio Making::388 Information::Accociation ::Rmy ::3D 
Zloof::259 191::NTHU Technology::their ::Technologies ::Cetin 
Massively::Colette 255::Ferri Sellis::Distributing ::Range ::Michele 
Transitive::Nesting Pernici::Jonathan McGuinness::Representation ::Phillip ::Stephan 
Modular::Three Gadi::Universal Christos::Selectivity ::191 ::Koch 
Doan::Claude Winslett::Providing Grossman::Agarwal ::Jajodia ::Vassalos 
Designing::Harris 102::Kulkarni 103::83 ::S3 ::508 
Decompositions::Srinivasan Lock::Rebuilds 160::Rajaraman ::McLeod ::Krishna 
Example::Wong Ten::Rupawalla Simillion::D ::Vinek ::View 
Maintenance::Haradhvala Partial::Gibbons Prasad::Linkage ::280 ::Gerlinde 
Assessment::95 Gehani::519 Facility::Lipeck ::Bancilhon ::Teradata 
Brown::Seeger Relaxed::67 Manola::Series ::Ellis ::Mukul 
Shalom::Gruber Er::287 ObjectStore::234 ::Trickey ::Image 
Decision::Rebuilds Invitational::Badia Sergey::Buneman ::Tomlinson ::90 
AI::Walter Vertical::Khn 341::398 ::Extension ::Ado 
VMS::Gupta Yossi::Geophysical Called::Magic ::381 ::Enhancement 
Hodges::Principles Umesh::Chin Chomicki::Low ::Computer ::Enterprise 
Network::Mapped 311::Charles Dependencies::into ::Ramamohanarao ::ACT 
Referential::Esther Secondary::Separation media::Zou ::340 ::Combinatorial 
Vassilis::Brinkhoff Detection::DARPA Buneman::Keitel ::26 ::Hughes 
Tagg::Nick Bukhres::Genesereth Distance::System ::Alex ::419 
Selection::Chaudhuri Banu::Jie Dewan::Schang ::Yates ::Aidong 
Himanshu::Remote Claims::Invitational Zwilling::Interval ::Bases ::Bohrer 
Magic::Autonomous ANSI::Algorithms Kramer::Toward ::Table ::It 
Trusted::Parity Gingras::Babis Mariano::Crash ::Abstraction ::Machine 
Chan::Kornacker 133::Wasserman Wisconsin::Managing ::Guarantee ::Decomposition 
Tanin::73 359::Loeffen Ooi::Hendrikx ::Genesereth ::Ron 
Thatte::Ganapathi Yang::225 Simultaneous::Jay ::DBA ::Dayal 
Outerjoins::Marron 27::MYRIAD Stolfo::Gilles ::Reformulated ::Fabret 
Charles::Qualitative Liskov::Scheduling Ron::262 ::68 ::Unstructured 
Warehousing::39 Content::Storage Scheduling::320 ::186 ::Willis 
Benjamin::572 EDUCE::Berchtold Duval::Computer ::250 ::Modeling 
Reorganization::Johannes AMS::Free Souder::Spyros ::vendor ::Connell 
Differential::Sakti 568::377 Haradhvala::Jamison ::Value ::Minos 
Prasadram::Gung 414::Molina Stefan::Rajiv ::Nancy ::Ilker 
Galindo::112 Devor::Completeness 546::571 ::NTHU ::Matching 
Sudhir::Shapiro Haradhvala::McCarthy Logical::Correctness ::Nulls ::Erik 
Josef::543 Exploiting::Thuraisingham Guangshun::Ubell ::Relihan ::Frameworks 
Rakesh::86 Lukas::419 Silvano::Amherst ::Libkin ::Coterie 
Consens::87 Progress::Ozcan Bhm::Existing ::Griffin ::Mosfeq 
Air::Oded Shing::Random Hawthorn::Ozcan ::536 ::InfoSleuth 
Aggregate::422 Line::Kent Shmueli::Remote ::STEP ::Attribute 
Geospatial::Extraction Berndtsson::575 lun::Generalized ::Hash ::Loading 
Maurice::Fynn HG::Garnett Presentation::Jun ::Tufte ::Rule 
Tan::Prototype Marco::SE their::Laguna ::Block ::Yandong 
Fishman::Rabinovich Updates::Changing Yandong::McKenzie ::Thor ::Termination 
OODB::Elizabeth Taylor::Statistical He::Christophides ::Alexandros ::540 
Lockemann::Levy 231::Hampapur 525::Matchmaking ::Betty ::Yihong 
Barinderpal::Internet Silverstein::Uz Biswadeep::Yue ::A ::Constraints 
Dittrich::58 Schemas::Virtual Ulusoy::Theodoridou ::Lucas ::Distribution 
Wileden::Anil ichi::Melton 193::Ballinger ::Rafiei ::Hamid 
319::Schiefer Tininini::Wiest Concerning::Paskin ::Standard ::4 
380::VMS Shin::Efficiently Duri::Biskup ::Casanova ::Kemper 
Salzberg::Narasimhalu Commercial::Modeling Through::Babis ::Interaction ::Rajendran 
Faloutsos::567 Jerry::FZI Manager::419 ::28 ::Delayed 
Storage::NF2 Agent::Roland Jos::Manager ::Viviane ::Gerald 
388::Pires memory::2000 Honeyman::US ::Objectivity ::Secondary 
non::Leo 26::149 Art::Bulk ::Catherine ::Heterogeneous 
Hodges::Choo Do::Presence Srinivasan::Haran ::Claire ::Gonzalo 
335::Shekita Quantitative::It Distributor::Karlsruhe ::TODS ::252 
Gelder::Kasi OODBMS::Marianne Valduriez::Tsotras ::Lori ::Rewiew 
ZOO::wish Predicate::Sharma Phillip::376 ::Yue ::Composite 
Operation::Management Baden::Haritsa Buff::Aloysius ::Tony ::Gehani 
Krishnan::408 Patrick::Work Lukas::Amit ::Jim ::Edwin 
von::Prototyping Plans::Complex Schemas::James ::GIUKU ::Baden 
190::Maindreville Feedback::Computer Shashi::Sites ::403 ::Qu 
Eick::Proposal Karlsruhe::OODBMS there::Managing ::Liuba ::dimensional 
Relational::Klug 506::Wilner Delcambre::Lausen ::Predicate ::Zwilling 
258::Icons Willie::Galindo UDK::Gang ::Anupam ::Vrbsky 
Sheth::Lieuwen Xiong::Dusseau Ramasamy::307 ::Out ::Histograms 
Schemes::Only Jutta::HPCC Mapped::Ko ::Ward ::Partial 
Quantifier::247 Engine::547 Rasikan::Quest ::Life ::zhan 
Steinbrunn::Inter Combinatorial::560 Air::Contents ::Representation ::Servers 
Nyberg::Using Schwarz::Haas 259::Qin ::Cevdet ::Beyond 
Camps::Processing Kuno::Croft Entity::Manish ::Development ::Jeusfeld 
510::Fabret Alex::LRU Inge::158 ::Document ::Okay 
507::Wahab Viewpoint::Domains 357::87 ::Tailoring ::452 
Cost::Rivero Desktop::Gogolla Zhao::Trueblood ::Ben ::284 
Reddy::Jukic DBMS::Pipelined Repository::Ballinger ::Markowitz ::Project 
Distributing::Sources 370::Yuksel Stanley::Agenda ::57 ::Larouche 
387::Aggregation Providing::127 memory::Desktop ::Agenda ::Philippe 
Mitschang::Domain Answers::Jonas Karlapalem::Advances ::Shashi ::Tagg 
Research::Counting 560::NET Ghassan::Lum ::Himanshu ::Theodoulidis 
Online::Linda DB2::Tompa 60::Erratum ::Jrg ::Zurich 
Amy::473 Historical::339 Dhaval::Order ::Wide ::133 
Ashish::Camps Cheng::8 Chih::Synchronization ::Trusted ::Euthimios 
Art::Eugene 335::Hypertext versionControl::Toolkit ::Experiencing ::Franz 
Pedersen::Chopping DBLearn::Moffat 256::Belinda ::Trade ::Gouin 
Maheshwari::512 Roddick::367 Infomaster::441 ::Laver ::Meeting 
Kwei::DEVise 56::493 Stanley::539 ::Database ::Badia 
W::314 Rates::30 Kasi::Balancing ::Trigger ::Yibei 
Structured::Workaholics Cook::Nural Jon::Davison ::Kuck ::Statement 
217::137 Surajit::Kawaguchi Shelly::Won ::Klaus ::Kitsuregawa 
R::Banu Guidelines::Grandi Gnther::Rolker ::348 ::Jan 
MLR::offs Benchmark::ASSET articles::235 ::Thanasis ::Zaharioudakis 
ODE::380 Cocktail::Optimality Sang::Abstraction ::DeWitt ::289 
Approach::Descollonges 106::Sheung Ilker::109 ::28 ::REpository 
Shu::Crash Kolodner::Larouche Arpaci::326 ::Howard ::Mumick 
Gordon::1 Jr::they International::Ieong ::Clements ::Delaunay 
Meyer::I Unnikrishnan::Nodine Leung::Silvio ::Frederick ::Beeri 
Impact::Sorting Site::Livny Decision::Pozzi ::Lockemann ::ACT 
109::Englert Statistical::Decomposition Properties::Schnhoff ::Sort ::Klauser 
Gesmann::231 McHugh::70 Workloads::243 ::Lanzelotte ::Approach 
Urban::al Partial::Lip Gale::Time ::AlphaSort ::547 
Earl::Barnes Dong::Datasets Paton::A ::Yehoshua ::Spyros 
Ramez::Navin Swami::428 MINOS::Aidong ::Hoel ::525 
Multi::Novel Haber::517 Append::Evaluate ::Machines ::Liam 
Neptune::Alphanumeric Kspert::Rupawalla 519::Kabra ::Srikant ::Widom 
Ramamritham::Desktop Stepwise::70 Process::Sripada ::395 ::Flokstra 
Jnsson::Karl 226::Relationship 516::227 ::the ::Paredaens 
Ferri::Srikant Object::In Ulm::Teorey ::Malkemus ::Nulls 
Tsuei::512 Euthimios::Sengupta Katia::Arnold ::Sorting ::Yu 
Spence::Faloutsos Hernndez::Eriksson Lionel::DAFTG ::Adding ::Dittrich 
Rupawalla::Indices 285::Defense Shah::Tagg ::C ::Parity 
43::Kumar Werner::Mandy Enterprise::Creation ::San ::driven 
Jean::Van Aberer::313 Retrieval::Mediratta ::Gkhan ::Asit 
243::Kenn Announcements::Devolution 567::Apparatus ::85 ::Guarantee 
Weihl::Suciu Response::Quest Sequence::Andrea ::Tree ::536 
Synchronization::Abdel Hansson::Uz 514::Without ::Klauser ::Stephan 
Xiong::Zhao Down::Masaru Optimistic::SENTINEL ::Kuno ::Retrospective 
Franklin::429 OGDI::Introduction Keller::Relationships ::Message ::473 
551::Moshe Unstructured::Task Ko::Graefe ::Fetches ::Kiernan 
Hypertabular::125 Carlo::Larry E::376 ::Kim ::Paredaens 
Chi::Sylvia Muth::Franklin Semistructured::Dittrich ::Scientist ::Specifications 
Rafanelli::Andersen Modification::Werner Year::Samet ::508 ::Sparsely 
Stephanie::Michle Temporal::Based 454::Stepwise ::Kasi ::Crossroads 
447::Mendona Hamid::Pang Networked::Referential ::Pletch ::Quantified 
Himanshu::Cody Ptool::Borgida Ramasamy::Wilms ::OGDI ::397 
Hoppenbrouwers::Khn Motwani::88 Integrated::den ::Incorporating ::Presence 
Research::Ado Stemple::Rashid Update::Costa ::oriented ::Distance 
Neighbor::Kaizhong Approach::Vitter Magic::467 ::Roberto ::69 
Hsiao::220 Enhancing::Gardarin OLE::Toolbox ::Answer ::99 
Mario::Praveen VideoAnywhere::Metadata Materialization::Lightweight ::White ::is 
311::161 Breaking::Markowitz Erbe::Libraries ::Duval ::Divyakant 
Match::AMS Augusto::Therber Machiavelli::Key ::Desktop ::287 
Gemis::185 Concurrent::Representation Robert::Haradhvala ::Issues ::EDUCE 
378::Wenger BCNF::Lockemann Next::Sundaresan ::or ::DB2 
68::Tailoring Ganguly::Experimental Rmy::Nikos ::Forouzan ::518 
Morin::376 Gultekin::General 29::Naacke ::Capability ::416 
Jacobs::Hian Expressions::206 Frasson::571 ::408 ::Zdonik 
Lohman::150 Deduction::number 339::1951 ::Enterprise ::522 
Curt::Svetlozar Elke::Baldeo Reconciliation::ODBMS ::Molina ::293 
Workstations::Resistant Identity::GIUKU Koudas::242 ::ASSET ::Bocca 
Mixed::Wilburt Ullman::Conceptual Schang::Young ::9 ::341 
Chim::Graphical Kornacker::315 Panagos::Spyros ::381 ::Computers 
Status::technology SEQUOIA::Mapping Abbadi::501 ::Chuan ::Witold 
Bjrn::Sure DIRECT::Kenneth Read::165 ::Sycara ::Libraries 
Tiziana::Jerrold 40::Gilles Allan::Elisa ::Natural ::Ooi 
Garlic::Satish 357::Reiner Stephan::Ho ::Ouksel ::Sinha 
Krll::Syan Brazilian::Incremental Graphical::Connell ::Match ::Yuping 
Gehani::Simulation Picture::Manifesto Striping::Vienna ::Atomicity ::Indices 
Teorey::Lightweight Cattell::Enhancement Fragments::RIDL ::Not ::Wade 
Parallel::Generalized number::313 Balakrishna::SAP ::Assurance ::Yandong 
Divesh::154 Agigdor::Concerning Newmann::Cowley ::Agrawal ::Bennet 
