Thor::Stokrp ::72 ::529 ::Not ::Aggregate 
Proposed::Final ::Banu ::Right ::Umeshwar ::441 
Generating::Has ::Valery ::Condition ::Parallelism ::Expert 
Trusted::Scacchi ::Jint ::243 ::Scientific ::Paskin 
Radek::Aggregates ::Toward ::579 ::Chee ::New 
Harry::Melling ::Tables ::Transformation ::Gkhan ::Creating 
Improving::118 ::Ugur ::20 ::56 ::Lakshmanan 
Karl::Trigger ::Toolkit ::395 ::Quass ::Andrzej 
21st::Riccardo ::Stef ::Aberer ::Languages ::Trueblood 
242::184 ::Decompositions ::William ::Devolution ::Scholl 
Structural::Object ::Woolf ::Going ::ACM ::Visualisation 
Fll::Shelly ::Gogolla ::Trigger ::SE ::Coherency 
WORM::Yongjian ::Nascimento ::395 ::458 ::330 
attribute::McCarthy ::Reminiscences ::El ::AI ::Integration 
407::Writes ::Florescu ::Prashant ::556 ::Held 
5::DeeDS ::In ::Shea ::505 ::RIDL 
Ricardo::Geo ::Cardinaels ::Donko ::Main ::160 
Tobin::Providing ::50 ::Alon ::Brick ::Knowledge 
366::Matthew ::Symmetric ::Marek ::Perform ::Usability 
Nesting::Two ::Approaches ::Wolf ::226 ::Sten 
Yang::Independence ::Omiecinski ::Optimal ::478 ::Sakti 
Olga::Sciore ::Swami ::Notions ::Lucas ::Knox 
Vinek::Christos ::451 ::Brinkhoff ::ARTDB ::515 
as::583 ::Object ::Hoel ::Bigelow ::Cost 
Quantified::Selinger ::Munindar ::Block ::Tomasz ::Mitchell 
Manager::1994 ::Editorial ::Desktop ::Christodoulakis ::Delayed 
Audit::224 ::Bhateja ::Consistency ::Network ::Umeshwar 
Benchmark::Bandwagon ::Gio ::22 ::Nearest ::Guidance 
Lu::Historical ::Yoshinori ::Indexing ::Lynn ::Kyoji 
Jacobs::Davidson ::Vingralek ::AI ::Lipeck ::Stolfo 
Gung::Singh ::Partial ::Errors ::Sten ::Denis 
Reiner::Ganguly ::Java ::461 ::Use ::populated 
Chaudhary::Implication ::Navin ::102 ::STanford ::Kuno 
Hierarchies::Lindsay ::Chungmin ::Effectiveness ::Aided ::Rishiyur 
Yerneni::Orientation ::Shared ::Colette ::Market ::Strssler 
Carlo::Linderman ::Barbar ::Jerry ::Kang ::Degradations 
LORE::Datasets ::Tuning ::Bruns ::Gravano ::Experiments 
298::119 ::Franz ::407 ::509 ::CSA 
Walch::as ::214 ::Recent ::Didier ::Tanin 
Optimality::Cardinaels ::324 ::Karadimitriou ::Stefanovic ::483 
Tsuei::Mehdi ::Nutt ::220 ::Kiernan ::Vrbsky 
412::Type ::Miron ::567 ::Aloysius ::Proposal 
Vipin::1999 ::307 ::Repository ::Helland ::Betty 
Response::Environmental ::Research ::Constraints ::Comments ::Nguyen 
King::Mlle ::Wentland ::Approaches ::Modification ::Silvano 
Lucas::Roth ::Linda ::Yezdi ::Shan ::Machine 
Stphane::Mlle ::Glavitsch ::Tokens ::Luis ::Walch 
Eliminating::Tradeoffs ::Badrinath ::Orthogonally ::Editorial ::Module 
Crossroads::Marina ::Determinism ::driven ::GEM ::26 
Badia::Chairman ::Bestavros ::ETH ::Sistla ::Enforcing 
Ferri::Tanin ::MultiView ::Chen ::Schwarz ::Scientist 
Form::Livny ::Watson ::Notions ::Sampling ::Casanova 
Enterprise::Architecture ::Lohman ::Agrawal ::Meaning ::ARCS 
368::245 ::AssociationRules ::Schemas ::Entity ::Evolution 
Observing::How ::Janet ::329 ::Sellis ::355 
DeWitt::Problem ::Gultekin ::Cubetree ::Ramesh ::Radek 
Sandra::with ::Tom ::135 ::Aggregate ::Delaunay 
Kuno::Udo ::6 ::Polyzois ::Extended ::Erratum 
CITRI::Ling ::Tork ::25 ::Reformulated ::Khoa 
Abdelsalam::Lamersdorf ::118 ::Marti ::Role ::Multiversion 
Jonathan::Yandong ::Donko ::Conflict ::Walt ::Evaluation 
Udo::Scalability ::Letter ::Moore ::Tompa ::379 
Potamianos::Impact ::Environment ::Alessandro ::Ailamaki ::Chang 
SAP::Bezenchek ::MOSAICO ::531 ::Speech ::Baeza 
Bhargava::Distributing ::Jun ::Pat ::Miller ::Triggers 
583::Quasi ::47 ::Arturo ::Garofalakis ::Translation 
UniSQL::Languages ::Observable ::Cercone ::560 ::Commercial 
79::Facility ::Zhao ::Relaxed ::Kawaguchi ::BIRCH 
Haim::Barnes ::144 ::Ad ::Key ::Arie 
Allen::Simon ::Forte ::Lorentzos ::Mehdi ::Lineare 
Arne::Information ::Manolis ::Ada ::Barinderpal ::Production 
Into::282 ::Chou ::Goldman ::Lockemann ::Grandi 
Safe::Databases ::Terrance ::Belinda ::Engine ::about 
Behaviour::451 ::Shoring ::Gouin ::Bandwagon ::Been 
Brodie::New ::Gerlinde ::321 ::81 ::Claudia 
Updates::Inderpal ::Blott ::BCNF ::Triggers ::214 
Dean::McKenzie ::Schning ::Flaws ::Salvatore ::Goel 
Deduction::Final ::O ::404 ::DeeDS ::Inc 
Mrcio::Werner ::Rashid ::CICS ::Iakovos ::Patterson 
Structures::In ::Souza ::MINOS ::Practical ::Postgres 
Sivasankaran::Philip ::Margaret ::135 ::50 ::Xiaoyang 
Riekert::Foreword ::Vasilis ::Burns ::L ::Load 
Motro::Hard ::Constraint ::OOPSLA ::Inegration ::DIPS 
Technical::Yves ::Wasserman ::Yongdong ::Stoltzfus ::automatic 
Vardi::Observations ::Applicable ::John ::254 ::Datalog 
152::Taosong ::Note ::Partial ::26 ::Andreas 
Bry::Barry ::Nodine ::Jae ::Teradata ::Optimizing 
Chungmin::353 ::Production ::Shalom ::Han ::Biskup 
Francine::S ::SQL3 ::Repository ::Nado ::Explanation 
Term::Inegration ::Bhavani ::Sean ::Pirahesh ::DBMiner 
Merialdo::Pixel ::110 ::Choo ::452 ::Better 
Viviane::Extended ::Timeliness ::Odysseas ::STEP ::113 
Shapiro::Institute ::Searching ::Tam ::AlphaSort ::Panel 
Emperiment::Display ::Three ::132 ::Scheme ::Java 
Shea::Databases ::WHIPS ::Workshop ::11 ::123 
Gardarin::469 ::Hash ::35 ::Moffat ::SBBD 
439::Schema ::Mechanism ::Client ::Techniques ::Gorelik 
DEC::Yezdi ::Announcement ::DBSim ::Chirn ::article 
Stefano::Ailamaki ::Editorial ::OODBMS ::Reduction ::422 
116::SBBD ::Hare ::Hoch ::285 ::Neuhold 
Zou::Marek ::Quantifier ::McKenzie ::Qaimari ::Fernandez 
Frdric::Unnikrishnan ::197 ::Forth ::Iakovos ::Steven 
Much::Christophides ::Fernandez ::524 ::Future ::230 
Bryce::Son ::Mehmet ::Wrappers ::Blanken ::Solomon 
388::247 ::108 ::Path ::Marron ::Vista 
Edgar::Client ::Mumick ::Industrial ::381 ::Graphical 
Carl::Hot ::Study ::Alan ::van ::267 
Wentland::Illustra ::Practice ::Growing ::Beigel ::Anil 
Function::zden ::MDM ::Pires ::217 ::314 
Principles::Presence ::Tuning ::Kamel ::Bhateja ::137 
Studies::Lefler ::Narang ::403 ::Air ::Commitment 
Houtsma::Bonnet ::Investigation ::Girish ::One ::Amherst 
Celentano::Minyoung ::Forouzan ::Class ::Gaffney ::Fll 
Bruns::Doherty ::Yasushi ::Melissa ::Resource ::Mechanism 
Pires::18 ::461 ::Troyer ::Pessimistic ::CSA 
Lynn::Vrbsky ::Farias ::Biswadeep ::478 ::77 
Werner::Cherniack ::Users ::Locking ::UNIX ::Biswadeep 
Polyzois::Soumitra ::Borras ::Metadatabase ::Fynn ::Translation 
311::Semi ::ObjectStore ::Method ::Frederick ::193 
Images::Manager ::DART ::164 ::319 ::Milo 
Teradata::Goldfine ::Standards ::Arthur ::Altintas ::219 
Activities::Kyoji ::Walt ::261 ::110 ::Satish 
Roman::Dynamically ::83 ::Perry ::Munindar ::Paton 
Loeffen::Wendy ::File ::McLoughlin ::author ::427 
Four::Castro ::305 ::Prototype ::Zloof ::Activities 
Icons::Dhaval ::Stuart ::Rolker ::Buneman ::324 
HPCC::offs ::Vance ::Curry ::Shutdown ::Beat 
265::Rowland ::FZI ::Brigitte ::Web ::Lock 
347::Colby ::dimensional ::Jain ::73 ::43 
Gal::Modules ::Knowles ::Networked ::Memory ::Markos 
Unpacking::Duschka ::Roussopoulos ::Stavros ::Ferri ::27 
Parallelism::Malkemus ::C ::Chaudhuri ::IPSI ::IMPRESS 
Carter::Processibility ::Hwang ::Toolkit ::V ::Religious 
37::Muntz ::Delisle ::Algebra ::Qian ::Subramanian 
are::Florescu ::Tryfona ::Kent ::Fixing ::For 
485::Mishra ::Fundamental ::Jian ::Data ::Pixel 
553::Renner ::Tsuei ::Solutions ::Weihl ::Jonathan 
SEQUOIA::114 ::119 ::243 ::Gordon ::Referential 
SE::Interval ::Timos ::de ::Arpaci ::Held 
41::Miron ::Structure ::Extracting ::Woolf ::99 
Morin::Jint ::Morishita ::Rewiew ::Schang ::Berson 
Souza::Milo ::Chungmin ::Aiken ::Random ::120 
Yongjian::Previews ::Birgitta ::Wen ::Llirbat ::Shahram 
Maintaining::Cory ::Chuan ::Jeusfeld ::Chang ::EOS 
379::355 ::Medeiros ::Guido ::REpository ::Andrzej 
Ebru::Uz ::Disjunctive ::Osmar ::Tallot ::Torlone 
Helal::Nascimento ::Saygin ::Aloysius ::Timeliness ::Revisited 
formerly::Recurrent ::In ::Ulrike ::Maintaining ::Revisiting 
214::Saxton ::63 ::Representation ::be ::Specifications 
Concurrent::Relational ::518 ::Binto ::Structured ::Seeded 
Order::Unifying ::Called ::Infering ::Box ::Distributed 
Freytag::Software ::Intensive ::Jerrold ::Gary ::Aris 
Asit::Beverly ::143 ::Watson ::1988 ::Keller 
Melissa::Paredaens ::413 ::Model ::Shinichi ::Reconciliation 
Teorey::Ieong ::Barry ::Brin ::Hsiao ::Giansalvatore 
Alejandro::Johnson ::Linda ::Complete ::Issues ::AlphaSort 
Attribute::Tetelbaum ::Ranganathan ::for ::Mukul ::Devor 
among::Catarci ::Cohen ::Optical ::QuickStore ::Later 
No::Kent ::Howard ::Guozhu ::27 ::Atkinson 
Optimizer::Johann ::DAFTG ::Julia ::Farshad ::Justin 
Interoperability::Documents ::Cyclic ::Winds ::Gottfried ::Validation 
Snodgrass::Jint ::Nyberg ::Nested ::Table ::Revisited 
Morin::Jonsson ::Selectivity ::language ::Harinarayan ::Johannes 
Jenny::Intelligent ::554 ::Steinbrunn ::76 ::Alexander 
Jaideep::124 ::520 ::Shinichi ::Residues ::564 
Dennis::Method ::ODBMS ::Euthimios ::Satellite ::Nicolas 
Queens::Ouri ::and ::Jeusfeld ::Task ::560 
Eftring::Blanken ::Distributor ::Lieuwen ::Upgrade ::Theodoridou 
Goel::Vance ::No ::Decomposing ::Group ::Griffeth 
Mirroring::DDTS ::Harumi ::Chakravarthy ::Tuning ::Dimitrios 
Garza::Infering ::Ramez ::Brigitte ::Porter ::Zurek 
258::Nolan ::Winds ::Konstantinos ::553 ::Processors 
Administration::Weienfels ::Casanova ::Toolbox ::Comments ::Zhuge 
Nural::Feedback ::Markus ::Franklin ::Administering ::368 
Block::Syan ::256 ::371 ::The ::273 
Lip::Dallan ::DBLearn ::Hasan ::Critique ::database 
166::Malcolm ::Snodgrass ::technology ::Hayama ::12 
Checking::volume ::Delaunay ::Sharma ::Shapiro ::Nguyen 
Translation::Establishing ::Gray ::Activities ::Ilsoo ::564 
Structured::Zhang ::Blanken ::Module ::Srivastava ::Mayford 
Shelly::393 ::Box ::Kumar ::Assisted ::About 
Rashid::IMPRESS ::Lothar ::Perspective ::Dar ::Infrastructure 
Masum::Multidimensional ::Yurek ::Feedback ::Srinivasan ::Ooi 
547::Wendy ::Of ::Su ::DB2 ::Shane 
Five::Defense ::Tompa ::Jones ::Klonk ::Placement 
Wong::Intensive ::185 ::Years ::Foreword ::Termination 
Suryanarayana::Rates ::Tetelbaum ::Yu ::Overview ::Melton 
Arpaci::286 ::Srikant ::Gook ::Bohrer ::MEDUSA 
Much::Salvatore ::163 ::10 ::Kon ::Gist 
Colliat::over ::Prasadram ::Bozkaya ::Reference ::Bauzer 
Mumick::318 ::127 ::111 ::Analyti ::Extendible 
Box::Massachusetts ::Version ::Fugini ::McCure ::Alonso 
Akira::451 ::172 ::Arthur ::Salvatore ::Elke 
348::Sure ::Nematollaah ::ISS ::520 ::Franois 
Indices::Chi ::Warehouse ::Graphical ::Tomasic ::187 
Bruno::Eben ::Gonzalo ::Kashyap ::Inference ::21st 
O2::Support ::Fernandez ::161 ::ODE ::X 
Quest::Theo ::Hallmark ::Mike ::POSTGRES ::Er 
Hearst::Satish ::Kramer ::Quantified ::Morimoto ::Xiaolei 
McCarthy::Gerhard ::Lineare ::Influencing ::Relihan ::Lessons 
Fetches::469 ::Avoid ::Take ::Navathe ::Fault 
Patrick::Karen ::Tables ::Funkhouser ::Celentano ::TSQL2 
Jussi::39 ::Observations ::Dimitrios ::Hernndez ::Report 
Neil::Mamou ::Accessing ::CAD ::Lefler ::Facilities 
Gio::Stefanovic ::Jutta ::Access ::Bruns ::Automation 
77::International ::Steinbrunn ::Structures ::Gang ::Li 
Lineare::Experiences ::Lu ::Chan ::Wolf ::Saygin 
539::Suciu ::Worst ::Andrzej ::Panagos ::Agigdor 
McCarthy::McClatchey ::Mathematical ::Sang ::zden ::UNIX 
Ramirez::Standards ::Skeen ::Yongjian ::Salzberg ::as 
224::Jensen ::83 ::Maryanski ::Hou ::439 
258::439 ::Overview ::Strengthen ::Guozhu ::Anastasia 
Critical::Distribution ::Jyh ::Pons ::Chris ::Exploration 
SENTINEL::355 ::Janus ::SG ::Memory ::Anonymous 
Mehrotra::Algebras ::Sten ::Swift ::Gio ::Ni 
Sidell::Alberto ::Controlled ::Kristin ::Valery ::Duval 
Sakahara::Browsing ::Perspectives ::Article ::Khoa ::order 
Guozhu::Sudhir ::Term ::Position ::attribute ::Assigning 
Letter::Flip ::Eliot ::314 ::Personal ::Tannen 
Qin::Anderson ::559 ::Scalable ::Keim ::Anant 
Wiest::Made ::Easy ::Prototyping ::Joakim ::Amihai 
Applications::Scheduling ::Brachman ::Brick ::Amateur ::Banu 
Gnter::Raymond ::Chan ::383 ::DBMSs ::Chang 
Buffers::Alberto ::Wen ::Information ::51 ::Nan 
Shah::Cowley ::Hou ::Residues ::Rules ::Loss 
224::Toolkit ::Young ::364 ::Milo ::Correctness 
Norio::Deduction ::Heterogeneous ::258 ::Multiversion ::Matching 
Internal::Dong ::95 ::Ad ::107 ::Wang 
Cheap::Interfaces ::58 ::Agenda ::580 ::Knig 
Lee::Dayal ::McLeod ::Languages ::Koschel ::G 
Consensus::Cody ::Invitational ::Julian ::Moira ::34 
18::Paper ::Unifying ::Viswanath ::Sethi ::Lock 
Eriksson::Of ::Lazowska ::Partial ::115 ::data 
Melvin::Roth ::Referential ::Sources ::Loss ::166 
Years::235 ::To ::Medeiros ::Craig ::Baeza 
Hearst::Flaws ::Ion ::Baskets ::Response ::Badrinath 
Goldman::136 ::Precise ::Combinatorial ::Obrst ::Sandeep 
NTHU::Codes ::Jensen ::Ins ::as ::Antonio 
32::Paolo ::Georg ::Emperiment ::Sagiv ::SQL 
Chang::Warehousing ::446 ::Sakahara ::Report ::Mobile 
Hash::Bancilhon ::Supporting ::Klonk ::Environmental ::MENTOR 
Doan::Mukul ::relational ::73 ::Only ::104 
Studies::Logical ::Gesmann ::Market ::Naacke ::Cattell 
Assets::L ::Partial ::Optimizer ::Space ::Dyson 
ETH::Scholl ::Science ::Salvatore ::301 ::Lu 
133::Kornacker ::Merge ::Roman ::Meta ::Anant 
Victor::Alternative ::462 ::Hppler ::Views ::69 
Stphane::Edward ::Geographic ::Memory ::Network ::To 
Clifford::Samarati ::fu ::Shiri ::417 ::Object 
Perspectives::Experiments ::Chim ::Going ::119 ::Xiangyu 
388::Sharon ::Lehman ::Sybase ::Striping ::171 
Sheung::2000 ::Navin ::Yuping ::Iterative ::Chee 
87::Perry ::288 ::Kenneth ::Sharing ::414 
Schuh::Pierangela ::CSA ::Experiences ::Amit ::Colliat 
based::Chris ::relations ::Street ::Limsoon ::Alperin 
Soo::Krithi ::Partial ::WORM ::Bernard ::Production 
Tolerance::Cohen ::Rosana ::Elmagarmid ::MINOS ::Foreword 
Pinar::Moore ::Aberer ::Area ::Franoise ::Illustra 
Croft::al ::Overmyer ::529 ::Edward ::Statement 
Jiawei::Alain ::Doo ::Shivakumar ::Down ::Olga 
Minute::Cox ::Shutdown ::Paton ::Disjunction ::Predicate 
Bressan::Negotiation ::lun ::Range ::Chi ::Srivastava 
Mediratta::Phil ::440 ::STEP ::Haradhvala ::Rakesh 
Neptune::323 ::Sonia ::Domain ::Market ::Vassilis 
Deferred::Carl ::Wentland ::Nebojsa ::Douglas ::Transfers 
Ceri::O ::Jignesh ::Azer ::Viewpoint ::Benny 
Stuckey::Konrad ::Gale ::Reconstructed ::Brad ::wide 
165::Experience ::Designing ::Pires ::Control ::Ramachandra 
515::Moira ::105 ::Krll ::Mikael ::Sang 
Skowronek::Nectaria ::Markos ::Claudia ::Environmental ::Trade 
361::McCure ::Redundancy ::Jnsson ::124 ::Y 
256::Jerrold ::Network ::Sten ::Practical ::Omran 
Gkhan::ORES ::Vervaet ::from ::East ::Ries 
Beliefs::Hide ::Kerschberg ::Queens ::Mapped ::Wilner 
Tolga::Frederick ::David ::populated ::driven ::Experimental 
Maheshwari::Cubes ::164 ::March ::Images ::Saygin 
Garlic::8 ::Strengthen ::138 ::Random ::163 
Approximations::Handling ::Arnold ::Arthur ::Institute ::Alfonso 
525::Hall ::Nolan ::Haradhvala ::at ::Fraternali 
108::Suryanarayana ::WORM ::Goldner ::Bozkaya ::D 
Medical::535 ::194 ::107 ::International ::Sylvia 
Cocktail::Cammarata ::Scholl ::Zirm ::Effectiveness ::Shoring 
Commit::Baader ::Tuning ::175 ::Val ::Implication 
De::Globally ::Rozenshtein ::OR ::Klaus ::Bibliography 
T::White ::26 ::126 ::Roddick ::Relations 
El::Hanson ::Adelberg ::Incorporating ::Nabil ::Kitagawa 
Breaking::Funkhouser ::Muntz ::Unruh ::McCarthy ::Event 
Improved::356 ::Arrays ::115 ::Indexes ::Kuan 
Aiken::Souder ::Christophe ::Kang ::Variant ::Passing 
Dataflow::Schlageter ::Kucera ::Ross ::Delcambre ::Activity 
Visualization::Proposed ::428 ::An ::Unified ::Tables 
Waqar::Asserting ::Paper ::Narasimhalu ::Ahead ::Defined 
Ubell::529 ::Quantitative ::Passing ::De ::Grained 
Yannis::Willard ::Albert ::Glavitsch ::Quantitative ::Hung 
Navin::Wen ::Shenoy ::ke ::Theory ::Carlo 
Schemes::Dynamics ::Asuman ::Efficient ::Khn ::Waramahaputi 
Audit::Bolour ::Mancuhan ::Pletch ::Zaniolo ::Qualitative 
McHugh::X ::Profiles ::DIPS ::Prospector ::Extending 
Relly::Techniques ::525 ::Mariagrazia ::Roark ::Jamison 
20::Append ::Esther ::Conflict ::Approaches ::Acharya 
Garza::Ramamohanarao ::Amr ::Series ::Informix ::Bernstein 
Two::Life ::Component ::Skew ::Ganapathi ::121 
Azer::Erratum ::Organization ::Lo ::Buchmann ::Osmar 
Chirn::Hadzilacos ::Stuckey ::350 ::Achitecture ::Luther 
Nikolai::in ::Pratap ::Khn ::Narain ::Colin 
r::Prospector ::Buneman ::Mike ::Documents ::Apparatus 
Testing::Crash ::Parallel ::Per ::Yahiko ::Davood 
Sophie::Xiong ::Mick ::41 ::Ross ::Nikos 
Multimedia::Duval ::Tables ::301 ::Takanari ::Iterative 
Characterization::title ::Sun ::Towsley ::UNIX ::Link 
X3::dimensional ::Effelsberg ::N ::McGuinness ::Thyssens 
About::Merge ::Specification ::Optimizing ::Katia ::Sharad 
Federation::Checking ::Into ::Oded ::205 ::Gottfried 
Facility::Event ::Transient ::Markos ::418 ::329 
Hare::Environment ::ANSI ::Ronald ::Joachim ::Christmas 
Growing::Rahimi ::Van ::Sinha ::Iyer ::440 
title::SQL3 ::Fatma ::408 ::Quest ::Elmasri 
64::Keitel ::Jain ::Complex ::N ::or 
Classroom::Development ::Labio ::52 ::Olga ::Enterprise 
Biskup::Improving ::Surajit ::Orientation ::Swarup ::Norio 
Yurek::Wildcards ::Engineering ::325 ::Achitecture ::Nag 
Cem::al ::Without ::McHugh ::Ross ::Paper 
Terry::238 ::Jain ::Process ::Sort ::Assessment 
Emperiment::Lipski ::Chiang ::165 ::Previews ::Is 
Melissa::Miron ::Crossroads ::Ravishankar ::Interpreted ::Dewan 
Extendible::Aberer ::Qian ::Riekert ::Evaluation ::Narain 
Meaningful::Ganguly ::Expert ::Push ::Hyuk ::Trees 
Raghu::Thin ::Technologies ::Icons ::Koschel ::Mayford 
Lucas::Heytens ::501 ::Inapplicable ::Jayant ::Masses 
Publication::Mixed ::Rmy ::Maurizio ::Budak ::Gives 
Garcia::Arpinar ::Existing ::Announcements ::Haritsa ::Camps 
Pires::Useful ::Hamid ::Nikos ::Vasilis ::Optimizers 
Marron::Gesmann ::Helen ::Keun ::Stolfo ::108 
Simmen::Watson ::Jakobisiak ::Novel ::Hoch ::70 
Madhu::Wells ::Predicting ::270 ::Kenn ::Hot 
X3::Wm ::Cammarata ::Simple ::Solomon ::Conjuction 
Therber::Gerhard ::65 ::Yurek ::Hongjun ::Zeleznikow 
Bezenchek::CLASSIC ::Chinya ::Fotouhi ::Hugh ::QuickStore 
Laks::361 ::Schemas ::182 ::Leonardo ::Incomplete 
HyperStorM::Gist ::Papakonstantinou ::Chris ::Enforcing ::Another 
Lin::Beng ::Inter ::SQL ::174 ::Maxine 
Monash::Piatetsky ::Critique ::Augusto ::Brachman ::400 
Brodsky::Changing ::S3 ::465 ::Complete ::Alistair 
Kilov::Marian ::Top ::Dadam ::Atomic ::Tansel 
Jignesh::Khn ::Kashyap ::with ::Thompson ::Min 
EFDBS::System ::al ::Static ::Cetin ::Terms 
Predicting::HweeHwa ::Z ::Clemens ::Stole ::Zaniolo 
271::336 ::Tamer ::Push ::Wang ::Characterization 
Giuseppe::Rolland ::Pissinou ::Divyakant ::Khedkar ::Klemens 
Called::Materialized ::Store ::Barnes ::Parallelism ::Genesereth 
Evolution::Relaxed ::Mariagrazia ::McCarthy ::Comments ::Amy 
Brad::Combinatorial ::23 ::oriented ::Mayer ::Retrospective 
Tsong::Pletch ::Keun ::Audit ::Simon ::Won 
Benjamin::Jeff ::Firm ::Pedro ::13th ::Directions 
144::Taneja ::Mauricio ::Atomic ::Asuman ::Append 
103::72 ::Jian ::Kang ::Behavior ::Yihong 
73::Karthikeyan ::Design ::Enforce ::SBBD ::Jeusfeld 
Bressan::Jeffers ::GeoMiner ::Valduriez ::Database ::In 
Structured::Earl ::Case ::Valery ::Suciu ::254 
206::Sakti ::Hypothetical ::Haran ::Proposed ::368 
Klusch::ARTDB ::Yannis ::545 ::EXODUS ::Moerkotte 
13th::Laursen ::Workstations ::153 ::Anupam ::Precise 
Meaning::528 ::Kline ::320 ::Schwartz ::Interface 
SQL::Rozenshtein ::Rational ::Manolopoulos ::Tsatalos ::Entity 
Brazilian::Logical ::DeMichiel ::Has ::Issue ::Transient 
Meeting::University ::Answer ::Hashing ::Industry ::Multiple 
GOOD::of ::Modular ::ADS ::Log ::attribute 
Albert::Allen ::42 ::SEMCOG ::Editorial ::Colliat 
91::Version ::Sampling ::Khn ::Patel ::Codes 
Glossary::Page ::Kamalakar ::Inge ::Caching ::CAD 
Rozenshtein::Metadata ::Shoens ::Tork ::Crossroads ::Dynamically 
Nguyen::Glossary ::Inserting ::Mining ::Sheldon ::Thumb 
Decomposition::Thierry ::Rowe ::Shrira ::Klonk ::Transactions 
Christoph::Jan ::Remzi ::Toby ::Malcolm ::Ibrahim 
Tyler::Symmetric ::Andersen ::Yun ::Frdric ::Renner 
Providing::Joins ::Non ::Ganesh ::Angelika ::MLS 
Weikum::Estimating ::288 ::Mehdi ::Ulm ::Nandit 
McClatchey::Teradata ::Wolfgang ::Ravi ::Doan ::Massachusetts 
Buffering::Hoel ::Gardels ::Networked ::Minos ::GESTALT 
Complete::Shekar ::Missing ::525 ::75 ::4 
Joins::19 ::Nabil ::Jaewoo ::204 ::non 
Heytens::Pipelined ::Stef ::Daniel ::Funding ::Yoshikawa 
Marc::Relational ::Investigation ::Hong ::Mok ::Stanley 
Infrastructure::122 ::XSB ::Jan ::Store ::Shashi 
Rulebase::eva ::Michele ::Sagonas ::ARIES ::Lueder 
OGDI::Groupware ::Crossroads ::Replicated ::Nectaria ::376 
Module::Mancuhan ::GIS ::Grandi ::Schema ::Lifestreams 
Lewis::Brigitte ::Dyson ::Sleepers ::Industrial ::Claude 
data::Mapping ::Arguable ::Secure ::Actions ::135 
level::Shivakumar ::SBBD ::547 ::Newmann ::Sellis 
Rapidly::Hamid ::398 ::Based ::Determinism ::Sampaio 
Van::Srikant ::Year ::Therber ::Hans ::Benchmark 
Koperski::Boral ::Colette ::Sam ::Pena ::Philip 
Eftring::Wall ::Moira ::Designers ::314 ::361 
271::Vaskevitch ::Merge ::Minos ::Quest ::Yibei 
Optical::From ::Spence ::Lindsay ::Barber ::Kiernan 
Guy::Tien ::Roth ::Bob ::EFDBS ::NASA 
Phil::268 ::USL ::Called ::Viswanath ::376 
Wilhelm::ASSET ::Svetlozar ::Parallelism ::Roland ::Safe 
den::Unified ::381 ::Pratt ::Redundancy ::Davison 
King::Perry ::Gnauer ::161 ::Patrick ::Extending 
Gray::Changing ::Santucci ::Quest ::Approaches ::Piatko 
Laver::Lazowska ::Jumping ::Mikael ::Flip ::Amr 
They::549 ::Protocols ::Expert ::Hugh ::Approaches 
Aidong::Constraints ::Term ::Kshitij ::Soumitra ::Sean 
Editors::Farias ::UDK ::Tomasz ::DDTS ::Schek 
Darling::378 ::Meets ::Buffers ::46 ::Manola 
Helal::Point ::Cody ::Norio ::Andrzej ::Cooperation 
Luo::Dependence ::DBMS ::74 ::Warehouse ::Dusseau 
Lorentzos::Deadlock ::Hansson ::Wide ::Arthur ::Grasnickel 
Andrew::Rusinkiewicz ::Production ::Vipin ::Forms ::Guarantee 
Karlsruhe::Wrttemberg ::Hierarchy ::Logical ::Christmas ::Guo 
236::Yixiu ::Hyuk ::Facilities ::240 ::Larry 
Grandi::154 ::Meckler ::Sibel ::Rolland ::Mirroring 
Reconciliation::72 ::Valery ::Fraternali ::422 ::et 
511::Fugini ::Kamel ::Tarantino ::Nearest ::Teradata 
Loss::Experiencing ::Sandeep ::Bozkaya ::Suzanne ::301 
Organization::Parallel ::Christos ::Optimizers ::Mehmet ::Blott 
Bushy::Continuous ::From ::MLS ::480 ::Schwarz 
78::Decomposing ::Hammer ::Beigel ::Application ::Cheng 
T::Ado ::Meaningful ::Operation ::Personal ::Editorial 
Scalable::386 ::Luther ::Best ::288 ::Anindya 
48::Karen ::Mechanism ::Reedy ::Scholl ::Passing 
Illustra::Sylvia ::End ::Enhancing ::Semistructured ::527 
Ramanathan::Generation ::30 ::Anindya ::Kosmas ::Freytag 
221::Algebra ::Mitchell ::Efficient ::Mining ::relational 
White::time ::46 ::521 ::Semistructured ::392 
Picture::548 ::Laguna ::Vaskevitch ::Merrett ::Shum 
Services::Shashi ::Aggregates ::Altinel ::Cartesian ::Exploiting 
Middle::Good ::Rates ::104 ::Golshani ::483 
Klein::Moore ::404 ::Saxton ::Rajiv ::Wiederhold 
E::Thin ::End ::Beyer ::Alfonso ::Masses 
Klas::Protocols ::Internal ::388 ::446 ::Assigning 
Marcus::Schning ::Thinksheet ::206 ::Thumb ::Ceri 
Ravi::Lum ::Degradations ::Interoperability ::Donjerkovic ::Kapitskaia 
Cetin::Georg ::Vassilis ::Cardenas ::Relations ::Attribute 
Viewpoint::Han ::Media ::Swarup ::Ganapathi ::Shmueli 
340::159 ::Historical ::using ::Gilles ::Ariel 
