::Rates ::Kocharekar ::Ralf ::Local 
::Botnich ::Karvelis ::Schemas ::Ailamaki 
::Base ::Proposal ::Schwarz ::Bryan 
::Vienna ::is ::be ::Interoperability 
::Elsewhere ::Marc ::Interaction ::Barnes 
::Kevin ::Julia ::Kornacker ::Gung 
::Enough ::Er ::QuickStore ::Dependencies 
::Stonebraker ::Jones ::Nebojsa ::Department 
::Garbage ::Dependence ::Blakeley ::Vista 
::Ricky ::Koudas ::Agigdor ::Radzyminski 
::Perspectives ::Persistent ::Davis ::Transfers 
::Adya ::Patterson ::Oded ::Do 
::Pat ::Earth ::2 ::Integrated 
::Buffering ::Marvin ::Melvin ::Temporal 
::CODASYL ::Wayne ::at ::Larry 
::57 ::Susan ::Architectures ::520 
::547 ::Sanjay ::Picture ::WORM 
::Vista ::556 ::Shalom ::Warkentyne 
::Assets ::Experimental ::Birgitta ::Beng 
::FZI ::Phil ::Forte ::for 
::67 ::Aris ::Larry ::Dietterich 
::Arjan ::Kent ::Assisted ::Servers 
::Evaluating ::Rakow ::252 ::Sumit 
::S3 ::Term ::Pratt ::Five 
::There ::Fynn ::Attribute ::Bauyer 
::Searching ::Controlled ::Manifesto ::Schuh 
::Four ::Critical ::Andries ::Khn 
::442 ::Infering ::J ::Biskup 
::243 ::Catherine ::Nestorov ::Pedersen 
::HweeHwa ::Form ::ITASCA ::Obrst 
::Minos ::450 ::Koschel ::Kazuhiko 
::Fixing ::Sanjay ::Scholl ::Relations 
::Fabret ::Recent ::article ::401 
::DIPS ::Rishiyur ::99 ::Bill 
::Scientific ::Federation ::95 ::Facilities 
::Miron ::Larson ::Processibility ::Metadatabase 
::Dhaval ::Gray ::Defense ::153 
::417 ::Table ::GOOD ::Vijay 
::Asgarian ::Jint ::Kotagiri ::524 
::Gunter ::Simon ::NonStop ::Sort 
::Translation ::Push ::Apparatus ::Vaskevitch 
::Goyal ::326 ::Normal ::527 
::Lotus ::225 ::Fotouhi ::509 
::Norio ::Hammer ::Waheed ::Natarajan 
::Berchtold ::Nan ::Roark ::Prototyping 
::Confluence ::Hall ::Tutorial ::96 
::Can ::Department ::Rahm ::Martin 
::Katia ::Khedkar ::Module ::Next 
::Ghandeharizadeh ::Sang ::Statistical ::Elisa 
::Pirahesh ::Hammer ::160 ::Kosch 
::Informix ::Ariav ::Defense ::MLR 
::Harinarayan ::Keim ::135 ::440 
::G ::470 ::Daniel ::467 
::Only ::Gerard ::Garza ::Separation 
::Objectives ::Min ::Er ::145 
::Reasoning ::23 ::Kotidis ::Specifications 
::How ::Raghu ::Complexity ::Pattern 
::Maier ::Arnold ::Papakonstantinou ::Remotely 
::Moss ::Testbed ::attribute ::Sycara 
::Interaction ::55 ::Ceri ::Concerning 
::Commitment ::Ugur ::Solutions ::Language 
::Merging ::SR ::Takanari ::CICS 
::Cooperation ::MINOS ::Zobel ::Low 
::Thanisch ::van ::Tei ::Miguel 
::Arnold ::Lo ::Edwin ::265 
::352 ::Position ::Merging ::Modeling 
::Yixiu ::Inapplicable ::Manifesto ::Katia 
::293 ::Marcel ::Sevcik ::Modify 
::Clifford ::Abstract ::Commercial ::Edgar 
::General ::Trigger ::Brodie ::Koch 
::Novel ::NonStop ::Ahmed ::Hypertabular 
::Structured ::Darwen ::Tradeoffs ::Picture 
::Ieong ::endPage ::Rajeev ::Administration 
::Ensuring ::Expressions ::Marron ::Reorganization 
::Laura ::Vingralek ::Hansson ::Brad 
::Bauyer ::Mosfeq ::25 ::Barinderpal 
::Kerry ::Timeliness ::Auwera ::Only 
::Hillyer ::Response ::275 ::Secondary 
::Determinism ::Jon ::Gale ::Publication 
::132 ::Woelk ::Remote ::Achyutuni 
::HPCC ::Ieong ::Ramamritham ::Costa 
::Reedy ::Gelder ::Stefan ::Has 
::OODB ::Qiming ::driven ::Timeliness 
::175 ::Searching ::Optimized ::Chou 
::Class ::James ::Rebuilds ::Notions 
::Interval ::Gerd ::Kincade ::Meckler 
::465 ::Qureshi ::Nimrod ::208 
::Commit ::ke ::Jensen ::Mohan 
::Elliot ::Administering ::CapBasED ::Esther 
::Baader ::Bozkaya ::Pletch ::62 
::Brice ::Hughes ::Products ::Efficient 
::Leonard ::Legaria ::Baden ::ADBMS 
::Turau ::Fowler ::Association ::Thompson 
::Budak ::Is ::339 ::Tininini 
::124 ::Donovan ::DBA ::Oracle 
::509 ::Performance ::Vander ::Oracle 
::Andrea ::170 ::Georgakopoulos ::Luc 
::Eliot ::Shivakumar ::Marek ::Lipeck 
::Christine ::Work ::Expert ::Gouin 
::QuickStore ::Merging ::Industry ::Extendeing 
::Nelson ::Schlageter ::65 ::Wolfson 
::518 ::Alan ::Lindsay ::531 
::Khoa ::to ::Rivero ::158 
::Globally ::48 ::Chi ::Rosana 
::Kemper ::Houtsma ::514 ::Tang 
::Nguyen ::Davood ::505 ::Braham 
::Graham ::for ::Engineering ::Motakis 
::Retention ::Kyoji ::George ::language 
::Assurance ::Take ::NASA ::Christophe 
::Wang ::Shamkant ::Relational ::402 
::Attribute ::547 ::relations ::Lashkari 
::Berndtsson ::Papers ::Gibbs ::Scalability 
::Sequential ::Plans ::CLASSIC ::ke 
::Zobel ::Marron ::Records ::Ravishankar 
::Ingres ::Helland ::GENESYS ::Ptool 
::Exploration ::Hppler ::Redundancy ::CITRI 
::No ::Birgitta ::Cardinaels ::Hearst 
::Jonathan ::Yih ::Morpain ::Lim 
::Andler ::101 ::Chairman ::Sagalowicz 
::Daniela ::Jutta ::Choo ::Kim 
::Gouin ::Indices ::Knox ::Identity 
::Giansalvatore ::Kupsch ::Fatima ::Five 
::Gung ::Osmar ::Hashing ::Shrira 
::Platforms ::Rosana ::Jenkins ::Kevin 
::Class ::Honeyman ::Implementing ::Miller 
::Condition ::Wen ::96 ::Features 
::Actions ::520 ::Persistence ::Konstantinos 
::DBS ::Lausen ::Kerschberg ::Jordan 
::Griffin ::Structured ::Processing ::Middle 
::DDT ::Zirm ::Artur ::Mobile 
::Optimistic ::182 ::Norman ::Prefetching 
::Rao ::DARPA ::Histograms ::Recovery 
::Command ::Transformation ::Woolf ::Thompson 
::450 ::Ramesh ::138 ::Associative 
::Nag ::UDK ::Dong ::Parallelism 
::OLTP ::DIRECT ::Sinha ::Discs 
::324 ::Xian ::Balancing ::Keun 
::Tamer ::Ulrike ::497 ::I 
::Wall ::301 ::Sciore ::Creating 
::Brick ::Workshop ::75 ::Bases 
::EDUCE ::Lodge ::Tarantino ::Cherniack 
::Tsatalos ::Online ::Hendrikx ::Ricky 
::71 ::153 ::Kulkarni ::497 
::GeoMiner ::Center ::ODBMS ::Christoph 
::Gregory ::Remzi ::Gray ::Prolog 
::Sampaio ::Wimmers ::Franois ::Vander 
::Wedekind ::Orenstein ::Testing ::Class 
::Deadlock ::Adaptive ::Lionel ::Is 
::Mitschang ::321 ::Tang ::Ulusoy 
::Cluet ::Rmy ::Sharma ::Reasoning 
::Engineering ::Johannes ::Mok ::Codd 
::Trobe ::Lanzelotte ::Theory ::AssociationRules 
::Art ::Pirotte ::Norrie ::Wentland 
::Heterogeneous ::Sequence ::Forms ::Guidelines 
::Budget ::Ghandeharizadeh ::TODS ::Position 
::89 ::Andrew ::Yoshikawa ::Fynn 
::Array ::Elliot ::Walch ::Consistent 
::Kilov ::502 ::Robertson ::Seeded 
::Article ::Tan ::Orenstein ::49 
::NP ::Mario ::Wendy ::Nita 
::5 ::Pages ::Append ::Modification 
::275 ::Providing ::Jian ::Line 
::ODE ::Optimal ::166 ::Johnson 
::Defense ::Retrospective ::Ballinger ::2 
::138 ::Schlageter ::Chawathe ::221 
::Graphical ::41 ::Merrett ::266 
::SBBD ::Lucas ::Ming ::Abstraction 
::Missikoff ::TCP ::Gravano ::Matching 
::Table ::Transitive ::Manola ::Prospector 
::Wrttemberg ::Frasson ::Ubell ::Paraboschi 
::Yibei ::21st ::G ::Hans 
::Freytag ::Number ::Relationship ::Production 
::Narang ::Open ::Asserting ::Waheed 
::Nebojsa ::Novak ::Beat ::there 
::Bonnet ::Achievements ::Daniel ::Lim 
::Extendible ::Thatte ::Banu ::Hong 
::Paris ::Sten ::Generation ::Divesh 
::Passing ::EUG ::Doughty ::EDUCE 
::MultiView ::volume ::Outerjoins ::Kornacker 
::Himanshu ::tree ::Burrows ::Yue 
::Configuration ::Baader ::Cubetree ::Optimizers 
::Lawrence ::Datasets ::Celentano ::Rafanelli 
::Standards ::were ::SEQUOIA ::CAD 
::Salvatore ::Sean ::Tarantino ::Botnich 
::Optical ::Scalability ::57 ::Miller 
::Novak ::with ::Architecture ::Graefe 
::Altintas ::Ramesh ::WORM ::Lynn 
::Seligman ::Merz ::276 ::Wrttemberg 
::Dittrich ::Novel ::238 ::Knox 
::One ::Tamer ::400 ::Ravishankar 
::volume ::Historical ::Predicates ::McKay 
::Vincent ::Bonnet ::76 ::Hartson 
::Ulla ::Printezis ::What ::Value 
::Report ::Orthogonal ::Amy ::Franois 
::Finkelstein ::Li ::GIUKU ::Comments 
::McCarthy ::Condition ::Himanshu ::Function 
::Relihan ::Joosten ::Bocca ::Yibei 
::Gunter ::Tsatalos ::Associative ::SBBD 
::Sylvia ::Infomaster ::Mendelzon ::Lorentzos 
::wish ::Morpain ::IMPRESS ::Constructing 
::149 ::Cluet ::231 ::Copeland 
::Crash ::Navathe ::Moshe ::and 
::Kfer ::Base ::Durusoy ::Gruber 
::Counting ::Abraham ::Praveen ::206 
::450 ::Advances ::Guozhu ::Connell 
::Answer ::Olkin ::72 ::Keulen 
::7 ::Abiteboul ::Day ::Comprehension 
::Tertiary ::124 ::544 ::Arun 
::WORM ::Disc ::Andreas ::Philippe 
::Future ::Jhingran ::Tai ::To 
::Schrefl ::Management ::Graphs ::166 
::239 ::Bauyer ::Previews ::Eriksson 
::John ::Rozenshtein ::Cruz ::Scheduling 
::Base ::Alex ::Abraham ::Elsewhere 
::335 ::Mayford ::Lorie ::One 
::Fernandez ::Interval ::Editorial ::Perry 
::Hard ::Arjan ::Dyreson ::Satoh 
::Reorganization ::172 ::Unifying ::Environment 
::251 ::Louiqa ::Nicolas ::131 
::Meaning ::Altinel ::Full ::Subrahmanian 
::Paula ::Denis ::Dozier ::UDK 
::Funkhouser ::Keng ::Laura ::Persistence 
::Grosky ::Pons ::Expressions ::Warehouse 
::NF2 ::Updates ::San ::GENESYS 
::Solutions ::49 ::Chiang ::Donko 
::Random ::Ko ::Brick ::D 
::Consensus ::Computing ::Rational ::Hubert 
::Azer ::Integrating ::Extracting ::484 
::Gadi ::Participants ::Cooperation ::be 
::Principles ::Ronald ::Jakobisiak ::trees 
::Bifocal ::Managing ::Lehman ::224 
::Yixiu ::eva ::Networked ::319 
::Bryan ::Hou ::Hoc ::Atul 
::Wade ::73 ::305 ::Karlapalem 
::Chris ::Gnter ::Paris ::Types 
::Massively ::initPage ::546 ::Celis 
::166 ::Mehdi ::Synthetic ::Dense 
::Isabel ::Audit ::Laurent ::attribute 
::Arne ::Moss ::Problem ::Accociation 
::Rabinovich ::Belinda ::SE ::Koudas 
::474 ::Huang ::Julian ::Orientation 
::Maryanski ::Qian ::74 ::Koksal 
::Tables ::Wrapper ::Furtado ::Satish 
::Jae ::Biliris ::Article ::Andrew 
::Pierangela ::Programs ::Yixiu ::Babis 
::Stolfo ::Braunmller ::Pernul ::Cercone 
::Datasets ::Held ::Secondary ::MQSeries 
::DataBlade ::9 ::Betty ::Kooi 
::Jamison ::Hugh ::Arne ::Status 
::Roberto ::Oscar ::Qaimari ::Crestana 
::576 ::Lists ::Yibei ::Kenn 
::Replication ::GOOD ::Transformation ::Wave 
::Coterie ::Adali ::Morin ::307 
::190 ::Salza ::Mohan ::Arne 
::Orthogonally ::Recurrent ::Model ::One 
::Bauzer ::Shenoy ::268 ::Jagadish 
::Ugur ::Krithi ::OODBMS ::Ahead 
::143 ::Mechanism ::Objects ::68 
::Doherty ::at ::Keitel ::429 
::Rewrite ::Tertiary ::Guidance ::Finite 
::I ::McIver ::Optical ::Modification 
::Kosch ::Condition ::Optimization ::Policies 
::Norrie ::Lum ::to ::330 
::Framework ::Benchmark ::He ::Changing 
::Tiziana ::Arrays ::Tables ::Types 
::1951 ::Jack ::Yihong ::Arthur 
::Kenn ::Kline ::Mosh ::Spyratos 
::16 ::Dewan ::Next ::Snapshot 
::Scientific ::Rates ::Log ::Mamou 
::Chris ::Visualizations ::Su ::Zoerntlein 
::Detection ::Zoerntlein ::152 ::Nolan 
::Tsatalos ::Masaru ::544 ::Local 
::Kumar ::Doughty ::Thumb ::522 
::Going ::Lightweight ::529 ::Weienfels 
::Presentation ::Sheth ::Mitschang ::Structures 
::adaptive ::s ::71 ::Karvelis 
::Cai ::Fagin ::Compiled ::Ibrahim 
::Pipelined ::Internal ::Viswanathan ::441 
::Building ::Tompa ::Ozkan ::Ron 
::Bombay ::Hall ::Loeffen ::Standardization 
::Cercone ::Gravano ::Durusoy ::Cook 
::Trickey ::Harumi ::Qin ::36 
::One ::Nothing ::Hard ::79 
::Dar ::DBMS ::Khoa ::Taylor 
::Histograms ::408 ::Evrendilek ::Repositories 
::329 ::Keim ::Artur ::Multiversion 
::Hong ::Hartson ::Zeleznikow ::Nenad 
::Scientific ::Emperiment ::AMS ::479 
::Gibbons ::Mumick ::Dyson ::Gemis 
::Willis ::Abdel ::Sharing ::Culler 
::Luo ::Catriel ::Edgar ::Quickly 
::430 ::al ::ORES ::Lausen 
::Karvelis ::Applicable ::Surajit ::TCP 
::Alternative ::113 ::Prasadram ::Pat 
::SQL ::Therber ::137 ::252 
::STARTS ::Doherty ::Hoel ::Protocol 
::Curt ::Modules ::Gives ::24 
::Beliefs ::MMDBS ::Engineering ::zgr 
::Update ::NF2 ::Wildcards ::Enforcing 
::Observing ::Effectiveness ::GENESYS ::Brachman 
::Korn ::Chin ::Illustra ::242 
::Beigel ::Norio ::Multi ::Third 
::known ::Machines ::Eui ::Visualizations 
::Grossman ::Interval ::Scheme ::Stephan 
::They ::Practice ::397 ::Subsequence 
::Desktop ::97 ::Concurrent ::Keitel 
::John ::Shan ::About ::News 
::150 ::Kawaguchi ::Praveen ::Leung 
::Seligman ::Dhaval ::1988 ::Grammar 
::Transient ::Sybase ::Tai ::Manager 
::Optical ::Yossi ::101 ::Paul 
::Hou ::Restrictions ::99 ::Valduriez 
::454 ::Browsing ::Haradhvala ::Between 
::Rowe ::Aggregate ::Madhu ::Hugo 
::Log ::endPage ::Fatma ::Extending 
::Englert ::187 ::Modelling ::DIPS 
::275 ::Kiyoki ::Chomicki ::Raschid 
::Thatte ::Gravano ::SR ::227 
::Section ::Stonebraker ::Vitter ::Ieong 
::Wiest ::View ::395 ::Gingras 
::Queens ::Simillion ::276 ::Sciore 
::Assets ::Waqar ::Christodoulakis ::Kn 
::Lawande ::146 ::Frew ::Servers 
::Ries ::Development ::Peng ::Fault 
::Special ::Sevcik ::DB ::Plans 
::Effective ::Subramanian ::Dennis ::Claims 
::Badrinath ::Science ::554 ::Thanisch 
::Building ::Reduction ::Fast ::164 
::Strategies ::External ::Page ::Craig 
::Kuntz ::297 ::Reddy ::Lougenia 
::Evolving ::Future ::language ::Atsushi 
::Anupam ::194 ::Rdb ::Linderman 
::Teradata ::Inc ::Atomicity ::527 
::Achitecture ::Ramez ::Kaplan ::Jacek 
::DART ::any ::Qian ::Val 
::Guido ::Bamford ::Kfer ::452 
::Muntz ::Wilner ::Jefferson ::initPage 
::Similarity ::Mlle ::Ibrahim ::USD 
::Ralf ::Log ::Blakeley ::Chen 
::Jim ::Abraham ::Alejandro ::Tsangaris 
::trees ::305 ::ACT ::541 
::Andrianopoulos ::324 ::Residues ::Nodine 
::470 ::Entity ::Crestana ::Berndtsson 
::Ouri ::Vienna ::Walt ::NASA 
::Partitioning ::Are ::Andrzej ::450 
::56 ::Arvola ::DB ::Metadata 
::Ward ::Investigation ::Justin ::Conjuction 
::Kitsuregawa ::Neuhold ::Andler ::Goel 
::Thatte ::Synchronization ::507 ::Properties 
::Right ::Sort ::BUCKY ::Feedback 
::Lakshmanan ::Note ::Subramanian ::Carter 
::423 ::DARPA ::Announcements ::Icons 
::Push ::Influential ::Nikhil ::among 
::Wilner ::RIDL ::Reduction ::Torlone 
::268 ::Pierangela ::43 ::Store 
::Compiled ::Yurek ::Investigation ::541 
::al ::Stole ::Narain ::Supporting 
::NET ::Infinite ::or ::3D 
::Tian ::359 ::they ::389 
::Real ::Horizontal ::Only ::Contextualizing 
::Schneider ::Chee ::Ries ::Processor 
::Activity ::are ::3D ::Margaret 
::SR ::Connell ::Obrst ::F 
::Push ::Navarro ::Jeff ::Challenge 
::Revisited ::Shalom ::Vienna ::Fatma 
::Scheduling ::Basic ::Methods ::Descollonges 
::Radzyminski ::510 ::Their ::Kon 
::Zoerntlein ::Shoens ::Chinya ::Dale 
::Sharad ::Mohamed ::Inheritance ::Blott 
::Gucht ::Site ::Sagiv ::514 
::Liskov ::Philip ::Imielinski ::Measurement 
::Set ::John ::eva ::Modification 
::Accociation ::Tomlinson ::135 ::64 
::Abel ::Beigel ::Composite ::Vijay 
::Special ::Tiziana ::Structure ::Harris 
::Bestavros ::Kincade ::182 ::Cole 
::Retrieval ::SENTINEL ::407 ::Tam 
::Availability ::Scacchi ::Wechsler ::Guido 
::Syan ::Lashkari ::Minyoung ::145 
::174 ::Market ::150 ::Pratap 
::Delisle ::Brin ::19 ::Cevdet 
::Traversal ::Schek ::Warehouses ::80 
::92 ::Val ::DataBlade ::559 
::Mecca ::Yasuhiko ::454 ::Gottfried 
::Luther ::Meeting ::Generalized ::von 
::Achitecture ::Zurich ::366 ::Dynamics 
::Papakonstantinou ::Florescu ::among ::Schang 
::Control ::Matchmaking ::Protocol ::Shalom 
::392 ::Dyson ::517 ::Brian 
::54 ::Vienna ::Environmental ::Implementation 
::Wm ::Engineering ::Knowles ::Nested 
::order ::Predicting ::CLASSIC ::62 
::121 ::Julia ::466 ::15 
::Clustering ::Structure ::RIDE ::17 
::Hall ::Nandlal ::Yehoshua ::Flat 
::Space ::Barbara ::Vincini ::Kornacker 
::Artur ::Shapiro ::Hamid ::Linderman 
::Biliris ::Who ::Security ::Termination 
::Large ::Constraint ::Histograms ::Spyros 
::Baeza ::408 ::Soloviev ::Atkinson 
::Striping ::Comparison ::Reference ::Red 
::Much ::Markowitz ::Schlageter ::Badia 
::Jaime ::Extensions ::New ::Hanan 
::Prasad ::579 ::Rafael ::over 
::Tschernko ::Wileden ::Persistence ::554 
::Support ::Tansel ::Georges ::554 
::Jim ::7 ::Rolker ::Huffman 
::Compression ::Guo ::Mobile ::Harumi 
::Utilization ::Modelling ::Costa ::Contents 
::Editorial ::Liskov ::Overview ::Answers 
::Dreyer ::Salzberg ::Forms ::Brown 
::Facility ::Nori ::Representing ::Kenneth 
::Formal ::Table ::405 ::Subsequence 
::412 ::SR ::Oliver ::Can 
::Pratt ::Space ::Decomposing ::Survey 
::Arrays ::Syan ::Shah ::Sean 
::Goyal ::Berchtold ::Lightweight ::Arun 
::Kotagiri ::Beigel ::Steven ::Geophysical 
::Checking ::1993 ::Wildcards ::Hillyer 
::Wentland ::Definition ::Shrira ::206 
::377 ::Statistical ::Susanne ::Sidell 
::Thomas ::323 ::Announcement ::253 
::Daniel ::Giuseppe ::542 ::Ronald 
::Bertino ::Size ::Reiner ::Survey 
::Beigel ::Symmetric ::Evrendilek ::Ulusoy 
::Donko ::Rona ::Allen ::Hussein 
::Jrg ::Edward ::Vitter ::Sou 
::Been ::Gyssens ::Edgar ::RISC 
::Alexandros ::Woodruff ::Meral ::Tien 
::Asgarian ::Mok ::Guarantee ::Kolodner 
::Desktop ::Fixing ::350 ::Eisenberg 
::Establishing ::O ::yiu ::Min 
::Berchtold ::Much ::422 ::Base 
::McClatchey ::Picture ::Push ::Arthur 
::Cooperation ::Theo ::Acharya ::Fritz 
::Bussche ::Versus ::Bandwagon ::Stokrp 
::Sharon ::Profiles ::Wilburt ::Silverstein 
::Lamersdorf ::Semantic ::Cubetree ::level 
::DB ::Uniform ::Terranova ::Strengthen 
::Language ::Roark ::Guy ::Valduriez 
::Manifesto ::Auwera ::4th ::Franoise 
::69 ::Tony ::Dar ::Consensus 
::Ghassan ::87 ::453 ::Hian 
::Picture ::563 ::Form ::Proposed 
::263 ::Secondary ::Constraint ::Histograms 
::Rule ::Yasushi ::Flokstra ::McLeod 
::offs ::Knowledgeable ::Prototype ::255 
::Inderpal ::issue ::Downing ::DBMSs 
::Commercial ::Karvelis ::Glavitsch ::Hussein 
::583 ::About ::Already ::De 
::301 ::Tufte ::Expert ::Remotely 
::Horizontal ::Proposed ::Qin ::Helland 
::Earth ::NP ::Sibley ::Frasson 
::Inge ::Fabio ::Flaws ::Redundant 
::56 ::Open ::Expected ::Picture 
::Freytag ::Tajima ::Project ::Stuckey 
::Take ::Predicting ::Experiences ::Wilner 
::trees ::Project ::OR ::Sampaio 
::Jefferson ::Ouri ::Middle ::ACM 
::CAD ::IPSI ::516 ::Bruno 
::Boon ::Dan ::Wrapper ::Gonzalo 
::World ::155 ::Nested ::Masses 
::SE ::Medical ::News ::Compatible 
::Dirk ::Mathematical ::567 ::Egemen 
::Papakonstantinou ::Space ::482 ::Jason 
::335 ::Position ::459 ::Kincade 
::Ksiezyk ::B ::Some ::Buffer 
::Enforcing ::Libkin ::Pedersen ::Ray 
::Rajendran ::469 ::Stephen ::Minyoung 
::relational ::Xiangyu ::Secondary ::Elliot 
::367 ::Prasad ::Cruz ::Shrira 
::Klein ::Xiaolei ::Rewrite ::Restrictions 
::Lomet ::EOS ::Jamison ::256 
::498 ::Broadcast ::Large ::Kurt 
::Douglas ::Rivero ::Mason ::Lineare 
::Konstantinos ::Cowley ::190 ::Keller 
::Au ::Command ::Pat ::468 
::Hoch ::Suryanarayana ::Englert ::Mining 
::Cliff ::Harinarayan ::Samet ::Nan 
::Snapshot ::Effect ::Cocktail ::Schuh 
::219 ::Manfred ::Englert ::Lipeck 
::536 ::Liam ::Mosfeq ::Roantree 
::Asserting ::Algorithms ::Bigelow ::Jain 
::et ::Sparsely ::XSB ::Grossman 
::Protocols ::Bernhard ::Multiattribute ::Alistair 
::Concurrency ::NTHU ::Buchmann ::Hide 
::Stephanie ::Saygin ::Revisited ::Consensus 
::Vermeer ::Lists ::Constraint ::Reclustering 
::Abstraction ::Dynamics ::Jim ::Overmyer 
::Revisited ::563 ::Beverly ::Wen 
::Doo ::Earl ::Patrick ::40 
::Biliris ::Broadcast ::Summary ::Environment 
::line ::Opportunities ::287 ::Gregory 
::Shelly ::Press ::Wileden ::Deborah 
::Selection ::419 ::Checking ::Acitivities 
::Ouri ::Translation ::Red ::Omiecinski 
::Patel ::II ::Kn ::Held 
::Arnon ::Domains ::Syan ::Helland 
::Term ::406 ::Osmar ::564 
::Melton ::HPCC ::BUSINESS ::Coterie 
::A ::68 ::Tei ::Ullman 
::Roy ::Erbe ::Workflow ::Shoens 
::Gardarin ::Kline ::Alfons ::Haim 
::Cook ::Tang ::Chee ::Hampapur 
::from ::Jnsson ::Gal ::Finkelstein 
::Interoperable ::Data ::Fraternali ::Real 
::Matchmaking ::Multiple ::124 ::Manifesto 
::Kuntz ::233 ::Strategies ::Hongjun 
::Yasushi ::Grained ::Knowledge ::Log 
::Faloutsos ::Street ::Raymond ::Radek 
::Laguna ::Geppert ::Shasha ::Assets 
::541 ::123 ::Sparsely ::Arne 
::Barclay ::77 ::Converting ::Kocharekar 
::Kirby ::Arthur ::Primitive ::Geographic 
::Alperin ::Grained ::Box ::Nikos 
::553 ::Leonard ::Edwin ::oriented 
::Navathe ::Nutt ::Domains ::Append 
::eva ::Jordan ::Pedersen ::Industrial 
::Souza ::Summaries ::Enhancement ::4 
::Aberdeen ::Computing ::Barbar ::Kaplan 
::Comments ::Recursion ::Dimitra ::Balancing 
::Viewpoint ::170 ::Ieong ::Juergen 
::1 ::Globally ::Yandong ::memory 
::Optimality ::He ::through ::Bruno 
::324 ::Michel ::Ilker ::Scientist 
::LORE ::215 ::Lanzelotte ::295 
::Jenny ::Continuous ::Top ::Molina 
::Snodgrass ::Zaharioudakis ::Gawlick ::547 
::321 ::350 ::Popova ::ZOO 
::Beyer ::their ::View ::Availability 
::populated ::Materialization ::Chen ::Houtsma 
::238 ::Finite ::Ouksel ::Rastogi 
::Abdelsalam ::AMS ::Keller ::Sacks 
::442 ::Roman ::Shelly ::Geophysical 
::219 ::492 ::Suppletment ::Quantifier 
::King ::Schrefl ::Estimating ::Enhancing 
::Pernici ::148 ::Dar ::Jr 
::Jian ::Reply ::Christophe ::SONAR 
::Papoulis ::It ::Acharya ::Ramasamy 
::Durusoy ::Applications ::Improving ::Barnes 
::Georgakopoulos ::Inference ::Buffers ::315 
::Tova ::Didier ::Marian ::Harandi 
::52 ::Graham ::Tom ::100 
::Mahboob ::Cammarata ::Masses ::Cvetanovic 
::129 ::Satoh ::247 ::Objectivity 
::Kevin ::Sybase ::P ::Markus 
::Eriksson ::Inderpal ::Previews ::Activity 
::Atkinson ::Inderpal ::Jonas ::Enhancement 
::418 ::Alon ::97 ::Usability 
::Rakesh ::376 ::Locking ::Active 
::Anil ::Bitton ::Fragments ::81 
::485 ::Gawlick ::259 ::Bitton 
::Commit ::Note ::Compiling ::Products 
::Kilic ::Checking ::Khoa ::Vertical 
::Rules ::Agigdor ::Hubert ::Curry 
::205 ::490 ::Dittrich ::Power 
::405 ::Yannis ::Schnhoff ::137 
::Rafiei ::Jun ::Val ::Aggregation 
::Yongjian ::Ecklund ::line ::Ahn 
::Su ::DBS ::time ::adaptive 
::Salzberg ::Hierarchical ::Katia ::Ecklund 
::Record ::Apparatus ::Proposal ::270 
::Informix ::Anderson ::Nikolai ::Biliris 
::Kshitij ::State ::Ranganathan ::423 
::Fatima ::Network ::Andrianopoulos ::41 
::Chopping ::Massively ::55 ::Kenn 
::398 ::Wilson ::Dekeyser ::311 
::184 ::33 ::Manager ::67 
::Dozier ::Algebras ::Suckow ::Problems 
::With ::Udo ::Dietterich ::245 
::Expressions ::Computers ::Stenoien ::Quickly 
::Kincade ::Pernul ::Site ::Lists 
::Observations ::GOOD ::Kotagiri ::Koschel 
::Lotus ::Retrieval ::Burns ::Colby 
::Seeded ::557 ::Ramamritham ::Yun 
::Suciu ::Troyer ::Gruber ::Er 
::280 ::Duval ::SMP ::Harris 
::Tannen ::Representations ::Internet ::Graham 
::Closing ::Wentland ::Harry ::294 
::Caching ::96 ::Arya ::Nandit 
::et ::Mattos ::Jack ::Olkin 
::Andersen ::About ::Higher ::Ghemawat 
::Arjan ::Five ::Gnter ::Transient 
::W ::284 ::Pages ::Distribution 
::is ::Vasilis ::Aided ::Boon 
::yiu ::393 ::Building ::Raschid 
::Jean ::Scalability ::Industrial ::Repositories 
::Gal ::Meyer ::Agarwal ::USL 
::Mok ::Wang ::Definition ::Walker 
::Helland ::23 ::Forth ::Modeling 
::Rashid ::Buffer ::SONAR ::AssociationRules 
::Spyros ::Cluet ::Servers ::Chee 
::Hans ::Mehdi ::Shekita ::377 
::Shoshani ::WORM ::Remote ::Document 
::Munindar ::Udo ::Services ::EFDBS 
::BCNF ::Andersen ::Template ::64 
::Scalable ::Function ::Heap ::Closure 
::Curtis ::Scheduling ::352 ::Executions 
::Rao ::Swarup ::Experiencing ::552 
::Val ::Flynn ::Compensation ::Terrance 
::ACT ::initPage ::Simultaneous ::Incorporating 
::Constructing ::For ::266 ::Validation 
::Farshad ::281 ::Site ::Rebuilds 
::Galindo ::Duval ::Determinism ::Out 
::DIPS ::Answering ::307 ::Datta 
::23 ::Unix ::with ::Mobile 
::SR ::Bigelow ::Software ::Harinarayan 
::Passing ::Implementation ::Forth ::Sequential 
::Mok ::Configuration ::Role ::Zat 
