Qiong::4497416 22851124::YiuJHL08 4497482::Correction ::TALE ::Jianping 
Xiaofang::LentSW97 Papadopoulos::Augsten Synopses::Marcel ::Krishnan ::Iman 
87::Yao SPOT::Pietzuch 717::Sameer ::Sensor ::Lyublena 
Lieuwen98::Tight Logan::327 914852::Shrivastava ::Valduriez87 ::235 
level::TomasicRV96 Eberhardt::Utkarsh 655::Split ::Gignere01 ::Soccer 
4497499::BestPeer Goel::Shukla Scripting::iandc ::Potamias ::Annamalai 
vldb::Amir C98::531 Qi::Hoa ::1360 ::Gruenwald 
Kyu::ElghandourAZCBBZ08 HeinzKRS08::X05t 22850705abs::Pedersen ::CosmadakisKV90 ::4497607 
SakuraiPF05::188 GirodMNRTBM08::PapakonstantinouGU96 15310339::Gyllstrom ::1429 ::502 
4497448::22850032abs Skippy::Quang 22850193abs::ife ::CopelandK85 ::SchroederHIN06 
4497406::1229 Human::P503 BilkeN05::914813 ::Centric ::Hoyoung 
Seung::Wiederhold92 575::4497492 GareyJ79::Jing ::ChiS05 ::Tabular 
KivinenM95::Multilingual Languages::P104 k::1467 ::Zou ::Schek 
LuccheseVRY08::Networked YiuJHL08::Umeshwar Feher::Imai ::Fits ::Histogram 
Filling::22850580abs P532::Jignesh DayalHL90::Curves ::RamanathZFH05 ::Ching 
Zdonik::15310273 with::1595 icde2006::Ong ::Compressing ::DayDIKG95 
Juha::GrayR93 336::P209 Point::ConQueSt ::HuangD08 ::314 
HermanGLW87::Content 4497571::MANETs Set::BANKS ::4497506 ::406 
Cole::715 1467::Hett LeungMSVVZ93::About ::Mema ::cker 
Nigel::22850118abs Discovering::KeCN06 T::130 ::4497566 ::Fabio 
326::JagadishOVZZ06 15310029abs::Griffiths 22850388abs::Computing ::BabuDM08 ::144 
1435::354 Histogram::22850742abs Toward::Members ::P094 ::P2P 
dpds::XPath DeeringC90::78 Chris::Cochinwala ::Conor ::4497559 
Interpreted::15310265 182::Event Aggarwal02a::902 ::support ::Mller 
Itemset::Directory 1208::PalopoliTU01 Expressive::Cyclic ::1115 ::Sarawagi97 
Format::Habich Leymann97::Shin 130::Quickly ::Kanagal ::Items 
CareyHSACFFLNPTWW95::csur Keidl::Assurance Salvatore::4497516 ::4497576 ::computer 
732::231 1287::Arbee Clement::Ishikawa ::German ::1442 
P094::RAM PictureBook::Yasin DB::Pollack ::Georgiadis ::1510 
Quadtree::FernandezS98 Hoyoung::Constrained Kyuseok::1357 ::future ::Semantic 
DaiKSTV08::794 Patterns::Kraus HanF95::Chengyu ::Tirthapura ::LeungMSVVZ93 
BouazizKPW97::Matchings Rishi::4497533 Progressive::Gustavo ::Neighbor ::CastellanosC05 
HirataHTK96::Ohler Dimension::1141 853::IshikawaSKMMIAY93 ::Annotations ::BhalotiaHNCS02 
1267::AlexanderR06 914811::69 RyvkinaMCZ06::Records ::Subset ::BunemanDHS96 
ph::Approximated CLICKS::Gounaris Naacke::Sales ::dimensional ::MukherjeeRS05 
Jindan::mm 4497505::Shared 11::BlumrichLADFS94 ::ColbyCHJJMSW98 ::Linguistic 
Sup::P004 Sensitive::Disclosure MegalooikonomouWLF05::Margaret ::Quickly ::BerchtoldBKK97 
ZukowskiHNB06::Ivan MannilaR87::285 Frdric::Chatziantoniou ::Clip ::Detecting 
JeungLSZ08::22851124 Sellis::Erik Teubner::Decker ::BargaL01 ::JiangAC05 
SherkatR06::ChungGS02 Chai::22850656abs 1551::Majumder ::563 ::4497529 
10010173abs::Sugimoto GongYQZ05::Segmentation Cloud::502 ::Planning ::Stefano 
306::Jagadish91 122::Dependencies Ryvkina::Wu ::ChenJOT08 ::Bar 
Lingzhi::15310273 Christos::Oguzhan FriedmanBF77::862 ::MAPLE ::Lot 
Chong::Arocena 614::Wireless Sujata::ParkKL01 ::Customer ::Jrme 
Ning::OLTP Improving::Agrawal PadmanabhanAMJ01::AbiteboulK92 ::Harizopoulos ::FegarasM95 
Adaikkalavan::Scaling XuEKS98::Plans Prado::XuLXM06 ::P294 ::icml 
Oguchi::MyllymakiL96 BuccafurriRPS02::FranklinCL93 Chaudhuri::Baral ::1048 ::SedmidubskyBDZ08 
Buccafurri::NeumannHM05 Mannila::NguyenKF08 Yue::Intelligent ::Domain ::Jianmin 
OptimAX::Afanasiev Dalvi::1998 DeshpandeH02::Items ::Sequence ::4497467 
Auditing::Suhre mk::Ceri Balke::Green ::JermaineOY02 ::15310225abs 
Hubert::2006 1001::4497548 bncod::1513 ::139 ::914828 
LeeLL06::Rohit Chuck::CormodeKMW08 Statistics::4497539 ::22850254 ::MengLWG02 
Hetal::Jayant 349::Historical Fernando::Maya ::BerchtoldBK98 ::Stefani 
Alternative::Lieuwen98 Synchronization::Broken Andrew::Bouganim ::System ::icdcs 
424::enough KivinenM95::Vrhovnik Dadam::SistlaYLL95 ::Nabar ::LambLOW91 
BrunoC08::LiebermanSS08 Xiaodan::Bee 741::Elisa ::99 ::Tony 
Ouri::MannilaTV94 Pradeep::LiuYGS98 Mano::StonebrakerADNR93 ::Whitley ::Elements 
ACXESS::Deng 4497523::DanDY91 Bei::Effective ::1072 ::Implementing 
4497466::4497526 Dominant::Publication LiH89::DeWittFMV90 ::Houle ::362 
MiahDHM08::Jhingran Koh::Weifeng Filters::40 ::SCADDAR ::Mendez 
Integratio::Newton Dyreson::DBMS Ching::13 ::15310187 ::532 
Arnd::BurdickCG01 WilkesGSS96::Suleiman Lomet::Customer ::914809 ::Xie 
JainDG08::JinZLWS06 LangOS97::Maskey Simitsis::NguyenKF08 ::Freeston87 ::Notification 
Henry::914848 Wang::507 Masato::Giuseppe ::Nicholas ::Jeff 
SistlaYH94::Chuan GareyJ79::Tuning 679::Down ::LSD ::1072 
Mourad96::Cattell94 P588::22850186abs Building::Rishe ::NN ::22850285abs 
Draper::22850680abs Reducers::KramerP96 126::Shin ::Shkapenyuk ::Visualization 
Vikas::CastellanosBR08 1540::AhmadN08 Categorical::Weddell92 ::Xingquan ::1568 
AnciauxBHPA08::HanFWCGKLLRSXZ96 Haejoong::KamathR98 Kihong::Bowman ::476 ::15310187 
Z::Iyer Andreas::Scrutinizing Extended::Committees ::Jayapandian ::Ledlie 
1388::Wing 2::Widom 1002::proceedings ::182 ::Shu 
Bttcher::Melliyal 1109::1460 Workflows::SI ::Schema ::Cohe 
Industrial::4497429 ddb::Elfeky YangWWY02::XCluster ::Lun ::Vassiliadis 
563::P086 Cal::Spatial BreitenederGT92::4497596 ::Ian ::jcss 
Xiaopeng::Zabback Prasad::Spreadsheet Ferri::Market ::577 ::8 
Weber::DescribeX Bosworth::Steven Mover::P598 ::Munir ::AhmadABM08 
Orchid::XinSHL06 4497593::Recycling 4497564::ZhangLW08 ::Hoare69 ::Integration 
Wolf::Commerce Experiences::Gene Preemptive::Chun ::Shneidman ::Split 
1081::4497563 Accessibility::De Heinlein01::HamakawaR94 ::acta ::Kwang 
Autonomic::Authentication Xiaokui::Marian Shirley::Scale ::GraefeL01 ::4497414 
Solutions::Luk Niblack::SimitsisVS05 Weiping::Shojiro ::Alone ::Boncz 
Snapshots::Daxin Shenoy::cgmOLAP Hiroko::SheuW06 ::Functional ::Ishikawa 
22850357::AgrawalLSS95 YangL87::TheodoridisSS98 ChaudhuriKPS95::ORDBMS ::HanYY06 ::Kun 
Blockeel::Constructs Summary::Jiang Algorithm::Replicated ::LiebermanSS08 ::Platform 
HorwitzT86::Gunopulos Qiming::LynchS88 Ian::Exploring ::GeorgiadisKCNS08 ::Shigeru 
Amarjeet::Boolean 1390::ShaoNS05 Position::MolinaKS98 ::Khaled ::1239 
216::Authors Pointsets::VeeSSBA08 BukhresSNBAOGKCMS02::Anne ::Nagaraj ::Dumas 
MannilaTV94::Bausch Busatto::AilamakiGM06 Jansen::Lois ::Schlimmer93 ::Interacting 
Labels::390 4497404::Anonymization 22850190::Semantics ::Yuxin ::AggarwalY08a 
Arocena::914865 Huabei::4497542 Bonifati::TrombettaB06 ::Franois ::TsangarisN91 
QiaoRNPCFRCYL08::22851141 Murat::Dissemination KhoussainovaBS08::Anand ::4497573 ::FelipeHR08 
Outliers::22850403abs Vikas::DeFazio KeulenKA05::Gawlick98 ::Change ::Stonebraker91 
Changing::162 Gyllstrom::Vlastislav Messaging::ChenCRM06 ::Yunyue ::4497540 
William::Build Christophides::Wayfinder ChangC02::Pierre ::Xueqing ::Sashikanth 
GounarisYSD08::Down Bolin::CLAN Hash::LoR96 ::Edison ::Tsumura 
Boedihardjo::Zhang Fen::PageRank Filtered::22851148abs ::Speed ::Freksa92 
Development::Multivariate Brown::Spatiotemporal Bernstein::AntonyWAA08 ::DBXplorer ::Verma 
LiebermanSS08::Morse Employing::Sonny 914844::AlonsoC05 ::Stacie ::Rajaraman 
tocs::1498 P2P::CASTLE Lupu::Rate ::iBOM ::71 
Fudos::Jian LeeSZ05::VrhovnikSRM08 Geerts::1333 ::HOLAP ::873 
Interacting::P164 TAILOR::Greene89 Lieberman::Du ::4497417 ::String 
89::proceedings Coverage::Veli GraefeM93::PfahringerK95 ::Koutrika ::Christos 
XiongMA05::its KuwabaraT05::Elizabeth Joan::Molina ::15310431abs ::Response 
Mortazavi::Melnik Herlihy90::Renner ShkapenyukS02::VrhovnikSES08 ::Srikanta ::4497426 
Lomet93::LivnyRBCDLMW97 Margo::Yoon XStream::Logan ::VaidyaC05 ::779 
File::ChenDYR08 Efficient::Kevin 619::SeshadriLR96 ::HjaltasonS95 ::Jaffar 
Rosa::GriffinL95 Cattell94::Kanamori Garret::WolskiB98 ::241 ::15310341 
without::Cruz92 WeissDG95::AkindeCJK01 643::Sengupta ::Cliff ::Tsaparas 
Stavros::42 Harizopoulos::Wlodek Norio::TaniguchiS05 ::Popa ::Patterns 
Privately::161 Ansorge::WangJT06 He::RosenblumO92 ::Suciu ::67 
Gunther93::Closest ZhouW08::SavasereON95 CareyDN93::Lang ::Ramy ::Angel 
Hambrusch::Tight KoudasS05::1547 Platform::Silva ::4497537 ::Charu 
Itoh::isca Delivery::Bernstein 22::Jing ::939 ::1457 
471::Search Katayama::domain 1393::Objects ::Jianzhong ::Shyam 
Pankaj::Clustered Magdalena::XGRIND P542::1465 ::LimN01 ::338 
543::4497541 DescribeX::90 22851120::345 ::MeoPC98 ::Processes 
697::Messaging 4497529::Saikat WangJT06::P599 ::430 ::Weihl88 
Sayed::Ihab Stella::SardarK06 Inferring::We ::16 ::Aggarwal 
Daxin::Reachability 346::Bertram Videos::GuoSBS05 ::Attributes ::Bedell98 
GADT::Mishra 22850324abs::Son 4497441::IBM ::1112 ::Leymann95 
Vlachou::CandanHS98 Distributed::doi 628::Rajamani ::350 ::Pinar 
Linear::Sadhukhan top::42 2000::Wang ::SteenhagenABB94 ::Rule 
PGM::Mahajan 503::500 Threshold::15310166abs ::Feature ::Huan 
trees::Jaber Philip::OWL Callaghan::UNIT ::192 ::4497510 
22850298abs::ZEBRA 4497495::Supratim KamathAGM96::Griffiths ::22850386abs ::Bestavros 
Indrajit::665 1324::60 Euthimios::SemCast ::Wenxin ::Science 
Schiefer::Designer 1122::Recovery Kristal::WolskiKP96 ::LieuwenD91 ::15310064abs 
141::Visibility Megiddo::914818 178::4497434 ::el ::4497510 
Gunopulos::GravanoG95 339::Chairs ONeilQ97::Mendelzon ::Pearson ::Venky 
Hakan::KlemettinenMRTV94 Counts::Chon Taylor::Ching ::Mukherjea ::1385 
Hiroomi::ZhouYGCD08 Brett::486 Schubert::4497636 ::Programming ::Yalamanchi 
Two::Expressions Mller::YinC05 Sattler::Relational ::Shirani ::Autonomy 
from::Valduriez 1405::XuLTW06 Clusters::ShengHL06 ::Silberschatz ::Major 
DaynesC01::GuhaKSY06 Teaching::Heinlein01 Yan::Jonathan ::AlonsoBC08 ::Latanya 
HwangPS98::Execution SavasereON98::Shenoy TaniguchiS05::4497619 ::Self ::Gummadi 
OrfaliHE96::Nick 227::Tamer Badillos::Schoning01 ::Suri ::ZhangWL08 
Transformations::Arai popl::Lewis AlexanderR06::Reporting ::WangHYYY06 ::bda 
tods::Expression Yueguo::Repairable RabinovichBGLMM98::Reordering ::Era ::HowardKMNSSW88 
Ramakrishna::Sarawagi95 Lomet::Volker 977::Jeffrey ::Ln ::235 
Query::Hibino Steve::mm Sean::Developing ::Imperatives ::Ruoming 
Richard::4497457 Remote::Todd Demo::Gregory ::Nabar ::P036 
future::Device Pontieri::15310453 Trade::4497474 ::Date90 ::Srilekha 
Tracking::4497561 OCallaghanMMMG02::Cochinwala Tilo::GyllstromADI08 ::ZEBRA ::GruberKP01 
Melanie::22850285abs NabeelB08::acm JakobGHN05::ChenD97 ::Containing ::691 
22850828abs::4497422 4497551::Diverse 54::LuoWL08 ::Siersdorfer ::Ryan 
PETRANET::Expressions 1515::MendelzonMM96 185::rtdb ::books ::Rsch 
Specialization::KatayamaS97 Brantner::Condit Yip::Mikkel ::15310272 ::ChenOR08 
ChenDZ06::646 PapakonstantinouGGU95::AgrawalIS93 Barton::OGormanAA02 ::DelcambreMBDWGALL01 ::BoberC92 
22850217abs::1043 4497462::Management Wendy::55 ::15310490 ::4497565 
Geerts::Importance 1146::Balke Editor::Fegaras ::4497483 ::Eugene 
351::Spannagel Nan::Factorization Lamport78::IvesT08 ::Coupling ::ThuraisinghamHRM98 
4497503::4497635 Okcan::German 15310176abs::Thomas ::30 ::Rajan 
temporal::Sensitive 4497418::CormodeIKM02 pe::Multimedia ::Hoel ::EllisG89 
Method::Yunjun Malkemus::Networks Spiros::Marko ::SchroederHIN06 ::22850927abs 
StonebrakerC05::Delivery ChristophidesCM96::Networked 914865::SCADDAR ::Zina ::Chen05 
Partially::Subrahmanian 4497611::HammerST05 4497429::Anup ::815 ::lisa 
Motwani::Batched Rui::410 Krkkinen::Franoise ::SchroederHIN06 ::4497470 
Software::Interactive Ghaffar::Suresh MohanPL92::914859 ::Damianos ::Aggarwal08 
Ying::Replacement Made::Ramez Disparate::Guting94 ::22851141 ::Pfoser 
Mukesh::QiaoIAA06 22850159::SaltonG83 GuhaKSY06::HuhtalaKPT98 ::Fu ::DBXplorer 
MannilaT97::Biased Carsten::1095 ReSF06::Freeston87 ::CobenaAM02 ::Grobelnik 
GeertsKM06::15310331 Joan::Salt 22::Jerry ::X06 ::jacm 
22850578abs::Master 22851124::15310245abs Yi::Sharing ::Ouzzani ::Aliekber 
146::Abdel Roy::P324 RDF::MeltonS93 ::Jonker ::LiLHC06 
Charging::Sadhukhan Tomography::future gis::Declarative ::inproceedings ::mta 
Estimating::Bernedo Meta::Optimized Evaggelia::View ::Operators ::Takegawa 
1460::Map AmzaCZ05::Arie 1539::Muntz ::Subscribe ::1209 
Ertl::22851100 4497555::HershbergerSS06 BouganimDV96::KatayamaS97 ::bda ::GoldbergR83 
Jignesh::416 SrivastavaHMKT06::1126 Chita::Prakash ::227 ::154 
Onizuka::Schemas sp::Deletes Traina::Leymann97 ::Optimal ::Neel 
GoldbergR83::Junghoo MannilaR86::Pui Narasayya::Boat ::HwangCZ08 ::JeungLSZ08 
Il::Among Locality::465 Fuxman::BertinoOYD05 ::Pervasive ::Georgiadis 
Be::Caching LeslieJBY95::Davide Ghafoor::4497417 ::HwangCZ08 ::4497497 
DaynesC01::bncod 635::Stephen 22850545::4497516 ::Grandison ::pe 
SAN::433 Roussopoulos::Korolova 1170::Unstructured ::Ooi ::Ln 
GriffithsFPJDM05::COSTA 914870::534 4497600::Crime ::Ravi ::641 
Dyreson96::64 StonebrakerK91::Previously Filippo::nwosuTB96 ::MartinGH08 ::Koch 
Peers::Semantic Warehouse::ZhangCMS97 Zuzarte::1366 ::Opportunities ::646 
4497614::P342 Howe::Hyon Seeger::P209 ::Emeki ::ddb 
ChenGK05::49 DaWaII::Mahmood MotwaniNT08::StodolskyGH93 ::YouPL05 ::497 
QuassRSUW95::Milena 486::Coherency Jim::4497443 ::NakamuraAOS93 ::COLR 
with::ShenSYZC06 Hacigms::Silberstein OptimAX::Position ::Donghui ::97 
ProcopiucS08::Billing 767::OgleS95 Id::99 ::Vineel ::MogiK96 
MachanavajjhalaGKV06::Linear 4497403::Bhide TaninHS05::Duan ::15310001 ::Participants 
SrikantA95::GongYQZ05 Shetal::15310503 Freiwald::XPlainer ::BadrinathR92 ::HanFWCGKLLRSXZ96 
Gounaris::Masayoshi Pawel::hoc 4497404::MetaQuerier ::AgrawalAS93 ::XiongMA05 
Mortazavi::Integrity Commodity::Park Rainer::Bosworth01 ::153 ::577 
AmzaCZ05::Adjourn party::Products Pipelined::deSign ::583 ::Reducers 
Kollios::Improve Vanitha::large JagadishMS95::Cluster ::Keijzer ::154 
22850547::592 Hartmut::1406 GutingZC89::4497597 ::MOOLAP ::SteenhagenABB94 
501::Imperatives Keim::Quantiles Harinarayan::Stonebraker86 ::1393 ::OLAP 
342::Ariel HenrichSW89::566 Evaluating::631 ::Immerman87 ::driven 
Calders::Lun 927::Lieberman 852::22850680abs ::Spatiotemporal ::MED 
153::von Cart::Bill SistlaYLL95::Cristian ::Coarse ::Bassam 
Yafei::Koloniari Visualization::Ning 139::DCbot ::Area ::22850157abs 
Ivan::Thatte JensenSS94::4497613 HershbergerSS06::Indrakshi ::TAR ::83 
Randal::914858 Versus::1476 Paloscia::Mutsumi ::Haritsa ::Pseudo 
Dinesh::Marcelo BilirisO93::WuB97 Doan::286 ::ZouSL98 ::Harald 
Fathima::134 Dongwon::LiLL08 P154::Asonov ::P054 ::Ferrari 
Transaction::Usama Le::Concept Alternative::Portal ::1357 ::Process 
Jennie::Pfoser 1092::607 Automatically::YuPK05 ::543 ::Koloniari 
BohannonFRS02::1512 1340::Malicious LiLH06::ArefCEFGHIMPRTTTVZ02 ::1548 ::Tolani 
Jianyong::pages Rosaci::Processors Z::Reducing ::Hoel ::P324 
OrensteinM84::1355 Predator::Peery Sanjay::EsterKX95 ::Kalogeraki ::Exploration 
Historical::4497472 DesphandeGMH05::Siberski Binnig::4497397 ::Domain ::BabuDM08 
Approximately::P254 Pucheral::Trends Rajaraman::column ::Estimators ::Was 
Kha::Koutrika 4497487::PatonDWCDJ93 Akinde::Constraint ::15310593abs ::SmithC96 
15310453::GohMS94 Extracted::Leymann95 Conserving::Nick ::Win ::Kornel 
4497598::Shmueli Qingchun::Doulkeridis JadavGL97::Goldstein ::Sichun ::StreamingWindow 
22851133::ph 914864::Multivariate Yahia::229 ::ChaudhuriGKLLM98 ::Reification 
Elizabeth::Kaname Approximately::Toshinari Speed::Networked ::Huaiyu ::993 
Q::Push 190::compcon Olga::Kendig ::MohanLO86 ::Pearson 
Christina::Rundensteiner Helen::Le BerchtoldEKKS98::Akiko ::Larson ::503 
Nambiar::15310265 processing::jodl PalopoliTU01::103 ::Chengyu ::22851100 
1035::1474 Taylor::Guido Grzegorz::Sven ::MDL ::Sandra 
Wilfred::Balazinska SegevF90::Xianghong 873::Clean ::Bonchi ::Checker 
Knig::VlachouDNV08 Resources::AnciauxBHPA08 ssd::Alberto ::892 ::Improve 
Louiqa::Integrating 118::Buffering Leung::Stonebraker ::MegalooikonomouWLF05 ::Piotr 
445::Danzhou Ellmann::MolinaGS96 Tim::Edoho ::isci ::Virtual 
Zaane::AmzaCZ05 YFilter::Songting FarragO89::350 ::Zhuge ::Renz 
Clemens::DBMSs RaoM06::Enabled Heinlein::BayardoA05 ::15310271 ::Wiederhold92 
Obermair::Panagiotis Arbee::Vaisman Summarizing::22850490abs ::Hyong ::126 
LiuYCW08::AbiteboulK89 Lisa::Zoupanos LakshmananSS96::Fishman01 ::MyllymakiL95 ::Spatio 
Amit::Substructures 22850285abs::P276 Constant::Khoussainova ::Marcelo ::22850155abs 
WangR91::Intersection 236::Application Blocks::Chandel ::Mediator ::4497398 
Qing::1352 1447::4497608 CarterBZ91::Aaron ::Vijayalakshmi ::Kamesh 
BrakatsoulasPT05::Prediction Bertk::Suri Liedes::152 ::StolteA02 ::Telecommunications 
Geometric::15310485 Schiefer::BestPeer Fang::Freeston95 ::Ngai ::27 
Clustered::Ching Himanshu::Dirk Janne::Configurable ::LynchS88 ::22850576 
Disclosure::Musicant BohlenBJ98::Group87 Martin::Rezgui ::Snodgrass ::Twig 
1340::Moving 15310064abs::Neoklis Miled::Chong ::686 ::Antoshenkov92 
Anonymization::Ailamaki 42::AfanasievGMRT08 SPP::Temporal ::Prasan ::1486 
P086::Changqing Conscious::LieuwenD92 Periods::Maintaining ::Every ::Weld 
Dogac::Discriminative Bongki::Mukesh Kevin::323 ::Provide ::Volatile 
Marios::Latha Convoy::668 Partitions::ParkKL01 ::ChenDN02 ::Columns 
Jrme::Jianyong Gruber::LeuteneggerL98 Freiwald::Locking ::Integrity ::Mirit 
Khaled::Spreadsheet Carson::22850324abs Revision::CLICKS ::535 ::NodineZ90 
LittleAFGRSV93::967 Mark::GovindarajanMV06 Compressing::MukherjeeRS05 ::Hacigms ::BorgBGHO89 
Samaras::PetitTBK96 Jeonghee::Liuba BehrG05::Graph ::OomotoT93 ::Summaries 
PGM::EvdokimovFG06 KriegelKKRS08::RooholaminiC95 BargaP95::HirataHTK96 ::ADEPT2 ::PaduaW86 
405::dke GyllstromADI08::HuangSW94 Watson::Autonomous ::PagelSTW93 ::Oliver 
1145::RaoLLPS01 Ouzzani::754 BenatallahSND02::873 ::End ::ssdbm 
4497412::GrayCBLRVPP97 Chen05::22850878abs 1631::Molina83 ::Value ::Ka 
Scalability::Petkovic 1348::Burdick Shift::Arai ::105 ::Engines 
815::Extensible pdis::RAIDs Heikki::Mayfield ::GPIVOT ::Rishi 
Trade::PeiHL01 MONDRIAN::NambiarK06 Cross::499 ::Rajamani ::Poulsen 
RajaramanSU95::Recently Tradeoffs::BrinkhoffKS93 Sarma::1400 ::4497530 ::Orchid 
Sakuma::Pushpraj ChonAA02::71 icdcs::Dayns ::Regnier85 ::Trial 
967::991 Xiang::KumaranCH06 Telecom::Daxin ::Bloom70 ::Program 
Mostafa::Centric CormodeIKM02::Effect LiSR92::498 ::Different ::BrakatsoulasPT05 
SchmidtJS06::417 AliCKR08::50 LiOW08::323 ::Reification ::Prefetching 
22850459abs::Available Skeen02::Win Bhalotia::Yuen ::764 ::Toon 
Sridhar::Definition Down::Lived Watanabe::Qigang ::4497594 ::22850155abs 
Shanmugasundaram::Right Periklis::Carey Analytical::939 ::4497460 ::Ziarko91 
Level::Nuwee 1327::Stream Seltzer::914863 ::Zeng ::992 
Leong::Nikolaus Freiwald::Bhalotia Format::NtarmosTW06 ::Silva ::P446 
CandanPS96::Ruddy Denzel::Nasi Re::Sanghyun ::Members ::SketchTree 
SUBSKY::DunnDDS02 Transformations::Tucker Party::SeltzsamGKK06 ::Records ::Avoiding 
1266::Schemes ChenLGKP94::Boulakia Gehrke06::Objects ::1114 ::Milano 
Djafri::Loading Azar::LimB08 Transportation::823 ::Wireless ::ChongDES06 
ShivakumarG96::914813 BaralGS98::Quanqing 4497500::QiaoIAA05 ::Copy ::Qixiang 
BohmK01::X06a to::Cubes JensenLOZ06::Leung ::Yanjiang ::465 
DakkaI08::LiOW08 601::615 P252::Sotiris ::StonebrakerK91 ::BorzsonyiKS01 
Andrew::Sarbanes 417::AgrawalAS93 Keulen::KornackerMH97 ::Meichun ::4497547 
00::Ljosa Attributes::Negative Histories::SistlaY96 ::Schroeder ::Shukla 
Soccer::Papakonstantinou Alexander::Participants Yalamanchi::190 ::StoumposDKD08 ::Rezgui 
22851120::967 Rao::Nishio DSI::Diego ::Past ::Lychagin 
Conor::Sun 189::Reverse TORPEDO::Bases ::Muhammad ::Gadia86 
Hanson87::576 Oguzhan::22850533abs 218::Dou ::Fuzzy ::Zhiming 
SG::524 Mic::Dieter Iyer::Barbara ::MeltonS93 ::Prcis 
Regular::Xuegang StearnsR81::Partitioning FukudaMMT96::22850576 ::Twee ::255 
1144::Wing Pathak::Speed Sample::Degradation ::BachFGHHHJS96 ::Cattell96 
Class::Dhamdhere LivnyRBCDLMW97::Salka Eavis::Dimension ::Jerry ::CruzALRZ97 
Karlsson::EffelsbergH84 zsu::Chien 298::Agma ::577 ::1100 
616::for 914825::Loredana 22850576::Wolf ::Anil ::DeRoseCGSDBZ08 
Equi::125 toWeb::Whose Labeling::AttieSSR93 ::Thomas ::1139 
Family::1498 Checker::Deep SketchTree::Surface ::High ::JiangAC05 
PageRank::Mariano KimCD05::Strong 138::Il ::SuWL06 ::McCann 
GuoSBS05::Declarative Lynch83::Daniele Madhavan::Chalamalla ::Database ::P182 
22850357::LeymannR97 Authority::4497611 Shuyu::914809 ::Patterns ::Salt 
Lieuwen::Exploratory LiC98::Zhaohui Franois::Bonifati ::1500 ::Meets 
VeeSSBA08::Das Traffic::Banaei PhanL08::cp ::Mullin90 ::LinYWL05 
ECA::KornMW06 Transportation::Yiming Mamadou::FLAME ::Jonas ::Automating 
HwangCZ08::Evaluating Terzi::188 217::957 ::Watzke ::ChaudhuriGKLLM98 
Weiping::15310337 1179::GareyJ79 Bedell::SavasereON98 ::Telecommunications ::LeeMCC02 
Alvaro::1366 Mirco::Akiyoshi elmagarmid92::ks ::Dimitris ::Media 
1412::Farhana journals::Subbu 778::253 ::Ravi ::Marzouk 
Ending::Tang MalikBC05::AlonsoC05 1483::Indicators ::HolsheimerKMT95 ::Sidle 
Vrhovnik::Sebastian 4497462::Cochinwala Wynne::Approach ::Navigation ::Almeida 
Grzegorz::Stefani ShethR93::DescribeX GaoZCLLC08::Jiexing ::journals ::OLAP 
YiN05::Cleaning Common::Answers Muthukrishnan::Cunningham ::Grosky ::Hector 
EROCS::Preda 256::EsterKX95 DengDRZ08::George ::Ong ::Crawling 
Haifeng::Behzad Protocols::Machine Grzegorz::Qian ::22850767abs ::Ramakrishnan 
Exploiting::Mary KolliosGKB01::Elhadji 4497539::Hui ::Places ::Marcin 
Jure::342 Cherniack::WilkesGSS96 Spreadsheets::Morishima ::4497574 ::Demand 
Muthukrishnan::KhoussainovaBS08 Terminological::KumaranCH06 Zurek::Event ::4497398 ::Construction 
Qiang::Ferhatosmanoglu ONeilWFCM98::BehrG05 Taming::Extension ::ShaoNS05 ::Xiao 
Xiaofang::Everyplace Maps::4497631 Representing::PapakonstantinouAG96 ::235 ::Muhammed 
Developing::ChenLGKP94 Fixed::Stanislav 914825::Manikutty ::Neighbors ::Tan 
137::1111 Online::Zhengli Chendong::1219 ::Hector ::15310685abs 
Made::Xie BorzsonyiKS01::HarrisonD92 Koki::PnP ::4497472 ::Cart 
XStream::Inderpal 5::JainDG08 Cooperative::Swaroop ::Operation ::410 
Link::Patricia List::NguyenKF08 Dittrich::549 ::Generalizing ::AgrawalS96 
KeijzerK08::Abdelmounaam 1116::456 914877::JeungLSZ08 ::843 ::Prakash 
Mi::Junyi LeungMSVVZ93::4497555 390::4497560 ::Ramkumar ::22850355abs 
Shetal::HwangCZ08 KobayashiLKWY05::Ponnekanti Chin::Chiusano ::PeeryWMN08 ::8i 
1445::Explicit 4497545::Calders 337::Wensheng ::3D ::DeWittKLPY94 
ATLaS::Dennis Bilke::Structural Shojiro::ChengXPS05 ::HwangCZ08 ::Ravada 
Vlachos::LuVA08 Boulakia::Vladimir 4497616::Marc ::AslandoganTYLN95 ::Szabo 
P599::CastellanosC05 BryanEF08::Deshpande Kshitij::Gyu ::MannilaR94 ::EppingerMS91 
Community::Oriented 10010173abs::NeumannHM05 Bart::Klinginsmith ::Gyu ::DayalHL91 
Ordered::Procedures 22850549::Growth Filling::Abdel ::Jagadish91 ::Multi 
Ferri::icde2001 1001::852 Qiao::Mixing ::1033 ::99 
Stoumpos::Erdem Trajectories::KumarLMT08 Bhide::Rank ::495 ::Qingchun 
Christos::TrombettaJBB08 Federated::Songyun 1454::4497458 ::Tripod ::Pietzuch 
Hongjun::Draper Execution::toms 914812::Mauroux ::Non ::AlexeCMT08 
