::Stocker ::KappelS91 
::Abowd ::393 
::Kotidis05 ::X05p 
::Snapshot ::Yanlei 
::SelingerACLP79 ::241 
::Hae ::Interpretation 
::Chendong ::Reorganize 
::Descour ::12 
::914861 ::270 
::KarsentyB93 ::445 
::Filling ::22851024abs 
::Relationships ::Atsuyuki 
::Bitemporal ::Cable 
::IdreosTK06 ::Tassa 
::914828 ::Alomari 
::d ::Katayama 
::Ryan ::Serializability 
::914873 ::Giannotti 
::Digital ::Bhalotia 
::BrunoGM02 ::YiuJHL08 
::Johannes ::Safeguarding 
::Lizhu ::Kornel 
::YaminiG05 ::4497517 
::4497447 ::Co 
::Jennie ::SistlaW95 
::SalzbergT96 ::316 
::1132 ::Telcordia 
::PatonDWCDJ93 ::Agrawal 
::AlonsoBPHK01 ::KriegelKKRS08 
::LometT95 ::WongA85 
::TaoPZ02 ::4497618 
::Hoare69 ::VrhovnikSES08 
::Chawathe ::452 
::22851084abs ::Discriminant 
::BergD95 ::Selection 
::Array ::DanDY91 
::OptRR ::914844 
::Grabs ::37 
::SistlaYH94 ::Bianca 
::Sudarshan ::4497410 
::Batra ::Rau 
::Pinar ::Ramasamy 
::Qixiang ::Specific 
::1023 ::VeeSSBA08 
::CluetD92 ::Ahn 
::KreplinZ01 ::Kollios 
::SaveRF ::Paths 
::Immerman87 ::75 
::P412 ::BreitenederGT92 
::Howe ::90 
::Pankaj ::Yuanyuan 
::4497541 ::158 
::Syntactic ::552 
::Composite ::Interpretation 
::Combining ::P134 
::410 ::Chaplin 
::Multilingual ::Elmagarmid 
::Tuning ::Badillos 
::Cubes ::Haojun 
::Visibility ::Sugata 
::4497503 ::MeoPC96 
::Kahn ::The 
::Weikum91 ::Jigsaw 
::Al ::4497547 
::490 ::X05o 
::W ::Tarik 
::AgrawalS94 ::Simplicity 
::Katayama ::276 
::Jaber ::Come 
::Markos ::Jindan 
::ER ::4497636 
::Sreeram ::Yuelong 
::22851001abs ::Environment 
::Franklin ::Multidimensional 
::Konrad ::Bart 
::Virtual ::StreamCorder 
::1131 ::457 
::P126 ::10010121abs 
::Margaret ::Properties 
::Schiefer ::Xu 
::AdibaL80 ::Huaiyu 
::Expensive ::Partial 
::Hypermedia ::1083 
::15310279 ::Alon 
::4497427 ::Korn 
::Software ::380 
::KaushikSBG02 ::IndexFabric 
::Sihem ::Nabar 
::294 ::Reification 
::519 ::Jinze 
::Rabinovich ::227 
::DoanH02 ::Shuigeng 
::1249 ::30 
::Useful ::Gokey 
::Importance ::Rost 
::Arumugam ::Graphitti 
::XieYCWY08 ::149 
::tkde ::Sichun 
::Bogdan ::1124 
::YiLHKS08 ::4497473 
::Physical ::Jr 
::Dhruv ::Diagnosing 
::BrakatsoulasPT05 ::Cai 
::1580 ::Xiaoxin 
::GryzSZZ01 ::once 
::15310419abs ::4497566 
::icde ::252 
::SegevF90 ::253 
::VaradarajanHR08 ::CallanLC95 
::LuVA08 ::Schoning01 
::Platforms ::Basket 
::Alberto ::CastellanosC05 
::Improving ::Bentley75 
::Schning ::625 
::15310383abs ::1595 
::GardarinST96 ::The 
::93 ::Indexed 
::Hong ::Identifiers 
::Lomet ::Aameek 
::El ::1471 
::234 ::LindsayMP87 
::Tilo ::XQSE 
::Yibei ::KahveciS01 
::4497572 ::TelegraphCQ 
::PetkovicZBJAWK02 ::Subbu 
::WilschutFA95 ::1061 
::655 ::Laboratories 
::Shivakumar ::ChanG85 
::Koustuv ::Concept 
::22850422abs ::Valduriez93 
::Kwok ::84 
::18 ::HeS06 
::JiangVBCB05 ::Milind 
::Abul ::Kementsietsidis 
::Nie ::Milind 
::15310498 ::Neumann 
::Among ::KamelF93 
::VLEI ::Enhanced 
::Sven ::Augsten 
::BanerjeeC98 ::Palios 
::Miss ::Devices 
::P370 ::Alper 
::Medical ::GrustKGHS97 
::62 ::4497508 
::411 ::DayalHL90 
::Boedihardjo ::Alexander 
::Flood ::Conceptual 
::FegarasM95 ::Gone 
::Joseph ::Simple 
::Cui ::RDBMS 
::22850693abs ::WolfsonCDJM98 
::823 ::BrinDG95 
::Shawn ::Bogdan 
::Shao ::HeinzKRS08 
::ai ::Mayur 
::Henrich98 ::Jenkin 
::Kasneci ::Soo91 
::15310274 ::Mitchell 
::54 ::Zhao 
::Large ::Mitch 
::Fuxman ::P402 
::Cochinwala01 ::104 
::ConsensRV08 ::Batched 
::Correction ::Rys 
::Cloaked ::802 
::162 ::Series 
::22850916abs ::DeshpandeH02 
::Lychagin ::257 
::AggarwalY08a ::Filter 
::HacigumusMI02 ::GaoHPSA06 
::Workloads ::1103 
::BonifatiBCC02 ::HampapurJW95 
::PC ::499 
::Windows ::Smalheiser 
::277 ::298 
::Musicant ::KrauthgamerMRR08 
::Suresh ::ebXML 
::525 ::LianCY08 
::column ::Xifeng 
::1439 ::Outsourced 
::XiongMA05 ::4497477 
::Tadashi ::Giuseppe 
::592 ::nato 
::Bounded ::1170 
::Xingquan ::268 
::Interval ::Howe 
::Leymann98 ::15310498 
::Lot ::Latency 
::Officers ::793 
::Leutenegger ::Daniela 
::Anand ::Xin 
::1489 ::22851106 
::Gaurav ::Invariant 
::RoussopoulosKV95 ::AgrawalAKL06 
::Oguchi ::Ding 
::Beyer ::SlidingWindow 
::Source ::Serializability 
::716 ::Galt 
::914871 ::Answer 
::DengSXL06 ::Organization 
::Amarnath ::Antova 
::ChengCMC08 ::ThuraisinghamHRM98 
::15310279 ::169 
::Tsotras ::MANETs 
::BonchiGLOPT06 ::Stolte 
::Junyi ::Sikka 
::Frequency ::Lyman 
::Bruce ::Generalizing 
::ZhaoIG08 ::icdt 
::Era ::Rahul 
::Couple ::Limited 
::Krmer ::Schenkel 
::Xiaodan ::15310697abs 
::XSEED ::705 
::Crime ::914838 
::Anurag ::BeckmannKSS90 
::Stanley ::Zilio 
::Dilys ::GyssensLS96 
::Disclosure ::160 
::526 ::22850754abs 
::Marko ::Labeled 
::Denzel ::Fekete 
::442 ::WWW 
::1406 ::Yong 
::Migrating ::Garofalakis 
::Daxin ::1092 
::Heerde ::Werner 
::Aristides ::PeiHPCDH01 
::Jeffery ::AstrahanBCEGGKLMMPTWW76 
::Giorgio ::784 
::651 ::ChoR02 
::Server ::mash 
::Papadias ::Informative 
::Delta ::Orenstein89 
::Christophides ::GeorgakopoulosHM96 
::215 ::Confidence 
::Gawlick98 ::Bradley 
::1531 ::4497428 
::Idea ::22850680abs 
::Product ::Persistent 
::Roger ::16 
::4497451 ::One 
::1266 ::Maintenance 
::Ramasamy ::Kashani 
::via ::Denny 
::XCut ::Gustavo 
::Herlihy90 ::RDBMSs 
::4497609 ::OWL 
::micro ::Industry 
::Avigdor ::Ownership 
::GrayCBLRVPP97 ::vldb 
::Hailong ::BayardoA05 
::Performance ::Arun 
::Agesen ::Kumar 
::ConQueSt ::Alternative 
::Charu ::15310555abs 
::DBMSs ::982 
::LeFevreDR06 ::426 
::Damianos ::Dialani 
::501 ::Isaac93 
::Nobutoshi ::EppingerMS91 
::958 ::Integration 
::BayerM72 ::1379 
::System ::EffelsbergH84 
::MishraE92 ::Shen 
::LangOS97 ::SmithC96 
::325 ::ChenSZ05 
::22851118abs ::Ken 
::320 ::778 
::Tsuyoshi ::Madhavan 
::Ranganathan ::4497608 
::Jeong ::Su 
::Noise ::List 
::Cubing ::ImielinskiB94 
::KitsuregawaO90 ::Silberstein 
::ChengDNPKWAAFSSS97 ::RantzauM06 
::Balanced ::ZhangDH08 
::581 ::Buneman 
::Realization ::StromY85 
::1249 ::Times 
::GuptaMS93 ::PHASME 
::Ryo ::Partial 
::Byron ::Content 
::Holger ::RoschGL08 
::Gorman ::Kraus 
::724 ::Bajpai 
::Lee ::1083 
::625 ::Berchtold 
::25 ::Synopsis 
::1012 ::Knuth73 
::WolfsonCDJM98 ::Mauroux 
::RX ::Eavis 
::465 ::Obermeier 
::Threshold ::Environments 
::Yiming ::Freeston95 
::Antoshenkov93 ::Xueyan 
::HammerST05 ::Bertk 
::Coarse ::Roberta 
::ObermeierBHCS08 ::AlonsoBPHK01 
::183 ::XiaZ06 
::speak ::ZhangLW08 
::Shim ::GedikWYL08 
::Koutrika ::256 
::22850705abs ::Antti 
::Kashima ::Yongluan 
::1099 ::Made 
::Jiang ::Atallah 
::227 ::XPath 
::300 ::bncod 
::Panella ::Strategies 
::Weining ::Sikka 
::VaidyaC05 ::External 
::Ullman97 ::Friedman 
::ChanFGR02 ::HasanM94 
::Mostafa ::22850415abs 
::BinnigKLS08 ::716 
::Quantitative ::P086 
::Andrzej ::Characterizing 
::Kit ::Siberski 
::Gupta98 ::Videos 
::Susan ::Ashwin 
::Ong ::Xiaochun 
::XDS ::Recommendation 
::Ming ::Muralidhar 
::Mikhail ::Kanoulas 
::BurdickCG01 ::Trasarti 
::ZouSL98 ::Xingquan 
::LinJF94 ::LiuP98 
::22850742abs ::Provide 
::484 ::Ling 
::UDB ::1115 
::Operation ::Spiekermann 
::Melnik ::Azar 
::587 ::Fayyad 
::Dayal ::914878 
::Iida ::22850193abs 
::Framework ::Predicate 
::Flip ::506 
::Zhen ::Elisa 
::P522 ::Commodity 
::Compressing ::Analyzing 
::Bressan ::Goel 
::Inventing ::Arif 
::Juha ::828 
::elmagarmid92 ::Oguzhan 
::Gyu ::Anciaux 
::22850717abs ::4497573 
::R ::Alps 
::mm ::Wilson 
::32 ::Domain 
::1319 ::Realization 
::Susan ::Beckmann 
::LinJF94 ::SemCast 
::354 ::P 
::Berners ::DeWittKLPY94 
::Gupta98 ::22850254 
::Tirthapura ::Jaffar 
::Environmental ::Houman 
::Lars ::Vikram 
::CareyDFHMNSSTTWZ94 ::Split 
::Bajpai ::Improve 
::Weiping ::Jeff 
::863 ::Joshi 
::Condensed ::Tassa 
::Kamath ::Arnd 
::Punctuation ::Chun 
::Watanabe ::Jaber 
::15310327 ::457 
::Gao ::Ramamirtham 
::Distributed ::Lavelle 
::edbt ::Shi 
::P476 ::Azar 
::MalikBC05 ::Rule 
::algorithmica ::Good 
::Fudos ::Bhattacharjee 
::Schumacher ::Ander 
::Colors ::MohanAGK95 
::Overlapping ::190 
::TungHH01 ::9 
::Vectors ::Jinze 
::Applications ::Kristal 
::22850285abs ::P209 
::4497504 ::705 
::Neighborhood ::Scheuermann 
::Damdinsuren ::BestR85 
::Convertible ::Manfred 
::Views ::LeeHL08 
::1393 ::OwickiG76 
::Elke ::GruenwaldBP06 
::Joon ::Compact 
::ArefS94 ::Agents 
::Design ::SchekPSW90 
::Shubha ::Charu 
::XinSHL06 ::Marcel 
::Ramasamy ::Extended 
::185 ::Govindaraju 
::Hoffmann ::Resolution 
::10010661abs ::Boulakia 
::KashaniS08 ::Resources 
::Internet ::HanFWCGKLLRSXZ96 
::Packets ::Bravo 
::Eenjun ::ChawatheGHPUW94 
::735 ::Diverse 
::AbererH02 ::Searching 
::Carson ::Hutchison 
::Multimedia ::15310264 
::Shrira ::Scheuer 
::1393 ::322 
::4497612 ::Scientific 
::Fishman01 ::Traina 
::Das ::22850322 
::Cranston ::PatonDWCDJ93 
::607 ::GhaffarA97 
::257 ::is 
::JinXDW02 ::Intuitive 
::914869 ::Elmasri 
::Ludscher ::Bedell 
::K ::Cyclic 
::avi ::Mohammed 
::Processing ::Wensheng 
::Be ::RoussopoulosK86 
::362 ::Mukhopadhyay 
::HellersteinNP95 ::Algorithm 
::DeRoseCGSDBZ08 ::Tuning 
::Jiying ::AgrawalS96 
::GreifSW86 ::Paolo 
::WangZZ06a ::HellersteinNP95 
::466 ::Raymond 
::IshikawaSKMMIAY93 ::Yunjun 
::Narayanan ::Jianyong 
::Bernhard ::Fractal 
::Recycling ::Distance 
::Block ::22851048abs 
::645 ::Global 
::Sameer ::SampleCFHSC02 
::SeegerK90 ::4497635 
::Fischmann ::Galpin 
::Condit ::Correctness 
::Space ::Rainer 
::FaloutsosB93 ::Radeschutz 
::Ordered ::914861 
::Vana ::Ixent 
::Content ::Kishan 
::Fabret ::Relational 
::Authority ::BayerM72 
::P164 ::Gal 
::DewriRRW08 ::RosenblumO92 
::Ailamaki ::616 
::Galpin ::178 
::Guttman84 ::Morse 
::22850131abs ::XPaths 
::215 ::Christopher 
::Estimation ::Collections 
::Ralf ::Enforce 
::SinghKG02 ::Accessible 
::jsac ::Djafri 
::ChakravarthyM94 ::OptimAX 
::Guohong ::165 
::KhalefaML08 ::MANETs 
::BakalovT08 ::Boncz 
::ChawatheG97 ::261 
::Lightweight ::Idreos 
::Nakamizo ::Verma 
::81 ::4497546 
::BeckerHF93 ::BentleyF79 
::DBLP ::Rich 
::Simoudis98 ::4497601 
::Specification ::Augsten 
::Murat ::MahajanDNAM98 
::1619 ::993 
::4497417 ::Amitabh 
::BhideDD93 ::P069 
::1513 ::Shiyan 
::Chakrabarti ::Wouter 
::914828 ::Rau 
::Frequency ::2005 
::LiaoLL01 ::CareyDNAGS97 
::Anti ::fodo 
::SECONDO ::AgrawalAKL06 
::Latency ::Gonzalez 
::Scheuer ::Reference 
::Alonso ::Grouping 
::PoosalaIHS96 ::Felix 
::577 ::Chrysanthis 
::CaoCFT08 ::1348 
::282 ::John 
::db ::22851013abs 
::MAPLE ::Braga 
::Ng ::Shouke 
::Molina ::4497461 
::Determine ::Yidong 
::DaynesC01 ::VlachouDNV08 
::Zabback ::ChaudhuriGK06 
::AssentWMS08 ::4497522 
::Stella ::Hacigms 
::Tuzhilin ::Zhen 
::Alessandro ::261 
::Deb ::155 
::Ferhatosmanoglu ::Bruce 
::King ::Expiration 
::GuptaHQ95 ::Loops 
::Lookups ::HammerST05 
::Manuel ::Relative 
::22851140 ::Enabling 
::Flooding ::134 
::Hellerstein ::Capturing 
::Rasin ::LieuwenD91 
::22850619abs ::KhaYU01 
::Liedes ::deSign 
::Dadam ::Lipyeow 
::Popivanov ::EvdokimovFG06 
::Mostafa ::KonigN06 
::Raghu ::Henry 
::Unlinkable ::132 
::Bradley ::119 
::KorthKB88 ::Enabling 
::Debugging ::Kahveci 
::Facet ::Liu96 
::Surna ::ups 
::1489 ::515 
::ShenSCT06 ::Levandoski 
::ZhaoRTN98 ::Venkitasubramaniam 
::Balakrishna ::Masahiko 
::Praveen ::Leymann 
::4497560 ::Jain98 
::P252 ::500 
::Top ::Desmarais 
::Alex ::336 
::Grzegorz ::Chawathe 
::George ::Time 
::Estimation ::10010071abs 
::15310201abs ::Didi 
::Versus ::AndritsosFM06 
::Strict ::Satoh 
::1403 ::Shneidman 
::Mlivoncic ::Kazumi 
::AbiteboulHB99 ::Jim 
::1109 ::MalinAEL05 
::Narayanan ::Feng 
::1148 ::1530 
::Mumick ::Now 
::Hae ::Bressan 
::4497535 ::LeslieJBY95 
::Prcis ::ElmeleegyOE08 
::Denzel02 ::Videos 
::GuptaCG08 ::Deng 
::HornickZ87 ::LakshmananSS97 
::Dhamdhere ::309 
::Ngu ::348 
::Balmin ::865 
::Liu98 ::926 
::Vlachos ::ShiZ05 
::ConsensLO06 ::Arjen 
::BonczKK96 ::Chiusano 
::15310263 ::P458 
::Dayal ::4497570 
::List ::Manolescu 
::4497434 ::Kasthurirangan 
::Yidong ::Datar 
::15310697abs ::Edoardo 
::Yuni ::Fuxman 
::King ::Gulbeden 
::914844 ::MorsePG06 
::SECONDO ::Sanjoy 
::Vu ::Ji 
::Archetypes ::4497587 
::DeRose ::sigir 
::Loosely ::PopivanovM02 
::2285 ::Guang 
::Bin ::168 
::640 ::CLICKS 
::Schemes ::Tracking 
::914848 ::Vikas 
::Prado ::Oliver 
::Similarity ::AgrawalCD02 
::4497434 ::Amol 
::Markus ::Sudipto 
::Domenico ::1013 
::Spiekermann ::1199 
::Wenxin ::DanielsSHLMWW82 
::Crowd ::531 
::Vee ::45 
::QiaoIAA05 ::Arbee 
::sebd ::1384 
::Valduriez ::Marx 
::1603 ::ChiuehP05 
::Ramakrishnan08 ::22850841abs 
::Tiancheng ::Source 
::Gehrke ::Chalamalla 
::JinA06 ::Selecting 
::Stonebraker94 ::Annotations 
::4497467 ::over 
::Abul ::Delta 
::Memoriam ::Lieuwen 
::efficient ::Peiya 
::Containing ::Guohong 
::Ganesan ::Lois 
::Kantarcioglu ::84 
::4497524 ::1385 
::1358 ::Arasu 
::Time ::Christina 
::Minghua ::97 
::Utilization ::Tightly 
::IvanovaKN08 ::Roy 
::668 ::Super 
::Browsing ::Runtime 
::Consistent ::Knuth73a 
::916 ::4497570 
::22850576 ::656 
::Push ::AcharyaGJKST08 
::Quantiles ::RastogiMBKS93 
::Integratio ::Third 
::LiC98 ::Down 
::Event ::MendelzonMM96 
::Error ::Traina 
::503 ::DIPBench 
::FudosPP02 ::15310483 
::Mao ::TaniguchiS05 
::Schwarzkopf ::JaberV06 
::22850521abs ::1515 
::Garofalakis ::Salzberg88 
::ChaudhuriKPS95 ::Yasin 
::Vassalos ::1370 
::List ::YFilter 
::Elements ::Shahan 
::Moerkotte ::ddb 
::Bates ::Krishnapuram 
::XuEKS98 ::We 
::Parties ::574 
::Ge ::P284 
::tm ::Qu 
::594 ::Aravindan 
::Richard ::Multi 
::What ::Tok 
::Accessibility ::Domain 
::BrantnerHKM05 ::22851115 
::Khuzaima ::aw 
::Ralf ::SampleCFHSC02 
::Per ::AbiteboulMZ08 
::Queries ::GuptaHQ95 
::4497624 ::BaralisCC05 
::199 ::PagelSTW93 
::Level ::Store 
::GuptaHQ95 ::Mirette 
::4497490 ::189 
::Zachary ::Road 
::Utkarsh ::1471 
::Sattler ::Differential 
::Managed ::aaai 
::1427 ::Nicole 
::Kapantaidakis ::P424 
::Gupta ::556 
::933 ::in 
::Moon ::Alone 
::22851106 ::Summarizing 
::Dalvi ::Cohen 
::Inseok ::22851149 
::531 ::Long 
::Denzel ::Estimating 
::Orenstein89 ::Guang 
::42 ::4497436 
::Learning ::Provide 
::Thaden ::Eberhardt 
::Molina02 ::WilkesGSS96 
::AutoLag ::Vinayak 
::relational ::Ramakrishna 
::Overview ::Stephan 
::ArefCEFGHIMPRTTTVZ02 ::LeuteneggerEL97 
::97 ::h 
::Behzad ::P578 
::AgrawalH05 ::Sequencing 
::Offs ::Weis 
::Margaret ::112 
::U ::Equi 
::NtarmosTW06 ::AikenCSW96 
::22850459abs ::4497420 
::Members ::Rahul 
::Pennekanti01 ::1349 
::P220 ::459 
::P046 ::Direct 
::485 ::Sharing 
::418 ::ChenR05 
::HwangBRCSZ05 ::Zhaohui 
::GalpinBJFP08 ::MartinGH08 
::Gang ::148 
::Sandeep ::Augsten 
::Kuwabara ::KoudasS98 
::MegalooikonomouWLF05 ::P602 
::Sovereign ::Exemplar 
::KornackerMH97 ::Amlie 
::granularity ::4497408 
::22850159 ::Surface 
::166 ::AlexanderR06 
::AggarwalY08b ::LeungMSVVZ93 
::Arun ::Tuzhilin 
::Fernando ::StockerKBK01 
::GreifSW86 ::Carlos 
::KoblerBCH95 ::4497575 
::Hae ::Third 
::de ::22850422abs 
::4497459 ::Pawel 
::Nimrod ::989 
::Message ::Meta 
::Rajan ::Rotem91 
::4497631 ::Exploiting 
::KornackerMH97 ::Dependable 
::ChenLGKP94 ::Uncovering 
::Samaras ::CNN 
::Muhammed ::Pirahesh 
::168 ::P046 
::Fuzzy ::LivnyRBCDLMW97 
::Mediation ::195 
::Eng ::Xiaochun 
::Cyrus ::P599 
::1101 ::Xueqing 
::Intelligent ::Graphical 
::ds ::Protein 
::Ketchpel ::1515 
::Zheng ::Communication 
::DasCWAS08 ::LSD 
::BonchiGLOPT06 ::Query 
::BonczKK96 ::Prodromos 
::Murali ::Workloads 
::Every ::Determine 
::Shurug ::23 
::1432 ::LinD98 
::563 ::Naughton 
::1342 ::4497444 
::P558 ::Cobena 
::15310272 ::P296 
::GruenwaldBP06 ::Wavelet 
::15310275 ::Garcia 
::Stucki ::963 
::Trombetta ::Arnd 
::Wrapper ::312 
::Venkatesh ::MittalHH01 
::Jure ::Shirani 
::Discriminant ::Sergei 
::KrishnamurthyI91 ::U 
::Storing ::HacigumusMI02 
::Form ::MaierS86 
::Yibei ::Mong 
::Panella ::AgrawalJKL06 
::BronczWK98 ::Haiyan 
::Zhen ::SchekPSW90 
::4497472 ::Sheng 
::Objects ::Rjaibi 
::4497621 ::Terms 
::DrapeauPK94 ::Neal 
::Zeeshan ::Piotr 
::22850186abs ::15310529abs 
::Boulakia ::852 
::Blakeley96 ::22850388abs 
::914852 ::Size 
::KornMW06 ::Qian 
::Scherzinger ::NguyenKF08 
::Map ::Loh 
::22851036abs ::Architectures 
::778 ::ROLAP 
::725 ::KapitskaiaTV97 
::Atluri ::XCluster 
::John ::proceedings 
::Filho ::Cochinwala01 
::and ::Federations 
::ShethR93 ::661 
::GraefeM93 ::Keijzer 
::Krauthgamer ::307 
::Andrea ::Fractal 
::22850193abs ::Hung 
::Shoshani ::22850978abs 
::MalinAEL05 ::137 
::914878 ::Columns 
::704 ::Tan 
::4497555 ::AyadNWS06 
::KauT94 ::Transfer 
::Masahiko ::Nectaria 
::Aduri ::GADT 
::Bloom70 ::TanGO01 
::COLR ::655 
::New ::Rajamani 
::HenrichSW89 ::Teoh 
::UDB ::Nina 
::Cong ::Guttman84 
::Farhana ::PuKH88 
::van ::Queuing 
::KrishnamurthyKN05 ::1 
::Govindarajan ::1579 
::Venkataraman ::Come 
::1375 ::142 
::Dewri ::414 
::22850459abs ::Riccardo 
::Yuxin ::Elfeky 
::Rizos ::596 
::4497473 ::Substructures 
::Lu ::Every 
::15310503 ::Ngu 
::Structural ::Eket 
::Shivakumar ::Interfaces 
::DeRose ::Quanqing 
::LoR94 ::Thaden 
::34 ::4497619 
::Rizzolo ::4497543 
::AslandoganTYLN95 ::594 
::Secure ::Multivariate 
::Elmeleegy ::Chasing 
::1354 ::Mario 
::stoc ::Storage 
::Schemes ::252 
::Estimating ::CluetD92 
::1072 ::Venkatesh 
::ChoR02 ::SemCast 
::Antoshenkov92 ::v8 
::1035 ::Mller 
::143 ::Renner01 
::TomasicRV96 ::Directed 
::914878 ::Ping 
::15310453 ::sosp 
::Haggai ::Detect 
::Reordering ::22850779abs 
::Zabback ::Milan 
::WuK05 ::Error 
::Semantics ::4497568 
::Lim ::Vasilis 
::Guoyu ::453 
::LakshmananSGK98 ::CandanHS98 
::NgR95 ::15310268 
::SaltonWY75 ::Ryo 
::Exploration ::4497405 
::Benchmarking ::22850324abs 
::ElghandourAZCBBZ08 ::Bhowmick 
::Box ::Rosa 
::914854 ::is 
::Availability ::Vikram 
::Kendig ::Varied 
::Workloads ::Sakurai 
::Houle ::Midflight 
::356 ::Andritsos 
::BhowmickP06 ::Fusheng 
::MehrLLS08 ::Device 
::EdmundsMSS05 ::P558 
::4497515 ::4497420 
::22851144 ::Directions 
::User ::Mirco 
::P542 ::DeligiannakisSKVD08 
::Regions ::SchmidtKW01 
::Volatile ::1306 
::ZhouYGCD08 ::Qiang 
::Pedersen ::Koutrika 
::LiBRHCN05 ::Ken 
::118 ::dpds 
::Tsuyoshi ::YiuM06 
::Mutsumi ::Weihl88 
::Taylor ::4497398 
::Aristides ::Scalable 
::Miller95 ::Labels 
::Remote ::914859 
::Soloviev93 ::mit 
::Farnoush ::793 
::Ilyas ::Jeyashankher 
::4497464 ::Ordering 
::914876 ::Design 
::Mark ::673 
::586 ::DayalHL90 
::Bestavros ::4497420 
::Naughton ::Morse 
::4497428 ::GraefeM93 
::Algorithms ::ChenLL08 
::Xuegang ::HP 
::widomC96 ::Tradeoffs 
::1576 ::Watzke 
::15310485 ::Sarvjeet 
::pdis ::ROL 
::WuAA02 ::82 
::MalinAEL05 ::Fred 
::Vetle ::PapadiasT97 
::Salka ::Rsch 
::Atluri ::Assessment 
::4497440 ::Documents 
::4497508 ::Satoh 
::1619 ::WangZZ06a 
::KitsuregawaO90 ::4497532 
::Yuanyuan ::684 
::Vehicle ::Location 
::Anthony ::ShethL90 
::Gertz ::22850841abs 
::TaoXLZ08 ::ArefS94 
::CareyFLS91 ::Yihong 
::Xia ::Low 
::PatelD96 ::Processing 
::LiLL08 ::P241 
::Noise ::SrivastavaHMKT06 
::51 ::Kimutai 
::KimP88 ::Yuen 
::Wiederhold92 ::Alone 
::Chee ::Diverse 
::MeltonS93 ::ChakravarthyM94 
::Evaggelia ::Ioana 
::Cochrane ::or 
::Navathe ::Hammer 
::617 ::Systems 
::Fegaras08 ::Documents 
::526 ::Idreos 
::ChenOR08 ::Outsourced 
::Seshadri ::Manjhi 
::Keith ::NieWWM06 
::HarrisonD92 ::MishraE92 
::SilbersteinHYY05 ::Mitchell 
::914819 ::1297 
::Editor ::Traffic 
::Convoy ::Approximate 
::Balaporia ::MozafariTZ08 
::Kimball96 ::1023 
::IvesT08 ::Ashish 
::Shrivastava ::1421 
::Riedewald ::Pudi 
::1357 ::Zahir 
::Arai ::Boualem 
::22850816abs ::673 
::418 ::TORPEDO 
::WhangKW94 ::1423 
::Large ::1438 
::P380 ::Represented 
::NetzCFB01 ::101 
::P069 ::P316 
::Zhai ::Philippe 
::networks ::22851133 
::Extensible ::Pandey 
::Aranyak ::914836 
::Stella ::Policies 
::Venkatesh ::TolaniH02 
::Hutchison ::1537 
::66 ::CormenLR89 
::Mariano ::Moon 
::Bouganim ::Tabular 
::Shamkant ::Simitsis 
::internet ::Granular 
::1474 ::Jenkin 
::Rahm92 ::ssd 
::Gyllstrom ::Tara 
::Hammad ::StonebrakerADLO94 
::Majumder ::Guo 
::Stonebraker91 ::22851115 
::siamcomp ::Hajj 
::Ashok ::Semi 
::4497447 ::Qin 
::Cristian ::Raghav 
::1116 ::218 
::Christos ::Ponnekanti 
::942 ::BhideCGGMPRRS08 
::General ::Delivery 
::Vanitha ::Relaxation 
::548 ::Biological 
::1219 ::4497441 
::4497515 ::WangXHZWZS08 
::Duplicates ::Gnther 
::Pradeep ::4497482 
::Correction ::MarcusS96 
::HuangD08 ::Snapshot 
::HeZC05 ::Hse 
::4497522 ::20 
::sub ::1321 
::362 ::NguyenD08 
::Toivonen ::Snake 
::Algebra ::sigmetrics 
::Tok ::Operation 
::Magdalena ::Hiroshi 
::MoDB ::NAGA 
::ZaianeELL05 ::AbiteboulQMWW97 
::speak ::BravoFGM08 
::Visualizing ::15310617abs 
::Radeschutz ::Vries 
::Relationally ::4497421 
::182 ::489 
::111 ::Yunjun 
::Infrastructure ::Aggarwal 
::VaradarajanHR08 ::Freksa92 
::KimP88 ::KoudasS98 
::4497412 ::Daniele 
::Brakatsoulas ::P476 
::ChanFGR02 ::He 
::1276 ::acta 
::4497521 ::1405 
::Charging ::CobenaAM02 
::KitsuregawaO90 ::ChenC08 
::Trees ::EderL95 
::Johnson98 ::Collaboration 
::driven ::Kalogeraki 
::4497427 ::Korth 
::Conserving ::Christoph 
::Kreher ::Annotator 
::SketchTree ::Chiusano 
::1379 ::Constraint 
::Amarmend ::Jennie 
::Souripriya ::isci 
::4497430 ::263 
::Kato ::Zou 
::Divesh ::Tadashi 
::LakshmananSS97 ::GoelSYZ02 
::4497628 ::350 
::4497518 ::Dennis 
::Antal ::Imran 
::Khalifa ::Deligiannakis 
::Alonso ::Heikki 
::Bugra ::StonebrakerC05 
::Accessibility ::230 
::Rogers ::Across 
::Eugene ::Schema 
::HowardKMNSSW88 ::524 
::Similar ::MogiK96 
::4497616 ::Hetal 
::4497611 ::Shuigeng 
::PolyviouSE05 ::Sharoes 
::Barbara ::552 
::fledged ::HellersteinKP97 
::In ::Employing 
::1611 ::XiongA06 
::Under ::MIX 
::ks ::22850310abs 
::4497531 ::Fishman01 
::DayalHL91 ::SinghMSPHNC08 
::Kotidis ::Mason 
::Yuni ::10010473abs 
::Come ::Velegrakis 
::Seshadri01 ::BernsteinHM90 
::Laura ::FelipeHR08 
::HarinarayanRU96 ::80 
::Bonchi ::Whose 
::Hashing ::Gil 
