::AbulBN08 ::Wolf ::Vazirgiannis ::302 
::Cerquitelli ::Pekka ::ChenLL08 ::455 
::Capturing ::Bosworth ::HjaltasonS95 ::Loading 
::326 ::Mong ::Joins ::GuptaM95 
::Guoyu ::LometS89 ::Temporal ::22850422abs 
::1346 ::Cubes ::PagelSTW93 ::Bart 
::4497413 ::Neoklis ::Arun ::OptRR 
::Shuigeng ::Rau ::Implicated ::WangRL08 
::4497495 ::355 ::Ching ::Performance 
::ArumugamJ06 ::Ayad ::KhoussainovaBS08 ::Cochinwala01 
::Auditing ::Web ::Ramakrishnan08 ::435 
::er ::Castro ::MorsePG06 ::LambLOW91 
::Notification ::tocs ::Shipra ::Kim95 
::Transcoding ::Simonas ::widomC96 ::586 
::Leakage ::Boncz ::Proces ::YangL87 
::4497589 ::Evdokimov ::Hsu ::0 
::AilamakiGM06 ::Corruption ::Srikanta ::CaiHH08 
::CosmadakisK86 ::PolyviouSE05 ::X06 ::Hibino 
::178 ::Mix ::22850516abs ::SnodgrassA86 
::Attacks ::Duality ::ChiS05 ::Logic 
::LeeHL08 ::Masato ::Evolution ::Verifying 
::Parallel ::Ludscher ::Hoare69 ::IvesT08 
::YiuJHL08 ::Integration ::Cao ::Outsourced 
::Extensions ::245 ::471 ::1533 
::Till ::778 ::Mller ::Pedro 
::Random ::Improve ::P004 ::4497441 
::HenrichHSW91 ::22850580abs ::Basit ::Brzsnyi 
::WolfsonCDJM98 ::Redo ::15310274 ::SirbuT95 
::CareyHL93 ::Erhard ::dblp ::Zoupanos 
::Samples ::adl ::Discriminative ::Added 
::Arno ::Shrivastava ::Kahveci ::Etoh 
::Fischer ::Ying ::Herbert ::15310490 
::Shunsuke ::Ganesan ::507 ::Haritsa 
::MalinAEL05 ::Heerde ::Mohan96 ::967 
::Circumstances ::208 ::1575 ::MengLWG02 
::104 ::Mao ::ChenLL08 ::PapaemmanouilC05 
::AcharyaGJKST08 ::World ::KistlerS91 ::567 
::Ledlie ::KwietniewskiWTGGJJN08 ::IshikawaYIK96 ::Nodira 
::Selectivity ::hoc ::GUI ::22850549 
::22850518abs ::Sun ::Jagadish91 ::FudosPP02 
::4497586 ::AgrawalCD02 ::Aravindan ::Lim 
::Till ::Its ::Majumder ::175 
::Recommendation ::Xiaoming ::Datasets ::DahlinWAP94 
::Thanh ::Shinjiro ::Experiment ::DHT 
::Polyzotis ::RDB ::1461 ::GeertsKM06 
::AhmadN08 ::Snake ::LambLOW91 ::Du 
::GionisMT08 ::22850767abs ::Sikka ::Servers 
::CastellanosCSD05 ::DesphandeGMH05 ::Mitch ::Platform 
::Gustavo ::Leakage ::MannilaR94 ::4497461 
::269 ::UDB ::X08 ::Krishnapuram 
::Records ::Marlon ::AgrawalAKL06 ::Borr81 
::1445 ::Three ::Fai ::1095 
::Dikaiakos ::Ngai ::Takahiro ::Narang 
::Role ::Crawling ::4497469 ::Sharma 
::Toivonen96 ::WangYM01 ::Iwen ::Soo 
::Menzo ::1370 ::Environments ::Guided 
::DBMSs ::Nakamura ::4497415 ::339 
::4497430 ::Laboratories ::NguGBCDB02 ::Implicated 
::Sobulo ::MaddenG08 ::Randomized ::Reinhard 
::Ray ::LeeE01 ::BoberC92 ::Felipe 
::Diagnosis ::Winter ::1423 ::Xie 
::Jae ::CluetD92 ::Iyer ::Chakravarthy 
::Environmental ::296 ::AbiteboulHB99 ::913 
::Relationships ::Osmar ::P314 ::Microarray 
::Vijayshankar ::XCut ::Associative ::DIPBench 
::842 ::Schiefer ::Shuang ::1495 
::Shyam ::Dam97 ::4497529 ::Structured 
::BronczWK98 ::Tomasic ::592 ::Synopses 
::22850978abs ::btw ::4497463 ::Fishman 
::DCbot ::P2P ::274 ::Threshold 
::Matthew ::SirbuT95 ::Han ::EsterKSX96 
::Intersection ::Chow ::Polynomial ::MeoPC96 
::HanYY06 ::Tuncel ::Samet90 ::via 
::Ravada ::Coordinate ::AlonsoC05 ::Cammert 
::Product ::databases ::Quantitative ::383 
::580 ::Guan ::Lang ::Ippokratis 
::ChawatheAW98 ::Robust ::Shigeru ::Closest 
::Vassiliadis ::Jianlin ::AkindeCJK01 ::Chain 
::Xuqing ::Liedes ::Popivanov ::Yiping 
::GawlickK85 ::GardarinGT95 ::Unstructured ::Labrinidis 
::528 ::Kapantaidakis ::Devarakonda ::1209 
::Record ::AnHai ::Mahajan ::Gupta 
::AdaliCCES96 ::Deb ::MarcusS96 ::AgrawalJKL06 
::1330 ::CampenXRGFSPL08 ::Ge ::SECONDO 
::Quanqing ::Untrusted ::inWireless ::KhoussainovaBS08 
::Specifications ::Ander ::Elizabeth ::ONeilWFCM98 
::Bei ::WangYM01 ::Naumann ::db 
::Wolfgang ::Phrase ::Pudi ::367 
::PapadiasTKZ02 ::Mohamed ::426 ::Hulgeri 
::1081 ::Indexes ::331 ::Approximation 
::jodl ::iBOM ::BayerM72 ::Complete 
::RinardD96 ::RabinovichBGLMM98 ::Storing ::Jacobsen 
::83 ::4497430 ::129 ::O 
::557 ::75 ::Informative ::Shrira 
::linear ::dbpl ::Alexey ::1547 
::Scaling ::22851124 ::Mozafari ::RamanSQRDKNS08 
::1131 ::P436 ::Gupta98 ::Hazem 
::Saikat ::Papadias ::Ramon ::Bayardo 
::914808 ::ZhangTS02 ::433 ::Enumeration 
::Terlecki ::Hammer ::Dunja ::ChenL02 
::Wee ::Sundaresan ::15310488 ::Gjergji 
::ChengYDYW08 ::784 ::JadavGL97 ::Akinde 
::503 ::Dik ::22851120 ::Kornel 
::Leveraging ::Guestrin ::1248 ::AhmadN08 
::Computing ::Nested ::Baralis ::Chalamalla 
::ShivakumarGC98 ::NeumannHM05 ::Cache ::AstrahanBCEGGKLMMPTWW76 
::GedikWY08 ::tcs ::DengDRZ08 ::GawlickK85 
::BorgBG83 ::Cost ::Seltzer ::Microsoft 
::Assurance ::Logging ::Kang ::Tuples 
::support ::KornackerMH97 ::PinarTF05 ::AbiteboulMP05 
::ShuklaDNR96 ::Torlone ::482 ::Vikas 
::P284 ::FerhatosmanogluTAA01 ::4497610 ::PageRank 
::Sonny ::Asymmetric ::Nectaria ::Schning 
::Trajectories ::Back ::47 ::1296 
::Lp ::BernsteinHG87 ::Integratio ::Ordering 
::Mirit ::565 ::GuhaKSY06 ::FaradjianGB02 
::MendelzonW95 ::Wenliang ::862 ::57 
::ShenSYZC06 ::P302 ::AgrawalIS93 ::HullY90 
::EvangelidisLS95 ::Processor ::WangRM06 ::Verifying 
::1112 ::Kristian ::Designing ::Gting 
::1486 ::Scale ::Ioannis ::Schlimmer93 
::jlp ::Durmaz ::638 ::Scheme 
::Changes ::1100 ::Gonzalez ::Koki 
::38 ::4497619 ::Transform ::Peery 
::Jayavel ::4497428 ::Verifiers ::GoldbergR83 
::309 ::Quang ::22850521abs ::Tan 
::Oliver ::Lomet98 ::AmzaCZ05 ::as 
::mk ::AlonsoBC08 ::KornackerB95 ::1485 
::Dimitrios ::Fatma ::Selinger ::gis 
::Rimma ::4497536 ::OomotoT93 ::Edoho 
::ShuklaDNR96 ::1438 ::914877 ::Govindarajan 
::IvesT08 ::Zina ::Mohan96 ::Recycling 
::PeiHPCDH01 ::Hajj ::4497541 ::Dominance 
::P550 ::Agents ::22851061abs ::4497419 
::Edoardo ::UDB ::KappelS91 ::LiLL08 
::Space ::QShuffler ::Fromont ::97 
::Sachindra ::Win ::KwietniewskiWTGGJJN08 ::Lohman 
::Very ::188 ::4497470 ::Configurable 
::Hai ::Tuples ::Cliques ::Per 
::PETRANET ::Managing ::Carmem ::187 
::SeshadriLR97 ::DayDIKG95 ::X05t ::Mahmood 
::X05o ::Michle ::333 ::ConsensLO06 
::Summarizing ::PuL91 ::PapadiasYMT05 ::Stoumpos 
::FudosPP02 ::LevyMSS95 ::Thomsen ::Riccardo 
::Pandey ::pe ::Spannagel ::15310327 
::Sithirasenan ::Shkapenyuk ::Prado ::15310706abs 
::Jenkin ::COSTA ::bc ::ShivakumarG96 
::Ramy ::Crawling ::Stratified ::He 
::BernsteinGLL98 ::Megiddo ::Airoldi ::EdmundsMSS05 
::Furche ::Silberstein ::Gehrke ::deductive 
::Hang ::Durmaz ::Choreographies ::GeZ08 
::Donahoo ::914861 ::Tilo ::Cudre 
::Software ::Adlib ::Swanwa ::YiLHKS08 
::Lychagin ::Modeling ::922 ::495 
::Douglas ::Ramesh ::763 ::HeXYY05 
::Compressing ::tse ::Yoshikawa ::CuiLXCDZ08 
::4497602 ::914855 ::Controlled ::Across 
::HeZC05 ::Advances ::ISOMER ::22850791abs 
::Entity ::LeFevreDR06 ::1533 ::Kreher 
::Ng ::Russakovsky ::Correlation ::Percy 
::Yuni ::IoannidisP95 ::Shrira ::Jrgen 
::Dohnal ::Stephen ::15310341 ::Attribute 
::1111 ::FernandezFKLS97 ::1548 ::Trees 
::Leung ::MannilaT97 ::X06 ::Snapshots 
::Jeffrey ::Patrick ::Sources ::Antova 
::466 ::Almeida ::Disclosure ::VlachosGK02 
::455 ::Definitions ::Susanne ::Sergej 
::dood ::Gardarin ::4497412 ::Amarmend 
::Biased ::Meichun ::Freire ::PapakonstantinouAG96 
::GubanovBM08 ::KappelS91 ::Xiang ::Vladislav 
::CabibboPT06 ::Similarity ::DennyF06 ::tods 
::Queuing ::Keyword ::1418 ::Assurance 
::Girod ::GreifSW86 ::Corey ::Dyreson96 
::Torp ::join ::Yoon ::10010071abs 
::Message ::Rezgui ::1456 ::922 
::529 ::Theobald ::DayalHL90 ::Motwani 
::Hiraoka ::Abul ::Kai ::Pratik 
::Thaden ::Theoretic ::Blocks ::4497587 
::Serap ::Pfeifle ::Quan ::BlumrichLADFS94 
::Uncertain ::Ryan ::Ohler ::LiC08 
::Panos ::Extensible ::Industry ::AssentWMS08 
::Houle ::4497529 ::Mu ::ijcai 
::513 ::1286 ::1494 ::Welsh 
::476 ::Vazirgiannis ::P201 ::Petkovic 
::4497450 ::MONDRIAN ::Zloof77 ::icde2001 
::Hamid ::4497583 ::icde ::Xiaokui 
::Auctions ::1501 ::IMAX ::234 
::201 ::M ::Jennifer ::business 
::912 ::660 ::Sedmidubsk ::Riedewald 
::Reasoning ::Vasileios ::146 ::Telecom 
::WiwatwattanaJ08 ::Susan ::Functional ::MeoPC98 
::CosmadakisKV90 ::Andras ::LiSR92 ::RinardD96 
::DoanH02 ::WidomC96 ::Rizos ::BonczQK96 
::Mahajan ::Trends ::Vijayalakshmi ::Boris 
::Ming ::22850143abs ::Chow ::Ruddy 
::Tata ::Faster ::Generato ::4497538 
::Adaptive ::Ammar ::1150 ::ONeilG95 
::Herlihy90 ::BrakatsoulasPT05 ::Milind ::KatayamaS97 
::Hieu ::138 ::Palopoli ::Selinger 
::Relationship ::1494 ::Bonnet ::Products 
::Gemulla ::DanK95 ::Yfoulis ::Ari 
::914834 ::Eduard ::Samet90 ::KilgerM94 
::Dumas ::Time ::1486 ::JinA06 
::KoudasS98 ::DasguptaGJSV05 ::Dinh ::1611 
::Bertino ::22850730abs ::418 ::Silva 
::Harinarayan ::81 ::Webs ::Zhu 
::Toon ::4497441 ::Guang ::1129 
::Colors ::914811 ::371 ::Metric 
::Access ::LiuC08 ::EllisG89 ::Retrieval 
::P296 ::Domains ::22850310abs ::StodolskyGH93 
::Definition ::Felipe ::89 ::Agma 
::Wisnesky ::22850417abs ::ShivakumarGC98 ::Luca 
::YangSRG06 ::833 ::HeZC05 ::842 
::Bhavani ::563 ::Chaum85 ::1325 
::Cobena ::267 ::SarawagiS96 ::Jeonghee 
::ZhangLXKW06 ::Ngu ::Fastest ::Power 
::Automated ::Neeraj ::Xiaoyong ::Block 
::Referential ::Hideo ::Synthesizing ::Weighted 
::cp ::Amit ::Bajpai ::Dehne 
::277 ::Computing ::642 ::592 
::Gsta ::Goldin06 ::IshikawaK93 ::SkytJP02 
::ZhangCMS97 ::Graphs ::Joshi ::22850403abs 
::1127 ::Torp ::Kanne ::jacm 
::TuckerM02 ::Lian ::Pipelining ::665 
::ZhouZVQ08 ::4497602 ::1307 ::Stahl98 
::Closest ::Polynomial ::Class ::Ghinita 
::Wayne ::392 ::v8 ::Ramamirtham 
::Legacy ::22850656abs ::Shimada ::Alexe 
::Asynchronous ::Prefix ::1518 ::Aware 
::EllisG89 ::558 ::Heterogeneous ::Dou 
::Navigation ::AgrawalFS93 ::Shanmugasundaram ::Goel 
::Xiaoming ::Local ::Xuqing ::1500 
::Inclusion ::Koki ::Classification ::P503 
::B ::LeslieJBY95 ::Polyviou ::Hiroko 
::Marios ::DimitrovaG94 ::DanK95 ::326 
::Zezula ::KuskinOHHSGCNBHGRH94 ::188 ::Support 
::336 ::Lucchese ::Stonebraker ::Guido 
::259 ::Vikram ::Hyun ::Baral 
::Better ::22850094abs ::GoelSYZ02 ::HanFWCGKLLRSXZ96 
::Idreos ::AggarwalY98 ::Anonymizing ::Harizopoulos 
::Ada ::cdrom ::OSSM ::Saydean 
::890 ::Anonymizing ::4497447 ::Eunus 
::Techniques ::WangLPAM06 ::Evdokimov ::1043 
::Rajaraman ::375 ::Damianos ::Kian 
::HwangPS98 ::1200 ::Link ::Jansen 
::260 ::Exactly ::Qun ::P456 
::Outstanding ::AcharyaAFZ95 ::1592 ::Sankaranarayanan 
::Stocker ::Agma ::4497626 ::Spatscheck 
::1381 ::77 ::Gryz98 ::WilkesGSS96 
::aware ::Extending ::Diversity ::BunemanDS95 
::353 ::DB2 ::Nabeel ::Skew 
::Support ::Bayardo ::DeFazio ::Expression 
::Sky ::SchroederHINW06 ::Veli ::253 
::Atmosukarto ::Samaras ::Sardar ::McWherterSAH05 
::Descour ::98 ::eBusiness ::AbulBN08 
::Language ::Bartlett81 ::RastogiMBKS93 ::Captivity 
::PetitTBK96 ::View ::Anand ::10010473abs 
::22850916abs ::Jianping ::Vladislav ::Fuxman 
::SuleimanCF98 ::1345 ::1120 ::Optimized 
::668 ::Ntoulas ::456 ::Savage 
::Indicators ::350 ::Primitive ::BuccafurriRPS02 
::Chiticariu ::939 ::Jiang ::1133 
::Banu ::Daudjee ::Shigeo ::Capturing 
::Hari ::AbiteboulMZ08 ::Xiang ::JermaineOY02 
::Bitmap ::Clio ::Shirani ::676 
::75 ::HardwickSRM97 ::Lineage ::1048 
::Vetle ::CPU ::22850853abs ::JainDG08 
::Cao ::Bar ::ShethR93 ::Benjelloun 
::KhoussainovaBS08 ::PapadiasT97 ::Gupta98 ::Bayardo 
::Annotator ::Bulk ::through ::Amit 
::Quan ::4497565 ::1139 ::Singh 
::22850533abs ::Item ::Nejdl ::micro 
::Okcan ::icde2006 ::753 ::Georgakopoulos 
::XingZH05 ::Map ::Avoiding ::Characterization 
::Chrysanthis ::ViteX ::Mathew ::Hakan 
::Stella ::KamelF94 ::AlonsoBC08 ::Dik 
::Scheme ::Franklin ::Outliers ::22851131abs 
::1367 ::Milena ::Mutsumi ::FerhatosmanogluTAA01 
::Moustafa ::Luping ::Authority ::GoldingBSSW95 
::ShivakumarG95 ::SegevP89 ::Samet90 ::Afalg 
::Pervasive ::Toward ::Stonebraker96 ::RooholaminiC95 
::ConsensLO06 ::Olsen ::Srinivas ::Correlation 
::CastellanosC05 ::MIC ::Yossef ::Pankaj 
::SmithC96 ::Shawn ::914844 ::4497616 
::GrustKGHS97 ::32 ::535 ::Davood 
::for ::1109 ::Usama ::1406 
::Castellanos ::22850020abs ::OgleS95 ::Transportation 
::Pervasive ::22850355abs ::Coverage ::22850717abs 
::processing ::Tradeoffs ::Zou ::Kendig 
::DaudjeeS06 ::Hans ::Arora ::Partnership 
::support ::WuCL08 ::Pawel ::Kien 
::DozierSF94 ::PeiHPCDH01 ::Saake ::Imprecision 
::Environments ::4497485 ::SketchTree ::Image 
::22850547 ::NgOT02 ::Extraction ::Library 
::Gustavo ::Networks ::Ouri ::135 
::Haojun ::Approaches ::Methodical ::Kyu 
::Na ::Tier ::QuassRSUW95 ::CaiHH08 
::4497514 ::Authors ::Wolski02 ::Self 
::Yannis ::ATM ::MAPLE ::RDB 
::Imperatives ::Re ::517 ::Herlihy90 
::TanGO01 ::Upendra ::BohannonFRS02 ::BitonBDH08 
::246 ::Evimaria ::TanselCGJSS93 ::Behzad 
::140 ::15310265 ::Statistical ::Visualization 
::French ::Closed ::TataFS06 ::1451 
::Stefani ::Kubota ::Ntarmos ::Features 
::Walk ::Workflow ::HuangG01 ::15310593abs 
::Ljosa ::Search ::Suhre ::Bayardo 
::Chen05 ::Renner01 ::Wayne ::Davey 
::Trade ::4497594 ::DanielsSHLMWW82 ::BlottRS96 
::Fastest ::Iman ::15310235abs ::Whose 
::Cudr ::642 ::Mario ::Joshi 
::HinterbergerMG94 ::Hyong ::Maged ::Five 
::4497580 ::Prodromos ::Region ::391 
::Signature ::Szabo ::Schenkel ::Yong 
::Predicates ::Shuang ::1397 ::ChanFLNR82 
::Yoshinari ::Majumder ::Tight ::Calton 
::Sharma ::Third ::GeorgiadisKCNS08 ::646 
::LeuteneggerL98 ::BargaLW02 ::Il ::1548 
::Petkovic ::403 ::Jianzhong ::Pudi 
::McKenna ::Knowledge ::RoitmanGR08a ::Pablo 
::Burdick ::584 ::Attacks ::Willy 
::comp ::Advances ::Hon ::4497626 
::M ::Singer ::Novel ::Correlated 
::Histories ::Brent ::155 ::DewriRRW08 
::Pointsets ::4497485 ::1615 ::101 
::Long ::Shrivastava ::Jinchuan ::Watzke 
::SmithS96 ::IMAX ::Flood ::Architecture 
::Linear ::ChaudhuriKPS95 ::Science ::Sashikanth 
::Mamadou ::66 ::Partitions ::over 
::Sketch ::Arai ::Bartlett81 ::LiOW08 
::Ferrari ::Goel ::Masayoshi ::Mohammad 
::Ching ::Indicators ::Juha ::1238 
::Odysseus ::SalzbergT96 ::WolskiKP96 ::498 
::15310261 ::Rewriting ::Delta ::Photos 
::Avigdor ::WangHYYY06 ::Bonchi ::74 
::Koki ::Holistic ::Li ::Busatto 
::Anish ::Concept ::BulutS05 ::Assertional 
::Panagiotis ::78 ::Glimcher ::Untrusted 
::Domain ::Accessibility ::1116 ::299 
::131 ::Balancing ::914850 ::Beyer 
::Kshitij ::295 ::Janne ::225 
::Bttcher ::Scene ::Porkka ::1 
::Extended ::Huahai ::Lingzhi ::22850705abs 
::Labeled ::279 ::Taniguchi ::ManjhiSDO05 
::Xingquan ::Dominant ::Mong ::Simoudis 
::Column ::Conserving ::824 ::Independent 
::679 ::Taylor ::Chee ::Detect 
::FAST ::Tag ::Brett ::4497462 
::15310593abs ::Akrivi ::SavageW96 ::HjelsvoldM94 
::22851109abs ::693 ::Columns ::332 
::Two ::Commerce ::Banich ::Zukowski 
::Big ::Papotti ::MeoPC96 ::Larson02 
::AthitsosPPK08 ::Stonebraker91 ::Palakal ::1354 
::Kiernan ::Friedman ::Halevy ::Based 
::Multimodal ::Junyi ::BakalovT08 ::BalkeNST05 
::KoudasS98 ::eBusiness ::Dependent ::Hammer 
::Correlation ::P522 ::Piatetsky91 ::503 
::742 ::Mann ::Function ::Amir 
::Sampling ::Lochovsky ::Hua ::3 
::VrhovnikSRM08 ::McCann ::SchekPSW90 ::Kahveci 
::UNIT ::Shuyu ::Gautam ::339 
::Antova ::4497502 ::Varadarajan ::Filters 
::Debate ::ChenH01 ::Set ::Draper01 
::Mikhail ::KanagalD08 ::Managing ::WuB98 
::Sliding ::Esther ::Labeling ::Andrzej 
::Farrell ::Theodore ::Sideways ::nato 
::Liu ::ReissH06 ::Mannila ::Authority 
::1495 ::Csar ::ShiZ05 ::Sardar 
::MetaQuerier ::Conscious ::Potamias ::Amarmend 
::Frequency ::778 ::ChaudhuriKPS95 ::Anurag 
::Gunther93 ::117 ::BrunoGM02 ::Elizabeth 
::CasatiDS01 ::Integrating ::Evolving ::Rank 
::LynchS88 ::1286 ::SunPF05 ::Equation 
::compcon ::DHT ::1317 ::4497559 
::Practice ::Improved ::WuDY06 ::4497624 
::Specifications ::341 ::Billing ::BunemanCFHMV05 
::temporal ::Vinayak ::Cost ::Brett 
::Hoa ::isci ::McKenna ::Wrapper 
::Explaining ::Distributed ::AutoGlobe ::IC 
::Kifer ::AbiteboulCCMMS97 ::Takahide ::Indexes 
::4497410 ::22850916abs ::Myoung ::Evimaria 
::Zaniolo ::Milind ::Server ::Parallelizing 
::COSTA ::78 ::Kanaya ::783 
::Halevy ::Assuring ::CammertKSV06 ::Migration 
::15310494 ::Improved ::P094 ::Kevin 
::Captivity ::Cloud ::Partial ::Coverage 
::Jiying ::ShethR93 ::1600 ::Aggarwal08 
::4497480 ::SrikantA96 ::4497439 ::DayalHL91 
::Mendelzon ::Pushing ::Chung ::Facet 
::Lp ::Andrzej ::Liu98 ::Mema 
::Work ::Outsourcing ::MendelzonMM97 ::MolinaLV84 
::827 ::Diversity ::Abdel ::Panayiotis 
::Suchanek ::BreitenederGT92 ::Bernstein ::1429 
::728 ::Dirk ::384 ::InanKBS08 
::ChenC92 ::Shuigeng ::482 ::Muhammed 
::GPIVOT ::Meisen ::Yanif ::Ellis 
::Percy ::Proactive ::Savage ::Characterization 
::Every ::Stucki ::Ira ::41 
::gis ::1409 ::1462 ::P601 
::GutingAABDHHST05 ::Arjen ::Gorman ::DengDRZ08 
::672 ::Q ::SrikantA96 ::Rakesh 
::ConsensRV08 ::KeCN06 ::Scheme ::Sivasubramaniam 
::Granular ::Just ::72 ::Muhammad 
::Dunja ::Sliding ::Strategies ::MaH01 
::Filtering ::15310274 ::1073 ::LakshmananSS97 
::Sobulo ::187 ::Attacks ::Abbadi 
::186 ::Lu ::Tanveer ::22850779abs 
::Approximated ::WuK05 ::AbiteboulV97 ::Ravishankar 
::PanZW08 ::Role ::Megiddo ::Bhat 
::Focused ::KasneciSIRW08 ::SPEX ::Shipra 
::Sketch ::1432 ::Arnd ::DakkaI08 
::Linguistic ::MarcusS96 ::ChenR94a ::72 
::Henk ::Malkani ::relational ::fledged 
::Hubert ::4497417 ::Methodical ::Speeds 
::Temporal ::4497433 ::Powerful ::LeungWL89 
::LudascherGM01 ::AcharyaAFZ95 ::4497447 ::KashimaTINHEF05 
::1400 ::Neeraj ::52 ::Dai 
::Blakeley ::Immerman ::Goh ::Changes 
::Incorporating ::Bonifati ::Constructs ::CampenXRGFSPL08 
::4497614 ::Fosca ::Rudra ::toWeb 
::15310282 ::Dongwon ::MarianAKS05 ::Kashyap 
::Moon ::4497601 ::Ip ::161 
::Videos ::Maximal ::Gudes ::Nikolaus 
::Ryo ::Govi ::Tag ::ReissH06 
::GabowT89 ::WuB97 ::Amza ::Semantics 
::4 ::Hang ::110 ::Example 
::MotwaniNT08 ::Shape ::Commodity ::962 
::Lineage ::Array ::Juha ::DeFazio 
::Fathima ::Fei ::HjelsvoldM94 ::Distinctiveness 
::Sebastian ::Media ::Zabback ::1059 
::LentSW97 ::Jayavel ::Determine ::Di 
::Ashraf ::Monotonicity ::551 ::Bedell98 
::P105 ::Pui ::ups ::ChenDER05 
::Bicer ::AgrawalAKL06 ::1998 ::P532 
::Agma ::WangJT06 ::Papotti ::252 
::Squicciarini ::Iyer ::Ghafoor ::mms 
::1620 ::FaloutsosK94 ::Deshpande ::Dimitrios 
::Scale ::4497563 ::MukherjeeRS05 ::Correlations 
::Schwarzkopf ::Pervasive ::Braga ::coopis 
::OSSM ::Keulen ::SaltonWY75 ::Ouri 
::Wloka ::Zhou ::686 ::Magdalena 
::Asonov ::Anastassia ::S ::BabuMWM05 
::Bossi ::4497605 ::Feltes ::379 
::Torsten ::176 ::Circumstances ::Doan 
::ipsj ::WangCPFM02 ::Ryvkina ::bc 
::Stefano ::Mining ::Neoklis ::Garret 
::P036 ::JinXDW02 ::Matthew ::Improved 
::Wisam ::15310673abs ::1189 ::Grtner 
::Identification ::Cardinality ::916 ::SNAP 
::565 ::Shyam ::Dumas ::Controls 
::623 ::TsangarisN91 ::Stahl ::Zwol 
::1382 ::CaoCFT08 ::Inseok ::Gyllstrom 
::Optimizations ::963 ::OLE ::Matthias 
::Uncertainty ::SECONDO ::Toolsuite ::PETRANET 
::Developing ::RabinovichBGLMM98 ::GareyJ79 ::Dunja 
::PagelSTW93 ::417 ::Athitsos ::Zeller 
::Vehicle ::Better ::Lot ::Baker 
::4497466 ::270 ::MolinaKS98 ::Mumick 
::AgrawalS95 ::4497634 ::Visual ::Guido 
::Colby ::Independent ::Kimeli ::Mohan90 
::Trombetta ::hpts ::Graphitti ::Regulation 
::ImielinskiVA96 ::Vries ::WolskiB98 ::312 
::SrikantA96 ::Enabling ::Kristal ::Hyon 
::52 ::631 ::4497460 ::706 
::Nita ::Bolin ::Shunsuke ::22850403abs 
::Jos ::853 ::ChakrabartiM98 ::HuangD08 
::Developing ::Jan ::Bugra ::ONeilG95 
::TaninHS05 ::Lychagin ::Linfeng ::Junghoo 
::Ikeda ::Matrix ::WolskiB98 ::627 
::MolinaLV84 ::Ippokratis ::LeeCLNS94 ::Aggarwal08 
::Items ::Driven ::party ::Lup 
::WuAA02 ::22850533abs ::Uncertain ::Larson02 
::KolliosGKB01 ::145 ::Callaghan ::Omran 
::Definition ::Power ::Floris ::Zahir 
::Yang ::195 ::Nina ::KaushikSBG02 
::To ::Aboulnaga ::4497522 ::Carla 
::BohannonFRS02 ::ChaudhuriW06 ::LuoNE02 ::Farfn 
::1494 ::Jiong ::TirthapuraA05 ::Brakatsoulas 
::Margaret ::ibmsj ::Deepak ::15310093abs 
::300 ::Nejdl ::BhideDD93 ::Mining 
::Garret ::Yoshikawa ::299 ::Kihong 
::4497471 ::Chakravarthy ::10010071abs ::AdibaL80 
::391 ::Verma ::JoshiJ06 ::565 
::John ::AbiteboulK92 ::Physical ::SaltonWY75 
::tiered ::633 ::Counting ::126 
::LangOS97 ::1133 ::Trajectories ::49 
::TsatalosSI94 ::Rich ::KistlerS91 ::Area 
::Type ::4497540 ::1351 ::Jiying 
::CandanPS96 ::Patterson ::Naphtali ::Beyond 
::CareyL91 ::Partial ::Sales ::Brenninkmeijer 
::Hsu95 ::Collection ::1482 ::RothH93 
::Junmei ::74 ::AutoGlobe ::MegalooikonomouWLF05 
::Tree ::XuLTW06 ::SPARK ::933 
::Stonebraker86 ::Advanced ::Jiong ::CareyHSACFFLNPTWW95 
::Supporting ::Milind ::1524 ::SilberschatzKS97 
::ShaLJ88 ::Yunjun ::JermaineOY02 ::Clusters 
::Nagaraj ::P201 ::IBM ::1098 
::4497591 ::inproceedings ::Kaname ::StreamCorder 
::1126 ::22851048abs ::1576 ::Uncertain 
::Identification ::Footprint ::Frank ::269 
::Decayed ::Terminological ::Fishman ::Wenjie 
::QuLM06 ::AgrawalS96 ::DanDY91 ::inWireless 
::77 ::Shawn ::LindsayMP87 ::Economically 
::Lookups ::Sing ::Progress ::Gang 
::Salka ::Mitschang ::Compiled ::Weiyi 
::LiuSYR98 ::SrivastavaL88 ::HoweM05 ::22850273abs 
::Schubert ::Cochrane ::SilbersteinBEMY06 ::22851141 
::22850583abs ::1159 ::Chakravarthy ::Back 
::526 ::zden ::Nicola ::Rundensteiner92 
::Explicit ::html ::Past ::Columns 
::Ramanath ::LometS89 ::P192 ::Rinderle 
::Subbu ::Govi ::Identifiers ::NeumannHM05 
::4497448 ::AntonyWAA08 ::Intensive ::Partial 
::AlexanderR06 ::Position ::4497603 ::Guy 
::Lohman ::icdt ::828 ::Raschid 
::DBMSs ::Fischmann ::French ::Amza 
::GhandeharizadehHJ92 ::15310187 ::0003 ::Hanson87 
::Teubner ::AssentWS06 ::AtzeniMM97 ::Nes 
::22851122abs ::15310339 ::Venky ::30 
::489 ::SuleimanCF98 ::gis ::Balanced 
::processing ::CeriW91 ::Devices ::Rebecca 
::52 ::Wisam ::282 ::CasatiDS01 
::Chon ::Nagaraj ::Qi ::Chee 
::Signal ::1370 ::Sequence ::Ramakrishnan08 
